date,압류통장해지
2020-03-20,37.05882
2020-03-21,19.41176
2020-03-22,17.64705
2020-03-23,42.35294
2020-03-24,48.23529
2020-03-25,58.82352
2020-03-26,64.70588
2020-03-27,58.23529
2020-03-28,17.64705
2020-03-29,28.23529
2020-03-30,57.64705
2020-03-31,70.58823
2020-04-01,51.17647
2020-04-02,42.94117
2020-04-03,47.05882
2020-04-04,20.58823
2020-04-05,24.11764
2020-04-06,45.88235
2020-04-07,41.17647
2020-04-08,51.17647
2020-04-09,41.17647
2020-04-10,60.0
2020-04-11,17.05882
2020-04-12,15.88235
2020-04-13,45.88235
2020-04-14,38.23529
2020-04-15,21.17647
2020-04-16,51.17647
2020-04-17,41.17647
2020-04-18,21.7647
2020-04-19,15.88235
2020-04-20,40.0
2020-04-21,45.29411
2020-04-22,54.70588
2020-04-23,39.41176
2020-04-24,55.29411
2020-04-25,21.17647
2020-04-26,26.47058
2020-04-27,50.0
2020-04-28,59.41176
2020-04-29,58.82352
2020-04-30,27.05882
2020-05-01,45.29411
2020-05-02,35.29411
2020-05-03,25.88235
2020-05-04,72.94117
2020-05-05,23.52941
2020-05-06,72.94117
2020-05-07,72.35294
2020-05-08,60.0
2020-05-09,29.41176
2020-05-10,21.17647
2020-05-11,87.64705
2020-05-12,88.23529
2020-05-13,70.58823
2020-05-14,82.94117
2020-05-15,72.35294
2020-05-16,23.52941
2020-05-17,21.7647
2020-05-18,58.23529
2020-05-19,51.17647
2020-05-20,68.82352
2020-05-21,59.41176
2020-05-22,60.58823
2020-05-23,19.41176
2020-05-24,19.41176
2020-05-25,72.35294
2020-05-26,74.70588
2020-05-27,65.29411
2020-05-28,63.52941
2020-05-29,38.23529
2020-05-30,15.88235
2020-05-31,17.05882
2020-06-01,48.82352
2020-06-02,54.70588
2020-06-03,41.7647
2020-06-04,49.41176
2020-06-05,41.17647
2020-06-06,22.94117
2020-06-07,23.52941
2020-06-08,50.58823
2020-06-09,47.05882
2020-06-10,57.64705
2020-06-11,46.47058
2020-06-12,34.70588
