date,양도
2020-03-20,51.27551
2020-03-21,26.10544
2020-03-22,27.46598
2020-03-23,45.32312
2020-03-24,48.55442
2020-03-25,47.78911
2020-03-26,52.55102
2020-03-27,44.47278
2020-03-28,23.89455
2020-03-29,21.93877
2020-03-30,48.55442
2020-03-31,49.23469
2020-04-01,49.06462
2020-04-02,53.91156
2020-04-03,42.68707
2020-04-04,24.23469
2020-04-05,22.61904
2020-04-06,47.19387
2020-04-07,48.46938
2020-04-08,54.2517
2020-04-09,55.52721
2020-04-10,47.44897
2020-04-11,29.59183
2020-04-12,26.53061
2020-04-13,53.91156
2020-04-14,46.68367
2020-04-15,33.7585
2020-04-16,48.63945
2020-04-17,50.2551
2020-04-18,28.06122
2020-04-19,30.78231
2020-04-20,51.78571
2020-04-21,52.38095
2020-04-22,52.72108
2020-04-23,54.16666
2020-04-24,44.98299
2020-04-25,27.38095
2020-04-26,28.23129
2020-04-27,54.2517
2020-04-28,51.0204
2020-04-29,51.36054
2020-04-30,33.24829
2020-05-01,32.39795
2020-05-02,26.10544
2020-05-03,27.12585
2020-05-04,40.81632
2020-05-05,29.59183
2020-05-06,54.59183
2020-05-07,50.0
2020-05-08,43.53741
2020-05-09,27.04081
2020-05-10,23.29931
2020-05-11,53.31632
2020-05-12,55.2721
2020-05-13,54.2517
2020-05-14,47.19387
2020-05-15,47.78911
2020-05-16,26.44557
2020-05-17,25.17006
2020-05-18,50.85034
2020-05-19,52.80612
2020-05-20,49.14965
2020-05-21,49.65986
2020-05-22,49.40476
2020-05-23,27.89115
2020-05-24,28.31632
2020-05-25,48.80952
2020-05-26,51.44557
2020-05-27,49.74489
2020-05-28,50.68027
2020-05-29,44.04761
2020-05-30,24.91496
2020-05-31,27.80612
2020-06-01,49.23469
2020-06-02,49.82993
2020-06-03,52.72108
2020-06-04,48.38435
2020-06-05,41.7517
2020-06-06,26.70068
2020-06-07,28.82653
2020-06-08,47.27891
2020-06-09,49.14965
2020-06-10,49.57482
2020-06-11,50.85034
2020-06-12,44.64285
2020-06-13,28.23129
2020-06-14,26.10544
2020-06-15,59.69387
2020-06-16,67.60204
2020-06-17,57.99319
2020-06-18,60.37414
2020-06-19,48.63945
2020-06-20,28.57142
2020-06-21,31.97278
2020-06-22,58.5034
2020-06-23,62.7551
2020-06-24,68.96258
2020-06-25,100.0
2020-06-26,63.69047
2020-06-27,33.7585
2020-06-28,28.48639
2020-06-29,56.46258
2020-06-30,52.89115
2020-07-01,55.52721
2020-07-02,48.89455
2020-07-03,44.47278
2020-07-04,27.12585
2020-07-05,29.2517
2020-07-06,52.80612
2020-07-07,65.13605
2020-07-08,71.17346
2020-07-09,65.98639
2020-07-10,77.63605
2020-07-11,43.45238
2020-07-12,42.34693
2020-07-13,73.63945
2020-07-14,67.85714
2020-07-15,58.7585
2020-07-16,54.93197
2020-07-17,55.52721
2020-07-18,33.7585
2020-07-19,32.73809
2020-07-20,52.46598
2020-07-21,56.29251
2020-07-22,60.62925
2020-07-23,59.77891
2020-07-24,53.14625
2020-07-25,30.017
2020-07-26,31.46258
2020-07-27,54.5068
2020-07-28,54.93197
2020-07-29,56.37755
2020-07-30,56.88775
2020-07-31,48.63945
2020-08-01,32.99319
2020-08-02,29.2517
2020-08-03,49.65986
2020-08-04,54.2517
2020-08-05,50.85034
2020-08-06,46.85374
2020-08-07,46.68367
2020-08-08,33.84353
2020-08-09,30.2721
2020-08-10,53.74149
2020-08-11,55.10204
2020-08-12,55.44217
2020-08-13,54.93197
2020-08-14,54.59183
2020-08-15,34.94897
2020-08-16,27.04081
2020-08-17,29.93197
2020-08-18,53.14625
2020-08-19,50.68027
2020-08-20,54.2517
2020-08-21,49.31972
2020-08-22,31.54761
2020-08-23,27.80612
2020-08-24,52.21088
