date,양도세율
2020-03-20,5.01585
2020-03-21,4.92937
2020-03-22,3.89161
2020-03-23,6.2554
2020-03-24,5.21764
2020-03-25,5.88065
2020-03-26,5.88065
2020-03-27,4.92937
2020-03-28,4.43931
2020-03-29,2.9115
2020-03-30,5.67886
2020-03-31,5.62121
2020-04-01,4.81406
2020-04-02,4.9582
2020-04-03,4.92937
2020-04-04,3.3439
2020-04-05,3.80513
2020-04-06,4.84289
2020-04-07,4.46814
2020-04-08,5.47708
2020-04-09,5.04468
2020-04-10,5.04468
2020-04-11,4.26635
2020-04-12,3.89161
2020-04-13,5.76535
2020-04-14,4.26635
2020-04-15,3.71865
2020-04-16,6.11127
2020-04-17,5.21764
2020-04-18,4.00691
2020-04-19,3.57451
2020-04-20,5.90948
2020-04-21,6.88959
2020-04-22,6.31305
2020-04-23,5.88065
2020-04-24,5.67886
2020-04-25,4.72758
2020-04-26,3.43038
2020-04-27,6.28423
2020-04-28,6.02479
2020-04-29,5.44825
2020-04-30,4.00691
2020-05-01,3.92043
2020-05-02,4.2087
2020-05-03,3.48803
2020-05-04,5.70769
2020-05-05,4.90054
2020-05-06,6.74545
2020-05-07,5.90948
2020-05-08,4.58345
2020-05-09,4.52579
2020-05-10,4.49697
2020-05-11,5.823
2020-05-12,6.34188
2020-05-13,6.2554
2020-05-14,6.34188
2020-05-15,7.95618
2020-05-16,5.62121
2020-05-17,4.6411
2020-05-18,5.823
2020-05-19,5.79417
2020-05-20,7.46612
2020-05-21,14.73046
2020-05-22,15.24935
2020-05-23,13.02969
2020-05-24,12.42432
2020-05-25,16.86364
2020-05-26,20.46699
2020-05-27,20.92822
2020-05-28,20.66878
2020-05-29,16.66186
2020-05-30,15.16287
2020-05-31,15.53761
2020-06-01,21.21648
2020-06-02,22.02363
2020-06-03,21.8795
2020-06-04,24.73335
2020-06-05,24.21447
2020-06-06,23.14788
2020-06-07,18.07437
2020-06-08,22.05246
2020-06-09,24.50273
2020-06-10,24.61804
2020-06-11,25.16575
2020-06-12,25.91524
2020-06-13,22.16777
2020-06-14,21.76419
2020-06-15,30.98875
2020-06-16,33.78495
2020-06-17,45.89218
2020-06-18,47.04525
2020-06-19,42.37532
2020-06-20,32.2283
2020-06-21,31.07523
2020-06-22,36.20639
2020-06-23,32.31478
2020-06-24,33.35255
2020-06-25,35.51455
2020-06-26,29.05736
2020-06-27,27.03949
2020-06-28,23.09022
2020-06-29,31.85356
2020-06-30,31.85356
2020-07-01,30.12395
2020-07-02,28.07725
2020-07-03,28.68261
2020-07-04,26.46295
2020-07-05,27.35658
2020-07-06,40.06918
2020-07-07,62.69818
2020-07-08,58.23003
2020-07-09,51.081
2020-07-10,100.0
2020-07-11,60.33439
2020-07-12,47.33352
2020-07-13,58.05707
2020-07-14,53.1277
2020-07-15,46.64168
2020-07-16,41.97174
2020-07-17,36.66762
2020-07-18,32.43009
2020-07-19,34.62092
2020-07-20,30.26808
2020-07-21,26.89535
2020-07-22,28.82675
2020-07-23,23.34966
2020-07-24,20.38051
2020-07-25,18.07437
2020-07-26,16.4889
2020-07-27,19.77515
2020-07-28,23.37849
2020-07-29,22.57134
2020-07-30,23.09022
2020-07-31,19.4004
2020-08-01,14.38454
2020-08-02,10.86768
2020-08-03,16.20063
2020-08-04,20.81291
2020-08-05,16.80599
2020-08-06,16.69068
2020-08-07,18.62208
2020-08-08,11.30008
2020-08-09,12.28019
2020-08-10,15.45113
2020-08-11,15.47996
2020-08-12,14.21158
2020-08-13,13.31795
2020-08-14,12.22254
2020-08-15,9.02277
2020-08-16,7.26434
2020-08-17,9.02277
2020-08-18,12.0784
2020-08-19,11.38656
2020-08-20,11.30008
2020-08-21,12.74142
2020-08-22,8.56154
2020-08-23,8.7345
2020-08-24,11.55952
2020-08-25,11.61718
2020-08-26,12.45315
2020-08-27,10.7812
2020-08-28,9.97405
2020-08-29,8.96511
2020-08-30,8.10031
2020-08-31,11.93427
2020-09-01,10.81003
2020-09-02,10.08936
2020-09-03,9.74344
2020-09-04,9.1669
2020-09-05,7.52378
2020-09-06,8.56154
2020-09-07,10.98299
2020-09-08,11.09829
2020-09-09,10.31997
2020-09-10,10.92533
2020-09-11,11.47304
2020-09-12,8.10031
2020-09-13,7.58143
2020-09-14,10.11818
2020-09-15,9.65696
2020-09-16,11.50187
2020-09-17,12.28019
2020-09-18,13.2603
2020-09-19,10.57941
2020-09-20,7.69674
2020-09-21,10.63707
2020-09-22,10.29115
2020-09-23,8.56154
2020-09-24,9.25338
2020-09-25,7.37964
2020-09-26,7.17786
2020-09-27,5.24646
2020-09-28,8.76333
2020-09-29,7.75439
2020-09-30,4.06457
2020-10-01,4.6411
2020-10-02,5.18881
2020-10-03,6.51484
2020-10-04,5.85183
2020-10-05,10.55059
2020-10-06,10.43528
2020-10-07,11.15595
2020-10-08,10.20466
2020-10-09,7.98501
2020-10-10,6.80311
2020-10-11,7.0049
2020-10-12,10.52176
2020-10-13,9.80109
2020-10-14,11.70366
2020-10-15,10.72355
2020-10-16,8.84981
2020-10-17,7.81204
2020-10-18,6.42836
2020-10-19,11.18477
2020-10-20,11.06947
2020-10-21,11.9631
2020-10-22,12.48198
2020-10-23,12.91438
2020-10-24,10.08936
2020-10-25,9.10925
2020-10-26,14.67281
2020-10-27,15.07639
2020-10-28,13.17382
2020-10-29,12.91438
2020-10-30,13.54857
2020-10-31,10.40645
2020-11-01,7.72556
2020-11-02,11.646
2020-11-03,12.77025
2020-11-04,11.50187
2020-11-05,14.09628
2020-11-06,10.95416
2020-11-07,9.82992
2020-11-08,7.84087
2020-11-09,13.05851
2020-11-10,13.2603
2020-11-11,12.88555
2020-11-12,12.30902
2020-11-13,11.73248
2020-11-14,9.80109
2020-11-15,7.92735
2020-11-16,13.49091
2020-11-17,13.43326
2020-11-18,13.72153
2020-11-19,15.65292
2020-11-20,14.41337
2020-11-21,12.33784
2020-11-22,10.66589
2020-11-23,14.18276
2020-11-24,15.33583
2020-11-25,15.42231
2020-11-26,14.24041
2020-11-27,12.45315
2020-11-28,12.3955
2020-11-29,10.3488
2020-11-30,14.61516
2020-12-01,13.80801
2020-12-02,13.86566
2020-12-03,13.54857
2020-12-04,12.0784
2020-12-05,11.01181
2020-12-06,9.57048
2020-12-07,12.10723
2020-12-08,12.74142
2020-12-09,13.80801
2020-12-10,13.05851
2020-12-11,13.00086
2020-12-12,10.72355
2020-12-13,8.15797
2020-12-14,12.91438
2020-12-15,13.60622
2020-12-16,13.77918
2020-12-17,16.71951
2020-12-18,14.52868
2020-12-19,13.57739
2020-12-20,11.76131
2020-12-21,15.22052
2020-12-22,14.98991
2020-12-23,13.63505
2020-12-24,11.30008
2020-12-25,9.97405
2020-12-26,11.50187
2020-12-27,8.82098
2020-12-28,16.6042
2020-12-29,16.77716
2020-12-30,11.79014
2020-12-31,10.3488
2021-01-01,9.71461
2021-01-02,10.14701
2021-01-03,8.50389
2021-01-04,13.11617
2021-01-05,13.6927
2021-01-06,12.62611
2021-01-07,11.35773
2021-01-08,9.80109
2021-01-09,9.42634
2021-01-10,11.12712
2021-01-11,15.36465
2021-01-12,12.42432
2021-01-13,12.04958
2021-01-14,11.24243
2021-01-15,10.81003
2021-01-16,10.55059
2021-01-17,8.61919
2021-01-18,12.30902
2021-01-19,12.56846
2021-01-20,12.0784
2021-01-21,12.3955
2021-01-22,12.25136
2021-01-23,10.14701
2021-01-24,8.84981
2021-01-25,9.80109
2021-01-26,12.74142
2021-01-27,12.02075
2021-01-28,11.79014
2021-01-29,9.5993
2021-01-30,9.08042
2021-01-31,10.0317
2021-02-01,11.30008
2021-02-02,12.22254
2021-02-03,11.70366
2021-02-04,12.02075
2021-02-05,9.13808
2021-02-06,7.84087
2021-02-07,7.84087
2021-02-08,10.60824
2021-02-09,10.11818
2021-02-10,8.01383
2021-02-11,5.15998
2021-02-12,6.05361
2021-02-13,5.96713
2021-02-14,7.66791
2021-02-15,10.49293
2021-02-16,10.49293
2021-02-17,9.484
2021-02-18,11.04064
2021-02-19,9.1669
2021-02-20,8.53271
2021-02-21,6.42836
2021-02-22,10.37763
