date,에쿼티
2020-03-20,36.95652
2020-03-21,14.28571
2020-03-22,11.18012
2020-03-23,40.99378
2020-03-24,54.65838
2020-03-25,51.24223
2020-03-26,50.62111
2020-03-27,31.36645
2020-03-28,13.04347
2020-03-29,18.94409
2020-03-30,37.26708
2020-03-31,43.78881
2020-04-01,41.92546
2020-04-02,39.13043
2020-04-03,39.75155
2020-04-04,18.94409
2020-04-05,12.73291
2020-04-06,35.71428
2020-04-07,40.37267
2020-04-08,46.27329
2020-04-09,35.71428
2020-04-10,31.98757
2020-04-11,15.52795
2020-04-12,17.08074
2020-04-13,39.13043
2020-04-14,45.03105
2020-04-15,15.21739
2020-04-16,33.85093
2020-04-17,45.34161
2020-04-18,22.6708
2020-04-19,14.59627
2020-04-20,36.3354
2020-04-21,32.29813
2020-04-22,41.92546
2020-04-23,40.06211
2020-04-24,40.68322
2020-04-25,9.31677
2020-04-26,19.56521
2020-04-27,51.86335
2020-04-28,56.21118
2020-04-29,35.40372
2020-04-30,20.18633
2020-05-01,13.04347
2020-05-02,10.24844
2020-05-03,9.62732
2020-05-04,25.77639
2020-05-05,12.73291
2020-05-06,34.16149
2020-05-07,30.74534
2020-05-08,36.02484
2020-05-09,21.42857
2020-05-10,13.04347
2020-05-11,36.64596
2020-05-12,38.50931
2020-05-13,42.54658
2020-05-14,40.06211
2020-05-15,35.40372
2020-05-16,14.90683
2020-05-17,27.32919
2020-05-18,43.1677
2020-05-19,51.86335
2020-05-20,43.1677
2020-05-21,49.68944
2020-05-22,40.06211
2020-05-23,10.24844
2020-05-24,16.45962
2020-05-25,42.85714
2020-05-26,41.6149
2020-05-27,46.27329
2020-05-28,39.13043
2020-05-29,43.1677
2020-05-30,13.97515
2020-05-31,13.35403
2020-06-01,31.0559
2020-06-02,39.44099
2020-06-03,41.6149
2020-06-04,29.81366
2020-06-05,31.36645
2020-06-06,14.28571
2020-06-07,36.64596
2020-06-08,48.13664
2020-06-09,39.13043
2020-06-10,43.1677
2020-06-11,47.82608
2020-06-12,38.19875
2020-06-13,13.35403
2020-06-14,18.32298
2020-06-15,44.40993
2020-06-16,43.1677
2020-06-17,44.09937
2020-06-18,40.99378
2020-06-19,37.26708
2020-06-20,11.49068
2020-06-21,15.52795
2020-06-22,39.75155
2020-06-23,38.50931
2020-06-24,45.03105
2020-06-25,42.54658
2020-06-26,38.81987
2020-06-27,13.04347
2020-06-28,16.45962
2020-06-29,36.64596
2020-06-30,36.95652
2020-07-01,41.92546
2020-07-02,35.09316
2020-07-03,33.22981
2020-07-04,13.04347
2020-07-05,12.42236
2020-07-06,45.03105
2020-07-07,48.13664
2020-07-08,42.54658
2020-07-09,74.84472
2020-07-10,49.68944
2020-07-11,16.45962
2020-07-12,18.01242
2020-07-13,46.58385
2020-07-14,48.75776
2020-07-15,40.37267
2020-07-16,39.13043
2020-07-17,31.36645
2020-07-18,23.60248
2020-07-19,23.91304
2020-07-20,39.75155
2020-07-21,41.30434
2020-07-22,48.75776
2020-07-23,38.81987
2020-07-24,34.7826
2020-07-25,13.35403
2020-07-26,12.42236
2020-07-27,30.74534
2020-07-28,49.68944
2020-07-29,45.34161
2020-07-30,39.44099
2020-07-31,34.16149
2020-08-01,15.8385
2020-08-02,14.59627
2020-08-03,39.44099
2020-08-04,30.74534
2020-08-05,33.54037
2020-08-06,37.57763
2020-08-07,40.37267
2020-08-08,17.3913
2020-08-09,18.63354
2020-08-10,46.27329
2020-08-11,49.06832
2020-08-12,39.13043
2020-08-13,35.71428
2020-08-14,49.06832
2020-08-15,18.63354
2020-08-16,15.8385
2020-08-17,19.56521
2020-08-18,34.16149
2020-08-19,56.52173
2020-08-20,40.06211
2020-08-21,60.24844
2020-08-22,24.84472
2020-08-23,25.15527
2020-08-24,43.78881
2020-08-25,40.68322
2020-08-26,48.4472
2020-08-27,60.86956
2020-08-28,47.20496
2020-08-29,19.56521
2020-08-30,22.04968
2020-08-31,36.64596
2020-09-01,41.30434
2020-09-02,45.65217
