date,엑시인피니티
2020-11-11,0.69262
2020-11-12,0.05771
2020-11-13,0.05387
2020-11-14,0.05387
2020-11-15,0.07311
2020-11-16,0.05771
2020-11-17,0.12313
2020-11-18,0.07695
2020-11-19,0.02693
2020-11-20,0.03078
2020-11-21,0.01923
2020-11-22,0.04232
2020-11-23,0.08465
2020-11-24,0.32322
2020-11-25,0.12313
2020-11-26,0.09619
2020-11-27,0.02308
2020-11-29,0.03078
2020-11-30,0.03078
2020-12-01,0.04232
2020-12-02,0.04617
2020-12-09,0.04617
2020-12-16,0.01923
2020-12-21,0.02308
2021-01-26,0.04617
2021-01-27,0.06156
2021-01-28,0.03078
2021-01-29,0.03078
2021-01-31,0.02693
2021-02-02,0.02308
2021-02-03,0.01923
2021-02-06,0.01923
2021-02-07,0.02693
2021-02-09,0.03078
2021-02-10,0.13852
2021-02-11,0.14622
2021-02-12,0.14237
2021-02-13,0.0808
2021-02-14,0.19239
2021-02-15,0.11543
2021-02-16,0.20394
2021-02-17,0.09619
2021-02-18,0.12698
2021-02-19,0.10389
2021-02-20,0.07311
2021-02-21,0.05771
2021-02-22,0.0885
2021-02-23,0.03078
2021-02-25,0.02308
2021-02-27,0.03847
2021-02-28,0.01923
2021-03-01,0.03078
2021-03-02,0.03463
2021-03-03,0.07695
2021-03-04,0.16546
2021-03-05,0.17315
2021-03-07,0.09235
2021-03-08,0.24241
2021-03-09,0.09619
2021-03-10,0.29629
2021-03-11,0.11543
2021-03-12,0.15776
2021-03-13,0.11928
2021-03-14,0.14237
2021-03-15,0.19624
2021-03-16,0.24626
2021-03-17,0.16546
2021-03-18,0.11543
2021-03-19,0.11158
2021-03-20,0.09619
2021-03-21,0.04232
2021-03-22,0.04617
2021-03-23,0.03847
2021-03-24,0.11543
2021-03-25,0.07695
2021-03-26,0.08465
2021-03-27,0.07695
2021-03-28,0.08465
2021-03-29,0.11928
2021-03-30,0.43096
2021-03-31,0.39248
2021-04-01,0.28474
2021-04-02,0.1847
2021-04-03,0.21163
2021-04-04,0.23857
2021-04-05,100.0
2021-04-06,37.69816
2021-04-07,10.12775
2021-04-08,4.19809
2021-04-09,5.21779
2021-04-10,4.52516
2021-04-11,4.52901
2021-04-12,9.66599
2021-04-13,5.04848
2021-04-14,3.85947
2021-04-15,3.06295
2021-04-16,4.37894
2021-04-17,4.04417
2021-04-18,2.73587
2021-04-19,9.73526
2021-04-20,30.48714
2021-04-21,11.30906
2021-04-22,6.88394
2021-04-23,3.66707
2021-04-24,2.25873
2021-04-25,2.44343
2021-04-26,2.4088
2021-04-27,3.57857
2021-04-28,4.66369
2021-04-29,9.92765
2021-04-30,4.11728
2021-05-01,2.53578
2021-05-02,2.40495
2021-05-03,2.47806
2021-05-04,3.13991
2021-05-05,2.87055
2021-05-06,3.22071
2021-05-07,3.48622
2021-05-08,1.92781
2021-05-09,1.43527
2021-05-10,1.65845
2021-05-11,2.19716
2021-05-12,2.76281
2021-05-13,2.00092
2021-05-14,1.4853
2021-05-15,1.28905
2021-05-16,1.1967
2021-05-17,1.58534
2021-05-18,1.18516
2021-05-19,1.62767
2021-05-20,1.64691
2021-05-21,1.26596
2021-05-22,1.76235
2021-05-23,1.73156
2021-05-24,1.55071
2021-05-25,1.18516
2021-05-26,0.88502
2021-05-27,0.835
2021-05-28,0.5464
2021-05-29,9.95459
2021-05-30,4.67138
2021-05-31,2.97829
2021-06-01,1.50454
2021-06-02,0.84269
2021-06-03,0.8196
2021-06-04,0.5464
2021-06-05,0.42327
2021-06-06,0.59258
2021-06-07,0.64645
2021-06-08,0.53871
2021-06-09,0.43481
2021-06-10,0.46175
2021-06-11,1.50838
2021-06-12,1.13129
2021-06-13,0.68493
2021-06-14,0.60412
2021-06-15,0.35785
2021-06-16,0.57718
2021-06-17,0.67338
2021-06-18,0.68877
2021-06-19,0.46175
2021-06-20,0.37324
2021-06-21,0.4502
2021-06-22,0.60797
2021-06-23,0.48099
2021-06-24,0.30398
2021-06-25,0.37324
2021-06-26,0.20778
2021-06-27,0.28474
2021-06-28,0.30783
2021-06-29,0.40403
2021-06-30,0.96198
2021-07-01,1.06972
2021-07-02,1.24288
2021-07-03,2.17408
2021-07-04,11.50531
2021-07-05,3.07064
2021-07-06,16.87317
2021-07-07,38.14837
2021-07-08,17.7351
2021-07-09,5.01
2021-07-10,28.87486
2021-07-11,8.31537
2021-07-12,5.36401
2021-07-13,16.20748
2021-07-14,23.37617
2021-07-15,50.75419
2021-07-16,17.6543
2021-07-17,10.03924
2021-07-18,6.62613
2021-07-19,8.75019
2021-07-20,5.6603
2021-07-21,6.96475
2021-07-22,15.18777
2021-07-23,48.01831
2021-07-24,90.71109
2021-07-25,29.37124
2021-07-26,18.65476
2021-07-27,33.47698
2021-07-28,26.04278
2021-07-29,13.44081
2021-07-30,10.69339
2021-07-31,6.55687
2021-08-01,7.89979
2021-08-02,7.67661
2021-08-03,6.46452
2021-08-04,9.40049
2021-08-05,8.8156
2021-08-06,5.54101
2021-08-07,4.44051
2021-08-08,8.75404
2021-08-09,5.87194
2021-08-10,38.14452
2021-08-11,95.55564
2021-08-12,45.88271
2021-08-13,30.45636
2021-08-14,15.9766
2021-08-15,10.65876
2021-08-16,11.46298
2021-08-17,33.06526
2021-08-18,19.686
2021-08-19,9.02724
2021-08-20,8.24226
2021-08-21,16.67307
2021-08-22,10.07003
2021-08-23,9.03878
2021-08-24,8.00754
2021-08-25,7.03401
2021-08-26,5.71032
2021-08-27,4.50207
2021-08-28,5.29859
2021-08-29,5.69878
2021-08-30,6.76081
2021-08-31,6.40295
2021-09-01,6.61843
2021-09-02,6.3991
2021-09-03,6.18747
2021-09-04,14.41049
2021-09-05,10.90503
2021-09-06,6.26058
2021-09-07,5.48329
2021-09-08,5.72187
2021-09-09,3.9826
2021-09-10,3.34769
2021-09-11,3.20917
2021-09-12,2.75511
2021-09-13,3.50546
2021-09-14,3.22841
2021-09-15,2.81668
2021-09-16,2.81668
2021-09-17,2.48191
2021-09-18,2.26258
2021-09-19,2.73203
2021-09-20,2.70509
2021-09-21,2.35878
2021-09-22,4.96382
2021-09-23,5.94505
2021-09-24,4.64829
2021-09-25,2.39726
2021-09-26,2.42034
2021-09-27,2.72048
2021-09-28,3.52085
2021-09-29,5.08696
2021-09-30,5.187
2021-10-01,7.47652
2021-10-02,41.95397
2021-10-03,11.17438
2021-10-04,84.49284
2021-10-05,29.96767
2021-10-06,26.40064
2021-10-07,13.4716
2021-10-08,8.49238
2021-10-09,8.33846
2021-10-10,7.06095
2021-10-11,8.77712
2021-10-12,10.30475
2021-10-13,7.31876
2021-10-14,9.69293
2021-10-15,16.7231
2021-10-16,6.14514
2021-10-17,5.67184
2021-10-18,5.42558
2021-10-19,5.668
2021-10-20,4.89071
2021-10-21,5.04848
2021-10-22,4.51746
2021-10-23,3.55548
2021-10-24,3.18993
2021-10-25,7.91519
2021-10-26,7.54194
2021-10-27,5.36401
2021-10-28,4.8253
2021-10-29,9.94305
2021-10-30,11.45528
2021-10-31,7.37263
2021-11-01,6.54917
2021-11-02,5.44097
2021-11-03,5.14468
2021-11-04,12.0748
2021-11-05,6.75696
2021-11-06,5.72956
2021-11-07,6.19516
2021-11-08,6.12205
2021-11-09,5.11005
2021-11-10,5.11774
2021-11-11,7.11867
2021-11-12,6.07203
2021-11-13,6.85701
2021-11-14,6.87625
2021-11-15,9.97383
2021-11-16,10.41249
2021-11-17,7.56887
2021-11-18,7.27643
2021-11-19,6.06433
2021-11-20,4.95613
2021-11-21,5.60258
2021-11-22,6.1336
2021-11-23,8.05756
2021-11-24,6.74157
2021-11-25,7.54963
2021-11-26,9.86224
2021-11-27,7.46883
2021-11-28,5.28705
2021-11-29,6.99938
2021-11-30,5.12544
2021-12-01,5.16392
2021-12-02,5.4756
2021-12-03,5.4756
2021-12-04,5.09465
2021-12-05,6.69154
2021-12-06,7.06479
2021-12-07,6.53763
2021-12-08,13.24072
2021-12-09,7.01862
2021-12-10,3.94028
2021-12-11,3.32845
2021-12-12,2.93981
2021-12-13,3.20147
2021-12-14,3.44389
2021-12-15,3.64014
2021-12-16,3.92488
2021-12-17,2.85131
2021-12-18,2.02401
2021-12-19,2.10866
2021-12-20,2.50885
2021-12-21,2.34723
2021-12-22,2.1356
2021-12-23,2.08942
2021-12-24,1.97783
2021-12-25,1.45451
2021-12-26,1.71617
2021-12-27,2.28182
2021-12-28,1.89702
2021-12-29,2.06249
2021-12-30,2.11636
2021-12-31,1.65845
2022-01-01,2.04325
2022-01-02,2.38571
2022-01-03,2.28567
2022-01-04,2.39341
2022-01-05,2.1202
2022-01-06,4.73295
2022-01-07,3.40156
2022-01-08,1.93166
2022-01-09,2.85516
2022-01-10,3.02832
2022-01-11,2.73587
2022-01-12,2.15099
2022-01-13,1.82007
2022-01-14,1.63152
2022-01-15,1.33523
2022-01-16,4.42511
2022-01-17,4.70217
2022-01-18,2.09327
2022-01-19,1.92781
2022-01-20,1.60073
2022-01-21,1.46606
2022-01-22,1.72002
2022-01-23,1.7508
2022-01-24,1.94705
2022-01-25,1.52762
2022-01-26,1.5661
2022-01-27,1.90087
2022-01-28,3.2438
2022-01-29,4.67908
2022-01-30,5.39479
2022-01-31,3.25534
2022-02-01,2.52039
2022-02-02,2.23949
2022-02-03,3.54009
2022-02-04,2.99368
2022-02-05,4.91765
2022-02-06,10.15083
2022-02-07,10.44328
2022-02-08,4.59058
2022-02-09,2.99753
2022-02-10,2.7705
2022-02-11,2.08173
2022-02-12,1.8547
2022-02-13,1.62767
2022-02-14,1.89702
2022-02-15,1.67
2022-02-16,2.98599
2022-02-17,2.00477
2022-02-18,2.60889
2022-02-19,1.33907
2022-02-20,1.93166
2022-02-21,1.51608
2022-02-22,2.72818
2022-02-23,1.55071
2022-02-24,2.20101
2022-02-25,1.54686
2022-02-26,1.48145
2022-02-27,1.33138
2022-02-28,1.23518
2022-03-01,2.41265
2022-03-02,2.00477
2022-03-03,1.4776
2022-03-04,1.42758
2022-03-05,1.22364
2022-03-06,1.38525
2022-03-07,1.60843
2022-03-08,2.19716
2022-03-09,1.4853
2022-03-10,2.13944
2022-03-11,1.68924
2022-03-12,2.08173
2022-03-13,1.82007
2022-03-14,1.61228
2022-03-15,1.51223
2022-03-16,1.4853
2022-03-17,1.39679
2022-03-18,1.28905
2022-03-19,1.24672
2022-03-20,1.25057
2022-03-21,1.31983
2022-03-22,1.60843
2022-03-23,1.55456
2022-03-24,7.9806
2022-03-25,12.7174
2022-03-26,7.4342
2022-03-27,4.1673
2022-03-28,2.80129
2022-03-29,2.73203
2022-03-30,13.4716
2022-03-31,9.5698
2022-04-01,3.35154
2022-04-02,6.85316
2022-04-03,3.26304
2022-04-04,2.84746
2022-04-05,2.52424
2022-04-06,3.47468
2022-04-07,3.35154
2022-04-08,2.52424
2022-04-09,2.06633
2022-04-10,1.95859
2022-04-11,4.24811
2022-04-12,2.46267
2022-04-13,2.2241
2022-04-14,2.24334
2022-04-15,2.5935
2022-04-16,1.73156
2022-04-17,1.30829
2022-04-18,2.34723
2022-04-19,2.10096
2022-04-20,1.7585
2022-04-21,1.95859
2022-04-22,1.72387
2022-04-23,1.25057
2022-04-24,1.42758
2022-04-25,2.54348
2022-04-26,2.3049
2022-04-27,2.72818
2022-04-28,5.26396
2022-04-29,5.78728
2022-04-30,5.9335
2022-05-01,6.97244
2022-05-02,3.12451
2022-05-03,2.84746
2022-05-04,3.4362
2022-05-05,1.97398
2022-05-06,1.65076
2022-05-07,1.1082
2022-05-08,2.82822
2022-05-09,2.75896
2022-05-10,1.77389
2022-05-11,5.5718
2022-05-12,11.00507
2022-05-13,3.32076
2022-05-14,2.13175
2022-05-15,1.43912
2022-05-16,1.88163
2022-05-17,1.98168
2022-05-18,1.60073
2022-05-19,2.53193
2022-05-20,2.02016
2022-05-21,1.5661
2022-05-22,1.41219
2022-05-23,2.00477
2022-05-24,1.54686
2022-05-25,1.61997
2022-05-26,1.79698
2022-05-27,2.07403
2022-05-28,1.35831
2022-05-29,1.82007
2022-05-30,1.99322
2022-05-31,6.64537
2022-06-01,2.76666
2022-06-02,2.08942
2022-06-03,1.53532
2022-06-04,1.39679
2022-06-05,1.33523
2022-06-06,1.31214
2022-06-07,1.31214
2022-06-08,1.63537
2022-06-09,1.40449
2022-06-10,1.26596
2022-06-11,1.15053
2022-06-12,2.36262
2022-06-13,2.70509
2022-06-14,2.00092
2022-06-15,1.2929
2022-06-16,1.03894
2022-06-17,1.21209
2022-06-18,0.94659
2022-06-19,0.92735
2022-06-20,1.24672
2022-06-21,1.15822
2022-06-22,1.20055
2022-06-23,1.02354
2022-06-24,2.83207
2022-06-25,4.01339
2022-06-26,1.5661
2022-06-27,1.69308
2022-06-28,1.61228
2022-06-29,1.40834
2022-06-30,1.58919
2022-07-01,1.1005
2022-07-02,0.89656
2022-07-03,0.67338
2022-07-04,0.835
2022-07-05,1.07357
2022-07-06,0.85424
2022-07-07,0.80421
2022-07-08,0.81576
2022-07-09,0.73495
2022-07-10,0.75419
2022-07-11,0.86193
2022-07-12,0.91965
2022-07-13,0.93889
2022-07-14,0.94274
2022-07-15,0.94274
2022-07-16,0.66184
2022-07-17,0.76958
2022-07-18,1.41603
2022-07-19,1.21979
2022-07-20,1.2929
2022-07-21,0.99276
2022-07-22,0.96967
2022-07-23,2.69355
2022-07-24,3.59396
2022-07-25,1.847
2022-07-26,1.52378
2022-07-27,0.87348
2022-07-28,1.36601
2022-07-29,4.04802
2022-07-30,3.92104
2022-07-31,2.14714
2022-08-01,2.09712
2022-08-02,1.40064
2022-08-03,1.05433
2022-08-04,1.13898
2022-08-05,1.21594
2022-08-06,0.96583
2022-08-07,1.22748
2022-08-08,1.61997
2022-08-09,1.25057
2022-08-10,1.11205
2022-08-11,1.2852
2022-08-12,1.37371
2022-08-13,1.72772
2022-08-14,1.45066
2022-08-15,1.09665
2022-08-16,1.17361
2022-08-17,1.09281
2022-08-18,1.19285
2022-08-19,1.67769
2022-08-20,0.72341
2022-08-21,0.98122
2022-08-22,0.98891
2022-08-23,0.85039
2022-08-24,0.835
2022-08-25,0.68493
2022-08-26,0.94274
2022-08-27,0.66953
2022-08-28,0.62336
2022-08-29,0.8273
2022-08-30,0.71186
2022-08-31,0.86193
2022-09-01,0.7311
2022-09-02,0.57718
2022-09-03,2.1279
2022-09-04,1.66615
2022-09-05,0.87348
2022-09-06,0.83884
2022-09-07,0.73495
2022-09-08,0.66569
2022-09-09,0.90811
2022-09-10,0.66184
2022-09-11,0.68108
2022-09-12,0.69647
2022-09-13,1.1005
2022-09-14,0.91195
2022-09-15,0.80806
2022-09-16,0.81191
2022-09-17,0.85808
2022-09-18,0.78497
2022-09-19,1.0043
2022-09-20,1.29675
2022-09-21,0.85808
2022-09-22,0.93119
2022-09-23,1.32753
2022-09-24,1.26981
2022-09-25,0.66953
2022-09-26,0.78497
2022-09-27,0.73495
2022-09-28,0.80036
2022-09-29,0.68108
2022-09-30,0.55025
2022-10-01,0.48868
2022-10-02,0.42712
2022-10-03,0.47714
2022-10-04,0.64645
2022-10-05,0.65414
2022-10-06,0.58488
2022-10-07,0.53871
2022-10-08,0.58103
2022-10-09,0.54255
2022-10-10,0.58103
2022-10-11,0.92735
2022-10-12,0.91965
2022-10-13,1.59689
2022-10-14,0.79652
2022-10-15,1.13129
2022-10-16,0.72341
2022-10-17,0.76573
2022-10-18,0.77343
2022-10-19,1.11589
2022-10-20,2.80514
2022-10-21,15.40711
2022-10-22,5.58719
2022-10-23,5.35247
2022-10-24,6.82622
2022-10-25,11.05895
2022-10-26,2.56656
2022-10-27,2.37417
2022-10-28,1.80852
2022-10-29,1.62382
2022-10-30,2.10866
2022-10-31,1.76235
2022-11-01,1.97398
2022-11-02,1.90087
2022-11-03,1.43142
2022-11-04,1.62767
2022-11-05,8.86178
2022-11-06,2.62813
2022-11-07,1.81237
2022-11-08,1.74311
2022-11-09,2.3049
2022-11-10,2.46652
2022-11-11,1.31599
2022-11-12,1.45066
2022-11-13,10.63567
2022-11-14,9.2812
2022-11-15,1.84315
2022-11-16,1.64306
2022-11-17,4.74064
2022-11-18,2.35108
2022-11-19,2.32414
2022-11-20,1.75465
2022-11-21,1.79313
2022-11-22,1.46606
2022-11-23,1.18516
2022-11-24,1.37371
2022-11-25,1.36601
2022-11-26,1.012
2022-11-27,1.08896
2022-11-28,1.04663
2022-11-29,0.95813
2022-11-30,0.94274
2022-12-01,0.80421
2022-12-02,0.72341
2022-12-03,0.49253
2022-12-04,0.87348
2022-12-05,12.9983
2022-12-06,13.5524
2022-12-07,6.65691
2022-12-08,4.18269
2022-12-09,2.38186
2022-12-10,3.49776
2022-12-11,1.95474
2022-12-12,1.72772
2022-12-13,1.54686
2022-12-14,1.90087
2022-12-15,1.15053
2022-12-16,0.94659
2022-12-17,0.98507
2022-12-18,0.81576
2022-12-19,1.05433
2022-12-20,1.2044
2022-12-21,0.85039
2022-12-22,1.49684
2022-12-23,1.1967
2022-12-24,0.93504
2022-12-25,0.75034
2022-12-26,1.1967
2022-12-27,1.05048
2022-12-28,1.51223
2022-12-29,1.12359
2022-12-30,2.08557
2022-12-31,1.05818
2023-01-01,1.16207
2023-01-02,1.14668
2023-01-03,0.86578
2023-01-04,0.88502
2023-01-05,1.29675
2023-01-06,0.85039
2023-01-07,0.89656
2023-01-08,0.78112
2023-01-09,1.20055
2023-01-10,1.05048
2023-01-11,0.94274
2023-01-12,1.58534
2023-01-13,1.08126
2023-01-14,1.9509
2023-01-15,1.35447
2023-01-16,1.67
2023-01-17,1.34292
2023-01-18,1.24672
2023-01-19,1.09281
2023-01-20,0.8196
2023-01-21,1.37371
2023-01-22,4.18269
2023-01-23,16.19593
2023-01-24,4.16346
2023-01-25,3.4208
2023-01-26,2.96675
2023-01-27,2.29721
2023-01-28,1.70463
2023-01-29,1.70078
2023-01-30,1.67769
2023-01-31,1.7508
2023-02-01,1.44682
2023-02-02,1.58919
2023-02-03,1.43142
2023-02-04,1.21594
2023-02-05,1.14283
2023-02-06,1.04663
2023-02-07,1.10435
2023-02-08,1.73541
2023-02-09,1.44682
2023-02-10,1.43142
2023-02-11,0.83115
2023-02-12,0.79267
2023-02-13,1.31599
2023-02-14,0.93504
2023-02-15,0.77728
2023-02-16,1.4853
2023-02-17,1.09665
2023-02-18,1.2929
2023-02-19,0.96967
2023-02-20,1.30829
2023-02-21,1.55071
2023-02-22,1.17361
2023-02-23,1.05818
2023-02-24,0.88117
2023-02-25,0.65414
2023-02-26,0.6349
2023-02-27,0.81576
2023-02-28,0.70801
2023-03-01,0.7311
2023-03-02,0.78112
2023-03-03,0.76189
2023-03-04,0.55794
2023-03-05,0.80421
2023-03-06,0.77728
2023-03-07,0.70032
2023-03-08,0.99276
2023-03-09,0.97352
2023-03-10,0.90811
2023-03-11,0.63106
2023-03-12,0.54255
2023-03-13,0.70032
2023-03-14,0.97737
2023-03-15,0.97737
2023-03-16,1.05818
2023-03-17,1.07742
2023-03-18,1.16207
2023-03-19,2.52039
2023-03-20,1.36216
2023-03-21,0.99661
2023-03-22,0.93119
2023-03-23,1.06202
2023-03-24,1.00815
2023-03-25,0.88502
2023-03-26,0.79267
2023-03-27,0.85808
2023-03-28,0.88887
2023-03-29,0.96198
2023-03-30,0.95813
2023-03-31,0.93889
2023-04-01,1.16592
2023-04-02,0.76189
2023-04-03,0.91965
2023-04-04,1.09665
2023-04-05,0.97352
2023-04-06,0.97352
2023-04-07,1.39295
2023-04-08,0.98507
2023-04-09,0.80421
2023-04-10,0.87348
2023-04-11,1.26596
2023-04-12,1.2929
2023-04-13,1.15437
2023-04-14,1.69308
2023-04-15,1.23903
2023-04-16,1.28136
2023-04-17,1.29675
2023-04-18,1.26981
2023-04-19,1.04663
2023-04-20,0.97352
2023-04-21,1.04663
2023-04-22,0.76958
2023-04-23,0.65414
2023-04-24,1.49299
2023-04-25,0.85424
2023-04-26,0.87348
2023-04-27,0.76573
2023-04-28,0.76573
2023-04-29,0.5541
2023-04-30,0.40788
2023-05-01,0.59642
2023-05-02,0.62336
2023-05-03,0.71571
2023-05-04,0.62336
2023-05-05,0.48483
2023-05-06,0.97737
2023-05-07,0.85424
2023-05-08,1.22364
2023-05-09,1.1005
2023-05-10,0.7388
2023-05-11,0.81191
2023-05-12,0.78112
2023-05-13,0.88502
2023-05-14,0.87348
2023-05-15,0.97737
2023-05-16,0.80421
2023-05-17,8.50007
2023-05-18,4.91765
2023-05-19,2.18177
2023-05-20,1.20055
2023-05-21,1.0043
2023-05-22,1.2852
2023-05-23,1.08511
2023-05-24,0.96583
2023-05-25,2.59735
2023-05-26,1.60458
2023-05-27,0.80421
2023-05-28,0.91195
2023-05-29,0.9158
2023-05-30,0.93889
2023-05-31,0.71956
2023-06-01,0.73495
2023-06-02,0.63875
2023-06-03,0.46944
2023-06-04,0.63875
2023-06-05,0.95813
2023-06-06,1.17746
2023-06-07,1.21209
2023-06-08,1.30829
2023-06-09,0.86963
2023-06-10,3.30152
2023-06-11,1.98937
2023-06-12,2.22025
2023-06-13,1.65845
2023-06-14,1.35447
2023-06-15,1.22748
2023-06-16,1.04663
2023-06-17,0.83115
2023-06-18,0.73495
2023-06-19,0.8196
2023-06-20,0.87732
2023-06-21,1.58919
2023-06-22,1.21594
2023-06-23,1.40834
2023-06-24,2.47421
2023-06-25,1.36216
2023-06-26,1.08511
2023-06-27,1.18516
2023-06-28,0.71571
2023-06-29,0.80806
2023-06-30,0.91195
2023-07-01,1.25057
2023-07-02,1.16207
2023-07-03,0.91195
2023-07-04,0.73495
2023-07-05,0.6349
2023-07-06,0.76573
2023-07-07,0.58488
2023-07-08,0.47714
2023-07-09,0.50023
2023-07-10,0.73495
2023-07-11,0.66184
2023-07-12,0.91965
2023-07-13,0.58488
2023-07-14,1.88163
2023-07-15,0.85424
2023-07-16,0.6503
2023-07-17,1.08126
2023-07-18,0.95428
2023-07-19,1.04663
2023-07-20,0.86578
2023-07-21,0.73495
2023-07-22,0.63875
2023-07-23,0.70417
2023-07-24,0.78882
2023-07-25,0.85424
2023-07-26,1.02739
2023-07-27,0.70417
2023-07-28,0.71571
2023-07-29,0.6503
2023-07-30,0.80806
2023-07-31,0.96198
2023-08-01,1.25057
2023-08-02,1.012
2023-08-03,0.78112
2023-08-04,0.85039
2023-08-05,0.62336
2023-08-06,0.74649
2023-08-07,0.87348
2023-08-08,0.77343
2023-08-09,1.43912
2023-08-10,0.60412
2023-08-11,0.74649
2023-08-12,0.68877
2023-08-13,0.56564
2023-08-14,0.65799
2023-08-15,0.68493
2023-08-16,0.97352
2023-08-17,0.81576
2023-08-18,1.1005
2023-08-19,0.66569
2023-08-20,0.51177
2023-08-21,0.71571
2023-08-22,0.68493
2023-08-23,0.57334
2023-08-24,0.58873
2023-08-25,0.66953
2023-08-26,0.39633
2023-08-27,0.47329
2023-08-28,0.58103
2023-08-29,0.73495
2023-08-30,0.67723
2023-08-31,0.60412
2023-09-01,0.5464
2023-09-02,0.64645
2023-09-03,0.74265
2023-09-04,0.70801
2023-09-05,0.62336
2023-09-06,0.60797
2023-09-07,0.60412
2023-09-08,0.66953
2023-09-09,0.56564
2023-09-10,0.80421
2023-09-11,1.40449
2023-09-12,1.02739
2023-09-13,0.73495
2023-09-14,1.81237
2023-09-15,1.8547
2023-09-16,0.77728
2023-09-17,0.39248
2023-09-18,0.6503
2023-09-19,0.5464
2023-09-20,0.57718
2023-09-21,0.51177
2023-09-22,0.4579
2023-09-23,0.46559
2023-09-24,0.51562
2023-09-25,0.83115
2023-09-26,0.63106
2023-09-27,0.40403
2023-09-28,0.41172
2023-09-29,0.31553
2023-09-30,0.35785
2023-10-01,0.35016
2023-10-02,0.52716
2023-10-03,0.46175
2023-10-04,0.57334
2023-10-05,0.48868
2023-10-06,0.41557
2023-10-07,0.354
2023-10-08,0.31937
2023-10-09,0.39633
2023-10-10,0.49638
2023-10-11,0.46944
2023-10-12,0.4502
2023-10-13,0.35016
2023-10-14,0.38864
2023-10-15,0.55025
2023-10-16,0.64645
2023-10-17,0.68877
2023-10-18,0.70801
2023-10-19,0.71186
2023-10-20,0.6349
