date,엔젤투자
2020-03-20,5.723
2020-03-21,2.8615
2020-03-22,2.59442
2020-03-23,5.49408
2020-03-24,5.79931
2020-03-25,4.27317
2020-03-26,4.34948
2020-03-27,4.04425
2020-03-28,2.2892
2020-03-29,2.63258
2020-03-30,4.50209
2020-03-31,5.41777
2020-04-01,4.61655
2020-04-02,4.12056
2020-04-03,3.92979
2020-04-04,3.09042
2020-04-05,2.40366
2020-04-06,4.80732
2020-04-07,6.10454
2020-04-08,4.69286
2020-04-09,4.19687
2020-04-10,3.73903
2020-04-11,2.8615
2020-04-12,2.74704
2020-04-13,4.42579
2020-04-14,3.31934
2020-04-15,3.09042
2020-04-16,3.85349
2020-04-17,3.77718
2020-04-18,2.63258
2020-04-19,2.82334
2020-04-20,5.41777
2020-04-21,4.69286
2020-04-22,4.38763
2020-04-23,4.92178
2020-04-24,4.38763
2020-04-25,2.70888
2020-04-26,2.17474
2020-04-27,5.41777
2020-04-28,5.22701
2020-04-29,3.96795
2020-04-30,2.70888
2020-05-01,3.81533
2020-05-02,2.40366
2020-05-03,1.94582
2020-05-04,3.81533
2020-05-05,2.55627
2020-05-06,5.11255
2020-05-07,4.80732
2020-05-08,3.81533
2020-05-09,2.89965
2020-05-10,3.28119
2020-05-11,5.37962
2020-05-12,4.42579
2020-05-13,7.3636
2020-05-14,4.69286
2020-05-15,3.73903
2020-05-16,2.89965
2020-05-17,3.35749
2020-05-18,6.52422
2020-05-19,7.78328
2020-05-20,5.91377
2020-05-21,6.56238
2020-05-22,8.43189
2020-05-23,5.30331
2020-05-24,5.723
2020-05-25,6.52422
2020-05-26,5.49408
2020-05-27,5.26516
2020-05-28,4.92178
2020-05-29,3.81533
2020-05-30,2.74704
2020-05-31,3.12857
2020-06-01,4.42579
2020-06-02,5.64669
2020-06-03,6.02823
2020-06-04,5.18885
2020-06-05,5.30331
2020-06-06,3.73903
2020-06-07,3.54826
2020-06-08,6.18084
2020-06-09,6.98206
2020-06-10,6.67684
2020-06-11,6.40976
2020-06-12,8.43189
2020-06-13,4.42579
2020-06-14,3.81533
2020-06-15,6.75314
2020-06-16,6.25715
2020-06-17,5.79931
2020-06-18,6.75314
2020-06-19,5.11255
2020-06-20,3.35749
2020-06-21,2.9378
2020-06-22,4.99809
2020-06-23,5.60854
2020-06-24,6.60053
2020-06-25,5.91377
2020-06-26,4.08241
2020-06-27,3.35749
2020-06-28,3.20488
2020-06-29,4.76917
2020-06-30,5.37962
2020-07-01,4.5784
2020-07-02,5.11255
2020-07-03,4.19687
2020-07-04,3.24303
2020-07-05,1.7932
2020-07-06,4.50209
2020-07-07,4.04425
2020-07-08,4.95993
2020-07-09,4.38763
2020-07-10,3.92979
2020-07-11,1.98397
2020-07-12,2.47996
2020-07-13,3.73903
2020-07-14,3.85349
2020-07-15,4.5784
2020-07-16,4.61655
2020-07-17,5.64669
2020-07-18,2.82334
2020-07-19,3.77718
2020-07-20,5.99008
2020-07-21,5.07439
2020-07-22,6.02823
2020-07-23,5.49408
2020-07-24,3.73903
2020-07-25,2.8615
2020-07-26,3.47195
2020-07-27,5.53223
2020-07-28,5.18885
2020-07-29,6.02823
2020-07-30,5.60854
2020-07-31,3.96795
2020-08-01,3.24303
2020-08-02,2.70888
2020-08-03,4.99809
2020-08-04,5.30331
2020-08-05,13.50629
2020-08-06,9.00419
2020-08-07,6.219
2020-08-08,3.54826
2020-08-09,2.51812
2020-08-10,5.99008
2020-08-11,5.26516
2020-08-12,5.45593
2020-08-13,7.89774
2020-08-14,5.83746
2020-08-15,2.47996
2020-08-16,2.8615
2020-08-17,3.20488
2020-08-18,4.73101
2020-08-19,4.61655
2020-08-20,4.80732
2020-08-21,5.53223
2020-08-22,2.59442
2020-08-23,2.55627
2020-08-24,6.67684
2020-08-25,4.92178
2020-08-26,5.87561
2020-08-27,5.22701
2020-08-28,4.69286
2020-08-29,2.67073
2020-08-30,2.40366
2020-08-31,4.38763
2020-09-01,5.22701
2020-09-02,7.17283
2020-09-03,6.67684
2020-09-04,4.99809
2020-09-05,2.67073
2020-09-06,4.54025
2020-09-07,8.27928
2020-09-08,6.18084
2020-09-09,5.34147
2020-09-10,4.73101
2020-09-11,4.42579
2020-09-12,3.05227
2020-09-13,2.82334
2020-09-14,4.80732
2020-09-15,4.54025
2020-09-16,5.64669
2020-09-17,6.52422
2020-09-18,4.61655
2020-09-19,5.68485
2020-09-20,2.89965
2020-09-21,5.1507
2020-09-22,3.89164
2020-09-23,4.50209
2020-09-24,4.31133
2020-09-25,4.04425
2020-09-26,2.25104
2020-09-27,3.16673
2020-09-28,3.70087
2020-09-29,3.47195
2020-09-30,1.90766
2020-10-01,1.29721
2020-10-02,1.94582
2020-10-03,1.56428
2020-10-04,2.63258
2020-10-05,3.96795
2020-10-06,5.30331
2020-10-07,5.49408
2020-10-08,4.15871
2020-10-09,2.63258
2020-10-10,2.74704
2020-10-11,3.01411
2020-10-12,5.03624
2020-10-13,5.11255
2020-10-14,5.53223
2020-10-15,6.02823
2020-10-16,4.46394
2020-10-17,2.89965
2020-10-18,4.69286
2020-10-19,7.4399
2020-10-20,6.14269
2020-10-21,6.44792
2020-10-22,5.68485
2020-10-23,4.76917
2020-10-24,2.8615
2020-10-25,4.31133
2020-10-26,5.68485
2020-10-27,5.79931
2020-10-28,5.34147
2020-10-29,5.53223
2020-10-30,5.53223
2020-10-31,2.59442
2020-11-01,3.66272
2020-11-02,5.723
2020-11-03,5.26516
2020-11-04,4.54025
2020-11-05,4.95993
2020-11-06,4.99809
2020-11-07,2.8615
2020-11-08,3.20488
2020-11-09,6.02823
2020-11-10,11.56047
2020-11-11,6.25715
2020-11-12,5.68485
2020-11-13,6.52422
2020-11-14,3.35749
2020-11-15,3.77718
2020-11-16,8.39374
2020-11-17,9.19496
2020-11-18,7.55436
2020-11-19,6.2953
2020-11-20,5.30331
2020-11-21,3.73903
2020-11-22,3.73903
2020-11-23,6.14269
2020-11-24,4.99809
2020-11-25,6.48607
2020-11-26,6.06638
2020-11-27,5.79931
2020-11-28,3.73903
2020-11-29,2.74704
2020-11-30,6.48607
2020-12-01,5.22701
2020-12-02,5.83746
2020-12-03,5.64669
2020-12-04,5.03624
2020-12-05,4.50209
2020-12-06,4.27317
2020-12-07,5.83746
2020-12-08,6.75314
2020-12-09,8.43189
2020-12-10,6.219
2020-12-11,6.02823
2020-12-12,3.28119
2020-12-13,4.80732
2020-12-14,7.17283
2020-12-15,5.95192
2020-12-16,6.40976
2020-12-17,6.56238
2020-12-18,4.99809
2020-12-19,3.20488
2020-12-20,4.31133
2020-12-21,6.06638
2020-12-22,11.25524
2020-12-23,5.87561
2020-12-24,3.96795
2020-12-25,2.44181
2020-12-26,2.25104
2020-12-27,2.9378
2020-12-28,3.81533
2020-12-29,4.80732
2020-12-30,5.1507
2020-12-31,3.09042
2021-01-01,4.04425
2021-01-02,4.08241
2021-01-03,3.28119
2021-01-04,5.30331
2021-01-05,5.18885
2021-01-06,5.49408
2021-01-07,4.65471
2021-01-08,5.41777
2021-01-09,3.28119
2021-01-10,3.16673
2021-01-11,4.88363
2021-01-12,5.03624
2021-01-13,5.57039
2021-01-14,5.83746
2021-01-15,6.10454
2021-01-16,3.54826
2021-01-17,3.01411
2021-01-18,6.75314
2021-01-19,5.68485
2021-01-20,4.73101
2021-01-21,5.83746
2021-01-22,6.2953
2021-01-23,3.58641
2021-01-24,4.34948
2021-01-25,6.18084
2021-01-26,7.21098
2021-01-27,6.02823
2021-01-28,5.45593
2021-01-29,4.80732
2021-01-30,4.19687
2021-01-31,3.62457
2021-02-01,3.96795
2021-02-02,5.49408
2021-02-03,4.92178
2021-02-04,4.88363
2021-02-05,4.23502
2021-02-06,2.40366
2021-02-07,3.09042
2021-02-08,6.02823
2021-02-09,5.68485
2021-02-10,4.50209
2021-02-11,2.67073
2021-02-12,4.04425
2021-02-13,2.63258
2021-02-14,3.28119
2021-02-15,6.33346
2021-02-16,7.09652
2021-02-17,6.06638
2021-02-18,4.88363
2021-02-19,4.76917
2021-02-20,4.08241
2021-02-21,3.39565
2021-02-22,5.41777
2021-02-23,5.60854
2021-02-24,4.88363
2021-02-25,4.46394
2021-02-26,4.34948
2021-02-27,2.67073
2021-02-28,3.24303
2021-03-01,3.09042
2021-03-02,5.99008
2021-03-03,4.92178
2021-03-04,5.41777
2021-03-05,4.15871
2021-03-06,2.51812
2021-03-07,2.89965
2021-03-08,5.07439
2021-03-09,5.57039
2021-03-10,5.26516
2021-03-11,6.02823
2021-03-12,4.84547
2021-03-13,2.63258
2021-03-14,3.39565
2021-03-15,4.84547
2021-03-16,6.25715
2021-03-17,5.91377
2021-03-18,6.8676
2021-03-19,5.49408
2021-03-20,3.28119
2021-03-21,2.9378
2021-03-22,5.57039
2021-03-23,5.22701
2021-03-24,5.83746
2021-03-25,4.50209
2021-03-26,4.80732
2021-03-27,3.20488
2021-03-28,2.70888
2021-03-29,5.03624
2021-03-30,7.13468
2021-03-31,5.76115
2021-04-01,5.723
2021-04-02,3.16673
2021-04-03,3.20488
2021-04-04,2.67073
2021-04-05,5.03624
2021-04-06,5.723
2021-04-07,4.76917
2021-04-08,6.219
2021-04-09,3.89164
2021-04-10,3.28119
2021-04-11,2.82334
2021-04-12,5.64669
2021-04-13,5.49408
2021-04-14,6.33346
2021-04-15,5.18885
2021-04-16,6.90576
2021-04-17,3.77718
2021-04-18,3.77718
2021-04-19,6.14269
2021-04-20,8.66081
2021-04-21,8.16482
2021-04-22,5.30331
2021-04-23,5.53223
2021-04-24,2.82334
2021-04-25,3.24303
2021-04-26,5.34147
2021-04-27,5.95192
2021-04-28,5.41777
2021-04-29,5.30331
2021-04-30,4.50209
2021-05-01,2.2892
2021-05-02,2.63258
2021-05-03,4.46394
2021-05-04,5.18885
2021-05-05,3.16673
2021-05-06,6.67684
2021-05-07,5.34147
2021-05-08,2.63258
2021-05-09,2.59442
2021-05-10,5.723
2021-05-11,4.69286
2021-05-12,5.11255
2021-05-13,5.57039
2021-05-14,4.50209
2021-05-15,2.3655
2021-05-16,3.16673
