date,엔환율
2020-03-20,3.90446
2020-03-21,1.19097
2020-03-22,1.14108
2020-03-23,3.76122
2020-03-24,3.26552
2020-03-25,3.20758
2020-03-26,2.6475
2020-03-27,2.60083
2020-03-28,0.93024
2020-03-29,0.84333
2020-03-30,2.71349
2020-03-31,2.09708
2020-04-01,2.15019
2020-04-02,2.14214
2020-04-03,1.95706
2020-04-04,0.79666
2020-04-05,0.7178
2020-04-06,2.06167
2020-04-07,2.03109
2020-04-08,2.01499
2020-04-09,1.67863
2020-04-10,1.57401
2020-04-11,0.58261
2020-04-12,0.67273
2020-04-13,1.85405
2020-04-14,1.58689
2020-04-15,0.94795
2020-04-16,1.71564
2020-04-17,1.7092
2020-04-18,0.77896
2020-04-19,0.63411
2020-04-20,1.80416
2020-04-21,2.23227
2020-04-22,1.86693
2020-04-23,1.59011
2020-04-24,1.78163
2020-04-25,0.66308
2020-04-26,0.6325
2020-04-27,1.66575
2020-04-28,1.79289
2020-04-29,1.37766
2020-04-30,0.93668
2020-05-01,0.87552
2020-05-02,0.65503
2020-05-03,0.62606
2020-05-04,1.35513
2020-05-05,0.74516
2020-05-06,1.61747
2020-05-07,1.65609
2020-05-08,1.48388
2020-05-09,0.59709
2020-05-10,0.55042
2020-05-11,1.45331
2020-05-12,1.42273
2020-05-13,1.15395
2020-05-14,1.33099
2020-05-15,1.21833
2020-05-16,0.57134
2020-05-17,0.581
2020-05-18,1.33099
2020-05-19,1.6239
2020-05-20,1.31007
2020-05-21,1.20545
2020-05-22,1.34708
2020-05-23,0.64859
2020-05-24,0.60031
2020-05-25,1.73495
2020-05-26,1.61264
2020-05-27,1.34226
2020-05-28,1.39054
2020-05-29,1.19741
2020-05-30,0.56168
2020-05-31,0.55042
2020-06-01,1.4694
2020-06-02,1.21511
2020-06-03,1.56757
2020-06-04,1.40985
2020-06-05,1.60459
2020-06-06,0.63572
2020-06-07,0.62123
2020-06-08,1.71886
2020-06-09,1.92165
2020-06-10,1.59011
2020-06-11,1.34869
2020-06-12,1.49676
2020-06-13,0.59065
2020-06-14,0.57939
2020-06-15,1.54504
2020-06-16,1.49354
2020-06-17,1.36962
2020-06-18,1.21833
2020-06-19,1.13786
2020-06-20,0.58744
2020-06-21,0.54881
2020-06-22,1.31007
2020-06-23,1.3664
2020-06-24,1.23603
2020-06-25,1.28432
2020-06-26,1.03807
2020-06-27,0.57939
2020-06-28,0.53915
2020-06-29,1.38088
2020-06-30,1.43399
2020-07-01,1.2988
2020-07-02,1.28753
2020-07-03,1.16522
2020-07-04,0.53432
2020-07-05,0.53111
2020-07-06,1.30041
2020-07-07,1.25535
2020-07-08,1.22638
2020-07-09,1.15073
2020-07-10,1.059
2020-07-11,0.54559
2020-07-12,0.58904
2020-07-13,1.41146
2020-07-14,1.19097
2020-07-15,1.24086
2020-07-16,1.06061
2020-07-17,1.0091
2020-07-18,0.55364
2020-07-19,0.5134
2020-07-20,1.24086
2020-07-21,1.27788
2020-07-22,1.13142
2020-07-23,1.0944
2020-07-24,1.13142
2020-07-25,0.60836
2020-07-26,0.54076
2020-07-27,1.49676
2020-07-28,1.44687
2020-07-29,1.33582
2020-07-30,1.21189
2020-07-31,1.32777
2020-08-01,0.56973
2020-08-02,0.50696
2020-08-03,1.39376
2020-08-04,1.21028
2020-08-05,1.34547
2020-08-06,1.23764
2020-08-07,1.13786
2020-08-08,0.56007
2020-08-09,0.60836
2020-08-10,1.13303
2020-08-11,1.28753
2020-08-12,1.20384
2020-08-13,1.07992
2020-08-14,1.14912
2020-08-15,0.52467
2020-08-16,0.44581
2020-08-17,0.83851
2020-08-18,1.26178
2020-08-19,1.18292
2020-08-20,1.2988
2020-08-21,1.12015
2020-08-22,0.5649
2020-08-23,0.49731
2020-08-24,1.32777
2020-08-25,1.25374
2020-08-26,1.34547
2020-08-27,1.20545
2020-08-28,1.54182
2020-08-29,0.67756
2020-08-30,0.53593
2020-08-31,1.3149
2020-09-01,1.22155
2020-09-02,1.07831
2020-09-03,1.10245
2020-09-04,1.23442
2020-09-05,0.49248
2020-09-06,0.55203
2020-09-07,1.21028
2020-09-08,1.02359
2020-09-09,1.15073
2020-09-10,1.0429
2020-09-11,1.06222
2020-09-12,0.49409
2020-09-13,0.46512
2020-09-14,1.12015
2020-09-15,1.15556
2020-09-16,1.24086
2020-09-17,1.20063
2020-09-18,1.29719
2020-09-19,0.57939
2020-09-20,0.57939
2020-09-21,1.21994
2020-09-22,1.14591
2020-09-23,1.12337
2020-09-24,1.33582
2020-09-25,1.15556
2020-09-26,0.52789
2020-09-27,0.52467
2020-09-28,1.31329
2020-09-29,1.1105
2020-09-30,0.64859
2020-10-01,0.65503
2020-10-02,0.65342
2020-10-03,0.58744
2020-10-04,0.56973
2020-10-05,1.38088
2020-10-06,1.2296
2020-10-07,1.22316
2020-10-08,1.19902
2020-10-09,0.78378
2020-10-10,0.64698
2020-10-11,0.58744
2020-10-12,1.34386
2020-10-13,1.23603
2020-10-14,1.20867
2020-10-15,1.20384
2020-10-16,1.0767
2020-10-17,0.55847
2020-10-18,0.59548
2020-10-19,1.25857
2020-10-20,1.32616
2020-10-21,1.265
2020-10-22,1.1443
2020-10-23,1.12015
2020-10-24,0.64055
2020-10-25,0.57456
2020-10-26,1.38088
2020-10-27,1.35674
2020-10-28,1.36157
2020-10-29,1.28914
2020-10-30,1.19902
2020-10-31,0.45546
2020-11-01,0.56329
2020-11-02,1.12015
2020-11-03,1.06382
2020-11-04,1.18614
2020-11-05,1.34547
2020-11-06,1.28593
2020-11-07,0.57617
2020-11-08,0.55686
2020-11-09,1.6062
2020-11-10,1.80255
2020-11-11,1.59976
2020-11-12,1.31168
2020-11-13,1.3503
2020-11-14,0.59226
2020-11-15,0.60997
2020-11-16,1.51929
2020-11-17,1.38571
2020-11-18,1.33582
2020-11-19,1.36318
2020-11-20,1.22477
2020-11-21,0.55686
2020-11-22,0.65181
2020-11-23,1.23925
2020-11-24,1.35996
2020-11-25,1.34226
2020-11-26,1.28753
2020-11-27,1.30524
2020-11-28,0.72102
2020-11-29,0.65342
2020-11-30,1.47745
2020-12-01,1.3165
2020-12-02,1.3326
2020-12-03,1.79289
2020-12-04,1.79128
2020-12-05,0.90932
2020-12-06,0.89162
2020-12-07,1.71403
2020-12-08,1.5209
2020-12-09,1.49998
2020-12-10,1.46135
2020-12-11,1.42434
2020-12-12,0.7017
2020-12-13,0.65986
2020-12-14,1.51929
2020-12-15,1.4871
2020-12-16,1.48871
2020-12-17,1.4517
2020-12-18,1.40985
2020-12-19,0.65181
2020-12-20,0.64376
2020-12-21,1.4517
2020-12-22,1.45652
2020-12-23,1.47423
2020-12-24,1.36801
2020-12-25,0.80471
2020-12-26,0.59548
2020-12-27,0.66469
2020-12-28,1.54665
2020-12-29,1.32938
2020-12-30,1.23764
2020-12-31,0.97048
2021-01-01,0.67113
2021-01-02,0.66308
2021-01-03,0.7355
2021-01-04,1.58206
2021-01-05,1.56114
2021-01-06,1.49998
2021-01-07,1.42916
2021-01-08,1.46618
2021-01-09,0.72746
2021-01-10,0.65181
2021-01-11,1.49354
2021-01-12,1.48228
2021-01-13,1.48067
2021-01-14,1.5885
2021-01-15,1.59493
2021-01-16,0.8546
2021-01-17,0.84816
2021-01-18,1.69633
2021-01-19,1.75749
2021-01-20,1.45009
2021-01-21,1.64805
2021-01-22,1.69633
2021-01-23,0.7355
2021-01-24,0.82402
2021-01-25,1.59333
2021-01-26,1.56918
2021-01-27,1.55792
2021-01-28,1.79289
2021-01-29,1.58528
2021-01-30,0.79022
2021-01-31,0.83368
2021-02-01,1.55148
2021-02-02,1.54987
2021-02-03,1.38893
2021-02-04,1.4694
2021-02-05,1.28914
2021-02-06,0.79505
2021-02-07,0.78861
2021-02-08,1.54826
2021-02-09,1.4356
2021-02-10,1.3664
2021-02-11,0.93185
2021-02-12,0.96887
2021-02-13,0.89484
2021-02-14,1.0091
2021-02-15,2.28699
2021-02-16,2.2548
2021-02-17,2.00051
2021-02-18,1.98763
2021-02-19,2.00212
2021-02-20,1.0252
2021-02-21,0.94634
2021-02-22,1.85405
2021-02-23,2.01339
2021-02-24,1.79128
2021-02-25,1.91843
2021-02-26,2.21939
2021-02-27,1.12498
2021-02-28,0.93829
2021-03-01,1.27627
2021-03-02,2.14858
2021-03-03,2.00051
2021-03-04,1.8621
2021-03-05,2.0504
2021-03-06,0.93668
2021-03-07,0.92702
2021-03-08,2.13409
2021-03-09,1.98763
2021-03-10,2.08581
2021-03-11,1.82186
2021-03-12,2.03431
2021-03-13,1.06704
2021-03-14,0.9914
2021-03-15,2.15341
2021-03-16,2.15019
2021-03-17,2.05201
2021-03-18,2.17111
2021-03-19,2.00373
2021-03-20,1.04451
2021-03-21,0.97048
2021-03-22,2.04879
2021-03-23,1.77036
2021-03-24,1.78968
2021-03-25,1.87497
2021-03-26,1.87015
2021-03-27,0.90771
2021-03-28,0.93668
2021-03-29,1.91038
2021-03-30,1.84922
2021-03-31,2.18559
2021-04-01,2.18881
2021-04-02,1.80577
2021-04-03,0.92863
2021-04-04,0.87874
2021-04-05,2.0504
2021-04-06,1.92809
2021-04-07,1.95062
2021-04-08,1.78163
2021-04-09,1.74944
2021-04-10,0.88518
2021-04-11,0.76769
2021-04-12,2.04396
2021-04-13,1.81221
2021-04-14,1.79772
2021-04-15,1.74139
2021-04-16,1.83796
2021-04-17,0.85782
2021-04-18,0.80793
2021-04-19,1.9313
2021-04-20,1.78807
2021-04-21,2.22583
2021-04-22,1.80094
2021-04-23,1.70277
2021-04-24,0.80632
2021-04-25,0.85943
2021-04-26,1.68989
2021-04-27,1.90716
2021-04-28,1.87658
2021-04-29,1.63195
2021-04-30,1.64483
2021-05-01,0.82402
2021-05-02,0.64859
2021-05-03,1.45009
2021-05-04,1.42595
2021-05-05,1.08636
2021-05-06,1.59976
2021-05-07,1.4179
2021-05-08,0.74677
2021-05-09,0.71458
2021-05-10,1.50159
2021-05-11,1.57723
2021-05-12,1.70116
2021-05-13,1.63195
2021-05-14,1.44365
2021-05-15,0.7355
2021-05-16,0.72585
2021-05-17,1.67863
2021-05-18,1.68184
2021-05-19,0.98335
2021-05-20,1.54504
2021-05-21,1.3664
2021-05-22,0.73389
2021-05-23,0.66952
2021-05-24,1.50964
2021-05-25,1.63034
2021-05-26,1.44365
2021-05-27,1.48228
2021-05-28,1.70599
2021-05-29,0.73228
2021-05-30,0.78861
2021-05-31,1.90555
2021-06-01,1.79128
2021-06-02,1.57723
2021-06-03,1.43238
2021-06-04,1.35996
2021-06-05,0.62284
2021-06-06,0.68078
2021-06-07,1.47423
2021-06-08,1.49837
2021-06-09,1.4694
2021-06-10,1.41951
2021-06-11,1.38088
2021-06-12,0.69205
2021-06-13,0.67273
2021-06-14,1.25374
2021-06-15,1.42112
2021-06-16,1.37122
2021-06-17,1.37283
2021-06-18,1.45974
2021-06-19,0.74516
2021-06-20,0.79505
2021-06-21,1.78485
2021-06-22,1.25374
2021-06-23,1.42273
2021-06-24,1.41307
2021-06-25,1.32938
2021-06-26,0.70653
2021-06-27,0.70814
2021-06-28,1.29236
2021-06-29,1.32777
2021-06-30,1.39537
2021-07-01,1.27788
2021-07-02,1.19741
2021-07-03,0.68883
2021-07-04,0.66469
2021-07-05,1.53056
2021-07-06,1.49032
2021-07-07,1.53539
2021-07-08,1.94096
2021-07-09,1.95384
2021-07-10,0.85138
2021-07-11,0.8208
2021-07-12,1.7092
2021-07-13,1.56918
2021-07-14,1.68828
2021-07-15,1.76875
2021-07-16,1.57884
2021-07-17,0.84977
2021-07-18,0.84172
2021-07-19,1.77358
2021-07-20,2.26607
2021-07-21,1.94901
2021-07-22,1.72852
2021-07-23,1.47745
2021-07-24,0.89805
2021-07-25,0.93829
2021-07-26,1.87819
2021-07-27,1.6239
2021-07-28,1.78163
2021-07-29,1.52251
2021-07-30,1.55148
2021-07-31,0.78378
2021-08-01,0.75321
2021-08-02,1.63195
2021-08-03,1.70759
2021-08-04,1.75105
2021-08-05,1.6577
2021-08-06,1.47101
2021-08-07,0.94151
2021-08-08,0.8546
2021-08-09,1.57401
2021-08-10,1.68506
2021-08-11,1.64483
2021-08-12,1.73013
2021-08-13,2.08098
2021-08-14,1.13625
2021-08-15,1.14269
2021-08-16,1.52251
2021-08-17,3.05146
2021-08-18,2.60887
2021-08-19,2.44954
2021-08-20,2.50748
2021-08-21,1.15234
2021-08-22,1.12498
2021-08-23,2.42701
2021-08-24,2.24836
2021-08-25,2.17755
2021-08-26,2.1019
2021-08-27,1.92326
2021-08-28,0.89162
2021-08-29,0.81275
2021-08-30,1.68828
2021-08-31,1.71564
2021-09-01,1.7092
2021-09-02,1.71081
2021-09-03,1.53861
2021-09-04,0.79022
2021-09-05,0.80954
2021-09-06,1.71725
2021-09-07,1.48067
2021-09-08,1.70277
2021-09-09,1.6223
2021-09-10,1.63356
2021-09-11,0.75321
2021-09-12,0.84816
2021-09-13,1.69794
2021-09-14,1.66897
2021-09-15,1.77197
2021-09-16,1.53217
2021-09-17,1.6239
2021-09-18,0.86747
2021-09-19,0.69044
2021-09-20,0.94312
2021-09-21,1.19741
2021-09-22,1.21672
2021-09-23,2.4093
2021-09-24,2.07615
2021-09-25,0.91737
2021-09-26,0.86747
2021-09-27,1.83313
2021-09-28,1.52895
2021-09-29,1.73978
