date,연금저축펀드
2020-03-20,27.79764
2020-03-21,25.45225
2020-03-22,24.24274
2020-03-23,21.47665
2020-03-24,27.82919
2020-03-25,28.07109
2020-03-26,29.32267
2020-03-27,27.02986
2020-03-28,23.47496
2020-03-29,25.51535
2020-03-30,29.99579
2020-03-31,69.7623
2020-04-01,29.84854
2020-04-02,29.57509
2020-04-03,28.10265
2020-04-04,21.687
2020-04-05,30.83718
2020-04-06,27.79764
2020-04-07,25.47328
2020-04-08,23.62221
2020-04-09,22.21287
2020-04-10,19.86748
2020-04-11,17.49053
2020-04-12,20.54059
2020-04-13,20.22507
2020-04-14,17.67984
2020-04-15,17.94278
2020-04-16,18.16365
2020-04-17,18.07951
2020-04-18,13.96718
2020-04-19,16.03912
2020-04-20,17.65881
2020-04-21,15.61842
2020-04-22,18.83676
2020-04-23,18.36348
2020-04-24,15.5448
2020-04-25,12.7156
2020-04-26,14.74547
2020-04-27,16.39671
2020-04-28,16.22843
2020-04-29,91.81741
2020-04-30,16.99621
2020-05-01,14.55616
2020-05-02,14.2196
2020-05-03,15.76567
2020-05-04,17.65881
2020-05-05,17.05931
2020-05-06,17.13294
2020-05-07,16.48085
2020-05-08,18.21623
2020-05-09,13.87252
2020-05-10,16.63862
2020-05-11,17.02776
2020-05-12,16.72275
2020-05-13,15.58687
2020-05-14,15.13462
2020-05-15,14.75599
2020-05-16,12.9575
2020-05-17,13.99873
2020-05-18,15.84981
2020-05-19,17.84812
2020-05-20,17.17501
2020-05-21,19.59402
2020-05-22,15.86032
2020-05-23,13.56752
2020-05-24,18.03744
2020-05-25,25.18931
2020-05-26,22.68615
2020-05-27,21.38199
2020-05-28,19.75178
2020-05-29,18.66848
2020-05-30,20.86663
2020-05-31,20.61421
2020-06-01,24.01135
2020-06-02,27.7766
2020-06-03,26.79848
2020-06-04,23.96928
2020-06-05,21.47665
2020-06-06,18.34244
2020-06-07,20.70887
2020-06-08,21.82372
2020-06-09,23.69583
2020-06-10,23.54859
2020-06-11,22.38115
2020-06-12,18.62641
2020-06-13,15.07151
2020-06-14,18.75262
2020-06-15,19.24694
2020-06-16,19.95161
2020-06-17,18.80521
2020-06-18,18.20572
2020-06-19,17.22759
