date,영진약품주가
2020-03-20,6.79624
2020-03-21,0.8624
2020-03-22,0.4814
2020-03-23,6.34315
2020-03-24,7.08714
2020-03-25,6.71386
2020-03-26,7.32655
2020-03-27,6.91208
2020-03-28,0.62556
2020-03-29,0.46595
2020-03-30,7.41923
2020-03-31,7.57883
2020-04-01,6.98416
2020-04-02,6.19127
2020-04-03,6.27107
2020-04-04,0.63328
2020-04-05,0.78774
2020-04-06,7.47843
2020-04-07,6.93525
2020-04-08,5.95958
2020-04-09,6.56197
2020-04-10,6.63663
2020-04-11,0.78517
2020-04-12,0.63586
2020-04-13,6.46672
2020-04-14,5.86433
2020-04-15,0.8521
2020-04-16,5.31599
2020-04-17,5.97245
2020-04-18,0.65902
2020-04-19,0.51486
2020-04-20,6.10631
2020-04-21,7.70498
2020-04-22,7.15149
2020-04-23,6.13978
2020-04-24,5.48075
2020-04-25,0.46595
2020-04-26,0.36555
2020-04-27,5.47818
2020-04-28,4.82945
2020-04-29,4.74449
2020-04-30,0.67704
2020-05-01,0.84953
2020-05-02,0.30377
2020-05-03,0.34753
2020-05-04,3.93358
2020-05-05,0.43248
2020-05-06,4.12665
2020-05-07,3.93615
2020-05-08,3.94902
2020-05-09,0.40931
2020-05-10,0.31149
2020-05-11,4.2425
2020-05-12,3.8615
2020-05-13,7.35487
2020-05-14,5.53481
2020-05-15,6.78079
2020-05-16,0.81863
2020-05-17,0.70536
2020-05-18,6.5491
2020-05-19,5.94671
2020-05-20,5.10232
2020-05-21,4.86291
2020-05-22,4.3429
2020-05-23,0.50199
2020-05-24,0.51486
2020-05-25,5.98275
2020-05-26,6.4384
2020-05-27,6.95585
2020-05-28,5.55541
2020-05-29,4.7342
2020-05-30,0.42219
2020-05-31,0.32179
2020-06-01,5.72789
2020-06-02,5.09718
2020-06-03,6.79881
2020-06-04,5.60947
2020-06-05,6.11661
2020-06-06,0.64615
2020-06-07,0.52001
2020-06-08,6.44355
2020-06-09,7.04595
2020-06-10,8.77332
2020-06-11,7.55824
2020-06-12,6.10631
2020-06-13,0.74655
2020-06-14,0.53803
2020-06-15,6.90436
2020-06-16,6.69841
2020-06-17,16.25434
2020-06-18,12.22808
2020-06-19,8.99214
2020-06-20,0.8624
2020-06-21,0.56377
2020-06-22,7.23645
2020-06-23,7.65092
2020-06-24,9.38087
2020-06-25,7.71785
2020-06-26,7.06397
