date,예금금리
2020-03-20,1.73519
2020-03-21,0.83983
2020-03-22,0.90609
2020-03-23,1.77279
2020-03-24,1.49344
2020-03-25,1.61163
2020-03-26,1.5973
2020-03-27,1.42002
2020-03-28,0.85237
2020-03-29,0.83267
2020-03-30,1.69937
2020-03-31,1.67609
2020-04-01,1.67967
2020-04-02,1.53642
2020-04-03,1.30542
2020-04-04,0.67509
2020-04-05,0.68046
2020-04-06,1.37884
2020-04-07,1.24274
2020-04-08,1.31079
2020-04-09,1.42898
2020-04-10,1.26065
2020-04-11,0.70553
2020-04-12,0.7306
2020-04-13,1.31974
2020-04-14,1.078
2020-04-15,0.72702
2020-04-16,1.232
2020-04-17,1.21946
2020-04-18,0.68046
2020-04-19,0.77358
2020-04-20,1.4236
2020-04-21,1.31795
2020-04-22,1.35377
2020-04-23,1.54358
2020-04-24,1.36809
2020-04-25,0.70732
2020-04-26,0.70553
2020-04-27,1.45584
2020-04-28,1.31616
2020-04-29,1.26781
2020-04-30,0.61421
2020-05-01,0.66793
2020-05-02,0.58376
2020-05-03,0.64286
2020-05-04,1.44151
2020-05-05,0.66435
2020-05-06,1.24991
2020-05-07,1.1926
2020-05-08,1.07621
2020-05-09,0.51393
2020-05-10,0.53362
2020-05-11,1.19618
2020-05-12,1.10307
2020-05-13,1.07621
2020-05-14,1.17828
2020-05-15,1.11918
2020-05-16,0.60883
2020-05-17,0.62853
2020-05-18,1.18544
2020-05-19,1.1353
2020-05-20,1.29467
2020-05-21,1.10486
2020-05-22,0.99742
2020-05-23,0.49781
2020-05-24,0.71449
2020-05-25,1.3663
2020-05-26,1.23021
2020-05-27,1.06546
2020-05-28,1.59193
2020-05-29,1.32153
2020-05-30,0.71807
2020-05-31,0.85237
2020-06-01,1.68326
2020-06-02,1.44867
2020-06-03,1.46479
2020-06-04,1.13709
2020-06-05,1.06009
2020-06-06,0.56228
2020-06-07,0.51393
2020-06-08,1.30363
2020-06-09,1.19618
2020-06-10,1.27139
2020-06-11,1.18365
2020-06-12,0.90788
2020-06-13,0.48528
2020-06-14,0.60346
2020-06-15,1.24453
2020-06-16,1.14067
2020-06-17,1.00816
2020-06-18,0.97414
2020-06-19,0.96697
2020-06-20,0.53542
2020-06-21,0.61062
2020-06-22,1.15142
2020-06-23,1.11739
2020-06-24,1.1156
2020-06-25,1.10665
2020-06-26,0.95623
2020-06-27,0.59093
2020-06-28,0.539
2020-06-29,1.21409
2020-06-30,1.21588
2020-07-01,1.28035
2020-07-02,1.14067
2020-07-03,1.04577
2020-07-04,0.52467
2020-07-05,0.62495
2020-07-06,1.28751
2020-07-07,1.1747
2020-07-08,1.18186
2020-07-09,1.06009
2020-07-10,0.87565
2020-07-11,0.539
2020-07-12,0.67509
2020-07-13,1.12097
2020-07-14,1.078
2020-07-15,1.19977
2020-07-16,1.01532
2020-07-17,0.89535
2020-07-18,0.4799
2020-07-19,0.56228
