date,예금금리높은은행
2020-03-24,0.22816
2020-03-27,0.19556
2020-03-29,0.19556
2020-03-30,0.22816
2020-04-01,0.16297
2020-04-03,0.16297
2020-04-07,0.16297
2020-04-08,0.29335
2020-04-10,0.19556
2020-04-16,0.52151
2020-04-22,0.16297
2020-04-23,0.26075
2020-04-27,0.39113
2020-05-15,0.35853
2020-05-23,0.16297
2020-05-27,0.19556
2020-05-28,0.26075
2020-06-04,0.16297
2020-06-08,0.22816
2020-06-12,0.16297
2020-07-03,0.22816
2020-07-06,0.16297
2020-07-14,0.26075
2020-07-21,0.16297
2020-08-10,0.22816
2020-08-25,0.26075
2020-08-27,0.16297
2020-09-01,0.19556
2020-09-03,0.22816
2020-09-04,0.26075
2020-09-18,0.16297
2020-09-22,0.16297
2020-09-28,0.19556
2020-09-29,0.16297
2020-10-05,0.35853
2020-10-12,0.26075
2020-10-13,0.16297
2020-10-14,0.19556
2020-10-21,0.16297
2020-11-16,0.19556
2020-11-24,0.19556
2020-11-26,0.16297
2020-12-01,0.19556
2020-12-29,0.16297
2021-01-05,0.16297
2021-01-07,0.19556
2021-01-08,0.19556
2021-01-10,0.29335
2021-01-13,0.16297
2021-01-18,0.16297
2021-01-20,0.35853
2021-01-21,0.42372
2021-01-22,0.39113
2021-01-26,0.22816
2021-01-28,0.32594
2021-02-01,0.19556
2021-02-06,0.19556
2021-02-19,0.19556
2021-02-24,0.16297
2021-02-27,0.19556
2021-03-01,0.19556
2021-03-02,0.16297
2021-03-03,0.22816
2021-03-04,0.22816
2021-03-11,0.16297
2021-03-12,0.35853
2021-03-15,0.22816
2021-03-16,0.16297
2021-03-17,0.19556
2021-03-22,0.32594
2021-03-23,0.29335
2021-03-29,0.16297
2021-04-02,0.26075
2021-04-05,0.19556
2021-04-08,0.22816
2021-04-12,0.16297
2021-04-15,0.32594
2021-04-19,0.16297
2021-04-21,0.16297
2021-04-23,0.29335
2021-04-28,0.16297
2021-04-30,0.39113
2021-05-03,0.16297
2021-05-06,0.19556
2021-05-07,0.16297
2021-05-09,0.26075
2021-05-12,0.16297
2021-05-13,0.19556
2021-05-24,0.16297
2021-05-31,0.16297
2021-06-14,0.16297
2021-06-22,0.16297
2021-06-23,0.32594
2021-06-24,0.16297
2021-06-25,0.19556
2021-06-30,0.19556
2021-07-06,0.16297
2021-07-08,0.19556
2021-07-13,0.22816
2021-07-15,0.16297
2021-07-19,0.22816
2021-07-21,0.16297
2021-07-23,0.19556
2021-07-25,0.16297
2021-07-26,0.26075
2021-07-28,0.22816
2021-07-29,0.22816
2021-07-30,0.19556
2021-08-20,0.19556
2021-08-26,0.32594
2021-08-27,0.22816
2021-08-30,0.19556
2021-09-02,0.22816
2021-09-05,0.16297
2021-09-06,0.22816
2021-09-11,0.19556
2021-09-14,0.19556
2021-09-24,0.19556
2021-09-29,0.16297
2021-09-30,0.22816
2021-10-02,0.16297
2021-10-04,0.16297
2021-10-05,0.19556
2021-10-06,0.16297
2021-10-07,0.32594
2021-10-11,0.16297
2021-10-12,0.16297
2021-10-14,0.16297
2021-10-25,0.16297
2021-10-29,0.22816
2021-11-25,0.32594
2021-11-26,0.19556
2021-11-27,0.16297
2021-11-29,0.16297
2021-11-30,0.29335
2021-12-01,0.29335
2021-12-02,0.29335
2021-12-04,0.19556
2021-12-06,0.32594
2021-12-07,0.19556
2021-12-09,0.16297
2021-12-10,0.16297
2021-12-13,0.45632
2021-12-15,0.39113
2021-12-16,0.22816
2021-12-17,0.32594
2021-12-21,0.22816
2021-12-22,0.19556
2021-12-24,0.16297
