date,예금금리비교
2020-03-20,2.65763
2020-03-21,1.23328
2020-03-22,0.83376
2020-03-23,2.44919
2020-03-24,2.60552
2020-03-25,2.60552
2020-03-26,2.8487
2020-03-27,2.83133
2020-03-28,0.97272
2020-03-29,1.14643
2020-03-30,2.3276
2020-03-31,2.25812
2020-04-01,2.46656
2020-04-02,1.70227
2020-04-03,1.63279
2020-04-04,0.79902
2020-04-05,0.60795
2020-04-06,2.06704
2020-04-07,1.91071
2020-04-08,2.08441
2020-04-09,1.98019
2020-04-10,1.63279
2020-04-11,0.71217
2020-04-12,0.99009
2020-04-13,1.98019
2020-04-14,1.61542
2020-04-15,0.67743
2020-04-16,1.82386
2020-04-17,1.47646
2020-04-18,0.66006
2020-04-19,0.74691
2020-04-20,1.96282
2020-04-21,1.38961
2020-04-22,1.42435
2020-04-23,1.3375
2020-04-24,1.44172
2020-04-25,0.67743
2020-04-26,0.45162
2020-04-27,1.56331
2020-04-28,1.71964
2020-04-29,1.61542
2020-04-30,0.6948
2020-05-01,0.8685
2020-05-02,0.48636
2020-05-03,0.64269
2020-05-04,1.82386
2020-05-05,0.85113
2020-05-06,1.73701
2020-05-07,1.98019
2020-05-08,1.77175
2020-05-09,1.07694
2020-05-10,0.71217
2020-05-11,1.99756
2020-05-12,2.31023
2020-05-13,2.10178
2020-05-14,2.06704
2020-05-15,1.89334
2020-05-16,1.0422
2020-05-17,0.59058
2020-05-18,2.10178
2020-05-19,1.77175
2020-05-20,1.98019
2020-05-21,2.06704
2020-05-22,1.38961
2020-05-23,0.55584
2020-05-24,1.0422
2020-05-25,2.20601
2020-05-26,1.8586
2020-05-27,1.58068
2020-05-28,1.8586
2020-05-29,1.77175
2020-05-30,0.60795
2020-05-31,0.67743
2020-06-01,1.91071
2020-06-02,2.04967
2020-06-03,1.80649
2020-06-04,1.65016
2020-06-05,1.49383
2020-06-06,0.53847
2020-06-07,0.33003
2020-06-08,1.11169
2020-06-09,1.30276
2020-06-10,1.38961
2020-06-11,1.1638
2020-06-12,1.09431
