date,예금특판
2020-03-20,2.30221
2020-03-21,1.44411
2020-03-22,1.46504
2020-03-23,2.40686
2020-03-24,2.80452
2020-03-25,2.84637
2020-03-26,2.65801
2020-03-27,2.97195
2020-03-28,1.25575
2020-03-29,1.69526
2020-03-30,2.69987
2020-03-31,3.41146
2020-04-01,3.47425
2020-04-02,3.03474
2020-04-03,2.46965
2020-04-04,1.38133
2020-04-05,1.17203
2020-04-06,3.13938
2020-04-07,2.78359
2020-04-08,2.88823
2020-04-09,2.99288
2020-04-10,2.40686
2020-04-11,1.77898
2020-04-12,1.44411
2020-04-13,3.01381
2020-04-14,3.30682
2020-04-15,2.03013
2020-04-16,3.83005
2020-04-17,3.05567
2020-04-18,1.61155
2020-04-19,1.44411
2020-04-20,3.99748
2020-04-21,4.37421
2020-04-22,3.47425
2020-04-23,3.64169
2020-04-24,3.32775
2020-04-25,2.11385
2020-04-26,1.79991
2020-04-27,3.32775
2020-04-28,3.26496
2020-04-29,2.76266
2020-04-30,2.17664
2020-05-01,1.71619
2020-05-02,1.82084
2020-05-03,1.27668
2020-05-04,2.97195
2020-05-05,2.365
2020-05-06,2.8673
2020-05-07,3.01381
2020-05-08,2.67894
2020-05-09,1.73712
2020-05-10,1.21389
2020-05-11,3.01381
2020-05-12,3.30682
2020-05-13,3.09753
2020-05-14,3.16031
2020-05-15,2.42779
2020-05-16,1.48597
2020-05-17,1.13017
2020-05-18,3.01381
2020-05-19,2.69987
2020-05-20,2.63708
2020-05-21,2.84637
2020-05-22,2.23943
2020-05-23,1.13017
2020-05-24,1.48597
2020-05-25,3.01381
2020-05-26,3.41146
2020-05-27,2.51151
2020-05-28,2.59522
2020-05-29,1.82084
2020-05-30,1.33947
2020-05-31,1.65341
2020-06-01,3.53704
2020-06-02,2.38593
2020-06-03,2.17664
2020-06-04,2.32314
2020-06-05,2.30221
2020-06-06,0.98367
2020-06-07,0.96274
2020-06-08,2.8673
2020-06-09,2.40686
2020-06-10,3.20217
2020-06-11,2.15571
2020-06-12,2.07199
2020-06-13,1.38133
2020-06-14,1.8627
2020-06-15,2.82544
2020-06-16,2.90916
2020-06-17,2.99288
2020-06-18,2.67894
2020-06-19,1.90456
2020-06-20,1.0046
2020-06-21,1.44411
2020-06-22,2.95102
2020-06-23,2.59522
2020-06-24,2.46965
2020-06-25,3.01381
2020-06-26,2.40686
2020-06-27,1.13017
2020-06-28,1.56969
2020-06-29,3.43239
2020-06-30,3.43239
2020-07-01,3.41146
2020-07-02,3.34868
2020-07-03,2.97195
2020-07-04,1.06739
2020-07-05,1.40226
2020-07-06,3.0766
2020-07-07,2.93009
2020-07-08,2.80452
2020-07-09,2.93009
2020-07-10,3.26496
2020-07-11,0.96274
2020-07-12,1.02553
2020-07-13,3.26496
2020-07-14,3.39053
2020-07-15,3.53704
2020-07-16,2.67894
2020-07-17,3.36961
2020-07-18,1.04646
2020-07-19,1.31854
2020-07-20,3.11845
2020-07-21,2.80452
2020-07-22,3.26496
2020-07-23,2.57429
2020-07-24,2.95102
2020-07-25,1.13017
2020-07-26,1.33947
2020-07-27,3.30682
2020-07-28,2.93009
2020-07-29,2.7208
2020-07-30,2.28128
2020-07-31,2.2185
2020-08-01,1.44411
2020-08-02,1.27668
2020-08-03,2.46965
2020-08-04,2.65801
2020-08-05,2.88823
2020-08-06,1.90456
2020-08-07,2.38593
2020-08-08,1.10925
2020-08-09,1.21389
2020-08-10,2.53244
2020-08-11,2.38593
2020-08-12,2.42779
2020-08-13,2.76266
2020-08-14,1.98827
2020-08-15,0.79531
2020-08-16,1.17203
2020-08-17,1.56969
2020-08-18,2.82544
2020-08-19,2.42779
2020-08-20,2.32314
2020-08-21,2.11385
2020-08-22,1.13017
2020-08-23,1.17203
2020-08-24,2.59522
2020-08-25,2.67894
2020-08-26,2.44872
2020-08-27,2.17664
2020-08-28,1.71619
2020-08-29,1.02553
2020-08-30,1.08832
2020-08-31,2.59522
2020-09-01,2.44872
2020-09-02,2.69987
2020-09-03,2.49058
2020-09-04,2.55336
2020-09-05,0.89995
2020-09-06,1.1511
2020-09-07,2.55336
2020-09-08,2.30221
2020-09-09,1.96735
2020-09-10,1.75805
2020-09-11,1.92549
2020-09-12,0.87902
2020-09-13,0.92088
2020-09-14,2.365
2020-09-15,2.23943
2020-09-16,2.34407
2020-09-17,2.13478
2020-09-18,2.15571
2020-09-19,0.94181
2020-09-20,1.38133
2020-09-21,2.40686
2020-09-22,2.07199
2020-09-23,2.03013
2020-09-24,2.11385
2020-09-25,2.46965
2020-09-26,1.17203
2020-09-27,1.33947
2020-09-28,2.51151
2020-09-29,2.03013
2020-09-30,0.98367
2020-10-01,1.42318
2020-10-02,0.94181
2020-10-03,1.08832
2020-10-04,1.5069
2020-10-05,3.5789
2020-10-06,2.88823
2020-10-07,2.49058
2020-10-08,2.23943
2020-10-09,1.52783
2020-10-10,0.98367
2020-10-11,1.42318
2020-10-12,2.59522
2020-10-13,2.59522
2020-10-14,2.46965
2020-10-15,2.34407
2020-10-16,2.30221
2020-10-17,1.0046
2020-10-18,1.31854
2020-10-19,2.99288
2020-10-20,2.84637
2020-10-21,2.99288
2020-10-22,2.7208
2020-10-23,2.65801
2020-10-24,1.13017
2020-10-25,0.96274
2020-10-26,2.84637
2020-10-27,2.8673
2020-10-28,2.46965
2020-10-29,2.46965
2020-10-30,1.56969
2020-10-31,0.87902
2020-11-01,1.23482
2020-11-02,3.09753
2020-11-03,2.09292
2020-11-04,1.88363
2020-11-05,1.61155
2020-11-06,1.79991
2020-11-07,0.94181
2020-11-08,0.92088
2020-11-09,2.09292
2020-11-10,1.56969
2020-11-11,1.98827
2020-11-12,2.07199
2020-11-13,1.82084
2020-11-14,0.81624
2020-11-15,0.75345
2020-11-16,2.11385
2020-11-17,2.32314
2020-11-18,1.90456
2020-11-19,1.98827
2020-11-20,1.17203
2020-11-21,0.75345
2020-11-22,0.71159
2020-11-23,2.11385
2020-11-24,1.96735
2020-11-25,1.52783
2020-11-26,1.65341
2020-11-27,1.67434
2020-11-28,0.92088
2020-11-29,1.08832
2020-11-30,2.26035
2020-12-01,2.95102
2020-12-02,2.63708
2020-12-03,1.84177
2020-12-04,1.90456
2020-12-05,1.04646
2020-12-06,0.87902
2020-12-07,1.96735
2020-12-08,2.38593
2020-12-09,1.98827
2020-12-10,2.74173
2020-12-11,2.42779
2020-12-12,1.3604
2020-12-13,1.19296
2020-12-14,1.90456
2020-12-15,2.28128
2020-12-16,3.11845
2020-12-17,2.57429
2020-12-18,1.96735
2020-12-19,1.21389
2020-12-20,1.0046
2020-12-21,2.88823
2020-12-22,2.76266
2020-12-23,2.57429
2020-12-24,2.30221
2020-12-25,1.63248
2020-12-26,1.46504
2020-12-27,2.13478
2020-12-28,3.16031
2020-12-29,3.03474
2020-12-30,2.8673
2020-12-31,2.51151
2021-01-01,2.07199
2021-01-02,1.65341
2021-01-03,2.28128
2021-01-04,3.91377
2021-01-05,3.39053
2021-01-06,3.66262
2021-01-07,3.39053
2021-01-08,2.99288
2021-01-09,1.61155
2021-01-10,1.75805
2021-01-11,3.43239
2021-01-12,3.30682
2021-01-13,3.41146
2021-01-14,3.0766
2021-01-15,2.8673
2021-01-16,1.38133
2021-01-17,1.61155
2021-01-18,2.59522
2021-01-19,3.01381
2021-01-20,3.70447
2021-01-21,2.74173
2021-01-22,2.76266
2021-01-23,1.65341
2021-01-24,1.8627
2021-01-25,3.36961
2021-01-26,2.63708
2021-01-27,2.84637
2021-01-28,3.45332
2021-01-29,3.09753
2021-01-30,1.5069
2021-01-31,1.40226
2021-02-01,3.99748
2021-02-02,3.55797
2021-02-03,4.66722
2021-02-04,4.47886
2021-02-05,3.36961
2021-02-06,2.26035
2021-02-07,1.71619
2021-02-08,4.0812
2021-02-09,3.53704
2021-02-10,3.09753
2021-02-11,1.27668
2021-02-12,1.52783
2021-02-13,1.29761
2021-02-14,1.61155
2021-02-15,4.9393
2021-02-16,3.70447
2021-02-17,3.32775
2021-02-18,2.90916
2021-02-19,2.2185
2021-02-20,1.40226
2021-02-21,1.46504
2021-02-22,3.83005
2021-02-23,3.2231
2021-02-24,2.97195
2021-02-25,3.78819
2021-02-26,3.89284
2021-02-27,1.44411
2021-02-28,1.63248
2021-03-01,2.40686
2021-03-02,3.85098
2021-03-03,4.68815
2021-03-04,3.95562
2021-03-05,3.20217
2021-03-06,2.13478
2021-03-07,2.32314
2021-03-08,4.56257
2021-03-09,3.91377
2021-03-10,3.70447
2021-03-11,3.28589
2021-03-12,3.09753
2021-03-13,1.27668
2021-03-14,1.71619
2021-03-15,3.53704
2021-03-16,3.87191
2021-03-17,3.2231
2021-03-18,3.01381
2021-03-19,2.76266
2021-03-20,1.69526
2021-03-21,1.88363
2021-03-22,3.24403
2021-03-23,3.64169
2021-03-24,2.99288
2021-03-25,3.24403
2021-03-26,2.65801
2021-03-27,1.25575
2021-03-28,1.54876
2021-03-29,3.28589
2021-03-30,3.24403
2021-03-31,3.01381
2021-04-01,3.55797
2021-04-02,2.88823
2021-04-03,1.27668
2021-04-04,1.1511
2021-04-05,2.59522
2021-04-06,2.76266
2021-04-07,3.01381
2021-04-08,3.05567
2021-04-09,2.53244
2021-04-10,1.31854
2021-04-11,0.77438
2021-04-12,2.93009
2021-04-13,2.78359
2021-04-14,2.95102
2021-04-15,3.09753
2021-04-16,2.32314
2021-04-17,1.13017
2021-04-18,1.04646
2021-04-19,2.63708
2021-04-20,2.80452
2021-04-21,2.51151
2021-04-22,2.13478
2021-04-23,1.90456
2021-04-24,0.89995
2021-04-25,0.89995
2021-04-26,2.57429
2021-04-27,2.23943
2021-04-28,1.84177
2021-04-29,2.05106
2021-04-30,2.26035
2021-05-01,0.89995
2021-05-02,1.25575
2021-05-03,3.01381
2021-05-04,2.7208
2021-05-05,1.38133
2021-05-06,1.90456
2021-05-07,2.44872
2021-05-08,1.06739
2021-05-09,1.31854
2021-05-10,3.09753
2021-05-11,2.88823
2021-05-12,2.63708
2021-05-13,2.76266
2021-05-14,2.13478
2021-05-15,1.44411
2021-05-16,1.33947
2021-05-17,3.20217
2021-05-18,2.99288
2021-05-19,1.75805
2021-05-20,2.99288
2021-05-21,2.74173
2021-05-22,1.48597
2021-05-23,1.17203
2021-05-24,3.03474
2021-05-25,3.01381
2021-05-26,2.63708
2021-05-27,2.74173
2021-05-28,2.34407
2021-05-29,1.31854
2021-05-30,1.10925
2021-05-31,2.80452
2021-06-01,3.24403
2021-06-02,2.65801
2021-06-03,2.40686
2021-06-04,2.38593
2021-06-05,1.19296
2021-06-06,1.63248
2021-06-07,2.74173
2021-06-08,2.7208
2021-06-09,2.57429
2021-06-10,2.57429
2021-06-11,2.65801
2021-06-12,1.0046
2021-06-13,0.98367
2021-06-14,2.84637
2021-06-15,2.76266
2021-06-16,2.76266
2021-06-17,2.49058
2021-06-18,1.88363
2021-06-19,0.89995
2021-06-20,0.79531
2021-06-21,2.42779
2021-06-22,2.365
2021-06-23,2.38593
2021-06-24,4.66722
2021-06-25,3.47425
2021-06-26,2.11385
2021-06-27,2.09292
2021-06-28,2.88823
2021-06-29,3.30682
2021-06-30,3.51611
2021-07-01,3.41146
2021-07-02,2.84637
2021-07-03,1.8627
2021-07-04,1.61155
2021-07-05,3.36961
2021-07-06,3.43239
2021-07-07,2.44872
2021-07-08,2.44872
2021-07-09,2.0092
2021-07-10,1.04646
2021-07-11,1.21389
2021-07-12,2.51151
2021-07-13,2.38593
2021-07-14,2.57429
2021-07-15,2.63708
2021-07-16,2.05106
2021-07-17,1.27668
2021-07-18,1.08832
2021-07-19,2.57429
2021-07-20,2.40686
2021-07-21,1.8627
2021-07-22,2.15571
2021-07-23,2.55336
2021-07-24,1.27668
2021-07-25,1.02553
2021-07-26,2.74173
2021-07-27,3.16031
2021-07-28,2.97195
2021-07-29,3.03474
2021-07-30,3.11845
2021-07-31,1.44411
2021-08-01,1.88363
2021-08-02,3.91377
2021-08-03,3.41146
2021-08-04,3.18124
2021-08-05,3.49518
2021-08-06,2.80452
2021-08-07,1.94642
2021-08-08,1.40226
2021-08-09,4.06027
2021-08-10,3.49518
2021-08-11,3.43239
2021-08-12,3.59983
2021-08-13,3.41146
2021-08-14,1.79991
2021-08-15,1.79991
2021-08-16,2.44872
2021-08-17,3.30682
2021-08-18,3.76726
2021-08-19,3.83005
2021-08-20,3.89284
2021-08-21,2.26035
2021-08-22,2.2185
2021-08-23,4.81372
2021-08-24,4.06027
2021-08-25,4.52071
2021-08-26,5.52532
2021-08-27,5.12766
2021-08-28,2.61615
2021-08-29,2.55336
2021-08-30,5.35789
2021-08-31,6.13227
2021-09-01,6.17413
2021-09-02,6.32063
2021-09-03,4.73001
2021-09-04,2.40686
2021-09-05,2.44872
2021-09-06,4.31142
2021-09-07,5.65089
2021-09-08,4.89744
2021-09-09,4.91837
