date,오늘미국증시
2020-03-20,17.41166
2020-03-21,10.89825
2020-03-22,4.08684
2020-03-23,18.81651
2020-03-24,22.86079
2020-03-25,19.83822
2020-03-26,22.60536
2020-03-27,18.34823
2020-03-28,11.66453
2020-03-29,3.78884
2020-03-30,13.4951
2020-03-31,15.24052
2020-04-01,18.0928
2020-04-02,17.4968
2020-04-03,12.81396
2020-04-04,6.8114
2020-04-05,3.32056
2020-04-06,8.8974
2020-04-07,12.43082
2020-04-08,12.77139
2020-04-09,12.26053
2020-04-10,45.59386
2020-04-11,19.49765
2020-04-12,4.17198
2020-04-13,15.45338
2020-04-14,11.02596
2020-04-15,9.66368
2020-04-16,8.93997
2020-04-17,9.02511
2020-04-18,6.25798
2020-04-19,3.78884
2020-04-20,7.27969
2020-04-21,11.19625
2020-04-22,12.34567
2020-04-23,8.98254
2020-04-24,9.36568
2020-04-25,4.76798
2020-04-26,2.29885
2020-04-27,6.42826
2020-04-28,8.21626
2020-04-29,7.62026
2020-04-30,6.00255
2020-05-01,7.87569
2020-05-02,5.44912
2020-05-03,1.66028
2020-05-04,5.61941
2020-05-05,8.0034
2020-05-06,7.91826
2020-05-07,8.17369
2020-05-08,7.49255
2020-05-09,5.02341
2020-05-10,2.29885
2020-05-11,5.74712
2020-05-12,7.79054
2020-05-13,8.72711
2020-05-14,11.57939
2020-05-15,10.30225
2020-05-16,4.98084
2020-05-17,2.12856
2020-05-18,5.83226
2020-05-19,9.70625
2020-05-20,13.53767
2020-05-21,10.68539
2020-05-22,9.83397
2020-05-23,6.93912
2020-05-24,2.72456
2020-05-25,52.14985
2020-05-26,27.11792
2020-05-27,11.19625
2020-05-28,9.45083
2020-05-29,9.57854
2020-05-30,5.06598
2020-05-31,2.08599
2020-06-01,6.68369
2020-06-02,8.3014
2020-06-03,8.47169
2020-06-04,9.83397
2020-06-05,8.25883
2020-06-06,7.27969
2020-06-07,2.34142
2020-06-08,7.83312
2020-06-09,10.34482
2020-06-10,9.87654
2020-06-11,10.77054
2020-06-12,20.09365
2020-06-13,14.17624
2020-06-14,8.25883
2020-06-15,39.37845
2020-06-16,42.10302
2020-06-17,27.71392
2020-06-18,23.45679
2020-06-19,21.41336
2020-06-20,7.83312
2020-06-21,4.81055
2020-06-22,14.55938
2020-06-23,15.70881
2020-06-24,21.66879
2020-06-25,38.2716
2020-06-26,36.31332
2020-06-27,20.30651
2020-06-28,9.74882
2020-06-29,45.16815
2020-06-30,44.01873
2020-07-01,31.28991
2020-07-02,30.31077
2020-07-03,96.33886
2020-07-04,34.01447
2020-07-05,8.38654
2020-07-06,22.22222
2020-07-07,25.20221
2020-07-08,25.67049
2020-07-09,18.81651
2020-07-10,17.24137
2020-07-11,9.96168
2020-07-12,5.15112
2020-07-13,14.94252
2020-07-14,27.84163
2020-07-15,27.03277
2020-07-16,25.37249
2020-07-17,20.90251
2020-07-18,9.91911
2020-07-19,5.78969
2020-07-20,12.6011
2020-07-21,17.32652
2020-07-22,18.26309
2020-07-23,20.22137
2020-07-24,24.81907
2020-07-25,11.87739
2020-07-26,7.36483
2020-07-27,13.83567
2020-07-28,17.4968
2020-07-29,16.9008
2020-07-30,16.17709
2020-07-31,17.07109
2020-08-01,7.44997
2020-08-02,2.55427
2020-08-03,9.1954
2020-08-04,12.09025
2020-08-05,13.11196
2020-08-06,16.17709
2020-08-07,14.64452
2020-08-08,8.68454
2020-08-09,3.53341
2020-08-10,9.06768
2020-08-11,10.38739
2020-08-12,13.96338
2020-08-13,15.53852
2020-08-14,12.43082
2020-08-15,6.13026
2020-08-16,2.29885
2020-08-17,14.47424
2020-08-18,15.58109
2020-08-19,12.3031
2020-08-20,14.55938
2020-08-21,14.94252
2020-08-22,7.87569
2020-08-23,3.57598
2020-08-24,10.68539
2020-08-25,15.75138
2020-08-26,14.85738
2020-08-27,16.30481
2020-08-28,12.55853
2020-08-29,6.04512
2020-08-30,3.19284
2020-08-31,7.79054
2020-09-01,10.68539
2020-09-02,11.40911
2020-09-03,14.47424
2020-09-04,41.33673
2020-09-05,20.64708
2020-09-06,8.21626
2020-09-07,95.99829
2020-09-08,62.62239
2020-09-09,32.7799
2020-09-10,25.88335
2020-09-11,26.9902
2020-09-12,14.81481
2020-09-13,6.59855
2020-09-14,16.30481
2020-09-15,18.47594
2020-09-16,19.49765
2020-09-17,21.24308
2020-09-18,22.47765
2020-09-19,10.98339
2020-09-20,3.19284
2020-09-21,17.02852
2020-09-22,26.30906
2020-09-23,24.05278
2020-09-24,26.13878
2020-09-25,26.9902
2020-09-26,13.02681
2020-09-27,4.21455
2020-09-28,12.94167
2020-09-29,17.41166
2020-09-30,12.21796
2020-10-01,11.19625
2020-10-02,17.92252
2020-10-03,14.6871
2020-10-04,8.17369
2020-10-05,11.49425
2020-10-06,17.32652
2020-10-07,18.05023
2020-10-08,13.45253
2020-10-09,9.96168
2020-10-10,8.3014
2020-10-11,3.91656
2020-10-12,11.57939
2020-10-13,16.85823
2020-10-14,18.47594
2020-10-15,20.77479
2020-10-16,16.9008
2020-10-17,11.87739
2020-10-18,4.38484
2020-10-19,11.32396
2020-10-20,17.11366
2020-10-21,16.9008
2020-10-22,17.53937
2020-10-23,16.26223
2020-10-24,8.72711
2020-10-25,3.02256
2020-10-26,10.55768
2020-10-27,15.32567
2020-10-28,16.51766
2020-10-29,17.07109
2020-10-30,14.9851
2020-10-31,7.79054
2020-11-01,3.32056
2020-11-02,44.23158
2020-11-03,31.63048
2020-11-04,24.56364
2020-11-05,28.69306
2020-11-06,20.56194
2020-11-07,9.96168
2020-11-08,3.78884
2020-11-09,16.51766
2020-11-10,20.94508
2020-11-11,19.07194
2020-11-12,20.26394
2020-11-13,17.45423
2020-11-14,8.81226
2020-11-15,3.32056
2020-11-16,10.85568
2020-11-17,16.73052
2020-11-18,16.81566
2020-11-19,14.85738
2020-11-20,15.96424
2020-11-21,7.83312
2020-11-22,3.57598
2020-11-23,9.62111
2020-11-24,13.62281
2020-11-25,14.51681
2020-11-26,73.00979
2020-11-27,53.81013
2020-11-28,13.70796
2020-11-29,3.4057
2020-11-30,10.89825
2020-12-01,15.66624
2020-12-02,14.17624
2020-12-03,14.77224
2020-12-04,11.49425
2020-12-05,6.64112
2020-12-06,3.57598
2020-12-07,8.08854
2020-12-08,14.64452
2020-12-09,14.64452
2020-12-10,18.05023
2020-12-11,15.62366
2020-12-12,8.13111
2020-12-13,2.85227
2020-12-14,7.87569
2020-12-15,11.96253
2020-12-16,15.15538
2020-12-17,12.64367
2020-12-18,12.81396
2020-12-19,6.21541
2020-12-20,2.2137
2020-12-21,8.93997
2020-12-22,14.72967
2020-12-23,14.26138
2020-12-24,15.28309
2020-12-25,10.38739
2020-12-26,2.55427
2020-12-27,2.25627
2020-12-28,6.47083
2020-12-29,9.74882
2020-12-30,11.57939
2020-12-31,11.96253
2021-01-01,7.15197
2021-01-02,1.36228
2021-01-03,1.53256
2021-01-04,6.5134
2021-01-05,12.98424
2021-01-06,12.72882
2021-01-07,12.21796
2021-01-08,12.47339
2021-01-09,6.25798
2021-01-10,2.12856
2021-01-11,7.57769
2021-01-12,13.23967
2021-01-13,14.51681
2021-01-14,14.3891
2021-01-15,13.40996
2021-01-16,8.47169
2021-01-17,2.85227
2021-01-18,77.82034
2021-01-19,46.18986
2021-01-20,17.36909
2021-01-21,14.85738
2021-01-22,14.9851
2021-01-23,7.44997
2021-01-24,3.36313
2021-01-25,8.17369
2021-01-26,15.79395
2021-01-27,16.73052
2021-01-28,22.6905
2021-01-29,26.47935
2021-01-30,16.09195
2021-01-31,4.46998
2021-02-01,15.07024
2021-02-02,17.53937
2021-02-03,16.51766
2021-02-04,17.87994
2021-02-05,18.6888
2021-02-06,8.51426
2021-02-07,3.91656
2021-02-08,11.15368
2021-02-09,14.47424
2021-02-10,11.91996
2021-02-11,10.64282
2021-02-12,7.02426
2021-02-13,10.04682
2021-02-14,4.5977
2021-02-15,54.7467
2021-02-16,33.84418
2021-02-17,13.7931
2021-02-18,16.77309
2021-02-19,16.04938
2021-02-20,8.93997
2021-02-21,4.34227
2021-02-22,9.4934
2021-02-23,17.24137
2021-02-24,21.24308
2021-02-25,20.17879
2021-02-26,27.50106
2021-02-27,15.92166
2021-02-28,6.25798
2021-03-01,23.32907
2021-03-02,26.77735
2021-03-03,27.84163
2021-03-04,27.67134
2021-03-05,30.39591
2021-03-06,16.00681
2021-03-07,6.5134
2021-03-08,17.96509
2021-03-09,27.24563
2021-03-10,27.84163
2021-03-11,22.86079
2021-03-12,21.83908
2021-03-13,11.79225
2021-03-14,4.93827
2021-03-15,12.8991
2021-03-16,18.00766
2021-03-17,19.24223
2021-03-18,20.13622
2021-03-19,19.15708
2021-03-20,10.77054
2021-03-21,4.76798
2021-03-22,10.17454
2021-03-23,15.15538
2021-03-24,18.56108
2021-03-25,18.64623
2021-03-26,16.17709
2021-03-27,8.76968
2021-03-28,3.95913
2021-03-29,15.45338
2021-03-30,16.09195
2021-03-31,14.85738
2021-04-01,15.92166
2021-04-02,100.0
2021-04-03,34.39761
2021-04-04,4.64027
2021-04-05,11.53682
2021-04-06,13.96338
2021-04-07,15.15538
2021-04-08,13.83567
2021-04-09,12.98424
2021-04-10,6.34312
2021-04-11,2.42656
2021-04-12,7.19455
2021-04-13,14.17624
2021-04-14,13.15453
2021-04-15,13.15453
2021-04-16,11.66453
2021-04-17,6.04512
2021-04-18,2.8097
2021-04-19,4.38484
2021-04-20,13.23967
2021-04-21,14.51681
2021-04-22,15.19795
2021-04-23,15.32567
2021-04-24,7.19455
2021-04-25,2.2137
2021-04-26,6.76883
2021-04-27,13.40996
2021-04-28,14.55938
2021-04-29,13.92081
2021-04-30,14.3891
2021-05-01,5.53426
2021-05-02,2.68199
2021-05-03,6.68369
2021-05-04,12.8991
2021-05-05,15.75138
2021-05-06,12.8991
2021-05-07,12.0051
2021-05-08,5.70455
2021-05-09,2.17113
2021-05-10,7.27969
2021-05-11,18.22051
2021-05-12,21.24308
2021-05-13,27.62877
2021-05-14,25.37249
2021-05-15,11.11111
2021-05-16,5.06598
2021-05-17,12.85653
2021-05-18,16.77309
2021-05-19,20.05108
2021-05-20,21.07279
2021-05-21,16.00681
2021-05-22,9.66368
2021-05-23,4.21455
2021-05-24,9.74882
2021-05-25,16.94338
2021-05-26,18.30566
2021-05-27,16.34738
2021-05-28,15.92166
2021-05-29,8.5994
2021-05-30,3.15027
2021-05-31,58.87611
2021-06-01,31.41762
2021-06-02,16.51766
2021-06-03,16.98595
2021-06-04,15.07024
2021-06-05,8.42911
2021-06-06,3.19284
2021-06-07,8.93997
2021-06-08,16.13452
2021-06-09,16.6028
2021-06-10,15.45338
2021-06-11,13.53767
2021-06-12,8.04597
2021-06-13,3.49084
2021-06-14,9.11025
2021-06-15,13.1971
2021-06-16,16.81566
2021-06-17,15.75138
2021-06-18,15.32567
2021-06-19,10.13197
2021-06-20,3.95913
2021-06-21,10.68539
2021-06-22,17.75223
2021-06-23,18.3908
2021-06-24,18.13537
2021-06-25,16.21966
2021-06-26,8.13111
2021-06-27,3.23541
2021-06-28,8.85483
2021-06-29,13.40996
2021-06-30,13.1971
2021-07-01,12.94167
2021-07-02,11.79225
2021-07-03,5.66198
2021-07-04,3.02256
2021-07-05,81.82205
2021-07-06,28.65048
2021-07-07,16.94338
