date,오늘의환율
2020-03-20,100.0
2020-03-21,22.41124
2020-03-22,14.18269
2020-03-23,88.08247
2020-03-24,77.92159
2020-03-25,74.3713
2020-03-26,66.62352
2020-03-27,63.28587
2020-03-28,17.62204
2020-03-29,11.43676
2020-03-30,62.85133
2020-03-31,54.73372
2020-04-01,52.95857
2020-04-02,59.74482
2020-04-03,50.73039
2020-04-04,15.21819
2020-04-05,9.80954
2020-04-06,50.17566
2020-04-07,49.41752
2020-04-08,48.33579
2020-04-09,43.87019
2020-04-10,44.47115
2020-04-11,12.20414
2020-04-12,8.49667
2020-04-13,44.20303
2020-04-14,39.01627
2020-04-15,15.9301
2020-04-16,44.86871
2020-04-17,41.20747
2020-04-18,11.49223
2020-04-19,8.08986
2020-04-20,40.07951
2020-04-21,49.30658
2020-04-22,47.17085
2020-04-23,43.45414
2020-04-24,42.0673
2020-04-25,12.31508
2020-04-26,8.04363
2020-04-27,40.4031
2020-04-28,39.38609
2020-04-29,37.99926
2020-04-30,14.25665
2020-05-01,14.46005
2020-05-02,8.54289
2020-05-03,8.04363
2020-05-04,37.13017
2020-05-05,13.23964
2020-05-06,36.21486
2020-05-07,32.72004
2020-05-08,32.32248
2020-05-09,10.03143
2020-05-10,7.0636
2020-05-11,35.12389
2020-05-12,32.32248
2020-05-13,32.55362
2020-05-14,32.20229
2020-05-15,31.05584
2020-05-16,9.64312
2020-05-17,7.27625
2020-05-18,33.90347
2020-05-19,35.66937
2020-05-20,34.36575
2020-05-21,32.66457
2020-05-22,35.05917
2020-05-23,11.15939
2020-05-24,8.67233
2020-05-25,40.44933
2020-05-26,41.51257
2020-05-27,38.1102
2020-05-28,39.09948
2020-05-29,36.7511
2020-05-30,11.02071
2020-05-31,7.57211
2020-06-01,39.50628
2020-06-02,37.08394
2020-06-03,41.40162
2020-06-04,39.044
2020-06-05,37.81434
2020-06-06,11.31656
2020-06-07,6.84171
2020-06-08,39.80214
2020-06-09,43.49112
2020-06-10,42.74223
2020-06-11,45.68232
2020-06-12,43.97189
2020-06-13,11.39977
2020-06-14,7.78476
2020-06-15,42.54807
2020-06-16,41.93786
2020-06-17,43.26923
2020-06-18,38.34134
2020-06-19,33.78328
2020-06-20,9.83727
2020-06-21,6.85096
2020-06-22,35.53069
2020-06-23,34.64312
2020-06-24,34.90199
2020-06-25,36.51997
2020-06-26,34.38424
2020-06-27,9.40273
2020-06-28,6.37019
2020-06-29,36.18713
2020-06-30,34.43047
2020-07-01,33.35798
2020-07-02,31.83247
2020-07-03,30.45488
2020-07-04,8.95894
2020-07-05,5.89866
2020-07-06,33.43195
2020-07-07,33.91272
2020-07-08,30.77847
2020-07-09,30.63054
2020-07-10,30.97263
2020-07-11,9.24556
2020-07-12,6.1298
2020-07-13,29.96486
2020-07-14,30.75073
2020-07-15,29.60428
2020-07-16,29.06804
2020-07-17,26.69193
2020-07-18,7.59985
2020-07-19,5.67677
2020-07-20,28.06028
2020-07-21,28.76294
2020-07-22,29.85392
2020-07-23,29.86316
2020-07-24,30.73224
2020-07-25,8.33949
2020-07-26,5.87093
2020-07-27,30.94489
2020-07-28,33.45044
2020-07-29,32.53513
2020-07-30,33.96819
2020-07-31,36.05769
2020-08-01,9.41198
2020-08-02,6.92492
2020-08-03,30.71375
2020-08-04,28.55029
2020-08-05,30.75073
2020-08-06,34.70784
2020-08-07,31.94341
2020-08-08,9.48594
2020-08-09,6.3517
2020-08-10,30.69526
2020-08-11,29.85392
2020-08-12,29.79844
2020-08-13,28.06952
2020-08-14,25.23113
2020-08-15,7.40569
2020-08-16,5.68602
2020-08-17,13.32285
2020-08-18,30.00184
2020-08-19,27.31139
2020-08-20,31.25924
2020-08-21,29.40088
2020-08-22,8.4227
2020-08-23,6.09282
2020-08-24,31.07433
2020-08-25,28.6335
2020-08-26,27.8014
2020-08-27,25.62869
2020-08-28,26.50702
2020-08-29,7.98816
2020-08-30,5.54733
2020-08-31,29.57655
2020-09-01,29.13276
2020-09-02,24.97226
2020-09-03,24.88905
2020-09-04,28.46708
2020-09-05,7.29474
2020-09-06,5.5011
2020-09-07,23.54844
2020-09-08,23.75184
2020-09-09,25.79511
2020-09-10,24.69489
2020-09-11,22.79031
2020-09-12,7.35946
2020-09-13,5.04807
2020-09-14,24.08468
2020-09-15,26.59023
2020-09-16,28.15273
2020-09-17,28.60576
2020-09-18,35.05917
2020-09-19,9.58764
2020-09-20,6.36094
2020-09-21,34.45821
2020-09-22,32.00813
2020-09-23,28.5318
2020-09-24,32.10983
2020-09-25,28.75369
2020-09-26,8.71856
2020-09-27,6.18528
2020-09-28,26.30362
2020-09-29,24.63942
2020-09-30,8.14534
2020-10-01,5.99112
2020-10-02,6.74001
2020-10-03,6.14829
2020-10-04,5.22374
2020-10-05,28.25443
2020-10-06,27.78291
2020-10-07,25.38831
2020-10-08,28.125
2020-10-09,11.76035
2020-10-10,7.82174
2020-10-11,5.56582
2020-10-12,31.33321
2020-10-13,29.65976
2020-10-14,30.12204
2020-10-15,27.86612
2020-10-16,25.63794
2020-10-17,7.72004
2020-10-18,5.57507
2020-10-19,27.45007
2020-10-20,27.82914
2020-10-21,29.85392
2020-10-22,29.27144
2020-10-23,27.01553
2020-10-24,9.49519
2020-10-25,7.27625
2020-10-26,31.61057
2020-10-27,30.94489
2020-10-28,31.52736
2020-10-29,30.5196
2020-10-30,31.00036
2020-10-31,9.02366
2020-11-01,6.25924
2020-11-02,29.91863
2020-11-03,28.41161
2020-11-04,33.30251
2020-11-05,35.9375
2020-11-06,32.78476
2020-11-07,9.79105
2020-11-08,7.70155
2020-11-09,36.61242
2020-11-10,36.74186
2020-11-11,33.67233
2020-11-12,32.97892
2020-11-13,30.32544
2020-11-14,9.22707
2020-11-15,6.13905
2020-11-16,33.37647
2020-11-17,31.53661
2020-11-18,29.86316
2020-11-19,36.22411
2020-11-20,32.99741
2020-11-21,9.49519
2020-11-22,6.48113
2020-11-23,32.12832
2020-11-24,32.04511
2020-11-25,31.78624
2020-11-26,30.42714
2020-11-27,29.8909
2020-11-28,9.64312
2020-11-29,6.38868
2020-11-30,30.68602
2020-12-01,28.01405
2020-12-02,31.27773
2020-12-03,34.19933
2020-12-04,39.40458
2020-12-05,10.56767
2020-12-06,7.70155
2020-12-07,36.20562
2020-12-08,33.70931
2020-12-09,32.8125
2020-12-10,31.98039
2020-12-11,32.12832
2020-12-12,10.03143
2020-12-13,7.83099
2020-12-14,33.04363
2020-12-15,31.49038
2020-12-16,29.80769
2020-12-17,30.54733
2020-12-18,30.74149
2020-12-19,10.19785
2020-12-20,6.79548
2020-12-21,32.24852
2020-12-22,32.78476
2020-12-23,31.70303
2020-12-24,28.96634
2020-12-25,10.24408
2020-12-26,8.58912
2020-12-27,6.64755
2020-12-28,32.41494
2020-12-29,31.49038
2020-12-30,30.60281
2020-12-31,23.99223
2021-01-01,8.82026
2021-01-02,7.53513
2021-01-03,6.76775
2021-01-04,32.47965
2021-01-05,31.98964
2021-01-06,31.58284
2021-01-07,29.49334
2021-01-08,31.18528
2021-01-09,10.21634
2021-01-10,6.58284
2021-01-11,34.28254
2021-01-12,33.10835
2021-01-13,30.83394
2021-01-14,30.08505
2021-01-15,28.25443
2021-01-16,10.15162
2021-01-17,7.17455
2021-01-18,32.42418
2021-01-19,31.72152
2021-01-20,30.95414
2021-01-21,29.75221
2021-01-22,28.70747
2021-01-23,10.25332
2021-01-24,7.42418
2021-01-25,29.1605
2021-01-26,28.82766
2021-01-27,28.69822
2021-01-28,38.25813
2021-01-29,36.55695
2021-01-30,12.06545
2021-01-31,7.23927
2021-02-01,34.53217
2021-02-02,31.13905
2021-02-03,29.76146
2021-02-04,28.3284
2021-02-05,31.64755
2021-02-06,10.57692
2021-02-07,7.17455
2021-02-08,30.28846
2021-02-09,29.52107
2021-02-10,26.09097
2021-02-11,9.13461
2021-02-12,6.32396
2021-02-13,6.00036
2021-02-14,5.26997
2021-02-15,27.77366
2021-02-16,28.79068
2021-02-17,27.36686
2021-02-18,28.61501
2021-02-19,26.99704
2021-02-20,8.86649
2021-02-21,5.71375
2021-02-22,29.11427
2021-02-23,29.85392
2021-02-24,28.06028
2021-02-25,28.50406
2021-02-26,33.29326
2021-02-27,10.32729
2021-02-28,6.46264
2021-03-01,11.98224
2021-03-02,32.60909
2021-03-03,29.76146
2021-03-04,30.723
2021-03-05,31.91568
2021-03-06,9.94822
2021-03-07,6.38868
2021-03-08,34.09763
2021-03-09,37.13017
2021-03-10,38.01775
2021-03-11,34.95747
2021-03-12,33.7463
2021-03-13,9.8835
2021-03-14,6.62906
2021-03-15,31.37019
2021-03-16,29.94637
2021-03-17,28.80917
2021-03-18,30.01109
2021-03-19,27.66272
2021-03-20,8.82026
2021-03-21,6.13905
2021-03-22,28.84615
2021-03-23,26.59023
2021-03-24,28.51331
2021-03-25,28.42085
2021-03-26,26.0355
2021-03-27,8.39497
2021-03-28,5.61205
2021-03-29,27.48705
2021-03-30,26.60872
2021-03-31,26.77514
2021-04-01,25.88757
2021-04-02,25.11094
2021-04-03,8.10835
2021-04-04,5.80621
2021-04-05,25.89681
2021-04-06,26.65495
2021-04-07,28.42085
2021-04-08,25.64718
2021-04-09,26.0355
2021-04-10,8.06213
2021-04-11,6.13905
2021-04-12,25.98002
2021-04-13,26.41457
2021-04-14,27.03402
2021-04-15,26.90458
2021-04-16,24.52847
2021-04-17,8.14534
2021-04-18,5.5011
2021-04-19,25.91531
2021-04-20,25.94304
2021-04-21,27.35761
2021-04-22,25.42529
2021-04-23,23.5392
2021-04-24,6.98039
2021-04-25,5.91715
2021-04-26,25.02773
2021-04-27,25.43454
2021-04-28,23.72411
2021-04-29,24.42677
2021-04-30,22.95673
2021-05-01,7.17455
2021-05-02,5.61205
2021-05-03,22.96597
2021-05-04,23.03069
2021-05-05,10.90976
2021-05-06,24.89829
2021-05-07,21.96745
2021-05-08,7.05436
2021-05-09,4.98335
2021-05-10,23.28957
2021-05-11,24.2511
2021-05-12,24.89829
2021-05-13,26.78439
2021-05-14,25.23113
2021-05-15,7.74778
2021-05-16,5.47337
2021-05-17,27.99556
2021-05-18,25.28661
2021-05-19,11.08542
2021-05-20,26.18343
2021-05-21,23.6409
2021-05-22,7.0636
2021-05-23,5.00184
2021-05-24,24.68565
2021-05-25,23.90902
2021-05-26,25.07396
2021-05-27,25.2034
2021-05-28,23.34504
2021-05-29,6.9619
2021-05-30,5.02958
2021-05-31,26.45155
2021-06-01,28.80917
2021-06-02,26.65495
2021-06-03,25.66568
2021-06-04,23.54844
2021-06-05,7.32248
2021-06-06,5.06656
2021-06-07,24.2511
2021-06-08,23.52995
2021-06-09,21.9767
2021-06-10,21.74556
2021-06-11,23.03069
2021-06-12,6.70303
2021-06-13,4.47485
2021-06-14,22.62389
2021-06-15,22.45747
2021-06-16,21.7548
2021-06-17,30.83394
2021-06-18,28.97559
2021-06-19,8.40421
2021-06-20,5.67677
2021-06-21,28.26368
2021-06-22,25.46227
2021-06-23,26.63646
2021-06-24,24.84282
2021-06-25,24.72263
2021-06-26,7.15606
2021-06-27,4.87241
2021-06-28,24.80584
2021-06-29,22.35576
2021-06-30,26.75665
2021-07-01,23.45599
2021-07-02,21.0244
2021-07-03,6.98964
2021-07-04,4.93713
2021-07-05,23.17862
2021-07-06,21.45894
2021-07-07,24.0477
2021-07-08,30.5196
2021-07-09,31.71227
2021-07-10,9.22707
2021-07-11,6.14829
2021-07-12,26.7659
2021-07-13,23.99223
2021-07-14,27.48705
2021-07-15,27.38535
2021-07-16,26.06323
2021-07-17,7.50739
2021-07-18,5.00184
2021-07-19,27.08025
2021-07-20,30.33468
2021-07-21,28.99408
2021-07-22,27.66272
2021-07-23,27.77366
2021-07-24,8.25628
2021-07-25,5.28846
2021-07-26,27.05251
2021-07-27,26.68269
2021-07-28,28.05103
2021-07-29,26.59948
2021-07-30,26.11871
2021-07-31,9.38424
2021-08-01,6.33321
2021-08-02,25.45303
2021-08-03,24.49149
2021-08-04,24.88905
2021-08-05,24.80584
2021-08-06,23.45599
2021-08-07,7.6923
2021-08-08,5.9264
2021-08-09,24.5747
2021-08-10,24.40828
2021-08-11,28.55954
2021-08-12,32.12832
2021-08-13,37.76812
2021-08-14,11.11316
2021-08-15,7.07285
2021-08-16,15.32914
2021-08-17,45.34948
2021-08-18,38.40606
2021-08-19,40.39386
2021-08-20,44.20303
2021-08-21,11.65865
2021-08-22,8.08986
2021-08-23,39.2659
2021-08-24,35.94674
2021-08-25,34.71708
2021-08-26,35.41974
2021-08-27,31.98039
2021-08-28,10.10539
2021-08-29,6.62906
2021-08-30,31.13905
2021-08-31,30.90791
2021-09-01,33.04363
2021-09-02,31.11131
2021-09-03,27.94008
2021-09-04,8.67233
2021-09-05,5.83394
2021-09-06,26.95081
2021-09-07,26.83062
2021-09-08,28.39312
2021-09-09,31.12056
2021-09-10,29.20673
2021-09-11,8.63535
2021-09-12,5.96338
2021-09-13,32.72004
2021-09-14,28.27292
2021-09-15,27.92159
2021-09-16,27.40384
2021-09-17,29.45636
2021-09-18,9.32877
2021-09-19,6.37019
2021-09-20,8.94045
2021-09-21,10.79881
2021-09-22,12.92529
2021-09-23,37.47226
2021-09-24,32.09134
2021-09-25,10.24408
2021-09-26,7.35946
2021-09-27,30.75073
2021-09-28,34.17159
2021-09-29,37.62943
2021-09-30,33.79252
2021-10-01,35.44748
2021-10-02,10.05917
2021-10-03,6.81397
2021-10-04,14.05325
2021-10-05,35.53994
2021-10-06,37.62943
2021-10-07,37.45377
2021-10-08,36.973
2021-10-09,10.97448
2021-10-10,7.8125
2021-10-11,15.5048
2021-10-12,45.36797
2021-10-13,39.42307
2021-10-14,34.42122
2021-10-15,32.27625
2021-10-16,10.13313
2021-10-17,6.86945
2021-10-18,31.82322
2021-10-19,31.49038
2021-10-20,32.37795
2021-10-21,31.00961
2021-10-22,26.83062
2021-10-23,8.67233
2021-10-24,6.5551
2021-10-25,32.24852
2021-10-26,31.60133
2021-10-27,31.93417
2021-10-28,29.39164
2021-10-29,29.19748
2021-10-30,9.70784
2021-10-31,6.82322
2021-11-01,30.90791
2021-11-02,28.80917
2021-11-03,29.00332
2021-11-04,31.37019
2021-11-05,30.46412
2021-11-06,9.60613
2021-11-07,6.99889
2021-11-08,29.50258
2021-11-09,31.63831
2021-11-10,29.20673
2021-11-11,30.52884
2021-11-12,27.2744
2021-11-13,8.79252
2021-11-14,6.04659
2021-11-15,27.96782
2021-11-16,29.72448
2021-11-17,28.42085
2021-11-18,28.48557
2021-11-19,27.53328
2021-11-20,9.48594
2021-11-21,7.24852
2021-11-22,31.41642
2021-11-23,31.68454
2021-11-24,29.94637
2021-11-25,30.28846
2021-11-26,29.24371
2021-11-27,10.95599
2021-11-28,7.43343
2021-11-29,32.82174
2021-11-30,32.87721
2021-12-01,33.95894
2021-12-02,31.64755
2021-12-03,29.38239
2021-12-04,10.2071
2021-12-05,6.93417
2021-12-06,29.93713
2021-12-07,27.46856
2021-12-08,27.40384
2021-12-09,27.32063
2021-12-10,26.34985
2021-12-11,8.99593
2021-12-12,6.47189
2021-12-13,26.07248
2021-12-14,26.5625
2021-12-15,26.59023
2021-12-16,27.20968
2021-12-17,25.02773
2021-12-18,8.51516
2021-12-19,6.6568
2021-12-20,34.01442
2021-12-21,33.57988
2021-12-22,31.41642
2021-12-23,29.17899
2021-12-24,24.95377
2021-12-25,7.86797
2021-12-26,6.57359
2021-12-27,26.85835
2021-12-28,26.22041
2021-12-29,24.46375
2021-12-30,25.07396
2021-12-31,20.81176
2022-01-01,7.75702
2022-01-02,7.03587
2022-01-03,28.45784
2022-01-04,32.23927
2022-01-05,37.06545
2022-01-06,41.49408
2022-01-07,38.8406
2022-01-08,12.30584
2022-01-09,8.71856
2022-01-10,36.99149
2022-01-11,33.36723
2022-01-12,31.5551
2022-01-13,30.96338
2022-01-14,30.08505
2022-01-15,10.5122
2022-01-16,7.60909
2022-01-17,30.27921
2022-01-18,29.88165
2022-01-19,30.63979
2022-01-20,27.94933
2022-01-21,29.8909
2022-01-22,9.38424
2022-01-23,7.03587
2022-01-24,30.83394
2022-01-25,35.34578
2022-01-26,30.43639
2022-01-27,37.31508
2022-01-28,35.78957
2022-01-29,13.13794
2022-01-30,8.17307
2022-01-31,8.58912
2022-02-01,9.69859
2022-02-02,11.63091
2022-02-03,32.01738
2022-02-04,29.01257
2022-02-05,11.02071
2022-02-06,7.29474
2022-02-07,31.3517
2022-02-08,30.11279
2022-02-09,27.95857
2022-02-10,28.07877
2022-02-11,27.85687
2022-02-12,9.59689
2022-02-13,6.67529
2022-02-14,29.49334
2022-02-15,28.92011
2022-02-16,28.125
2022-02-17,28.27292
2022-02-18,26.01701
2022-02-19,8.59837
2022-02-20,6.37943
2022-02-21,29.65051
2022-02-22,30.14053
2022-02-23,29.63202
2022-02-24,43.7315
2022-02-25,38.17492
2022-02-26,11.446
2022-02-27,8.33025
2022-02-28,34.19933
2022-03-01,14.8761
2022-03-02,34.09763
2022-03-03,29.58579
2022-03-04,38.24889
2022-03-05,13.52625
2022-03-06,8.61686
2022-03-07,46.20007
2022-03-08,46.61612
2022-03-09,18.06582
2022-03-10,39.42307
2022-03-11,36.99149
2022-03-12,13.11945
2022-03-13,10.37352
2022-03-14,42.80695
2022-03-15,42.83468
2022-03-16,40.42159
2022-03-17,44.17529
2022-03-18,41.20747
2022-03-19,13.45229
2022-03-20,9.0514
2022-03-21,36.64016
2022-03-22,36.27958
2022-03-23,35.73409
2022-03-24,33.38572
2022-03-25,31.51812
2022-03-26,11.47374
2022-03-27,7.93269
2022-03-28,35.46597
2022-03-29,32.33173
2022-03-30,34.33801
2022-03-31,33.48742
2022-04-01,29.53957
2022-04-02,10.79881
2022-04-03,7.85872
2022-04-04,29.22522
2022-04-05,29.73372
2022-04-06,31.22226
2022-04-07,31.53661
2022-04-08,31.21301
2022-04-09,10.1886
2022-04-10,6.80473
2022-04-11,34.63387
2022-04-12,36.01146
2022-04-13,33.89423
2022-04-14,32.10983
2022-04-15,30.96338
2022-04-16,9.80029
2022-04-17,6.99889
2022-04-18,31.90643
2022-04-19,35.09615
2022-04-20,36.90828
2022-04-21,32.96967
2022-04-22,37.01923
2022-04-23,11.61242
2022-04-24,8.00665
2022-04-25,43.70377
2022-04-26,40.95784
2022-04-27,46.88424
2022-04-28,48.77958
2022-04-29,46.51442
