date,오늘주가
2020-03-20,100.0
2020-03-21,8.37421
2020-03-22,3.644
2020-03-23,85.52908
2020-03-24,89.94393
2020-03-25,83.637
2020-03-26,91.52067
2020-03-27,77.1899
2020-03-28,7.1829
2020-03-29,2.80308
2020-03-30,72.59985
2020-03-31,58.93482
2020-04-01,75.85844
2020-04-02,73.5459
2020-04-03,58.33917
2020-04-04,5.88647
2020-04-05,2.34758
2020-04-06,56.51716
2020-04-07,57.4632
2020-04-08,59.49544
2020-04-09,53.71408
2020-04-10,54.34477
2020-04-11,4.30974
2020-04-12,2.62789
2020-04-13,53.29362
2020-04-14,44.53398
2020-04-15,9.63559
2020-04-16,47.96776
2020-04-17,42.11632
2020-04-18,5.85143
2020-04-19,1.40154
2020-04-20,45.83041
2020-04-21,62.33356
2020-04-22,51.75192
2020-04-23,43.37771
2020-04-24,45.76033
2020-04-25,4.23966
2020-04-26,2.13735
2020-04-27,38.71758
2020-04-28,40.15416
2020-04-29,35.14365
2020-04-30,4.34477
2020-05-01,9.25017
2020-05-02,2.38262
2020-05-03,1.29642
2020-05-04,40.88997
2020-05-05,4.7302
2020-05-06,32.48072
2020-05-07,30.58864
2020-05-08,27.3651
2020-05-09,2.45269
2020-05-10,0.80588
2020-05-11,28.55641
2020-05-12,33.14646
2020-05-13,31.32445
2020-05-14,34.05746
2020-05-15,29.99299
2020-05-16,3.53889
2020-05-17,1.19131
2020-05-18,26.59425
2020-05-19,34.02242
2020-05-20,30.65872
2020-05-21,31.70988
2020-05-22,38.64751
2020-05-23,3.3637
2020-05-24,1.29642
2020-05-25,28.59145
2020-05-26,31.21934
2020-05-27,34.72319
2020-05-28,40.67974
2020-05-29,33.39173
2020-05-30,2.733
2020-05-31,1.12123
2020-06-01,27.6454
2020-06-02,28.24106
2020-06-03,35.87946
2020-06-04,34.93342
2020-06-05,28.24106
2020-06-06,2.41765
2020-06-07,2.03223
2020-06-08,33.32165
2020-06-09,36.79046
2020-06-10,30.13314
2020-06-11,34.58304
2020-06-12,51.57673
2020-06-13,3.08339
2020-06-14,1.54169
2020-06-15,73.44078
2020-06-16,54.34477
2020-06-17,44.77925
2020-06-18,31.00911
2020-06-19,30.0981
2020-06-20,2.45269
2020-06-21,1.05115
2020-06-22,27.04975
2020-06-23,28.97687
2020-06-24,24.70217
2020-06-25,36.54519
2020-06-26,27.25998
2020-06-27,2.94323
2020-06-28,1.54169
2020-06-29,36.26489
2020-06-30,27.40014
2020-07-01,27.50525
2020-07-02,24.66713
2020-07-03,22.52978
2020-07-04,1.92711
2020-07-05,1.33146
2020-07-06,25.85844
2020-07-07,30.30833
2020-07-08,26.13875
2020-07-09,25.01751
2020-07-10,24.80728
2020-07-11,2.45269
2020-07-12,0.77084
2020-07-13,24.07147
2020-07-14,26.97967
2020-07-15,26.20882
2020-07-16,28.83672
2020-07-17,24.77224
2020-07-18,2.03223
2020-07-19,1.08619
2020-07-20,26.76944
2020-07-21,24.87736
2020-07-22,25.89348
2020-07-23,27.15487
2020-07-24,24.17659
2020-07-25,2.41765
2020-07-26,1.05115
2020-07-27,23.96636
2020-07-28,27.04975
2020-07-29,25.22775
2020-07-30,25.08759
2020-07-31,24.10651
2020-08-01,2.62789
2020-08-02,1.08619
2020-08-03,23.26559
2020-08-04,22.95024
2020-08-05,25.3679
2020-08-06,25.47302
2020-08-07,31.35949
2020-08-08,2.52277
2020-08-09,1.05115
2020-08-10,27.61037
2020-08-11,26.97967
2020-08-12,35.66923
2020-08-13,29.01191
2020-08-14,39.10301
2020-08-15,2.20742
2020-08-16,1.26138
2020-08-17,11.03714
2020-08-18,42.81709
2020-08-19,29.6426
2020-08-20,51.08619
2020-08-21,35.9145
2020-08-22,2.83812
2020-08-23,1.33146
2020-08-24,28.62648
2020-08-25,26.13875
2020-08-26,28.45129
2020-08-27,30.93903
2020-08-28,26.34898
2020-08-29,3.15346
2020-08-30,1.12123
2020-08-31,33.39173
2020-09-01,27.43517
2020-09-02,27.50525
2020-09-03,26.24386
2020-09-04,42.32655
2020-09-05,3.57393
2020-09-06,1.61177
2020-09-07,27.54029
2020-09-08,27.75052
2020-09-09,35.94954
2020-09-10,25.89348
2020-09-11,27.04975
2020-09-12,2.31254
2020-09-13,1.26138
2020-09-14,26.06867
2020-09-15,26.9096
2020-09-16,28.10091
2020-09-17,33.9173
2020-09-18,27.54029
2020-09-19,2.733
2020-09-20,0.911
2020-09-21,34.02242
2020-09-22,44.39383
2020-09-23,34.82831
2020-09-24,46.35599
2020-09-25,32.37561
2020-09-26,2.31254
2020-09-27,0.87596
2020-09-28,22.88016
2020-09-29,23.30063
2020-09-30,2.41765
2020-10-01,1.19131
2020-10-02,2.10231
2020-10-03,1.78696
2020-10-04,1.26138
2020-10-05,23.75613
2020-10-06,23.96636
2020-10-07,24.87736
2020-10-08,23.02032
2020-10-09,4.59004
2020-10-10,1.54169
2020-10-11,0.98107
2020-10-12,22.9152
2020-10-13,25.61317
2020-10-14,26.69936
2020-10-15,35.38892
2020-10-16,28.06587
2020-10-17,2.48773
2020-10-18,1.05115
2020-10-19,22.81009
2020-10-20,26.97967
2020-10-21,25.05255
2020-10-22,26.76944
2020-10-23,21.93412
2020-10-24,2.06727
2020-10-25,1.15627
2020-10-26,27.04975
2020-10-27,23.68605
2020-10-28,21.02312
2020-10-29,26.34898
2020-10-30,28.41625
2020-10-31,2.2775
2020-11-01,1.33146
2020-11-02,20.007
2020-11-03,19.16608
2020-11-04,22.17939
2020-11-05,20.95304
2020-11-06,25.15767
2020-11-07,1.78696
2020-11-08,0.80588
2020-11-09,18.74562
2020-11-10,26.13875
2020-11-11,22.63489
2020-11-12,21.96916
2020-11-13,21.79397
2020-11-14,1.85704
2020-11-15,0.7358
2020-11-16,19.97196
2020-11-17,22.24947
2020-11-18,20.81289
2020-11-19,20.35739
2020-11-20,22.17939
2020-11-21,1.99719
2020-11-22,0.98107
2020-11-23,20.6377
2020-11-24,20.70777
2020-11-25,27.47021
2020-11-26,21.79397
2020-11-27,22.84512
2020-11-28,1.68185
2020-11-29,0.66573
2020-11-30,24.17659
2020-12-01,20.77785
2020-12-02,22.98528
2020-12-03,29.81779
2020-12-04,23.58093
2020-12-05,1.85704
2020-12-06,1.26138
2020-12-07,26.20882
2020-12-08,32.69096
2020-12-09,23.51086
2020-12-10,27.57533
2020-12-11,23.75613
2020-12-12,2.17238
2020-12-13,0.80588
2020-12-14,25.47302
2020-12-15,27.92571
2020-12-16,22.28451
2020-12-17,26.38402
2020-12-18,25.05255
2020-12-19,2.13735
2020-12-20,0.49053
2020-12-21,24.17659
2020-12-22,36.08969
2020-12-23,25.8234
2020-12-24,22.56482
2020-12-25,2.94323
2020-12-26,1.12123
2020-12-27,0.80588
2020-12-28,23.3707
2020-12-29,22.95024
2020-12-30,23.3707
2020-12-31,9.32025
2021-01-01,1.40154
2021-01-02,0.911
2021-01-03,0.911
2021-01-04,29.6426
2021-01-05,33.77715
2021-01-06,36.65031
2021-01-07,35.24877
2021-01-08,36.29992
2021-01-09,3.1885
2021-01-10,1.64681
2021-01-11,49.54449
2021-01-12,56.7274
2021-01-13,42.71198
2021-01-14,36.75543
2021-01-15,51.85704
2021-01-16,3.50385
2021-01-17,1.54169
2021-01-18,49.61457
2021-01-19,44.0084
2021-01-20,38.61247
2021-01-21,36.08969
2021-01-22,37.14085
2021-01-23,3.88927
2021-01-24,1.68185
2021-01-25,35.80939
2021-01-26,49.22915
2021-01-27,45.30483
2021-01-28,62.29852
2021-01-29,71.89908
2021-01-30,5.95655
2021-01-31,1.99719
2021-02-01,51.61177
2021-02-02,41.90609
2021-02-03,42.22144
2021-02-04,44.67414
2021-02-05,36.8255
2021-02-06,3.74912
2021-02-07,1.92711
2021-02-08,38.29712
2021-02-09,35.52908
2021-02-10,32.97126
2021-02-11,3.46881
2021-02-12,2.41765
2021-02-13,2.10231
2021-02-14,1.50665
2021-02-15,32.27049
2021-02-16,30.37841
2021-02-17,33.56692
2021-02-18,40.22424
2021-02-19,40.25928
2021-02-20,2.52277
2021-02-21,1.64681
2021-02-22,35.87946
2021-02-23,37.84162
2021-02-24,48.24807
2021-02-25,40.78486
2021-02-26,48.77365
2021-02-27,3.95935
2021-02-28,1.99719
2021-03-01,4.34477
2021-03-02,33.49684
2021-03-03,31.1843
2021-03-04,36.05466
2021-03-05,37.38612
2021-03-06,3.43377
2021-03-07,2.20742
2021-03-08,34.02242
2021-03-09,42.01121
2021-03-10,36.08969
2021-03-11,36.01962
2021-03-12,32.90119
2021-03-13,3.46881
2021-03-14,1.78696
2021-03-15,33.0063
2021-03-16,30.62368
2021-03-17,32.02522
2021-03-18,30.20322
2021-03-19,28.97687
2021-03-20,3.11843
2021-03-21,1.12123
2021-03-22,27.54029
2021-03-23,32.97126
2021-03-24,29.22214
2021-03-25,31.21934
2021-03-26,25.3679
2021-03-27,3.08339
2021-03-28,2.13735
2021-03-29,29.78276
2021-03-30,25.50805
2021-03-31,26.17379
2021-04-01,22.77505
2021-04-02,24.80728
2021-04-03,2.41765
2021-04-04,1.40154
2021-04-05,24.10651
2021-04-06,26.45409
2021-04-07,24.84232
2021-04-08,24.4569
2021-04-09,22.4597
2021-04-10,1.96215
2021-04-11,1.33146
2021-04-12,22.17939
2021-04-13,21.51366
2021-04-14,23.47582
2021-04-15,24.17659
2021-04-16,20.42747
2021-04-17,2.52277
2021-04-18,1.05115
2021-04-19,21.51366
2021-04-20,19.79677
2021-04-21,39.94393
2021-04-22,24.98248
2021-04-23,23.89628
2021-04-24,1.92711
2021-04-25,0.87596
2021-04-26,20.25227
2021-04-27,22.24947
2021-04-28,28.62648
2021-04-29,24.31674
2021-04-30,26.13875
2021-05-01,2.41765
2021-05-02,1.08619
2021-05-03,30.86895
2021-05-04,26.13875
2021-05-05,3.57393
2021-05-06,22.21443
2021-05-07,19.27119
2021-05-08,1.64681
2021-05-09,0.70077
2021-05-10,23.86124
2021-05-11,32.83111
2021-05-12,36.89558
2021-05-13,36.96566
2021-05-14,24.07147
2021-05-15,2.31254
2021-05-16,0.59565
2021-05-17,25.85844
2021-05-18,22.56482
2021-05-19,4.20462
2021-05-20,23.86124
2021-05-21,24.42186
2021-05-22,1.99719
2021-05-23,1.29642
2021-05-24,26.17379
2021-05-25,20.28731
2021-05-26,21.72389
2021-05-27,23.16047
2021-05-28,21.68885
2021-05-29,1.822
2021-05-30,0.66573
2021-05-31,23.09039
2021-06-01,21.26839
2021-06-02,21.5487
2021-06-03,22.28451
2021-06-04,23.02032
2021-06-05,2.38262
2021-06-06,0.911
2021-06-07,22.28451
2021-06-08,21.89908
2021-06-09,22.70497
2021-06-10,21.75893
2021-06-11,19.30623
2021-06-12,1.12123
2021-06-13,0.94604
2021-06-14,17.7295
2021-06-15,19.93693
2021-06-16,20.56762
2021-06-17,21.40854
2021-06-18,20.32235
2021-06-19,2.24246
2021-06-20,0.77084
2021-06-21,29.01191
2021-06-22,19.65662
2021-06-23,20.14716
2021-06-24,21.96916
2021-06-25,19.16608
2021-06-26,1.75192
2021-06-27,0.94604
2021-06-28,20.4625
2021-06-29,20.14716
2021-06-30,18.85073
2021-07-01,18.74562
2021-07-02,17.51927
2021-07-03,1.85704
2021-07-04,1.05115
2021-07-05,16.25788
2021-07-06,17.97477
2021-07-07,19.97196
2021-07-08,27.11983
2021-07-09,32.51576
2021-07-10,2.41765
2021-07-11,0.84092
2021-07-12,17.86965
2021-07-13,16.78346
2021-07-14,17.69446
2021-07-15,17.5543
2021-07-16,21.72389
2021-07-17,1.99719
2021-07-18,1.33146
2021-07-19,22.84512
2021-07-20,24.31674
2021-07-21,22.14435
2021-07-22,20.14716
2021-07-23,19.20112
2021-07-24,2.10231
2021-07-25,0.59565
2021-07-26,19.86685
2021-07-27,19.65662
2021-07-28,21.82901
2021-07-29,19.096
2021-07-30,24.52697
2021-07-31,2.31254
2021-08-01,0.87596
2021-08-02,20.07708
2021-08-03,20.88297
2021-08-04,23.68605
2021-08-05,20.70777
2021-08-06,19.37631
2021-08-07,2.38262
2021-08-08,0.87596
2021-08-09,21.79397
2021-08-10,23.40574
2021-08-11,20.98808
2021-08-12,22.56482
2021-08-13,37.03573
2021-08-14,2.69796
2021-08-15,1.01611
2021-08-16,7.11282
2021-08-17,31.42957
2021-08-18,24.03644
2021-08-19,35.459
2021-08-20,35.98458
2021-08-21,2.90819
2021-08-22,1.15627
2021-08-23,29.81779
2021-08-24,29.01191
2021-08-25,29.46741
