date,오늘주식시황
2020-03-20,2.80891
2020-03-21,0.31825
2020-03-22,0.1522
2020-03-23,3.22402
2020-03-24,5.13352
2020-03-25,7.08454
2020-03-26,8.71731
2020-03-27,9.21544
2020-03-28,1.54974
2020-03-29,0.56731
2020-03-30,7.72104
2020-03-31,5.10585
2020-04-01,10.75134
2020-04-02,5.93607
2020-04-03,3.76366
2020-04-04,0.62266
2020-04-05,0.29057
2020-04-06,5.45177
2020-04-07,3.83284
2020-04-08,3.94354
2020-04-09,3.30704
2020-04-10,4.64923
2020-04-11,0.5258
2020-04-12,0.56731
2020-04-13,5.59014
2020-04-14,2.80891
2020-04-15,1.67427
2020-04-16,2.86425
2020-04-17,3.73599
2020-04-18,0.53964
2020-04-19,0.34592
2020-04-20,3.25169
2020-04-21,8.44057
2020-04-22,5.34108
2020-04-23,3.04414
2020-04-24,5.3134
2020-04-25,0.34592
2020-04-26,0.38743
2020-04-27,3.26553
2020-04-28,3.44541
2020-04-29,1.97869
2020-04-30,0.60882
2020-05-01,2.40763
2020-05-02,0.2629
2020-05-03,0.20755
2020-05-04,5.96374
2020-05-05,0.60882
2020-05-06,1.95101
2020-05-07,2.3938
2020-05-08,2.03403
2020-05-09,0.31825
2020-05-10,0.17988
2020-05-11,3.99889
2020-05-12,7.19524
2020-05-13,3.63913
2020-05-14,5.14736
2020-05-15,3.48692
2020-05-16,0.6365
2020-05-17,0.40127
2020-05-18,3.23785
2020-05-19,5.47945
2020-05-20,4.13726
2020-05-21,3.58378
2020-05-22,8.24685
2020-05-23,0.44278
2020-05-24,0.42894
2020-05-25,4.3033
2020-05-26,3.65296
2020-05-27,4.52469
2020-05-28,14.88861
2020-05-29,5.61782
2020-05-30,0.70568
2020-05-31,0.38743
2020-06-01,3.90203
2020-06-02,2.71205
2020-06-03,8.28836
2020-06-04,6.60024
2020-06-05,4.06807
2020-06-06,0.29057
2020-06-07,0.53964
2020-06-08,4.71841
2020-06-09,6.12979
2020-06-10,4.46935
2020-06-11,11.37401
2020-06-12,23.49522
2020-06-13,1.02393
2020-06-14,0.7887
2020-06-15,88.29389
2020-06-16,17.84973
2020-06-17,13.82316
2020-06-18,7.16756
2020-06-19,6.47571
2020-06-20,0.87173
2020-06-21,0.45662
2020-06-22,5.94991
2020-06-23,7.83174
2020-06-24,5.14736
2020-06-25,12.77155
2020-06-26,5.1612
2020-06-27,0.62266
2020-06-28,0.47045
2020-06-29,10.76518
2020-06-30,4.89829
2020-07-01,6.10211
2020-07-02,3.5561
2020-07-03,2.61519
2020-07-04,0.55348
2020-07-05,0.38743
2020-07-06,3.56994
2020-07-07,7.23675
2020-07-08,3.39006
2020-07-09,2.06171
2020-07-10,2.80891
2020-07-11,0.13837
2020-07-12,0.09685
2020-07-13,1.92334
2020-07-14,2.50449
2020-07-15,0.59499
2020-07-16,0.73336
2020-07-17,0.35976
2020-07-20,0.37359
2020-07-21,1.5359
2020-07-22,1.54974
2020-07-23,2.49066
2020-07-24,3.76366
2020-07-25,0.67801
2020-07-26,0.51196
2020-07-27,2.1724
2020-07-28,2.55984
2020-07-29,2.67054
2020-07-30,2.32461
2020-07-31,2.26926
2020-08-01,0.35976
2020-08-02,0.19371
2020-08-03,2.32461
2020-08-04,2.32461
2020-08-05,2.31077
2020-08-06,2.98879
2020-08-07,3.41773
2020-08-08,0.30441
2020-08-09,0.34592
2020-08-10,3.80517
2020-08-11,3.39006
2020-08-12,9.03556
2020-08-13,4.66306
2020-08-14,17.83589
2020-08-15,1.05161
2020-08-16,0.44278
2020-08-17,21.37816
2020-08-18,30.3307
2020-08-19,7.09838
2020-08-20,34.17739
2020-08-21,10.44693
2020-08-22,1.13463
2020-08-23,0.84405
2020-08-24,6.58641
2020-08-25,5.39643
2020-08-26,6.22665
2020-08-27,8.03929
2020-08-28,6.30967
2020-08-29,0.70568
2020-08-30,0.5258
2020-08-31,9.90729
2020-09-01,5.1612
2020-09-02,6.00525
2020-09-03,5.24422
2020-09-04,15.95406
2020-09-05,1.63276
2020-09-06,1.0101
2020-09-07,8.0808
2020-09-08,8.0808
2020-09-09,10.4746
2020-09-10,7.48581
2020-09-11,7.63802
2020-09-12,0.95475
2020-09-13,0.6365
2020-09-14,5.49328
2020-09-15,5.00899
2020-09-16,8.02546
2020-09-17,10.70983
2020-09-18,4.09575
2020-09-19,0.76103
2020-09-20,0.30441
2020-09-21,11.44319
2020-09-22,34.44029
2020-09-23,16.67358
2020-09-24,38.6329
2020-09-25,13.02061
2020-09-26,1.86799
2020-09-27,0.98242
2020-09-28,9.25695
2020-09-29,7.47198
2020-09-30,2.43531
2020-10-01,0.88556
2020-10-02,1.0101
2020-10-03,0.66417
2020-10-04,0.81638
2020-10-05,6.9185
2020-10-06,5.85305
2020-10-07,4.96748
2020-10-08,5.06434
2020-10-09,1.61892
2020-10-10,0.60882
2020-10-11,0.40127
2020-10-12,5.67317
2020-10-13,8.09464
2020-10-14,8.75882
2020-10-15,12.74387
2020-10-16,9.36764
2020-10-17,1.12079
2020-10-18,0.60882
2020-10-19,6.55873
2020-10-20,8.24685
2020-10-21,4.75992
2020-10-22,7.4443
2020-10-23,4.02656
2020-10-24,0.45662
2020-10-25,0.27674
2020-10-26,4.23412
2020-10-27,4.16493
2020-10-28,3.7775
2020-10-29,7.30593
2020-10-30,14.14141
2020-10-31,1.82648
2020-11-01,0.91324
2020-11-02,4.73225
2020-11-03,4.42784
2020-11-04,3.99889
2020-11-05,4.73225
2020-11-06,4.99515
2020-11-07,0.42894
2020-11-08,0.58115
2020-11-09,4.23412
2020-11-10,6.14362
2020-11-11,5.74235
2020-11-12,5.63165
2020-11-13,5.64549
2020-11-14,0.73336
2020-11-15,0.40127
2020-11-16,6.50339
2020-11-17,6.79396
2020-11-18,5.23038
2020-11-19,5.46561
2020-11-20,4.16493
2020-11-21,0.66417
2020-11-22,0.22139
2020-11-23,6.00525
2020-11-24,3.33471
2020-11-25,4.40016
2020-11-26,4.62155
2020-11-27,3.91587
2020-11-28,0.65033
2020-11-29,0.5258
2020-11-30,4.0404
2020-12-01,4.17877
2020-12-02,4.49702
2020-12-03,17.8774
2020-12-04,5.29957
2020-12-05,1.18998
2020-12-06,0.59499
2020-12-07,5.29957
2020-12-08,11.00041
2020-12-09,6.76629
2020-12-10,7.22291
2020-12-11,6.3235
2020-12-12,0.76103
2020-12-13,0.49813
2020-12-14,6.12979
2020-12-15,7.31977
2020-12-16,5.3134
2020-12-17,5.96374
2020-12-18,4.66306
2020-12-19,0.85789
2020-12-20,0.60882
2020-12-21,5.64549
2020-12-22,17.11636
2020-12-23,8.85568
2020-12-24,6.6971
2020-12-25,1.50823
2020-12-26,0.53964
2020-12-27,0.73336
2020-12-28,8.13615
2020-12-29,7.22291
2020-12-30,7.52732
2020-12-31,3.34855
2021-01-01,0.38743
2021-01-02,0.37359
2021-01-03,0.38743
2021-01-04,10.73751
2021-01-05,9.33997
2021-01-06,10.59914
2021-01-07,10.12868
2021-01-08,12.37027
2021-01-09,2.11706
2021-01-10,1.20381
2021-01-11,24.9066
2021-01-12,25.29403
2021-01-13,16.42451
2021-01-14,15.44209
2021-01-15,27.38342
2021-01-16,2.51833
2021-01-17,1.43904
2021-01-18,22.23605
2021-01-19,18.47239
2021-01-20,15.31755
2021-01-21,13.62944
2021-01-22,14.07222
2021-01-23,2.37996
2021-01-24,1.10696
2021-01-25,12.31493
2021-01-26,25.52926
2021-01-27,19.08122
2021-01-28,32.86287
2021-01-29,88.94423
2021-01-30,5.28573
2021-01-31,2.13089
2021-02-01,22.51279
2021-02-02,17.43462
2021-02-03,17.57299
2021-02-04,20.60329
2021-02-05,15.91255
2021-02-06,2.26926
2021-02-07,1.52207
2021-02-08,14.22443
2021-02-09,13.04829
2021-02-10,10.94506
2021-02-11,1.68811
2021-02-12,1.17614
2021-02-13,0.8994
2021-02-14,0.92707
2021-02-15,11.58156
2021-02-16,12.10737
2021-02-17,18.43088
2021-02-18,19.59319
2021-02-19,18.92901
2021-02-20,2.3938
2021-02-21,1.50823
2021-02-22,16.83962
2021-02-23,17.46229
2021-02-24,44.9149
2021-02-25,17.69752
2021-02-26,26.9268
2021-02-27,2.24159
2021-02-28,0.8994
2021-03-01,1.86799
2021-03-02,12.81306
2021-03-03,12.03819
2021-03-04,14.45966
2021-03-05,15.45592
2021-03-06,1.97869
2021-03-07,1.02393
2021-03-08,14.22443
2021-03-09,17.71136
2021-03-10,15.01314
2021-03-11,12.67469
2021-03-12,11.26331
2021-03-13,2.25543
2021-03-14,1.13463
2021-03-15,12.68852
2021-03-16,10.19786
2021-03-17,12.02435
2021-03-18,10.3224
2021-03-19,12.38411
2021-03-20,1.71578
2021-03-21,1.35602
2021-03-22,10.08717
2021-03-23,14.00304
2021-03-24,12.2319
2021-03-25,11.63691
2021-03-26,9.60287
2021-03-27,1.24533
2021-03-28,1.09312
2021-03-29,10.66832
2021-03-30,9.17393
2021-03-31,10.25321
2021-04-01,9.65822
2021-04-02,10.00415
2021-04-03,1.56358
2021-04-04,0.88556
2021-04-05,9.90729
2021-04-06,10.64065
2021-04-07,8.59277
2021-04-08,8.70347
2021-04-09,7.80406
2021-04-10,1.0101
2021-04-11,0.77487
2021-04-12,8.02546
2021-04-13,7.30593
2021-04-14,8.53742
2021-04-15,8.98021
2021-04-16,8.73114
2021-04-17,1.07928
2021-04-18,0.7887
2021-04-19,7.13989
2021-04-20,6.87698
2021-04-21,21.62723
2021-04-22,9.0909
2021-04-23,8.77265
2021-04-24,1.03777
2021-04-25,0.73336
2021-04-26,6.96001
2021-04-27,8.10848
2021-04-28,17.72519
2021-04-29,11.52622
2021-04-30,13.50491
2021-05-01,1.52207
2021-05-02,0.80254
2021-05-03,11.51238
2021-05-04,10.59914
2021-05-05,2.60135
2021-05-06,8.46824
2021-05-07,7.52732
2021-05-08,1.14847
2021-05-09,0.62266
2021-05-10,10.14252
2021-05-11,16.90881
2021-05-12,23.23232
2021-05-13,17.43462
2021-05-14,11.88598
2021-05-15,1.50823
2021-05-16,1.05161
2021-05-17,12.27341
2021-05-18,9.10474
2021-05-19,2.44914
2021-05-20,10.65449
2021-05-21,10.57146
2021-05-22,1.30067
2021-05-23,0.71952
2021-05-24,13.04829
2021-05-25,8.828
2021-05-26,9.18776
2021-05-27,10.00415
2021-05-28,7.15372
2021-05-29,0.94091
2021-05-30,0.87173
2021-05-31,8.67579
2021-06-01,8.67579
2021-06-02,8.26068
2021-06-03,8.95253
2021-06-04,9.2016
2021-06-05,1.21765
2021-06-06,0.7887
2021-06-07,9.02172
2021-06-08,8.59277
2021-06-09,9.14625
2021-06-10,9.3123
2021-06-11,7.56883
2021-06-12,1.06544
2021-06-13,0.85789
2021-06-14,9.04939
2021-06-15,9.28462
2021-06-16,9.13242
2021-06-17,11.30482
2021-06-18,9.4645
2021-06-19,1.273
2021-06-20,0.85789
2021-06-21,21.44735
2021-06-22,10.82053
2021-06-23,12.30109
2021-06-24,13.56026
2021-06-25,10.80669
2021-06-26,1.54974
2021-06-27,0.94091
2021-06-28,11.27715
2021-06-29,12.06586
2021-06-30,10.79286
2021-07-01,12.86841
2021-07-02,10.2117
2021-07-03,1.3837
2021-07-04,0.95475
2021-07-05,11.38785
2021-07-06,10.08717
2021-07-07,13.00678
2021-07-08,31.78358
2021-07-09,37.04164
2021-07-10,2.43531
2021-07-11,1.3837
2021-07-12,12.48097
2021-07-13,11.62308
2021-07-14,12.79922
2021-07-15,11.18029
2021-07-16,13.4634
2021-07-17,1.60509
2021-07-18,0.94091
2021-07-19,17.8774
2021-07-20,18.8875
2021-07-21,16.29998
2021-07-22,12.78538
2021-07-23,10.75134
2021-07-24,2.11706
2021-07-25,1.23149
2021-07-26,17.11636
2021-07-27,11.58156
2021-07-28,14.55652
2021-07-29,11.12494
2021-07-30,24.80974
2021-07-31,2.44914
2021-08-01,1.24533
2021-08-02,12.03819
2021-08-03,14.00304
2021-08-04,16.99183
2021-08-05,14.51501
2021-08-06,13.20049
2021-08-07,2.03403
2021-08-08,1.50823
2021-08-09,16.65974
2021-08-10,20.81084
2021-08-11,20.32655
2021-08-12,17.73903
2021-08-13,46.49232
2021-08-14,2.87809
2021-08-15,1.273
2021-08-16,35.51957
2021-08-17,36.86176
2021-08-18,18.83215
2021-08-19,46.58917
2021-08-20,36.48816
2021-08-21,3.81901
2021-08-22,2.36612
2021-08-23,22.73419
2021-08-24,20.07748
2021-08-25,18.94285
2021-08-26,18.84599
2021-08-27,17.1302
2021-08-28,2.61519
2021-08-29,1.24533
2021-08-30,14.07222
2021-08-31,18.23716
2021-09-01,15.94022
2021-09-02,18.38937
2021-09-03,15.55278
2021-09-04,2.29694
2021-09-05,1.35602
2021-09-06,14.26594
2021-09-07,15.99557
2021-09-08,19.88376
2021-09-09,25.0588
2021-09-10,15.67732
2021-09-11,2.42147
2021-09-12,1.39753
2021-09-13,16.34149
2021-09-14,14.3628
2021-09-15,14.16908
2021-09-16,14.69489
2021-09-17,15.35907
2021-09-18,1.75729
2021-09-19,1.21765
2021-09-20,1.99252
2021-09-21,2.94728
2021-09-22,3.56994
2021-09-23,21.25363
2021-09-24,14.80559
2021-09-25,2.13089
2021-09-26,1.5359
2021-09-27,13.18666
2021-09-28,33.80379
2021-09-29,44.31991
2021-09-30,18.7768
2021-10-01,32.25404
2021-10-02,3.36239
2021-10-03,1.79881
2021-10-04,18.44472
2021-10-05,43.01923
2021-10-06,54.00581
2021-10-07,27.95074
2021-10-08,21.14293
2021-10-09,2.71205
2021-10-10,1.5359
2021-10-11,8.96637
2021-10-12,28.6841
2021-10-13,21.35049
2021-10-14,18.9982
2021-10-15,17.86356
2021-10-16,2.57368
2021-10-17,1.92334
2021-10-18,18.81832
2021-10-19,16.36917
2021-10-20,19.48249
2021-10-21,18.44472
2021-10-22,15.95406
2021-10-23,2.82274
2021-10-24,1.36986
2021-10-25,16.70125
2021-10-26,15.87103
2021-10-27,21.43351
2021-10-28,19.60702
2021-10-29,24.533
2021-10-30,2.80891
2021-10-31,1.31451
2021-11-01,17.28241
2021-11-02,18.40321
2021-11-03,24.47765
2021-11-04,19.74539
2021-11-05,18.09879
2021-11-06,2.26926
2021-11-07,1.02393
2021-11-08,20.57561
2021-11-09,16.383
2021-11-10,23.63359
2021-11-11,19.95295
2021-11-12,18.00193
2021-11-13,2.07555
2021-11-14,1.57741
2021-11-15,15.64964
2021-11-16,17.40694
2021-11-17,18.63843
2021-11-18,100.0
2021-11-19,15.62197
2021-11-20,3.04414
2021-11-21,1.61892
2021-11-22,17.78054
2021-11-23,16.52137
2021-11-24,16.53521
2021-11-25,15.15151
2021-11-26,23.3015
2021-11-27,3.43157
2021-11-28,1.78497
2021-11-29,22.08385
2021-11-30,43.25446
2021-12-01,23.10779
2021-12-02,19.57935
2021-12-03,15.63581
2021-12-04,2.55984
2021-12-05,1.54974
2021-12-06,17.60066
2021-12-07,15.84336
2021-12-08,17.60066
2021-12-09,14.32129
2021-12-10,15.69115
2021-12-11,2.24159
2021-12-12,1.273
2021-12-13,14.61187
2021-12-14,15.06849
2021-12-15,14.14141
2021-12-16,13.31119
2021-12-17,12.21807
2021-12-18,2.37996
2021-12-19,1.13463
2021-12-20,23.85498
2021-12-21,15.31755
2021-12-22,13.57409
2021-12-23,13.58793
2021-12-24,12.53632
2021-12-25,1.96485
2021-12-26,1.28684
2021-12-27,15.05465
2021-12-28,14.33513
2021-12-29,15.84336
2021-12-30,15.67732
2021-12-31,80.62819
2022-01-01,1.57741
2022-01-02,1.23149
2022-01-03,86.25985
2022-01-04,17.1302
2022-01-05,42.34122
2022-01-06,30.56593
2022-01-07,17.3931
2022-01-08,3.12716
2022-01-09,1.63276
2022-01-10,23.97952
2022-01-11,18.44472
2022-01-12,18.87366
2022-01-13,14.93012
2022-01-14,18.50006
2022-01-15,2.29694
2022-01-16,1.14847
2022-01-17,20.14667
2022-01-18,21.29514
2022-01-19,18.02961
2022-01-20,15.53895
2022-01-21,19.88376
2022-01-22,2.96111
2022-01-23,1.85415
2022-01-24,25.83367
2022-01-25,38.38383
2022-01-26,22.2914
2022-01-27,45.95267
2022-01-28,26.27646
2022-01-29,3.69447
2022-01-30,1.71578
2022-01-31,2.1724
2022-02-01,2.18624
2022-02-02,3.51459
2022-02-03,20.28504
2022-02-04,16.85346
2022-02-05,2.6567
2022-02-06,1.45288
2022-02-07,17.47613
2022-02-08,15.64964
2022-02-09,14.27978
2022-02-10,16.6044
2022-02-11,16.56288
2022-02-12,2.62903
2022-02-13,1.14847
2022-02-14,23.79964
2022-02-15,18.09879
2022-02-16,15.95406
2022-02-17,20.25736
2022-02-18,15.05465
2022-02-19,3.0303
2022-02-20,1.54974
2022-02-21,15.19302
2022-02-22,19.56551
2022-02-23,16.18929
2022-02-24,28.35201
2022-02-25,19.39947
2022-02-26,3.32088
2022-02-27,1.46672
2022-02-28,15.62197
2022-03-01,6.36502
2022-03-02,14.70873
2022-03-03,13.71246
2022-03-04,16.32766
2022-03-05,2.67054
2022-03-06,1.67427
2022-03-07,22.54047
2022-03-08,17.04718
2022-03-09,10.18403
2022-03-10,15.15151
2022-03-11,14.59803
2022-03-12,2.73972
2022-03-13,1.78497
2022-03-14,16.52137
2022-03-15,16.17545
2022-03-16,14.26594
2022-03-17,15.96789
2022-03-18,12.89608
2022-03-19,2.97495
2022-03-20,1.52207
2022-03-21,13.71246
2022-03-22,12.02435
2022-03-23,11.18029
2022-03-24,13.93385
2022-03-25,11.73377
2022-03-26,2.47682
2022-03-27,1.13463
2022-03-28,11.24948
2022-03-29,10.66832
2022-03-30,8.39905
2022-03-31,8.17766
2022-04-01,8.41289
2022-04-02,1.57741
2022-04-03,0.91324
2022-04-04,7.09838
2022-04-05,7.58267
2022-04-06,8.74498
2022-04-07,9.16009
2022-04-08,8.42673
2022-04-09,1.95101
2022-04-10,1.06544
2022-04-11,10.94506
2022-04-12,13.50491
2022-04-13,11.81679
2022-04-14,10.79286
2022-04-15,8.60661
2022-04-16,1.49439
2022-04-17,0.84405
2022-04-18,7.99778
2022-04-19,8.38522
2022-04-20,8.52359
2022-04-21,7.47198
2022-04-22,7.47198
2022-04-23,1.68811
2022-04-24,0.77487
2022-04-25,14.22443
2022-04-26,9.28462
2022-04-27,12.03819
2022-04-28,9.85194
2022-04-29,8.09464
2022-04-30,1.78497
2022-05-01,0.56731
2022-05-02,8.10848
2022-05-03,8.0808
2022-05-04,7.91476
2022-05-05,3.15483
2022-05-06,8.64812
2022-05-07,1.63276
2022-05-08,0.55348
2022-05-09,8.52359
2022-05-10,10.50228
2022-05-11,9.04939
2022-05-12,14.0999
2022-05-13,8.828
2022-05-14,1.85415
2022-05-15,0.74719
2022-05-16,8.4544
2022-05-17,7.72104
2022-05-18,7.45814
2022-05-19,11.05576
2022-05-20,7.97011
2022-05-21,1.52207
2022-05-22,0.76103
2022-05-23,7.555
2022-05-24,10.01798
2022-05-25,7.83174
2022-05-26,7.56883
2022-05-27,6.18513
2022-05-28,1.21765
2022-05-29,0.53964
2022-05-30,5.41026
2022-05-31,6.5449
2022-06-01,4.19261
2022-06-02,6.44804
2022-06-03,5.32724
2022-06-04,0.88556
2022-06-05,0.53964
2022-06-06,1.18998
2022-06-07,6.72478
2022-06-08,6.50339
2022-06-09,6.18513
2022-06-10,6.4342
2022-06-11,1.3837
2022-06-12,0.71952
2022-06-13,16.17545
2022-06-14,10.79286
2022-06-15,9.65822
2022-06-16,8.39905
2022-06-17,8.41289
2022-06-18,1.72962
2022-06-19,0.77487
2022-06-20,10.88971
2022-06-21,8.14999
2022-06-22,11.95516
2022-06-23,9.42299
2022-06-24,8.91102
2022-06-25,1.35602
2022-06-26,0.71952
2022-06-27,7.01535
2022-06-28,6.71094
2022-06-29,6.82164
2022-06-30,7.41663
2022-07-01,7.49965
2022-07-02,1.49439
2022-07-03,0.58115
2022-07-04,6.98768
2022-07-05,7.76255
2022-07-06,7.97011
2022-07-07,6.42036
2022-07-08,6.57257
2022-07-09,0.99626
2022-07-10,0.71952
2022-07-11,5.54863
2022-07-12,6.51722
2022-07-13,5.90839
2022-07-14,6.25432
2022-07-15,6.4342
2022-07-16,1.1623
2022-07-17,0.48429
2022-07-18,5.74235
2022-07-19,6.50339
2022-07-20,6.21281
2022-07-21,5.687
2022-07-22,5.61782
2022-07-23,0.99626
2022-07-24,0.47045
2022-07-25,5.38259
2022-07-26,5.63165
2022-07-27,5.70084
2022-07-28,7.00152
2022-07-29,6.39269
2022-07-30,1.17614
2022-07-31,0.44278
2022-08-01,5.29957
2022-08-02,6.11595
2022-08-03,6.21281
2022-08-04,6.37885
2022-08-05,5.5348
2022-08-06,0.95475
2022-08-07,0.47045
2022-08-08,5.97758
2022-08-09,5.94991
2022-08-10,7.09838
2022-08-11,6.22665
2022-08-12,6.01909
2022-08-13,0.88556
2022-08-14,0.24906
2022-08-15,1.20381
2022-08-16,4.98132
2022-08-17,6.61408
2022-08-18,6.1713
2022-08-19,6.11595
2022-08-20,1.02393
2022-08-21,0.40127
2022-08-22,7.04303
2022-08-23,6.61408
2022-08-24,5.97758
2022-08-25,5.21654
2022-08-26,5.5348
2022-08-27,1.36986
2022-08-28,0.55348
2022-08-29,9.24311
2022-08-30,6.53106
2022-08-31,6.33734
2022-09-01,9.0909
2022-09-02,5.89456
2022-09-03,0.8994
2022-09-04,0.37359
2022-09-05,4.70458
2022-09-06,5.0505
2022-09-07,6.26816
2022-09-08,4.82911
2022-09-09,1.6466
2022-09-10,0.77487
2022-09-11,0.56731
2022-09-12,1.09312
2022-09-13,6.51722
2022-09-14,7.84557
2022-09-15,5.54863
2022-09-16,6.01909
2022-09-17,1.14847
2022-09-18,0.5258
2022-09-19,5.7977
2022-09-20,4.71841
2022-09-21,4.37249
2022-09-22,5.64549
2022-09-23,4.88446
2022-09-24,1.09312
2022-09-25,0.42894
2022-09-26,7.74872
2022-09-27,5.86688
2022-09-28,6.8078
2022-09-29,5.5348
2022-09-30,5.82537
2022-10-01,0.99626
