date,온투업
2020-07-22,1.76322
2020-08-25,1.25944
2020-08-26,3.52644
2020-08-27,3.27455
2020-08-28,3.02267
2020-08-31,1.25944
2020-09-01,2.267
2020-09-03,2.01511
2020-09-08,1.25944
2020-09-21,1.51133
2020-09-23,1.25944
2020-09-24,1.25944
2020-09-25,2.51889
2020-10-07,1.51133
2020-10-16,1.76322
2020-10-19,2.01511
2020-10-22,2.267
2020-10-26,2.51889
2020-10-30,1.25944
2020-11-19,1.51133
2020-11-23,1.25944
2020-11-27,1.25944
2020-11-30,1.76322
2020-12-02,2.267
2020-12-07,3.27455
2020-12-08,3.52644
2020-12-09,5.79345
2020-12-10,4.534
2020-12-11,9.31989
2020-12-12,1.76322
2020-12-13,1.76322
2020-12-14,5.79345
2020-12-15,4.78589
2020-12-16,1.25944
2020-12-17,3.77833
2020-12-18,1.76322
2020-12-19,1.25944
2020-12-21,4.28211
2020-12-22,5.54156
2020-12-23,3.02267
2020-12-24,1.25944
2020-12-28,3.27455
2020-12-29,1.76322
2020-12-30,1.76322
2021-01-01,1.25944
2021-01-04,2.267
2021-01-05,2.01511
2021-01-06,2.267
2021-01-07,3.52644
2021-01-08,4.28211
2021-01-11,1.76322
2021-01-12,4.28211
2021-01-13,4.78589
2021-01-14,4.03022
2021-01-15,3.77833
2021-01-18,5.54156
2021-01-19,3.52644
2021-01-20,6.54911
2021-01-21,3.02267
2021-01-25,3.02267
2021-01-26,2.01511
2021-01-27,1.25944
2021-01-28,2.01511
2021-01-29,2.51889
2021-02-01,3.27455
2021-02-02,4.03022
2021-02-03,3.02267
2021-02-04,1.25944
2021-02-05,2.77078
2021-02-08,2.01511
2021-02-09,4.28211
2021-02-10,1.76322
2021-02-15,5.28967
2021-02-16,5.28967
2021-02-17,3.52644
2021-02-18,3.77833
2021-02-19,1.25944
2021-02-20,1.25944
2021-02-22,4.03022
2021-02-23,4.28211
2021-02-25,5.28967
2021-02-26,2.267
2021-03-02,5.54156
2021-03-03,5.03778
2021-03-04,3.77833
2021-03-05,3.27455
2021-03-07,1.25944
2021-03-08,5.28967
2021-03-09,4.534
2021-03-10,7.55667
2021-03-11,5.28967
2021-03-12,2.01511
2021-03-13,1.51133
2021-03-15,4.28211
2021-03-16,6.04534
2021-03-17,1.76322
2021-03-18,6.04534
2021-03-19,2.77078
2021-03-20,1.25944
2021-03-22,5.79345
2021-03-23,5.54156
2021-03-24,4.534
2021-03-25,3.27455
2021-03-26,3.27455
2021-03-27,1.76322
2021-03-28,1.25944
2021-03-29,9.31989
2021-03-30,6.54911
2021-03-31,5.79345
2021-04-01,4.78589
2021-04-02,6.04534
2021-04-05,4.28211
2021-04-06,4.03022
2021-04-07,4.534
2021-04-08,3.02267
2021-04-09,2.267
2021-04-12,1.76322
2021-04-13,6.54911
2021-04-14,5.79345
2021-04-15,4.28211
2021-04-19,4.28211
2021-04-20,5.03778
2021-04-21,5.03778
2021-04-22,4.28211
2021-04-23,4.534
2021-04-26,6.54911
2021-04-27,7.05289
2021-04-28,7.05289
2021-04-29,5.03778
2021-04-30,4.534
2021-05-03,5.54156
2021-05-04,5.79345
2021-05-06,6.04534
2021-05-07,12.84634
2021-05-08,3.27455
2021-05-09,3.27455
2021-05-10,9.82367
2021-05-11,11.5869
2021-05-12,11.5869
2021-05-13,7.80856
2021-05-14,5.79345
2021-05-17,9.31989
2021-05-18,9.57178
2021-05-20,9.82367
2021-05-21,8.56423
2021-05-22,1.51133
2021-05-23,1.25944
2021-05-24,11.5869
2021-05-25,9.31989
2021-05-26,7.55667
2021-05-27,9.31989
2021-05-28,6.29722
2021-05-31,8.31234
2021-06-01,9.31989
2021-06-02,9.57178
2021-06-03,6.04534
2021-06-04,19.89924
2021-06-05,1.25944
2021-06-07,12.09068
2021-06-08,10.83123
2021-06-09,64.48362
2021-06-10,43.57682
2021-06-11,19.89924
2021-06-12,4.78589
2021-06-13,3.02267
2021-06-14,16.1209
2021-06-15,10.32745
2021-06-16,9.82367
2021-06-17,10.32745
2021-06-18,5.79345
2021-06-19,1.51133
2021-06-20,2.01511
2021-06-21,12.09068
2021-06-22,9.82367
2021-06-23,6.54911
2021-06-24,10.57934
2021-06-25,9.57178
2021-06-26,2.01511
2021-06-28,8.56423
2021-06-29,5.54156
2021-06-30,8.56423
2021-07-01,7.05289
2021-07-02,7.30478
2021-07-03,3.52644
2021-07-04,1.51133
2021-07-05,12.34256
2021-07-06,12.09068
2021-07-07,15.86901
2021-07-08,8.81612
2021-07-09,9.31989
2021-07-11,1.76322
2021-07-12,14.35768
2021-07-13,18.13602
2021-07-14,14.35768
2021-07-15,13.8539
2021-07-16,8.56423
2021-07-17,1.76322
2021-07-18,2.01511
2021-07-19,7.30478
2021-07-20,9.06801
2021-07-21,21.91435
2021-07-22,20.15113
2021-07-23,8.31234
2021-07-24,5.28967
2021-07-25,1.51133
2021-07-26,8.81612
2021-07-27,11.33501
2021-07-28,15.61712
2021-07-29,9.82367
2021-07-30,10.07556
2021-07-31,1.51133
2021-08-01,1.25944
2021-08-02,9.57178
2021-08-03,13.60201
2021-08-04,10.07556
2021-08-05,11.33501
2021-08-06,8.81612
2021-08-07,4.03022
2021-08-08,3.52644
2021-08-09,11.5869
2021-08-10,12.59445
2021-08-11,11.08312
2021-08-12,10.32745
2021-08-13,7.80856
2021-08-14,1.51133
2021-08-15,4.03022
2021-08-16,4.03022
2021-08-17,15.36523
2021-08-18,12.59445
2021-08-19,12.59445
2021-08-20,15.36523
2021-08-21,5.28967
2021-08-22,5.03778
2021-08-23,17.63224
2021-08-24,21.66246
2021-08-25,100.0
2021-08-26,89.16876
2021-08-27,75.56675
2021-08-28,11.33501
2021-08-29,6.54911
2021-08-30,28.46347
2021-08-31,18.89168
2021-09-01,13.35012
2021-09-02,13.60201
2021-09-03,12.09068
2021-09-04,2.77078
2021-09-05,4.03022
2021-09-06,12.34256
2021-09-07,15.61712
2021-09-08,26.19647
2021-09-09,17.63224
2021-09-10,7.80856
2021-09-11,3.52644
2021-09-12,3.02267
2021-09-13,14.60957
2021-09-14,14.10579
2021-09-15,10.57934
2021-09-16,11.08312
2021-09-17,8.81612
2021-09-18,1.51133
2021-09-19,1.51133
2021-09-20,2.01511
2021-09-21,2.267
2021-09-22,2.267
2021-09-23,14.10579
2021-09-24,8.81612
2021-09-25,1.51133
2021-09-26,3.52644
2021-09-27,12.34256
2021-09-28,10.57934
2021-09-29,14.60957
2021-09-30,12.34256
2021-10-01,12.09068
2021-10-02,1.51133
2021-10-03,1.25944
2021-10-04,3.52644
2021-10-05,11.83879
2021-10-06,10.57934
2021-10-07,8.31234
2021-10-08,6.801
2021-10-09,2.01511
2021-10-11,3.77833
2021-10-12,13.09823
2021-10-13,12.34256
2021-10-14,12.34256
2021-10-15,11.83879
2021-10-16,1.25944
2021-10-17,1.76322
2021-10-18,9.82367
2021-10-19,13.60201
2021-10-20,14.60957
2021-10-21,6.801
2021-10-22,8.81612
2021-10-24,1.76322
2021-10-25,17.12846
2021-10-26,8.06045
2021-10-27,12.34256
2021-10-28,7.30478
2021-10-29,7.80856
2021-10-30,1.25944
2021-10-31,1.76322
2021-11-01,9.82367
2021-11-02,9.57178
2021-11-03,12.59445
2021-11-04,13.09823
2021-11-05,8.81612
2021-11-06,2.77078
2021-11-07,4.28211
2021-11-08,13.60201
2021-11-09,10.32745
2021-11-10,11.33501
2021-11-11,9.57178
2021-11-12,31.23425
2021-11-13,20.9068
2021-11-14,14.60957
2021-11-15,17.63224
2021-11-16,14.35768
2021-11-17,14.60957
2021-11-18,12.59445
2021-11-19,8.06045
2021-11-20,4.03022
2021-11-21,3.77833
2021-11-22,15.11335
2021-11-23,20.40302
2021-11-24,11.08312
2021-11-25,11.33501
2021-11-26,10.32745
2021-11-27,2.267
2021-11-28,1.76322
2021-11-29,14.35768
2021-11-30,10.07556
2021-12-01,14.35768
2021-12-02,8.31234
2021-12-03,8.56423
2021-12-04,2.267
2021-12-05,1.51133
2021-12-06,14.10579
2021-12-07,15.86901
2021-12-08,12.09068
2021-12-09,14.60957
2021-12-10,11.5869
2021-12-11,1.25944
2021-12-13,8.81612
2021-12-14,7.80856
2021-12-15,10.32745
2021-12-16,6.29722
2021-12-17,15.86901
2021-12-18,2.77078
2021-12-19,7.30478
2021-12-20,6.801
2021-12-21,5.79345
2021-12-22,8.56423
2021-12-23,8.06045
2021-12-24,6.54911
2021-12-25,1.25944
2021-12-26,2.51889
2021-12-27,9.31989
2021-12-28,6.801
2021-12-29,9.31989
2021-12-30,9.31989
2021-12-31,5.54156
2022-01-01,1.51133
2022-01-03,3.52644
2022-01-04,12.84634
2022-01-05,8.31234
2022-01-06,10.83123
2022-01-07,9.31989
2022-01-08,1.76322
2022-01-09,1.51133
2022-01-10,9.82367
2022-01-11,8.06045
2022-01-12,22.92191
2022-01-13,15.61712
2022-01-14,10.57934
2022-01-15,2.51889
2022-01-16,1.51133
2022-01-17,10.57934
2022-01-18,9.57178
2022-01-19,12.84634
2022-01-20,9.06801
2022-01-21,12.34256
2022-01-22,42.82115
2022-01-23,61.71284
2022-01-24,13.8539
2022-01-25,17.38035
2022-01-26,20.40302
2022-01-27,15.36523
2022-01-28,7.30478
2022-01-29,20.15113
2022-01-30,37.78337
2022-01-31,8.06045
2022-02-01,6.801
2022-02-02,30.98236
2022-02-03,31.98992
2022-02-04,12.84634
2022-02-05,13.60201
2022-02-06,6.801
2022-02-07,13.60201
2022-02-08,15.11335
2022-02-09,22.92191
2022-02-10,15.86901
2022-02-11,16.37279
2022-02-12,2.01511
2022-02-13,5.28967
2022-02-14,15.11335
2022-02-15,9.57178
2022-02-16,11.5869
2022-02-17,15.36523
2022-02-18,18.63979
2022-02-19,1.25944
2022-02-20,5.28967
2022-02-21,12.59445
2022-02-22,14.35768
2022-02-23,14.35768
2022-02-24,7.80856
2022-02-25,7.55667
2022-02-26,3.77833
2022-02-27,1.76322
2022-02-28,6.54911
2022-03-01,9.06801
2022-03-02,19.89924
2022-03-03,11.08312
2022-03-04,7.80856
2022-03-05,1.25944
2022-03-06,4.534
2022-03-07,13.35012
2022-03-08,10.07556
2022-03-09,3.02267
2022-03-10,9.57178
2022-03-11,10.83123
2022-03-12,3.02267
2022-03-13,2.51889
2022-03-14,8.81612
2022-03-15,11.33501
2022-03-16,12.59445
2022-03-17,12.34256
2022-03-18,11.08312
2022-03-19,3.52644
2022-03-20,3.77833
2022-03-21,8.31234
2022-03-22,6.54911
2022-03-23,10.07556
2022-03-24,8.06045
2022-03-25,11.33501
2022-03-27,1.51133
2022-03-28,10.83123
2022-03-29,9.82367
2022-03-30,7.55667
2022-03-31,10.83123
2022-04-01,8.81612
2022-04-02,1.25944
2022-04-03,1.25944
2022-04-04,9.57178
2022-04-05,8.56423
2022-04-06,13.35012
2022-04-07,9.82367
2022-04-08,10.32745
2022-04-09,1.76322
2022-04-10,3.52644
2022-04-11,10.32745
2022-04-12,13.8539
2022-04-13,12.84634
2022-04-14,15.11335
2022-04-15,10.57934
2022-04-16,2.77078
2022-04-17,3.02267
2022-04-18,11.33501
2022-04-19,17.63224
2022-04-20,16.87657
2022-04-21,16.62468
2022-04-22,10.83123
2022-04-23,3.02267
2022-04-24,1.76322
2022-04-25,15.61712
2022-04-26,9.82367
2022-04-27,9.57178
2022-04-28,11.83879
2022-04-29,8.31234
2022-04-30,1.76322
2022-05-01,1.51133
2022-05-02,17.38035
2022-05-03,10.32745
2022-05-04,8.81612
2022-05-05,4.28211
2022-05-06,8.06045
2022-05-07,1.76322
2022-05-08,5.54156
2022-05-09,14.10579
2022-05-10,15.61712
2022-05-11,19.89924
2022-05-12,25.4408
2022-05-13,8.56423
2022-05-14,4.78589
2022-05-15,3.77833
2022-05-16,13.60201
2022-05-17,13.35012
2022-05-18,8.31234
2022-05-19,15.11335
2022-05-20,6.04534
2022-05-21,1.51133
2022-05-22,4.28211
2022-05-23,11.83879
2022-05-24,9.31989
2022-05-25,10.57934
2022-05-26,16.1209
2022-05-27,10.83123
2022-05-28,2.267
2022-05-29,2.01511
2022-05-30,10.07556
2022-05-31,10.83123
2022-06-01,2.51889
2022-06-02,12.59445
2022-06-03,11.08312
2022-06-04,2.267
2022-06-05,2.01511
2022-06-07,12.09068
2022-06-08,12.84634
2022-06-09,9.57178
2022-06-10,9.57178
2022-06-11,2.01511
2022-06-12,1.76322
2022-06-13,10.57934
2022-06-14,10.07556
2022-06-15,13.60201
2022-06-16,11.83879
2022-06-17,14.60957
2022-06-18,4.78589
2022-06-19,5.28967
2022-06-20,12.34256
2022-06-21,11.5869
2022-06-22,14.10579
2022-06-23,12.09068
2022-06-24,8.81612
2022-06-25,2.77078
2022-06-26,2.267
2022-06-27,8.06045
2022-06-28,9.31989
2022-06-29,10.32745
2022-06-30,59.94962
2022-07-01,38.28715
2022-07-02,7.30478
2022-07-03,5.03778
2022-07-04,16.1209
2022-07-05,14.60957
2022-07-06,14.86146
2022-07-07,12.59445
2022-07-08,10.07556
2022-07-09,5.03778
2022-07-10,3.27455
2022-07-11,13.09823
2022-07-12,13.60201
2022-07-13,10.07556
2022-07-14,9.06801
2022-07-15,12.59445
2022-07-16,1.51133
2022-07-17,4.78589
2022-07-18,13.60201
2022-07-19,13.35012
2022-07-20,14.10579
2022-07-21,11.83879
2022-07-22,6.801
2022-07-23,1.25944
2022-07-24,2.51889
2022-07-25,28.21158
2022-07-26,14.86146
2022-07-27,12.59445
2022-07-28,12.84634
2022-07-29,9.31989
2022-07-30,6.04534
2022-07-31,2.77078
2022-08-01,7.55667
2022-08-02,13.35012
2022-08-03,12.09068
2022-08-04,12.59445
2022-08-05,10.83123
2022-08-06,2.267
2022-08-07,2.77078
2022-08-08,11.08312
2022-08-09,11.83879
2022-08-10,12.09068
2022-08-11,10.07556
2022-08-12,10.07556
2022-08-13,3.27455
2022-08-15,3.02267
2022-08-16,10.57934
2022-08-17,11.08312
2022-08-18,10.07556
