date,우주항공관련주
2020-03-22,0.1675
2020-03-23,0.93323
2020-03-24,0.26322
2020-03-25,0.1675
2020-03-26,0.19143
2020-03-27,0.21536
2020-03-28,0.38286
2020-03-29,0.1675
2020-04-01,0.1675
2020-04-06,0.21536
2020-04-07,0.26322
2020-04-08,0.19143
2020-04-10,0.19143
2020-04-11,0.14357
2020-04-12,0.19143
2020-04-13,0.14357
2020-04-16,0.335
2020-04-17,0.1675
2020-04-18,0.28715
2020-04-19,0.19143
2020-04-20,0.31107
2020-04-21,0.43072
2020-04-22,0.23929
2020-04-26,0.1675
2020-04-27,0.76573
2020-04-28,0.43072
2020-04-29,0.38286
2020-04-30,0.14357
2020-05-01,0.21536
2020-05-02,0.1675
2020-05-05,0.1675
2020-05-06,0.76573
2020-05-07,0.35893
2020-05-11,0.14357
2020-05-12,0.19143
2020-05-14,0.11964
2020-05-17,0.14357
2020-05-19,0.23929
2020-05-20,0.67001
2020-05-21,0.40679
2020-05-22,0.23929
2020-05-23,0.26322
2020-05-24,0.35893
2020-05-25,0.38286
2020-05-26,0.76573
2020-05-27,2.01005
2020-05-28,1.36396
2020-05-29,0.59822
2020-05-30,0.28715
2020-05-31,8.44699
2020-06-01,8.80593
2020-06-02,3.42187
2020-06-03,2.75185
2020-06-04,1.57932
2020-06-05,1.45967
2020-06-06,0.86145
2020-06-07,1.36396
2020-06-08,1.19645
2020-06-09,1.17252
2020-06-10,0.45465
2020-06-11,0.64608
2020-06-12,0.40679
2020-06-13,0.28715
2020-06-14,0.45465
2020-06-15,0.52644
2020-06-16,0.47858
2020-06-17,0.31107
2020-06-18,0.76573
2020-06-19,0.47858
2020-06-20,0.55037
2020-06-21,0.55037
2020-06-22,0.31107
2020-06-23,0.50251
2020-06-24,0.35893
2020-06-26,0.43072
2020-06-27,0.26322
2020-06-28,0.28715
2020-06-29,0.5743
2020-06-30,0.62215
2020-07-01,0.38286
2020-07-02,0.40679
2020-07-03,0.26322
2020-07-04,0.47858
2020-07-05,0.35893
2020-07-06,0.52644
2020-07-07,0.43072
2020-07-08,0.35893
2020-07-09,0.335
2020-07-10,0.14357
2020-07-11,0.31107
2020-07-12,0.21536
2020-07-13,0.26322
2020-07-14,0.335
2020-07-15,0.47858
2020-07-16,0.23929
2020-07-17,0.14357
2020-07-19,0.21536
2020-07-20,0.31107
2020-07-21,1.67504
2020-07-22,0.35893
2020-07-23,1.07681
2020-07-24,0.7418
2020-07-25,0.40679
2020-07-26,0.38286
2020-07-27,0.9093
2020-07-28,24.07274
2020-07-29,30.27039
2020-07-30,7.82483
2020-07-31,3.49365
2020-08-01,1.77075
2020-08-02,1.53146
2020-08-03,2.4647
2020-08-04,1.79468
2020-08-05,2.34505
2020-08-06,2.08183
2020-08-07,1.57932
2020-08-08,0.62215
2020-08-09,1.07681
2020-08-10,1.41182
2020-08-11,2.60827
2020-08-12,1.38789
2020-08-13,0.9093
2020-08-14,0.38286
2020-08-15,0.40679
2020-08-16,0.38286
2020-08-17,0.40679
2020-08-18,0.31107
2020-08-19,0.31107
2020-08-20,0.21536
2020-08-21,0.1675
2020-08-22,0.14357
2020-08-24,0.55037
2020-08-25,0.28715
2020-08-26,0.1675
2020-08-27,0.335
2020-08-28,0.21536
2020-08-29,0.23929
2020-08-30,0.335
2020-08-31,0.45465
2020-09-01,0.55037
2020-09-02,1.12467
2020-09-03,1.10074
2020-09-04,0.9093
2020-09-05,0.31107
2020-09-06,0.31107
2020-09-07,0.93323
2020-09-08,0.9093
2020-09-09,0.83752
2020-09-10,0.83752
2020-09-11,0.5743
2020-09-12,0.21536
2020-09-13,0.52644
2020-09-14,0.45465
2020-09-15,0.67001
2020-09-16,1.10074
2020-09-17,0.71787
2020-09-18,0.31107
2020-09-19,0.47858
2020-09-20,0.40679
2020-09-21,0.67001
2020-09-22,0.28715
2020-09-23,0.35893
2020-09-24,0.35893
2020-09-25,0.28715
2020-09-26,0.19143
2020-09-27,0.335
2020-09-28,0.7418
2020-09-29,0.35893
2020-10-01,0.19143
2020-10-02,0.14357
2020-10-04,0.21536
2020-10-06,0.38286
2020-10-07,0.335
2020-10-08,0.38286
2020-10-09,0.28715
2020-10-10,0.35893
2020-10-11,0.31107
2020-10-12,0.14357
2020-10-13,0.19143
2020-10-14,0.21536
2020-10-15,0.35893
2020-10-16,0.21536
2020-10-17,0.40679
2020-10-18,0.62215
2020-10-19,0.26322
2020-10-20,0.38286
2020-10-21,0.31107
2020-10-22,0.1675
2020-10-23,0.19143
2020-10-24,0.23929
2020-10-25,0.23929
2020-10-26,0.50251
2020-10-27,0.31107
2020-10-28,0.38286
2020-11-01,0.21536
2020-11-06,0.14357
2020-11-07,0.1675
2020-11-08,0.23929
2020-11-09,0.14357
2020-11-10,0.40679
2020-11-11,0.26322
2020-11-12,0.47858
2020-11-13,0.31107
2020-11-14,0.19143
2020-11-15,0.59822
2020-11-16,1.74682
2020-11-17,1.55539
2020-11-18,0.86145
2020-11-19,0.67001
2020-11-20,0.62215
2020-11-21,0.335
2020-11-22,0.21536
2020-11-23,0.47858
2020-11-24,0.93323
2020-11-25,0.47858
2020-11-26,0.59822
2020-11-27,1.12467
2020-11-28,0.28715
2020-11-29,0.55037
2020-11-30,0.86145
2020-12-01,1.00502
2020-12-02,1.00502
2020-12-03,1.19645
2020-12-04,0.9093
2020-12-05,0.93323
2020-12-06,0.98109
2020-12-07,1.10074
2020-12-08,1.24431
2020-12-09,1.29217
2020-12-10,0.26322
2020-12-11,0.76573
2020-12-12,0.69394
2020-12-13,0.5743
2020-12-14,0.14357
2020-12-15,0.62215
2020-12-16,0.40679
2020-12-17,0.59822
2020-12-18,0.43072
2020-12-19,0.59822
2020-12-20,1.02895
2020-12-21,0.95716
2020-12-22,1.07681
2020-12-23,0.83752
2020-12-24,0.98109
2020-12-25,0.67001
2020-12-26,0.7418
2020-12-27,0.71787
2020-12-28,1.4836
2020-12-29,1.62718
2020-12-30,1.7229
2020-12-31,1.29217
2021-01-01,1.93826
2021-01-02,2.82364
2021-01-03,2.8715
2021-01-04,3.66116
2021-01-05,5.24048
2021-01-06,4.28332
2021-01-07,3.37401
2021-01-08,4.09188
2021-01-09,2.91935
2021-01-10,2.44077
2021-01-11,2.77578
2021-01-12,2.53649
2021-01-13,5.81478
2021-01-14,7.48983
2021-01-15,14.97966
2021-01-16,6.26944
2021-01-17,7.99234
2021-01-18,47.90619
2021-01-19,54.34314
2021-01-20,54.22349
2021-01-21,100.0
