date,울산다운2지구우미린
2022-02-14,1.79775
2022-02-15,2.24719
2022-02-16,1.46067
2022-02-21,1.79775
2022-02-22,0.89887
2022-02-24,0.78651
2022-02-25,1.01123
2022-02-26,0.56179
2022-02-27,1.01123
2022-02-28,7.19101
2022-03-01,6.17977
2022-03-02,4.60674
2022-03-03,3.93258
2022-03-04,3.5955
2022-03-05,2.35955
2022-03-06,4.1573
2022-03-07,8.08988
2022-03-08,5.84269
2022-03-09,18.98876
2022-03-10,37.64044
2022-03-11,48.8764
2022-03-12,13.70786
2022-03-13,13.14606
2022-03-14,20.56179
2022-03-15,11.01123
2022-03-16,6.85393
2022-03-17,7.52808
2022-03-18,49.4382
2022-03-19,13.48314
2022-03-20,6.40449
2022-03-21,10.0
2022-03-22,8.8764
2022-03-23,4.7191
2022-03-24,6.29213
2022-03-25,4.26966
2022-03-26,4.49438
2022-03-27,3.37078
2022-03-28,4.83146
2022-03-29,4.04494
2022-03-30,2.69662
2022-03-31,3.37078
2022-04-01,2.47191
2022-04-02,1.34831
2022-04-03,1.12359
2022-04-04,2.58426
2022-04-05,1.57303
2022-04-06,2.92134
2022-04-07,2.80898
2022-04-08,4.38202
2022-04-09,1.68539
2022-04-10,3.25842
2022-04-11,2.13483
2022-04-12,1.79775
2022-04-13,0.67415
2022-04-14,1.23595
2022-04-15,0.56179
2022-04-16,1.91011
2022-04-17,0.67415
2022-05-10,0.56179
2022-05-11,0.56179
2022-05-16,1.34831
2022-05-18,0.89887
2022-05-19,0.89887
2022-05-20,0.78651
2022-05-21,0.78651
2022-05-22,0.56179
2022-05-24,0.56179
2022-05-25,0.67415
2022-05-26,0.78651
2022-05-27,0.67415
2022-05-28,0.67415
2022-05-29,0.89887
2022-05-30,0.56179
2022-05-31,2.02247
2022-06-01,1.12359
2022-06-02,0.56179
2022-06-03,1.68539
2022-06-04,0.78651
2022-06-07,1.12359
2022-06-08,0.89887
2022-06-09,0.78651
2022-06-11,1.01123
2022-06-12,0.89887
2022-06-13,0.78651
2022-06-15,0.56179
2022-07-09,0.56179
2022-07-19,0.56179
2022-07-25,0.67415
2022-08-09,0.56179
2022-08-18,0.56179
2022-08-25,0.56179
2022-08-28,0.56179
2022-09-16,0.67415
2022-11-09,0.78651
2022-11-17,0.67415
2023-02-07,0.56179
2023-02-20,0.56179
2023-03-29,0.78651
2023-05-08,0.56179
2023-05-30,0.56179
2023-06-08,0.56179
2023-06-19,1.12359
2023-06-21,3.37078
2023-06-24,0.78651
2023-06-26,0.56179
2023-07-11,0.56179
2023-07-15,0.56179
2023-07-18,0.78651
2023-07-25,0.56179
2023-07-27,0.89887
2023-07-28,1.01123
2023-07-31,0.89887
2023-08-01,0.89887
2023-08-02,0.56179
2023-08-03,0.67415
2023-08-04,1.46067
2023-08-05,0.67415
2023-08-06,0.56179
2023-08-07,0.78651
2023-08-08,0.89887
2023-08-09,0.78651
2023-08-10,0.56179
2023-08-12,0.67415
2023-08-16,0.56179
2023-08-17,2.35955
2023-08-18,1.23595
2023-08-19,0.89887
2023-08-21,2.24719
2023-08-22,2.69662
2023-08-23,1.57303
2023-08-24,0.56179
2023-08-25,0.56179
2023-08-26,0.89887
2023-08-27,1.79775
2023-08-28,2.69662
2023-08-29,2.92134
2023-08-30,2.58426
2023-08-31,1.57303
2023-09-01,1.68539
2023-09-02,1.57303
2023-09-04,3.93258
2023-09-05,3.70786
2023-09-06,6.85393
2023-09-07,4.04494
2023-09-08,3.82022
2023-09-09,2.47191
2023-09-10,1.23595
2023-09-11,3.37078
2023-09-12,6.06741
2023-09-13,6.29213
2023-09-14,7.41573
2023-09-15,3.82022
2023-09-16,3.48314
2023-09-17,9.55056
2023-09-18,13.5955
2023-09-19,13.48314
2023-09-20,15.16853
2023-09-21,12.47191
2023-09-22,14.7191
2023-09-23,13.0337
2023-09-24,11.57303
2023-09-25,18.20224
2023-09-26,8.53932
2023-09-27,7.19101
2023-09-28,7.07865
2023-09-29,4.26966
2023-09-30,6.51685
2023-10-01,4.38202
2023-10-02,5.61797
2023-10-03,3.48314
2023-10-04,5.84269
2023-10-05,7.19101
2023-10-06,3.25842
2023-10-07,2.80898
2023-10-08,3.5955
2023-10-09,4.49438
2023-10-10,4.94382
2023-10-11,7.30337
2023-10-12,7.07865
2023-10-13,5.28089
2023-10-14,3.37078
2023-10-15,2.13483
2023-10-16,4.83146
2023-10-17,6.62921
2023-10-18,5.05617
2023-10-19,7.86516
2023-10-20,24.38202
2023-10-21,10.67415
2023-10-22,15.28089
2023-10-23,24.49438
2023-10-24,20.33707
2023-10-25,22.35955
2023-10-26,13.48314
2023-10-27,25.50561
2023-10-28,40.22471
2023-10-29,38.8764
2023-10-30,39.88764
2023-10-31,42.35955
2023-11-01,53.37078
2023-11-02,46.51685
2023-11-03,25.28089
2023-11-04,22.02247
2023-11-05,23.93258
2023-11-06,27.86516
2023-11-07,26.06741
2023-11-08,25.61797
2023-11-09,47.30337
2023-11-10,28.20224
2023-11-11,19.66292
2023-11-12,21.23595
