date,워드프레스
2020-03-20,1.47864
2020-03-21,1.00202
2020-03-22,0.972
2020-03-23,1.64377
2020-03-24,1.73759
2020-03-25,1.65503
2020-03-26,1.84267
2020-03-27,1.72258
2020-03-28,0.9157
2020-03-29,0.9795
2020-03-30,1.65503
2020-03-31,1.61375
2020-04-01,1.58748
2020-04-02,1.51992
2020-04-03,1.65878
2020-04-04,0.8444
2020-04-05,0.95323
2020-04-06,1.38857
2020-04-07,1.53493
2020-04-08,1.52368
2020-04-09,1.41859
2020-04-10,1.30976
2020-04-11,0.83314
2020-04-12,0.98326
2020-04-13,1.50116
2020-04-14,1.6813
2020-04-15,0.99827
2020-04-16,1.53493
2020-04-17,1.63251
2020-04-18,0.85566
2020-04-19,0.93822
2020-04-20,1.58372
2020-04-21,1.80139
2020-04-22,1.65878
2020-04-23,1.55745
2020-04-24,1.38482
2020-04-25,0.92321
2020-04-26,0.82939
2020-04-27,1.39232
2020-04-28,1.36981
2020-04-29,1.33228
2020-04-30,0.79186
2020-05-01,0.85941
2020-05-02,0.72806
2020-05-03,0.80312
2020-05-04,1.17841
2020-05-05,1.09209
2020-05-06,1.53869
2020-05-07,1.59498
2020-05-08,1.37356
2020-05-09,0.81062
2020-05-10,0.88568
2020-05-11,1.55745
2020-05-12,1.60624
2020-05-13,1.47114
2020-05-14,1.50116
2020-05-15,1.37731
2020-05-16,0.8444
2020-05-17,0.9157
2020-05-18,1.61375
2020-05-19,1.71132
2020-05-20,1.51992
2020-05-21,1.38482
2020-05-22,1.24971
2020-05-23,0.82563
2020-05-24,0.80687
2020-05-25,1.51242
2020-05-26,1.58372
2020-05-27,1.46363
2020-05-28,1.42985
2020-05-29,1.30225
2020-05-30,0.76934
2020-05-31,0.84815
2020-06-01,1.49365
2020-06-02,1.52743
2020-06-03,1.47864
2020-06-04,1.43736
2020-06-05,1.27974
2020-06-06,0.66801
2020-06-07,0.70179
2020-06-08,1.58372
2020-06-09,1.49365
2020-06-10,1.37356
2020-06-11,1.31351
2020-06-12,1.51242
2020-06-13,0.88568
2020-06-14,0.77685
2020-06-15,1.51617
2020-06-16,1.35479
2020-06-17,1.40358
2020-06-18,1.38482
2020-06-19,1.31727
2020-06-20,0.78811
2020-06-21,0.63424
2020-06-22,1.52368
2020-06-23,1.37356
2020-06-24,1.28349
2020-06-25,1.34729
2020-06-26,1.09584
2020-06-27,0.67927
2020-06-28,0.84065
2020-06-29,1.53118
2020-06-30,1.24971
2020-07-01,1.3623
2020-07-02,1.24596
2020-07-03,1.09209
2020-07-04,0.66426
2020-07-05,0.75808
2020-07-06,1.33603
2020-07-07,1.44111
2020-07-08,1.33603
2020-07-09,1.34354
2020-07-10,1.15964
2020-07-11,0.70929
2020-07-12,0.79561
2020-07-13,1.54244
2020-07-14,1.45237
2020-07-15,1.39232
2020-07-16,1.26097
2020-07-17,1.23845
2020-07-18,0.66426
2020-07-19,0.81438
2020-07-20,1.51992
2020-07-21,1.46363
2020-07-22,1.45612
2020-07-23,1.38857
2020-07-24,1.23845
