date,원자재가격
2020-03-20,15.71946
2020-03-21,7.13422
2020-03-22,5.68319
2020-03-23,12.15235
2020-03-24,11.97097
2020-03-25,12.81741
2020-03-26,11.66868
2020-03-27,9.91535
2020-03-28,6.22732
2020-03-29,4.83675
2020-03-30,10.94316
2020-03-31,10.21765
2020-04-01,10.94316
2020-04-02,8.46432
2020-04-03,10.70133
2020-04-04,5.19951
2020-04-05,3.32527
2020-04-06,8.04111
2020-04-07,9.37122
2020-04-08,11.42684
2020-04-09,10.39903
2020-04-10,9.49214
2020-04-11,6.83192
2020-04-12,3.99032
2020-04-13,9.18984
2020-04-14,10.70133
2020-04-15,6.95284
2020-04-16,7.92019
2020-04-17,10.33857
2020-04-18,5.86457
2020-04-19,4.1717
2020-04-20,7.55743
2020-04-21,13.60338
2020-04-22,10.8827
2020-04-23,12.33373
2020-04-24,10.8827
2020-04-25,5.68319
2020-04-26,4.53446
2020-04-27,8.58524
2020-04-28,10.03627
2020-04-29,8.6457
2020-04-30,6.89238
2020-05-01,6.16686
2020-05-02,5.32043
2020-05-03,3.74848
2020-05-04,8.10157
2020-05-05,7.73881
2020-05-06,10.33857
2020-05-07,9.67351
2020-05-08,10.21765
2020-05-09,7.79927
2020-05-10,5.68319
2020-05-11,11.42684
2020-05-12,8.16203
2020-05-13,9.43168
2020-05-14,6.95284
2020-05-15,8.948
2020-05-16,6.16686
2020-05-17,2.90205
2020-05-18,6.89238
2020-05-19,9.97581
2020-05-20,10.82224
2020-05-21,11.12454
2020-05-22,9.00846
2020-05-23,6.77146
2020-05-24,5.13905
2020-05-25,7.61789
2020-05-26,10.70133
2020-05-27,10.39903
2020-05-28,9.61305
2020-05-29,9.55259
2020-05-30,5.62273
2020-05-31,3.8694
2020-06-01,7.25513
2020-06-02,8.58524
2020-06-03,10.58041
2020-06-04,9.79443
2020-06-05,8.04111
2020-06-06,6.65054
2020-06-07,2.78113
2020-06-08,7.79927
2020-06-09,11.00362
2020-06-10,10.27811
2020-06-11,8.10157
2020-06-12,10.15719
2020-06-13,5.56227
2020-06-14,1.9347
2020-06-15,8.70616
2020-06-16,8.22249
2020-06-17,6.711
2020-06-18,7.61789
2020-06-19,8.28295
2020-06-20,4.53446
2020-06-21,1.75332
2020-06-22,5.01813
2020-06-23,7.07376
2020-06-24,6.46916
2020-06-25,6.46916
2020-06-26,5.98548
2020-06-27,4.59492
2020-06-28,2.59975
2020-06-29,6.89238
2020-06-30,7.55743
2020-07-01,7.85973
2020-07-02,7.49697
2020-07-03,7.07376
2020-07-04,5.86457
2020-07-05,2.96251
2020-07-06,5.98548
2020-07-07,8.16203
2020-07-08,9.37122
2020-07-09,7.07376
2020-07-10,7.07376
2020-07-11,4.41354
2020-07-12,1.9347
2020-07-13,6.46916
2020-07-14,8.10157
2020-07-15,8.40386
2020-07-16,7.37605
2020-07-17,8.6457
2020-07-18,4.83675
2020-07-19,2.47883
2020-07-20,8.6457
2020-07-21,8.88754
2020-07-22,10.09673
2020-07-23,9.31076
2020-07-24,8.58524
2020-07-25,5.62273
2020-07-26,3.14389
2020-07-27,8.10157
2020-07-28,11.12454
2020-07-29,8.948
2020-07-30,9.97581
2020-07-31,7.73881
2020-08-01,4.05078
2020-08-02,2.41837
2020-08-03,6.52962
2020-08-04,7.31559
2020-08-05,9.67351
2020-08-06,10.39903
2020-08-07,9.31076
2020-08-08,5.92503
2020-08-09,3.38573
2020-08-10,8.70616
2020-08-11,9.55259
2020-08-12,9.49214
2020-08-13,8.52478
2020-08-14,9.43168
2020-08-15,4.83675
2020-08-16,3.56711
2020-08-17,5.80411
2020-08-18,8.58524
2020-08-19,9.55259
2020-08-20,9.06892
2020-08-21,8.3434
2020-08-22,5.07859
2020-08-23,3.38573
2020-08-24,6.46916
2020-08-25,8.76662
2020-08-26,8.10157
2020-08-27,9.2503
2020-08-28,11.00362
2020-08-29,5.98548
2020-08-30,3.99032
2020-08-31,7.07376
2020-09-01,10.76178
2020-09-02,9.97581
2020-09-03,8.10157
2020-09-04,8.88754
2020-09-05,5.44135
2020-09-06,3.38573
2020-09-07,7.92019
2020-09-08,9.43168
2020-09-09,8.40386
2020-09-10,6.59008
2020-09-11,6.65054
2020-09-12,4.83675
2020-09-13,2.66021
2020-09-14,5.44135
2020-09-15,6.65054
2020-09-16,7.92019
2020-09-17,8.16203
2020-09-18,7.31559
2020-09-19,4.65538
2020-09-20,2.84159
2020-09-21,6.34824
2020-09-22,7.92019
2020-09-23,7.37605
2020-09-24,7.37605
2020-09-25,5.19951
2020-09-26,2.90205
2020-09-27,2.237
2020-09-28,5.13905
2020-09-29,5.25997
2020-09-30,4.11124
2020-10-01,4.41354
2020-10-02,3.8694
2020-10-03,3.38573
2020-10-04,2.35792
2020-10-05,5.62273
2020-10-06,7.92019
2020-10-07,5.44135
2020-10-08,5.98548
2020-10-09,4.53446
2020-10-10,5.44135
2020-10-11,3.68802
2020-10-12,6.77146
2020-10-13,8.16203
2020-10-14,8.3434
2020-10-15,8.52478
2020-10-16,6.83192
2020-10-17,4.29262
2020-10-18,3.74848
2020-10-19,5.19951
2020-10-20,6.83192
2020-10-21,7.55743
2020-10-22,8.6457
2020-10-23,7.67835
2020-10-24,3.68802
2020-10-25,2.84159
2020-10-26,5.50181
2020-10-27,9.67351
2020-10-28,8.46432
2020-10-29,8.6457
2020-10-30,7.85973
2020-10-31,4.1717
2020-11-01,3.02297
2020-11-02,6.4087
2020-11-03,8.22249
2020-11-04,7.79927
2020-11-05,6.95284
2020-11-06,7.49697
2020-11-07,4.29262
2020-11-08,2.41837
2020-11-09,5.74365
2020-11-10,9.37122
2020-11-11,8.46432
2020-11-12,8.46432
2020-11-13,6.46916
2020-11-14,4.59492
2020-11-15,3.02297
2020-11-16,6.65054
2020-11-17,6.77146
2020-11-18,8.16203
2020-11-19,9.18984
2020-11-20,8.40386
2020-11-21,5.92503
2020-11-22,3.80894
2020-11-23,7.61789
2020-11-24,9.67351
2020-11-25,10.09673
2020-11-26,11.24546
2020-11-27,11.36638
2020-11-28,6.77146
2020-11-29,5.07859
2020-11-30,9.97581
2020-12-01,11.36638
2020-12-02,12.15235
2020-12-03,13.1197
2020-12-04,11.7896
2020-12-05,6.34824
2020-12-06,5.50181
2020-12-07,12.21281
2020-12-08,13.24062
2020-12-09,13.78476
2020-12-10,19.10519
2020-12-11,17.04957
2020-12-12,9.61305
2020-12-13,5.92503
2020-12-14,11.97097
2020-12-15,15.17533
2020-12-16,14.26844
2020-12-17,14.57073
2020-12-18,14.38935
2020-12-19,7.19467
2020-12-20,4.95767
2020-12-21,12.93833
2020-12-22,14.75211
2020-12-23,13.36154
2020-12-24,11.00362
2020-12-25,6.22732
2020-12-26,6.4087
2020-12-27,5.07859
2020-12-28,11.30592
2020-12-29,14.44981
2020-12-30,13.66384
2020-12-31,10.27811
2021-01-01,6.34824
2021-01-02,6.89238
2021-01-03,6.1064
2021-01-04,12.75695
2021-01-05,17.83555
2021-01-06,17.65417
2021-01-07,19.10519
2021-01-08,18.62152
2021-01-09,11.4873
2021-01-10,7.25513
2021-01-11,16.38452
2021-01-12,20.19347
2021-01-13,20.97944
2021-01-14,22.6723
2021-01-15,17.59371
2021-01-16,10.58041
2021-01-17,10.27811
2021-01-18,17.896
2021-01-19,19.22611
2021-01-20,18.86336
2021-01-21,18.68198
2021-01-22,19.83071
2021-01-23,12.81741
2021-01-24,8.948
2021-01-25,18.13784
2021-01-26,20.7376
2021-01-27,18.07738
2021-01-28,15.53808
2021-01-29,17.04957
2021-01-30,14.14752
2021-01-31,9.67351
2021-02-01,20.4353
2021-02-02,20.55622
2021-02-03,16.86819
2021-02-04,16.44498
2021-02-05,16.5659
2021-02-06,9.31076
2021-02-07,6.4087
2021-02-08,12.93833
2021-02-09,20.7376
2021-02-10,18.37968
2021-02-11,8.76662
2021-02-12,9.43168
2021-02-13,10.58041
2021-02-14,9.55259
2021-02-15,16.02176
2021-02-16,31.62031
2021-02-17,30.04836
2021-02-18,29.20193
2021-02-19,23.70012
2021-02-20,14.51027
2021-02-21,13.05925
2021-02-22,32.88996
2021-02-23,41.65659
2021-02-24,35.6711
2021-02-25,36.39661
2021-02-26,32.40628
2021-02-27,19.58887
2021-02-28,12.15235
2021-03-01,18.13784
2021-03-02,29.62515
2021-03-03,28.3555
2021-03-04,31.98307
2021-03-05,29.56469
2021-03-06,15.90084
2021-03-07,11.24546
2021-03-08,30.35066
2021-03-09,27.02539
2021-03-10,29.50423
2021-03-11,29.38331
2021-03-12,24.66747
2021-03-13,10.70133
2021-03-14,9.31076
2021-03-15,22.6723
2021-03-16,25.33252
2021-03-17,24.06287
2021-03-18,21.82587
2021-03-19,23.70012
2021-03-20,12.03143
2021-03-21,8.10157
2021-03-22,23.03506
2021-03-23,24.48609
2021-03-24,22.9746
2021-03-25,20.67714
2021-03-26,21.94679
2021-03-27,11.7896
2021-03-28,8.76662
2021-03-29,22.61185
2021-03-30,24.48609
2021-03-31,21.40266
2021-04-01,22.30955
2021-04-02,19.95163
2021-04-03,10.58041
2021-04-04,7.07376
2021-04-05,21.28174
2021-04-06,22.24909
2021-04-07,23.33736
2021-04-08,18.07738
2021-04-09,18.07738
2021-04-10,8.82708
2021-04-11,5.32043
2021-04-12,16.38452
2021-04-13,18.92382
2021-04-14,19.64933
2021-04-15,23.03506
2021-04-16,21.46311
2021-04-17,11.00362
2021-04-18,6.28778
2021-04-19,18.1983
2021-04-20,25.75574
2021-04-21,26.90447
2021-04-22,26.84401
2021-04-23,22.24909
2021-04-24,15.11487
2021-04-25,9.06892
2021-04-26,26.60217
2021-04-27,41.11245
2021-04-28,34.7642
2021-04-29,38.99637
2021-04-30,32.76904
2021-05-01,16.02176
2021-05-02,13.422
2021-05-03,28.3555
2021-05-04,36.57799
2021-05-05,27.62998
2021-05-06,38.45223
2021-05-07,38.93591
2021-05-08,22.30955
2021-05-09,17.83555
2021-05-10,45.88875
2021-05-11,68.68198
2021-05-12,76.78355
2021-05-13,73.94195
2021-05-14,64.69165
2021-05-15,30.65296
2021-05-16,24.54655
2021-05-17,56.34824
2021-05-18,57.0133
2021-05-19,41.95888
2021-05-20,81.19709
2021-05-21,59.85489
2021-05-22,32.76904
2021-05-23,23.94195
2021-05-24,54.1717
2021-05-25,58.3434
2021-05-26,61.4873
2021-05-27,49.03264
2021-05-28,49.51632
2021-05-29,27.14631
2021-05-30,19.04474
2021-05-31,46.25151
2021-06-01,47.82345
2021-06-02,47.52116
2021-06-03,47.52116
2021-06-04,42.20072
2021-06-05,24.36517
2021-06-06,17.47279
2021-06-07,48.60943
2021-06-08,41.11245
2021-06-09,43.34945
2021-06-10,38.63361
2021-06-11,39.05683
2021-06-12,20.55622
2021-06-13,13.66384
2021-06-14,35.12696
2021-06-15,45.40507
2021-06-16,41.59613
2021-06-17,42.98669
2021-06-18,77.56952
2021-06-19,38.33131
2021-06-20,23.5792
2021-06-21,59.00846
2021-06-22,58.40386
2021-06-23,48.24667
2021-06-24,44.37726
2021-06-25,41.7775
2021-06-26,22.61185
2021-06-27,12.87787
2021-06-28,37.6058
2021-06-29,40.50785
2021-06-30,39.72188
2021-07-01,39.90326
2021-07-02,36.75937
2021-07-03,18.56106
2021-07-04,11.72914
2021-07-05,31.31801
2021-07-06,40.02418
2021-07-07,43.22853
2021-07-08,38.27085
2021-07-09,33.19226
2021-07-10,19.04474
2021-07-11,12.09189
2021-07-12,28.29504
2021-07-13,36.21523
2021-07-14,35.55018
2021-07-15,35.6711
2021-07-16,31.07617
2021-07-17,13.96614
2021-07-18,10.8827
2021-07-19,28.3555
2021-07-20,34.22007
2021-07-21,30.77388
2021-07-22,28.83917
2021-07-23,24.60701
2021-07-24,15.47762
2021-07-25,9.37122
2021-07-26,28.83917
2021-07-27,36.45707
2021-07-28,26.29987
2021-07-29,29.74607
2021-07-30,24.90931
2021-07-31,12.33373
2021-08-01,7.55743
2021-08-02,22.61185
2021-08-03,26.42079
2021-08-04,25.2116
2021-08-05,22.85368
2021-08-06,23.51874
2021-08-07,12.27327
2021-08-08,8.58524
2021-08-09,25.33252
2021-08-10,28.65779
2021-08-11,28.71825
2021-08-12,27.02539
2021-08-13,20.4353
2021-08-14,12.33373
2021-08-15,8.22249
2021-08-16,13.422
2021-08-17,27.26723
2021-08-18,25.57436
2021-08-19,29.56469
2021-08-20,29.26239
2021-08-21,12.93833
2021-08-22,7.85973
2021-08-23,24.12333
2021-08-24,28.11366
2021-08-25,28.41596
2021-08-26,25.5139
2021-08-27,20.55622
2021-08-28,12.27327
2021-08-29,7.19467
2021-08-30,23.2769
2021-08-31,28.0532
2021-09-01,26.66263
2021-09-02,26.78355
2021-09-03,25.75574
2021-09-04,14.38935
2021-09-05,9.37122
2021-09-06,22.49093
2021-09-07,32.76904
2021-09-08,30.5925
2021-09-09,27.02539
2021-09-10,26.84401
2021-09-11,14.14752
2021-09-12,12.45465
2021-09-13,27.32769
2021-09-14,28.11366
2021-09-15,27.7509
2021-09-16,33.49455
2021-09-17,28.83917
2021-09-18,11.85006
2021-09-19,9.55259
2021-09-20,11.42684
2021-09-21,16.14268
2021-09-22,17.04957
2021-09-23,30.95525
2021-09-24,26.29987
2021-09-25,12.51511
2021-09-26,9.97581
2021-09-27,29.38331
2021-09-28,35.91293
2021-09-29,40.93107
2021-09-30,35.42926
2021-10-01,32.8295
2021-10-02,18.07738
2021-10-03,13.84522
2021-10-04,26.84401
2021-10-05,48.60943
2021-10-06,49.27448
2021-10-07,47.03748
2021-10-08,36.88029
2021-10-09,20.13301
2021-10-10,15.59854
2021-10-11,27.7509
2021-10-12,44.13542
2021-10-13,43.53083
2021-10-14,49.93954
2021-10-15,46.97702
2021-10-16,25.39298
2021-10-17,19.83071
2021-10-18,44.37726
2021-10-19,50.60459
2021-10-20,43.34945
2021-10-21,42.80532
2021-10-22,40.87061
2021-10-23,20.19347
2021-10-24,16.08222
2021-10-25,35.97339
2021-10-26,37.12212
2021-10-27,35.30834
2021-10-28,38.39177
2021-10-29,35.18742
2021-10-30,16.32406
2021-10-31,11.72914
2021-11-01,33.43409
2021-11-02,33.31318
2021-11-03,34.58282
2021-11-04,32.64812
2021-11-05,29.9879
2021-11-06,15.71946
2021-11-07,12.69649
2021-11-08,31.13663
2021-11-09,35.12696
2021-11-10,32.40628
2021-11-11,32.95042
2021-11-12,28.23458
2021-11-13,15.9613
2021-11-14,10.39903
2021-11-15,26.54171
2021-11-16,28.41596
2021-11-17,31.43893
2021-11-18,29.50423
2021-11-19,26.66263
2021-11-20,16.08222
2021-11-21,9.12938
2021-11-22,26.54171
2021-11-23,27.56952
2021-11-24,27.56952
2021-11-25,27.56952
2021-11-26,27.69044
2021-11-27,21.76541
2021-11-28,11.66868
2021-11-29,27.14631
2021-11-30,30.83434
2021-12-01,29.86698
2021-12-02,29.14147
2021-12-03,25.87666
2021-12-04,14.57073
2021-12-05,9.67351
2021-12-06,27.08585
2021-12-07,26.1185
2021-12-08,27.87182
2021-12-09,23.15598
2021-12-10,21.16082
2021-12-11,11.42684
2021-12-12,8.16203
2021-12-13,19.95163
2021-12-14,22.37001
2021-12-15,25.09068
2021-12-16,24.54655
2021-12-17,22.00725
2021-12-18,10.15719
2021-12-19,7.19467
2021-12-20,20.67714
2021-12-21,22.24909
2021-12-22,22.18863
2021-12-23,26.36033
2021-12-24,17.95646
2021-12-25,9.55259
2021-12-26,6.22732
2021-12-27,20.55622
2021-12-28,23.82103
2021-12-29,21.76541
2021-12-30,18.98428
2021-12-31,14.26844
2022-01-01,8.6457
2022-01-02,7.73881
2022-01-03,22.85368
2022-01-04,21.52357
2022-01-05,23.63966
2022-01-06,26.17896
2022-01-07,26.66263
2022-01-08,12.45465
2022-01-09,9.49214
2022-01-10,22.73276
2022-01-11,23.88149
2022-01-12,25.15114
2022-01-13,30.41112
2022-01-14,24.00241
2022-01-15,13.90568
2022-01-16,7.49697
2022-01-17,23.03506
2022-01-18,26.78355
2022-01-19,27.62998
2022-01-20,28.83917
