date,월배당ETF
2020-03-20,3.50649
2020-03-21,4.80519
2020-03-22,5.32467
2020-03-23,2.98701
2020-03-24,5.71428
2020-03-25,3.11688
2020-03-26,4.93506
2020-03-27,3.76623
2020-03-28,4.41558
2020-03-29,2.33766
2020-03-30,2.85714
2020-03-31,3.76623
2020-04-01,2.72727
2020-04-02,5.06493
2020-04-03,2.98701
2020-04-04,2.72727
2020-04-05,4.28571
2020-04-06,3.50649
2020-04-07,2.5974
2020-04-08,5.1948
2020-04-09,3.8961
2020-04-10,6.10389
2020-04-11,1.55844
2020-04-12,3.8961
2020-04-13,3.63636
2020-04-14,4.80519
2020-04-15,4.41558
2020-04-16,2.85714
2020-04-17,2.46753
2020-04-18,4.15584
2020-04-19,2.5974
2020-04-20,3.37662
2020-04-21,2.5974
2020-04-22,3.11688
2020-04-23,2.98701
2020-04-24,2.46753
2020-04-25,4.28571
2020-04-26,4.41558
2020-04-27,3.50649
2020-04-28,4.41558
2020-04-29,2.85714
2020-04-30,4.41558
2020-05-01,3.37662
2020-05-02,4.93506
2020-05-03,3.11688
2020-05-04,4.41558
2020-05-05,5.45454
2020-05-06,4.93506
2020-05-07,4.15584
2020-05-08,2.46753
2020-05-09,4.15584
2020-05-10,2.85714
2020-05-11,2.20779
2020-05-12,4.41558
2020-05-13,3.50649
2020-05-14,3.76623
2020-05-15,1.94805
2020-05-16,0.90909
2020-05-17,1.2987
2020-05-18,1.81818
2020-05-19,1.42857
2020-05-20,0.90909
2020-05-21,0.64935
2020-05-22,0.90909
2020-05-23,0.64935
2020-05-26,2.46753
2020-05-27,0.64935
2020-05-29,1.03896
2020-05-30,1.42857
2020-06-03,1.42857
2020-06-04,1.68831
2020-06-05,0.64935
2020-06-06,1.03896
2020-06-07,2.98701
2020-06-08,1.55844
2020-06-09,0.90909
2020-06-10,0.64935
2020-06-11,1.81818
2020-06-12,2.07792
2020-06-14,0.64935
2020-06-16,0.77922
2020-06-17,0.90909
2020-06-19,0.77922
2020-06-21,2.46753
2020-06-22,0.90909
2020-06-25,0.64935
2020-06-26,0.64935
2020-06-27,0.64935
2020-07-01,0.77922
2020-07-02,0.64935
2020-07-03,0.77922
2020-07-06,0.64935
2020-07-08,1.03896
2020-07-09,0.90909
2020-07-10,0.77922
2020-07-12,0.77922
2020-07-13,2.33766
2020-07-14,2.5974
2020-07-15,2.33766
2020-07-16,1.03896
2020-07-17,1.68831
2020-07-19,0.90909
2020-07-20,1.42857
2020-07-22,1.2987
2020-07-23,0.77922
2020-07-25,1.42857
2020-07-28,1.81818
2020-07-29,0.64935
2020-08-01,0.90909
2020-08-03,1.42857
2020-08-04,0.64935
2020-08-06,2.20779
2020-08-07,0.64935
2020-08-08,0.64935
2020-08-09,1.42857
2020-08-10,2.85714
2020-08-11,2.85714
2020-08-12,0.90909
2020-08-14,1.42857
2020-08-15,2.33766
2020-08-16,1.03896
2020-08-17,0.77922
2020-08-18,1.68831
2020-08-20,1.81818
2020-08-21,1.55844
2020-08-22,1.55844
2020-08-23,0.64935
2020-08-25,1.55844
2020-08-26,0.90909
2020-08-27,1.03896
2020-08-28,0.90909
2020-08-29,1.2987
2020-08-30,0.64935
2020-09-01,0.64935
2020-09-02,1.94805
2020-09-03,2.07792
2020-09-04,0.64935
2020-09-05,1.03896
2020-09-08,0.64935
2020-09-09,1.03896
2020-09-12,0.90909
2020-09-14,0.64935
2020-09-15,1.81818
2020-09-16,1.81818
2020-09-17,0.90909
2020-09-18,1.42857
2020-09-19,0.77922
2020-09-20,2.07792
2020-09-21,1.94805
2020-09-22,1.81818
2020-09-23,1.81818
2020-09-24,0.77922
2020-09-25,0.64935
2020-09-26,0.64935
2020-09-27,0.90909
2020-09-28,1.94805
2020-09-29,1.16883
2020-09-30,0.90909
2020-10-02,0.77922
2020-10-03,0.64935
2020-10-04,0.90909
2020-10-05,0.64935
2020-10-06,2.20779
2020-10-07,1.2987
2020-10-08,0.90909
2020-10-09,1.16883
2020-10-11,1.55844
2020-10-12,1.16883
2020-10-13,2.46753
2020-10-14,1.55844
2020-10-15,1.03896
2020-10-16,1.81818
2020-10-17,1.68831
2020-10-18,2.20779
2020-10-19,2.5974
2020-10-20,3.63636
2020-10-21,0.77922
2020-10-22,2.07792
2020-10-24,0.77922
2020-10-26,1.55844
2020-10-27,0.90909
2020-10-28,1.16883
2020-10-29,0.64935
2020-10-31,0.90909
2020-11-01,0.90909
2020-11-03,1.81818
2020-11-04,0.90909
2020-11-05,0.64935
2020-11-06,1.55844
2020-11-09,1.03896
2020-11-10,2.07792
2020-11-11,0.77922
2020-11-12,2.20779
2020-11-13,0.77922
2020-11-14,1.03896
2020-11-15,1.2987
2020-11-18,2.07792
2020-11-20,1.42857
2020-11-21,1.42857
2020-11-22,1.81818
2020-11-23,0.90909
2020-11-24,1.81818
2020-11-25,2.72727
2020-11-26,3.37662
2020-11-27,1.94805
2020-11-28,0.77922
2020-11-29,0.64935
2020-11-30,1.81818
2020-12-01,0.64935
2020-12-02,1.94805
2020-12-03,1.94805
2020-12-04,2.46753
2020-12-05,1.68831
2020-12-07,2.07792
2020-12-08,0.77922
2020-12-09,1.2987
2020-12-10,0.64935
2020-12-11,1.68831
2020-12-12,0.90909
2020-12-13,1.55844
2020-12-14,0.64935
2020-12-15,2.20779
2020-12-16,1.42857
2020-12-17,1.42857
2020-12-18,1.42857
2020-12-19,0.77922
2020-12-21,1.55844
2020-12-22,1.68831
2020-12-23,2.33766
2020-12-25,2.46753
2020-12-26,0.90909
2020-12-27,1.03896
2020-12-28,1.2987
2020-12-29,2.85714
2020-12-30,0.77922
2020-12-31,1.03896
2021-01-01,1.16883
2021-01-02,0.90909
2021-01-03,1.94805
2021-01-04,2.33766
2021-01-05,1.55844
2021-01-06,1.42857
2021-01-07,1.2987
2021-01-08,2.72727
2021-01-09,2.72727
2021-01-10,0.77922
2021-01-11,2.46753
2021-01-12,2.46753
2021-01-13,1.55844
2021-01-14,2.20779
2021-01-15,1.68831
2021-01-18,1.81818
2021-01-19,2.07792
2021-01-20,3.11688
2021-01-21,1.81818
2021-01-22,2.20779
2021-01-23,2.07792
2021-01-24,2.46753
2021-01-25,1.68831
2021-01-26,1.55844
2021-01-27,3.37662
2021-01-28,2.46753
2021-01-29,2.46753
2021-01-30,0.77922
2021-01-31,1.42857
2021-02-01,2.20779
2021-02-02,2.20779
2021-02-03,3.11688
2021-02-04,2.33766
2021-02-05,2.07792
2021-02-06,1.81818
2021-02-07,2.85714
2021-02-08,1.16883
2021-02-09,3.50649
2021-02-10,3.8961
2021-02-11,2.85714
2021-02-12,3.11688
2021-02-13,2.98701
