date,유럽증시
2020-03-20,54.4796
2020-03-21,20.35156
2020-03-22,3.79656
2020-03-23,55.31435
2020-03-24,54.77154
2020-03-25,65.30088
2020-03-26,61.61605
2020-03-27,49.45167
2020-03-28,15.75028
2020-03-29,2.56166
2020-03-30,39.07956
2020-03-31,43.80451
2020-04-01,46.83788
2020-04-02,42.09482
2020-04-03,31.76688
2020-04-04,9.33948
2020-04-05,1.66199
2020-04-06,23.15968
2020-04-07,30.89724
2020-04-08,33.48364
2020-04-09,32.82821
2020-04-10,23.19192
2020-04-11,7.63332
2020-04-12,1.76092
2020-04-13,21.32102
2020-04-14,18.37864
2020-04-15,21.99324
2020-04-16,24.45111
2020-04-17,19.51769
2020-04-18,6.1003
2020-04-19,1.20575
2020-04-20,17.85129
2020-04-21,28.35324
2020-04-22,25.94351
2020-04-23,22.41768
2020-04-24,18.98549
2020-04-25,5.89757
2020-04-26,0.99551
2020-04-27,13.01106
2020-04-28,18.11452
2020-04-29,15.06923
2020-04-30,14.13643
2020-05-01,12.7624
2020-05-02,4.10794
2020-05-03,1.21811
2020-05-04,14.02513
2020-05-05,18.10392
2020-05-06,19.63827
2020-05-07,18.52836
2020-05-08,14.2146
2020-05-09,4.55226
2020-05-10,0.83254
2020-05-11,13.27694
2020-05-12,16.62654
2020-05-13,17.41889
2020-05-14,21.42923
2020-05-15,16.08904
2020-05-16,4.85524
2020-05-17,0.84358
2020-05-18,14.43411
2020-05-19,21.7967
2020-05-20,20.03842
2020-05-21,17.97584
2020-05-22,16.67734
2020-05-23,4.88483
2020-05-24,0.93015
2020-05-25,12.14495
2020-05-26,36.54307
2020-05-27,17.05584
2020-05-28,18.00499
2020-05-29,15.05112
2020-05-30,4.65605
2020-05-31,0.82768
2020-06-01,11.55488
2020-06-02,15.6297
2020-06-03,16.41322
2020-06-04,18.57871
2020-06-05,14.98222
2020-06-06,4.53591
2020-06-07,0.85462
2020-06-08,13.4408
2020-06-09,22.44241
2020-06-10,17.88044
2020-06-11,24.43036
2020-06-12,32.75357
2020-06-13,6.81668
2020-06-14,1.01053
2020-06-15,24.37471
2020-06-16,23.90212
2020-06-17,20.47965
2020-06-18,20.05035
2020-06-19,15.00872
2020-06-20,4.63485
2020-06-21,0.8056
2020-06-22,13.60863
2020-06-23,16.94852
2020-06-24,23.08548
2020-06-25,34.26274
2020-06-26,18.00366
2020-06-27,6.09632
2020-06-28,1.01671
2020-06-29,24.48733
2020-06-30,21.9155
2020-07-01,22.48614
2020-07-02,18.47315
2020-07-03,15.88543
2020-07-04,9.00072
2020-07-05,1.253
2020-07-06,13.73539
2020-07-07,17.24885
2020-07-08,17.60042
2020-07-09,15.37309
2020-07-10,14.47563
2020-07-11,4.0068
2020-07-12,0.72477
2020-07-13,11.61186
2020-07-14,17.87204
2020-07-15,16.3293
2020-07-16,16.80542
2020-07-17,13.02254
2020-07-18,3.80893
2020-07-19,0.74111
2020-07-20,11.78676
2020-07-21,14.257
2020-07-22,16.08815
2020-07-23,15.29889
2020-07-24,14.75962
2020-07-25,4.16359
2020-07-26,0.69915
2020-07-27,11.02709
2020-07-28,14.28571
2020-07-29,13.80562
2020-07-30,22.59788
2020-07-31,17.16405
2020-08-01,4.36278
2020-08-02,0.7071
2020-08-03,9.81781
2020-08-04,13.54018
2020-08-05,12.89843
2020-08-06,15.0414
2020-08-07,17.24576
2020-08-08,5.85606
2020-08-09,1.35326
2020-08-10,12.65993
2020-08-11,19.03981
2020-08-12,20.12013
2020-08-13,18.00984
2020-08-14,16.62743
2020-08-15,5.89846
2020-08-16,1.325
2020-08-17,13.40812
2020-08-18,21.91992
2020-08-19,19.5093
2020-08-20,25.70059
2020-08-21,19.70894
2020-08-22,6.95669
2020-08-23,1.48488
2020-08-24,13.87938
