date,유류분반환청구소송
2020-03-20,7.44485
2020-03-21,4.59558
2020-03-22,3.49264
2020-03-23,12.95955
2020-03-24,6.52573
2020-03-25,4.96323
2020-03-26,9.19117
2020-03-27,5.69852
2020-03-28,2.48161
2020-03-29,2.66544
2020-03-30,7.72058
2020-03-31,7.44485
2020-04-01,7.0772
2020-04-02,5.14705
2020-04-03,5.60661
2020-04-04,2.57352
2020-04-05,3.67647
2020-04-06,8.18014
2020-04-07,7.16911
2020-04-08,9.65073
2020-04-09,6.89338
2020-04-10,3.49264
2020-04-11,2.02205
2020-04-12,2.94117
2020-04-13,4.96323
2020-04-14,4.6875
2020-04-15,3.40073
2020-04-16,8.91544
2020-04-17,6.70955
2020-04-18,2.66544
2020-04-19,1.83823
2020-04-20,6.80147
2020-04-21,8.82352
2020-04-22,8.36397
2020-04-23,9.28308
2020-04-24,9.09926
2020-04-25,3.9522
2020-04-26,4.50367
2020-04-27,7.0772
2020-04-28,5.60661
2020-04-29,6.70955
2020-04-30,3.86029
2020-05-01,5.69852
2020-05-02,3.21691
2020-05-03,4.04411
2020-05-04,6.98529
2020-05-05,3.49264
2020-05-06,7.26102
2020-05-07,7.0772
2020-05-08,4.50367
2020-05-09,3.58455
2020-05-10,3.21691
2020-05-11,6.61764
2020-05-12,4.04411
2020-05-13,4.31985
2020-05-14,3.67647
2020-05-15,4.31985
2020-05-16,2.20588
2020-05-17,3.9522
2020-05-18,4.59558
2020-05-19,6.25
2020-05-20,5.69852
2020-05-21,4.96323
2020-05-22,5.60661
2020-05-23,4.41176
2020-05-24,3.125
2020-05-25,6.61764
2020-05-26,6.25
2020-05-27,5.42279
2020-05-28,6.34191
2020-05-29,5.14705
2020-05-30,2.48161
2020-05-31,3.03308
2020-06-01,6.06617
2020-06-02,5.05514
2020-06-03,7.16911
2020-06-04,6.98529
2020-06-05,5.14705
2020-06-06,3.49264
2020-06-07,3.76838
2020-06-08,10.9375
2020-06-09,7.72058
2020-06-10,7.90441
2020-06-11,9.19117
2020-06-12,7.53676
2020-06-13,3.03308
2020-06-14,4.41176
2020-06-15,6.98529
2020-06-16,9.74264
2020-06-17,8.45588
2020-06-18,7.44485
2020-06-19,6.98529
2020-06-20,5.14705
2020-06-21,3.86029
2020-06-22,8.6397
2020-06-23,7.8125
2020-06-24,6.43382
2020-06-25,6.34191
2020-06-26,7.44485
2020-06-27,4.41176
2020-06-28,5.05514
2020-06-29,9.28308
2020-06-30,7.16911
2020-07-01,7.90441
2020-07-02,6.61764
2020-07-03,7.62867
2020-07-04,3.76838
2020-07-05,3.76838
2020-07-06,6.70955
2020-07-07,7.62867
2020-07-08,8.27205
2020-07-09,7.62867
2020-07-10,6.61764
2020-07-11,4.50367
2020-07-12,5.79044
2020-07-13,7.16911
2020-07-14,4.50367
2020-07-15,4.41176
2020-07-16,4.96323
2020-07-17,3.76838
2020-07-18,4.77941
2020-07-19,4.41176
2020-07-20,7.44485
2020-07-21,9.19117
2020-07-22,7.8125
2020-07-23,8.27205
2020-07-24,6.15808
2020-07-25,3.86029
2020-07-26,4.50367
2020-07-27,9.28308
2020-07-28,9.92647
2020-07-29,8.91544
2020-07-30,7.26102
2020-07-31,8.91544
2020-08-01,4.13602
2020-08-02,3.86029
2020-08-03,6.98529
2020-08-04,4.6875
2020-08-05,4.50367
2020-08-06,4.87132
2020-08-07,5.60661
2020-08-08,2.84926
2020-08-09,2.84926
2020-08-10,6.61764
2020-08-11,7.16911
2020-08-12,4.87132
2020-08-13,5.97426
2020-08-14,6.34191
2020-08-15,7.53676
2020-08-16,6.34191
2020-08-17,8.91544
2020-08-18,11.30514
2020-08-19,8.91544
2020-08-20,7.90441
2020-08-21,6.98529
2020-08-22,4.31985
2020-08-23,4.96323
2020-08-24,6.25
2020-08-25,4.96323
2020-08-26,7.90441
2020-08-27,7.90441
2020-08-28,5.42279
2020-08-29,3.67647
2020-08-30,4.59558
2020-08-31,5.69852
2020-09-01,6.34191
2020-09-02,8.08823
2020-09-03,8.6397
2020-09-04,8.82352
2020-09-05,4.96323
2020-09-06,5.88235
2020-09-07,7.35294
2020-09-08,4.6875
2020-09-09,5.42279
2020-09-10,7.16911
2020-09-11,10.47794
2020-09-12,5.60661
2020-09-13,4.13602
2020-09-14,9.375
2020-09-15,10.29411
2020-09-16,10.01838
2020-09-17,19.94485
2020-09-18,19.39338
2020-09-19,7.35294
2020-09-20,8.91544
2020-09-21,12.22426
2020-09-22,11.12132
2020-09-23,16.08455
2020-09-24,16.26838
2020-09-25,13.23529
2020-09-26,10.47794
2020-09-27,10.47794
2020-09-28,18.10661
2020-09-29,9.55882
2020-09-30,8.54779
2020-10-01,9.65073
2020-10-02,7.35294
2020-10-03,7.35294
2020-10-04,8.08823
2020-10-05,10.47794
2020-10-06,9.46691
2020-10-07,7.35294
2020-10-08,7.62867
