date,유상증자
2020-03-20,0.31804
2020-03-21,0.15917
2020-03-22,0.13754
2020-03-23,0.30152
2020-03-24,0.2832
2020-03-25,0.26398
2020-03-26,0.28771
2020-03-27,0.32405
2020-03-28,0.20332
2020-03-29,0.21142
2020-03-30,0.37991
2020-03-31,0.40784
2020-04-01,0.33666
2020-04-02,0.33966
2020-04-03,0.31143
2020-04-04,0.30302
2020-04-05,0.19791
2020-04-06,0.31714
2020-04-07,0.6463
2020-04-08,0.67393
2020-04-09,0.48532
2020-04-10,0.32164
2020-04-11,0.17208
2020-04-12,0.1925
2020-04-13,0.34056
2020-04-14,0.59194
2020-04-15,0.25677
2020-04-16,0.57001
2020-04-17,1.03642
2020-04-18,0.44328
2020-04-19,0.3757
2020-04-20,56.94142
2020-04-21,17.88138
2020-04-22,1.13703
2020-04-23,0.56791
2020-04-24,0.49313
2020-04-25,0.2826
2020-04-26,0.21413
2020-04-27,0.41024
2020-04-28,0.60425
2020-04-29,3.79611
2020-04-30,0.5568
2020-05-01,0.36309
2020-05-02,0.22674
2020-05-03,0.85923
2020-05-04,0.61296
2020-05-05,0.26638
2020-05-06,0.53397
2020-05-07,0.43186
2020-05-08,1.2031
2020-05-09,0.44117
2020-05-10,0.279
2020-05-11,1.25746
2020-05-12,0.8346
2020-05-13,4.92954
2020-05-14,13.64649
2020-05-15,0.70966
2020-05-16,0.2838
2020-05-17,0.22974
2020-05-18,0.43216
2020-05-19,3.97721
2020-05-20,1.03732
2020-05-21,0.87214
2020-05-22,0.96314
2020-05-23,0.31654
2020-05-24,0.22884
2020-05-25,0.54689
2020-05-26,0.53908
2020-05-27,0.5571
2020-05-28,0.58653
2020-05-29,0.60695
2020-05-30,0.24927
2020-05-31,0.22914
2020-06-01,0.67032
2020-06-02,0.66822
2020-06-03,0.75201
2020-06-04,0.78985
2020-06-05,1.52445
2020-06-06,0.34357
2020-06-07,0.27569
2020-06-08,0.5622
2020-06-09,0.42075
2020-06-10,0.44267
2020-06-11,0.8337
2020-06-12,0.53908
2020-06-13,0.31624
2020-06-14,0.23785
2020-06-15,0.40694
2020-06-16,0.68294
2020-06-17,0.78234
2020-06-18,0.98897
2020-06-19,0.63038
2020-06-20,0.25377
2020-06-21,0.30182
2020-06-22,0.81478
2020-06-23,0.88956
2020-06-24,0.90878
2020-06-25,0.67813
2020-06-26,0.70396
2020-06-27,0.25797
2020-06-28,0.22914
2020-06-29,0.59644
2020-06-30,0.62167
2020-07-01,0.35288
2020-07-02,0.44988
2020-07-03,0.75411
2020-07-04,0.22884
2020-07-05,0.16127
2020-07-06,0.42135
2020-07-07,0.59374
2020-07-08,0.45949
2020-07-09,0.4619
2020-07-10,0.51655
2020-07-11,0.17388
2020-07-12,0.14986
2020-07-13,0.35918
2020-07-14,0.40393
2020-07-15,0.61326
2020-07-16,0.54268
2020-07-17,0.42736
2020-07-18,0.21653
2020-07-19,0.15676
2020-07-20,0.39973
2020-07-21,0.55349
2020-07-22,0.51085
2020-07-23,0.5556
2020-07-24,0.61837
2020-07-25,0.26909
2020-07-26,0.22344
2020-07-27,0.84781
2020-07-28,0.77363
2020-07-29,0.56971
2020-07-30,0.57542
2020-07-31,0.79376
2020-08-01,0.26578
2020-08-02,0.21353
2020-08-03,0.65501
2020-08-04,0.55229
2020-08-05,0.68624
2020-08-06,0.77153
2020-08-07,0.73519
2020-08-08,0.22464
2020-08-09,0.22224
2020-08-10,0.54268
2020-08-11,0.57272
2020-08-12,0.63398
2020-08-13,0.53397
2020-08-14,0.51145
2020-08-15,0.20902
2020-08-16,0.16427
2020-08-17,0.1859
2020-08-18,0.31744
2020-08-19,0.39492
2020-08-20,0.50724
2020-08-21,0.47631
2020-08-22,0.20211
2020-08-23,0.20061
2020-08-24,0.35798
2020-08-25,0.78595
2020-08-26,0.66522
2020-08-27,0.70756
2020-08-28,0.69795
2020-08-29,0.29221
2020-08-30,0.30483
2020-08-31,0.90968
2020-09-01,31.62848
2020-09-02,34.26804
2020-09-03,2.08816
2020-09-04,100.0
2020-09-05,2.65728
2020-09-06,1.0172
2020-09-07,1.93709
2020-09-08,1.00458
2020-09-09,1.05564
2020-09-10,0.91779
2020-09-11,0.89466
2020-09-12,0.38141
2020-09-13,0.33486
2020-09-14,0.75171
2020-09-15,0.70756
2020-09-16,0.71627
2020-09-17,1.28028
2020-09-18,1.756
2020-09-19,0.39913
2020-09-20,0.33125
2020-09-21,0.97966
2020-09-22,0.69225
2020-09-23,0.59164
2020-09-24,0.52617
2020-09-25,0.41775
2020-09-26,0.21473
2020-09-27,0.21953
2020-09-28,0.85652
2020-09-29,0.56701
2020-09-30,0.22344
2020-10-01,0.16577
2020-10-02,0.15256
2020-10-03,0.18439
2020-10-04,0.20812
2020-10-05,0.44207
2020-10-06,0.59854
2020-10-07,0.6487
2020-10-08,0.71988
2020-10-09,0.29582
2020-10-10,0.24866
2020-10-11,0.25467
2020-10-12,1.83198
2020-10-13,1.3881
2020-10-14,0.86163
2020-10-15,0.86223
2020-10-16,0.94962
2020-10-17,0.36309
2020-10-18,0.32044
2020-10-19,0.93221
2020-10-20,0.68203
2020-10-21,0.67182
2020-10-22,0.57662
2020-10-23,0.61626
2020-10-24,0.22674
2020-10-25,0.23125
2020-10-26,0.70936
2020-10-27,0.76552
2020-10-28,0.93881
2020-10-29,0.84811
2020-10-30,0.63759
2020-10-31,0.23605
2020-11-01,0.20061
2020-11-02,0.56431
2020-11-03,0.65531
2020-11-04,0.71958
2020-11-05,0.59494
2020-11-06,1.05474
2020-11-07,0.65951
2020-11-08,0.3721
2020-11-09,1.21121
2020-11-10,0.75922
2020-11-11,0.98296
2020-11-12,0.80096
2020-11-13,0.85382
2020-11-14,0.31534
2020-11-15,0.39763
2020-11-16,2.15513
2020-11-17,2.19658
2020-11-18,1.2992
2020-11-19,1.0163
2020-11-20,1.00338
2020-11-21,0.45409
2020-11-22,0.39192
2020-11-23,0.88205
2020-11-24,0.82349
2020-11-25,1.0211
2020-11-26,0.88205
2020-11-27,0.88265
2020-11-28,0.35738
2020-11-29,0.32254
2020-11-30,0.6532
2020-12-01,1.26226
2020-12-02,1.42444
2020-12-03,1.36558
2020-12-04,0.99227
2020-12-05,0.48382
2020-12-06,0.42285
2020-12-07,1.07186
2020-12-08,48.39596
2020-12-09,27.41041
2020-12-10,1.49862
2020-12-11,1.09258
2020-12-12,0.42706
2020-12-13,0.4616
2020-12-14,1.21151
2020-12-15,0.93251
2020-12-16,0.88145
2020-12-17,0.82949
2020-12-18,0.88956
2020-12-19,0.39132
2020-12-20,0.35288
2020-12-21,2.1269
2020-12-22,1.86382
2020-12-23,1.23193
2020-12-24,0.94061
2020-12-25,0.38741
2020-12-26,0.31143
2020-12-27,0.39552
2020-12-28,0.8388
2020-12-29,0.76673
2020-12-30,0.71807
2020-12-31,0.41384
2021-01-01,0.30362
2021-01-02,0.29161
2021-01-03,0.33846
2021-01-04,0.78895
2021-01-05,1.42954
2021-01-06,1.92238
2021-01-07,1.5758
2021-01-08,1.5734
2021-01-09,0.87845
2021-01-10,0.79796
2021-01-11,1.60884
2021-01-12,1.60734
2021-01-13,1.79925
2021-01-14,2.20829
2021-01-15,1.94671
2021-01-16,0.69705
2021-01-17,0.77153
2021-01-18,1.16075
2021-01-19,1.43946
2021-01-20,1.61725
2021-01-21,1.72987
2021-01-22,8.36466
2021-01-23,1.27968
2021-01-24,0.89256
2021-01-25,5.76234
2021-01-26,1.96923
2021-01-27,1.35987
2021-01-28,1.00669
2021-01-29,1.17607
2021-01-30,0.49583
2021-01-31,0.3733
2021-02-01,0.65921
2021-02-02,0.88235
2021-02-03,0.94902
2021-02-04,1.02501
2021-02-05,4.60489
2021-02-06,0.67903
2021-02-07,0.52797
2021-02-08,1.22773
2021-02-09,1.28509
2021-02-10,1.00008
2021-02-11,0.61146
2021-02-12,0.45439
2021-02-13,0.38201
2021-02-14,0.36789
2021-02-15,0.9304
2021-02-16,1.95692
2021-02-17,1.37368
2021-02-18,0.91899
2021-02-19,0.72438
2021-02-20,0.38021
2021-02-21,0.45529
2021-02-22,0.82769
2021-02-23,0.99257
2021-02-24,0.71207
2021-02-25,0.69615
2021-02-26,0.75621
2021-02-27,0.34207
2021-02-28,0.30603
2021-03-01,0.30513
2021-03-02,0.80156
2021-03-03,0.79015
2021-03-04,0.76763
2021-03-05,0.58323
2021-03-06,0.30573
2021-03-07,0.32104
2021-03-08,0.81298
2021-03-09,0.60996
2021-03-10,0.59314
2021-03-11,0.58653
2021-03-12,0.53698
2021-03-13,0.23004
2021-03-14,0.21443
2021-03-15,0.43006
2021-03-16,0.63398
2021-03-17,0.73309
2021-03-18,0.71177
2021-03-19,0.50454
2021-03-20,0.25107
2021-03-21,0.22824
2021-03-22,0.63548
2021-03-23,0.76342
2021-03-24,0.70246
2021-03-25,0.55349
2021-03-26,0.5553
2021-03-27,0.29672
2021-03-28,0.26548
2021-03-29,1.37188
2021-03-30,0.925
2021-03-31,1.04843
2021-04-01,1.2049
2021-04-02,1.19049
2021-04-03,0.44298
2021-04-04,0.29371
2021-04-05,0.77483
2021-04-06,0.84541
2021-04-07,0.53217
2021-04-08,0.64059
2021-04-09,0.5544
2021-04-10,0.24236
2021-04-11,0.26218
2021-04-12,0.60605
2021-04-13,0.75081
2021-04-14,0.73009
2021-04-15,0.84361
2021-04-16,0.88896
2021-04-17,0.35198
2021-04-18,0.31744
2021-04-19,0.78084
2021-04-20,0.96134
2021-04-21,0.9286
2021-04-22,0.97816
2021-04-23,0.59224
2021-04-24,0.2799
2021-04-25,0.22284
2021-04-26,0.66582
2021-04-27,1.03822
2021-04-28,0.78204
2021-04-29,0.78324
2021-04-30,0.81598
2021-05-01,0.23965
2021-05-02,0.17148
2021-05-03,0.59584
2021-05-04,0.9262
2021-05-05,0.373
2021-05-06,1.22082
2021-05-07,0.67963
2021-05-08,0.29311
2021-05-09,0.25257
2021-05-10,0.55079
2021-05-11,0.49013
2021-05-12,0.67122
2021-05-13,0.44027
2021-05-14,0.71747
2021-05-15,0.22674
2021-05-16,0.18259
2021-05-17,0.44598
2021-05-18,0.67903
2021-05-19,0.29642
2021-05-20,0.76883
2021-05-21,0.57332
2021-05-22,0.23155
2021-05-23,0.20872
2021-05-24,0.63218
2021-05-25,0.57842
2021-05-26,0.73099
2021-05-27,0.56821
2021-05-28,0.56401
2021-05-29,0.2823
2021-05-30,0.21413
2021-05-31,0.68384
2021-06-01,0.66191
2021-06-02,0.71567
2021-06-03,0.81177
2021-06-04,0.6535
2021-06-05,0.27359
2021-06-06,0.26128
2021-06-07,0.74901
2021-06-08,0.68203
2021-06-09,0.72738
2021-06-10,0.53848
2021-06-11,0.50634
2021-06-12,0.23395
2021-06-13,0.18139
2021-06-14,0.54569
2021-06-15,0.58983
2021-06-16,0.68624
2021-06-17,0.75411
2021-06-18,0.72168
2021-06-19,0.32345
2021-06-20,0.2802
2021-06-21,0.59194
2021-06-22,0.78264
2021-06-23,0.71627
2021-06-24,0.63849
2021-06-25,0.56851
2021-06-26,0.27029
2021-06-27,0.20362
2021-06-28,0.63428
2021-06-29,0.58833
2021-06-30,0.66041
2021-07-01,0.6505
2021-07-02,0.68924
2021-07-03,0.23935
2021-07-04,0.21503
2021-07-05,0.69164
2021-07-06,0.58413
2021-07-07,0.66522
2021-07-08,0.85742
2021-07-09,0.44328
2021-07-10,0.17418
2021-07-11,0.16668
2021-07-12,0.56491
2021-07-13,0.86854
2021-07-14,0.61476
2021-07-15,0.69885
2021-07-16,0.68804
2021-07-17,0.20692
2021-07-18,0.17268
2021-07-19,0.61026
2021-07-20,0.57752
2021-07-21,0.65651
2021-07-22,0.56851
2021-07-23,0.60545
2021-07-24,0.1865
2021-07-25,0.16668
2021-07-26,0.40543
2021-07-27,0.39883
2021-07-28,0.38651
2021-07-29,0.35979
2021-07-30,0.27029
2021-07-31,0.13184
2021-08-01,0.11562
2021-08-02,0.2859
2021-08-03,0.31864
2021-08-04,0.285
2021-08-05,0.29882
2021-08-06,0.31233
2021-08-07,0.12043
2021-08-08,0.11412
2021-08-09,0.42676
2021-08-10,0.53157
2021-08-11,0.3715
2021-08-12,0.38772
2021-08-13,0.40573
2021-08-14,0.17028
2021-08-15,0.10541
2021-08-16,0.15376
2021-08-17,0.52136
2021-08-18,0.51926
2021-08-19,0.55259
2021-08-20,0.34537
2021-08-21,0.13364
2021-08-22,0.12643
2021-08-23,0.33546
2021-08-24,0.40784
2021-08-25,0.66942
2021-08-26,0.79976
2021-08-27,0.53908
2021-08-28,0.1937
2021-08-29,0.15196
2021-08-30,0.48832
2021-08-31,0.51956
2021-09-01,0.67002
2021-09-02,0.63068
2021-09-03,0.62557
2021-09-04,0.25407
2021-09-05,0.1847
2021-09-06,0.62227
2021-09-07,0.67483
2021-09-08,0.62587
2021-09-09,0.49013
2021-09-10,0.57272
2021-09-11,0.20782
2021-09-12,0.15977
2021-09-13,0.43066
2021-09-14,0.48382
2021-09-15,0.45439
2021-09-16,0.46039
2021-09-17,0.62437
2021-09-18,0.1862
2021-09-19,0.10841
2021-09-20,0.10601
2021-09-21,0.10151
2021-09-22,0.13724
2021-09-23,0.98236
2021-09-24,0.59674
2021-09-25,0.1901
2021-09-26,0.15646
2021-09-27,0.48802
2021-09-28,0.70606
2021-09-29,0.43667
2021-09-30,0.36789
2021-10-01,0.58533
2021-10-02,0.1877
2021-10-03,0.12343
2021-10-04,0.16217
2021-10-05,0.30753
2021-10-06,0.5544
2021-10-07,0.35168
2021-10-08,0.40874
2021-10-09,0.14776
2021-10-10,0.11442
2021-10-11,0.13574
2021-10-12,0.62978
2021-10-13,0.63218
2021-10-14,0.68714
2021-10-15,0.59674
2021-10-16,0.1865
2021-10-17,0.14025
2021-10-18,0.35588
2021-10-19,0.36669
2021-10-20,0.5622
2021-10-21,0.67092
2021-10-22,0.53668
2021-10-23,0.19971
2021-10-24,0.14595
2021-10-25,0.44718
2021-10-26,0.5589
2021-10-27,0.62888
2021-10-28,0.73279
2021-10-29,0.41625
2021-10-30,0.14926
2021-10-31,0.14235
2021-11-01,0.67272
2021-11-02,0.51595
2021-11-03,0.70546
2021-11-04,0.65741
2021-11-05,0.5607
2021-11-06,0.15166
2021-11-07,0.12733
2021-11-08,0.30663
2021-11-09,0.58293
2021-11-10,0.57572
2021-11-11,0.66642
2021-11-12,0.48472
2021-11-13,0.17268
2021-11-14,0.15496
2021-11-15,0.44237
2021-11-16,1.0214
2021-11-17,0.79646
