date,유한양행주가
2020-03-20,6.7104
2020-03-21,1.53167
2020-03-22,1.16985
2020-03-23,6.61151
2020-03-24,6.26658
2020-03-25,6.02778
2020-03-26,6.62839
2020-03-27,11.53697
2020-03-28,2.32524
2020-03-29,1.90313
2020-03-30,7.74277
2020-03-31,8.25654
2020-04-01,9.69656
2020-04-02,7.56186
2020-04-03,6.61633
2020-04-04,1.45448
2020-04-05,1.00101
2020-04-06,5.78899
2020-04-07,5.41753
2020-04-08,17.14747
2020-04-09,16.44555
2020-04-10,14.00935
2020-04-11,2.92826
2020-04-12,2.14192
2020-04-13,11.5225
2020-04-14,10.80611
2020-04-15,2.18052
2020-04-16,10.71928
2020-04-17,12.51145
2020-04-18,2.46755
2020-04-19,2.21911
2020-04-20,11.75647
2020-04-21,10.99667
2020-04-22,11.1028
2020-04-23,10.56008
2020-04-24,9.39022
2020-04-25,1.88383
2020-04-26,1.47619
2020-04-27,9.05494
2020-04-28,8.96087
2020-04-29,8.66177
2020-04-30,2.02614
2020-05-01,1.80182
2020-05-02,1.0396
2020-05-03,1.00583
2020-05-04,7.45573
2020-05-05,1.7584
2020-05-06,8.49052
2020-05-07,7.46297
2020-05-08,11.01114
2020-05-09,2.99097
2020-05-10,2.36625
2020-05-11,22.48781
2020-05-12,16.96656
2020-05-13,16.29118
2020-05-14,17.06546
2020-05-15,15.55791
2020-05-16,2.94273
2020-05-17,3.09952
2020-05-18,30.38255
2020-05-19,20.75594
2020-05-20,16.18746
2020-05-21,15.92937
2020-05-22,14.79569
2020-05-23,1.98272
2020-05-24,1.81388
2020-05-25,13.50523
2020-05-26,13.71267
2020-05-27,12.92392
2020-05-28,13.52453
2020-05-29,12.99869
2020-05-30,2.61469
2020-05-31,2.36866
2020-06-01,15.71228
2020-06-02,13.41116
2020-06-03,15.03931
2020-06-04,13.69337
2020-06-05,13.64754
2020-06-06,2.43137
2020-06-07,1.8983
2020-06-08,32.43282
2020-06-09,27.44464
2020-06-10,20.83795
2020-06-11,21.87032
2020-06-12,18.41622
2020-06-13,2.31077
2020-06-14,2.17328
2020-06-15,20.17704
2020-06-16,17.88557
2020-06-17,22.10188
2020-06-18,19.0313
2020-06-19,15.76535
2020-06-20,1.90554
2020-06-21,1.37006
2020-06-22,15.40836
2020-06-23,13.4594
2020-06-24,13.13377
2020-06-25,11.93255
2020-06-26,11.49355
2020-06-27,1.36764
2020-06-28,1.1385
2020-06-29,11.33677
2020-06-30,11.37777
2020-07-01,13.34362
2020-07-02,12.5211
2020-07-03,12.8612
2020-07-04,1.40624
2020-07-05,1.22533
2020-07-06,11.42602
2020-07-07,11.10039
2020-07-08,11.45014
2020-07-09,11.37777
2020-07-10,10.15003
2020-07-11,1.40141
2020-07-12,1.14332
2020-07-13,10.87847
2020-07-14,10.94842
2020-07-15,10.54078
2020-07-16,9.19725
2020-07-17,9.49876
2020-07-18,1.30252
2020-07-19,0.99136
2020-07-20,9.77374
2020-07-21,11.93014
2020-07-22,12.73095
2020-07-23,17.43451
2020-07-24,28.34434
2020-07-25,3.68806
2020-07-26,3.19841
2020-07-27,26.13729
2020-07-28,20.79695
2020-07-29,21.29866
2020-07-30,17.44174
2020-07-31,20.49544
2020-08-01,5.19079
2020-08-02,4.04988
2020-08-03,28.41912
2020-08-04,23.57807
2020-08-05,52.94997
2020-08-06,42.75411
2020-08-07,33.55685
2020-08-08,5.60084
2020-08-09,4.32968
2020-08-10,33.41454
2020-08-11,35.35626
2020-08-12,32.71503
2020-08-13,28.73751
2020-08-14,25.58975
2020-08-15,3.45651
2020-08-16,2.49409
2020-08-17,4.513
2020-08-18,26.63177
2020-08-19,27.56524
2020-08-20,43.91432
2020-08-21,31.72367
2020-08-22,3.36967
2020-08-23,2.52785
2020-08-24,26.84403
2020-08-25,26.90674
2020-08-26,23.41646
2020-08-27,24.45607
2020-08-28,22.28038
2020-08-29,2.60022
2020-08-30,2.36866
2020-08-31,20.5678
2020-09-01,18.51271
2020-09-02,19.9286
2020-09-03,18.83351
2020-09-04,17.67813
2020-09-05,2.6774
2020-09-06,2.26011
2020-09-07,18.3125
2020-09-08,18.33662
2020-09-09,18.00858
2020-09-10,18.12677
2020-09-11,20.64257
2020-09-12,2.89931
2020-09-13,2.37831
2020-09-14,18.96135
2020-09-15,25.62593
2020-09-16,21.52298
2020-09-17,17.8325
2020-09-18,18.85522
