date,이벤트응모
2020-03-20,35.34136
2020-03-21,28.71485
2020-03-22,28.11244
2020-03-23,35.94377
2020-03-24,34.93975
2020-03-25,37.34939
2020-03-26,33.13253
2020-03-27,38.55421
2020-03-28,38.35341
2020-03-29,32.93172
2020-03-30,30.72289
2020-03-31,30.92369
2020-04-01,26.70682
2020-04-02,33.53413
2020-04-03,29.31726
2020-04-04,23.49397
2020-04-05,23.29317
2020-04-06,31.92771
2020-04-07,32.73092
2020-04-08,31.5261
2020-04-09,33.73493
2020-04-10,26.30522
2020-04-11,25.3012
2020-04-12,21.88755
2020-04-13,32.53012
2020-04-14,30.12048
2020-04-15,31.12449
2020-04-16,31.12449
2020-04-17,34.33734
2020-04-18,26.30522
2020-04-19,30.12048
2020-04-20,32.53012
2020-04-21,32.32931
2020-04-22,34.93975
2020-04-23,33.53413
2020-04-24,30.52208
2020-04-25,24.09638
2020-04-26,25.502
2020-04-27,38.35341
2020-04-28,39.95983
2020-04-29,31.3253
2020-04-30,26.90763
2020-05-01,30.12048
2020-05-02,28.11244
2020-05-03,24.49799
2020-05-04,25.3012
2020-05-05,27.91164
2020-05-06,31.12449
2020-05-07,29.11646
2020-05-08,26.50602
2020-05-09,25.70281
2020-05-10,25.1004
2020-05-11,32.32931
2020-05-12,35.94377
2020-05-13,31.5261
2020-05-14,34.33734
2020-05-15,35.54216
2020-05-16,26.50602
2020-05-17,29.71887
2020-05-18,36.14457
2020-05-19,37.14859
2020-05-20,37.751
2020-05-21,32.32931
2020-05-22,31.5261
2020-05-23,28.71485
2020-05-24,30.92369
2020-05-25,33.93574
2020-05-26,36.54618
2020-05-27,35.74297
2020-05-28,29.71887
2020-05-29,30.92369
2020-05-30,24.89959
2020-05-31,26.50602
2020-06-01,39.55823
2020-06-02,40.16064
2020-06-03,34.93975
2020-06-04,36.54618
2020-06-05,28.91566
2020-06-06,24.29718
2020-06-07,28.51405
2020-06-08,39.95983
2020-06-09,39.95983
2020-06-10,44.57831
2020-06-11,41.96787
2020-06-12,32.73092
2020-06-13,28.91566
2020-06-14,26.30522
2020-06-15,38.75502
2020-06-16,32.53012
2020-06-17,29.11646
2020-06-18,32.73092
2020-06-19,34.73895
2020-06-20,29.51807
2020-06-21,27.51004
2020-06-22,40.16064
2020-06-23,32.93172
2020-06-24,43.17269
2020-06-25,33.73493
2020-06-26,31.12449
2020-06-27,23.49397
2020-06-28,24.69879
2020-06-29,37.751
2020-06-30,36.14457
2020-07-01,39.35742
2020-07-02,33.73493
2020-07-03,31.12449
2020-07-04,24.49799
2020-07-05,23.29317
2020-07-06,38.35341
2020-07-07,36.94779
2020-07-08,37.9518
2020-07-09,33.93574
2020-07-10,34.33734
2020-07-11,23.69477
2020-07-12,27.91164
2020-07-13,45.58232
2020-07-14,42.36947
2020-07-15,32.93172
2020-07-16,38.75502
2020-07-17,30.72289
2020-07-18,23.29317
2020-07-19,23.09236
2020-07-20,32.53012
2020-07-21,36.94779
2020-07-22,37.34939
2020-07-23,41.16465
2020-07-24,35.74297
2020-07-25,29.11646
2020-07-26,30.32128
2020-07-27,46.78714
2020-07-28,38.35341
2020-07-29,34.73895
2020-07-30,36.34538
2020-07-31,32.73092
2020-08-01,28.71485
2020-08-02,26.90763
2020-08-03,39.55823
2020-08-04,37.34939
2020-08-05,36.34538
2020-08-06,33.73493
2020-08-07,39.95983
2020-08-08,26.90763
2020-08-09,31.3253
2020-08-10,44.37751
2020-08-11,36.14457
2020-08-12,38.55421
2020-08-13,37.9518
2020-08-14,30.92369
2020-08-15,31.12449
2020-08-16,33.13253
2020-08-17,37.5502
2020-08-18,40.16064
2020-08-19,38.15261
2020-08-20,39.35742
2020-08-21,37.14859
2020-08-22,28.91566
2020-08-23,34.13654
2020-08-24,34.93975
2020-08-25,42.16867
2020-08-26,35.14056
2020-08-27,36.94779
2020-08-28,35.14056
2020-08-29,31.92771
2020-08-30,26.50602
2020-08-31,41.56626
2020-09-01,40.36144
2020-09-02,42.77108
2020-09-03,37.5502
2020-09-04,35.34136
2020-09-05,37.34939
2020-09-06,32.73092
2020-09-07,44.77911
2020-09-08,40.76305
2020-09-09,38.75502
2020-09-10,38.55421
2020-09-11,44.77911
2020-09-12,35.54216
2020-09-13,29.31726
2020-09-14,42.36947
2020-09-15,33.13253
2020-09-16,39.35742
2020-09-17,37.14859
2020-09-18,41.36546
2020-09-19,28.71485
2020-09-20,28.31325
2020-09-21,39.55823
2020-09-22,43.17269
2020-09-23,39.95983
2020-09-24,41.96787
2020-09-25,37.9518
2020-09-26,33.53413
2020-09-27,34.53815
2020-09-28,38.35341
2020-09-29,36.94779
2020-09-30,29.31726
2020-10-01,25.3012
2020-10-02,26.90763
2020-10-03,29.11646
2020-10-04,29.11646
2020-10-05,34.33734
2020-10-06,33.73493
2020-10-07,33.73493
2020-10-08,36.74698
2020-10-09,33.53413
2020-10-10,29.71887
2020-10-11,29.11646
2020-10-12,31.5261
2020-10-13,32.73092
2020-10-14,37.5502
2020-10-15,39.95983
2020-10-16,33.73493
2020-10-17,28.91566
2020-10-18,29.31726
2020-10-19,33.93574
2020-10-20,35.34136
2020-10-21,38.15261
2020-10-22,37.751
2020-10-23,38.35341
2020-10-24,32.53012
2020-10-25,32.32931
2020-10-26,39.95983
2020-10-27,39.15662
2020-10-28,30.92369
2020-10-29,33.53413
2020-10-30,34.13654
2020-10-31,26.10441
2020-11-01,28.11244
2020-11-02,37.14859
2020-11-03,37.9518
2020-11-04,37.751
2020-11-05,39.15662
2020-11-06,39.15662
2020-11-07,34.53815
2020-11-08,33.53413
2020-11-09,37.5502
2020-11-10,40.76305
2020-11-11,34.33734
2020-11-12,39.15662
2020-11-13,37.34939
2020-11-14,27.51004
2020-11-15,37.9518
2020-11-16,31.5261
2020-11-17,44.37751
2020-11-18,47.99196
2020-11-19,45.38152
2020-11-20,48.79518
2020-11-21,30.12048
2020-11-22,29.91967
2020-11-23,41.76706
2020-11-24,45.98393
2020-11-25,42.36947
2020-11-26,47.18875
2020-11-27,41.36546
2020-11-28,37.9518
2020-11-29,36.34538
2020-11-30,41.36546
2020-12-01,41.36546
2020-12-02,47.79116
2020-12-03,45.18072
2020-12-04,41.56626
2020-12-05,36.74698
2020-12-06,36.34538
2020-12-07,46.58634
2020-12-08,52.61044
2020-12-09,46.58634
2020-12-10,54.01606
2020-12-11,53.21285
2020-12-12,34.73895
2020-12-13,40.16064
2020-12-14,46.78714
2020-12-15,42.36947
2020-12-16,48.19277
2020-12-17,44.77911
2020-12-18,53.21285
2020-12-19,41.76706
2020-12-20,34.73895
2020-12-21,46.38554
2020-12-22,47.79116
2020-12-23,49.79919
2020-12-24,55.82329
2020-12-25,37.14859
2020-12-26,40.16064
2020-12-27,40.96385
2020-12-28,51.00401
2020-12-29,54.01606
2020-12-30,56.8273
2020-12-31,48.99598
2021-01-01,40.76305
2021-01-02,46.18473
2021-01-03,43.17269
2021-01-04,56.6265
2021-01-05,64.45783
2021-01-06,56.4257
2021-01-07,67.06827
2021-01-08,67.06827
2021-01-09,56.6265
2021-01-10,50.6024
2021-01-11,66.26506
2021-01-12,63.0522
2021-01-13,71.08433
2021-01-14,64.85943
2021-01-15,60.84337
2021-01-16,48.59437
2021-01-17,52.00803
2021-01-18,64.65863
2021-01-19,66.86746
2021-01-20,60.04016
2021-01-21,65.46184
2021-01-22,70.88353
2021-01-23,53.61445
2021-01-24,61.04417
2021-01-25,60.44176
2021-01-26,70.68273
