date,이쁜그림
2020-03-20,77.10843
2020-03-21,69.2771
2020-03-22,83.73493
2020-03-23,74.69879
2020-03-24,80.12048
2020-03-25,65.66265
2020-03-26,84.93975
2020-03-27,79.51807
2020-03-28,82.53012
2020-03-29,68.07228
2020-03-30,65.66265
2020-03-31,70.48192
2020-04-01,75.90361
2020-04-02,65.06024
2020-04-03,81.92771
2020-04-04,65.06024
2020-04-05,55.42168
2020-04-06,71.68674
2020-04-07,62.04819
2020-04-08,66.86746
2020-04-09,68.07228
2020-04-10,69.87951
2020-04-11,60.84337
2020-04-12,68.67469
2020-04-13,63.25301
2020-04-14,77.10843
2020-04-15,80.12048
2020-04-16,74.69879
2020-04-17,97.59036
2020-04-18,66.26506
2020-04-19,74.69879
2020-04-20,77.10843
2020-04-21,81.92771
2020-04-22,95.78313
2020-04-23,82.53012
2020-04-24,83.13253
2020-04-25,71.68674
2020-04-26,60.84337
2020-04-27,80.72289
2020-04-28,69.2771
2020-04-29,71.08433
2020-04-30,67.46987
2020-05-01,66.26506
2020-05-02,56.02409
2020-05-03,69.2771
2020-05-04,78.31325
2020-05-05,54.21686
2020-05-06,68.07228
2020-05-07,79.51807
2020-05-08,80.12048
2020-05-09,60.24096
2020-05-10,53.61445
2020-05-11,68.07228
2020-05-12,69.87951
2020-05-13,68.67469
2020-05-14,83.73493
2020-05-15,83.13253
2020-05-16,65.06024
2020-05-17,71.68674
2020-05-18,83.73493
2020-05-19,84.33734
2020-05-20,77.71084
2020-05-21,59.03614
2020-05-22,68.67469
2020-05-23,65.06024
2020-05-24,64.45783
2020-05-25,58.43373
2020-05-26,75.90361
2020-05-27,78.91566
2020-05-28,70.48192
2020-05-29,74.69879
2020-05-30,66.26506
2020-05-31,65.66265
2020-06-01,69.2771
2020-06-02,62.04819
2020-06-03,57.22891
2020-06-04,57.22891
2020-06-05,61.44578
2020-06-06,50.6024
2020-06-07,43.37349
2020-06-08,61.44578
2020-06-09,51.80722
2020-06-10,69.87951
2020-06-11,68.07228
2020-06-12,68.07228
2020-06-13,63.25301
2020-06-14,64.45783
2020-06-15,69.87951
2020-06-16,54.81927
2020-06-17,65.66265
2020-06-18,62.6506
2020-06-19,51.20481
2020-06-20,71.08433
2020-06-21,63.25301
2020-06-22,65.66265
2020-06-23,59.03614
2020-06-24,83.13253
2020-06-25,70.48192
2020-06-26,69.2771
2020-06-27,50.6024
2020-06-28,48.79518
2020-06-29,78.31325
2020-06-30,69.87951
2020-07-01,83.13253
2020-07-02,53.61445
2020-07-03,62.04819
2020-07-04,62.04819
2020-07-05,61.44578
2020-07-06,69.2771
2020-07-07,72.28915
2020-07-08,56.6265
2020-07-09,89.15662
2020-07-10,59.63855
2020-07-11,35.54216
2020-07-12,59.03614
2020-07-13,63.85542
2020-07-14,57.22891
2020-07-15,63.25301
2020-07-16,68.67469
2020-07-17,66.26506
2020-07-18,59.03614
2020-07-19,66.26506
2020-07-20,68.07228
2020-07-21,59.63855
2020-07-22,68.07228
2020-07-23,60.84337
2020-07-24,67.46987
2020-07-25,64.45783
2020-07-26,62.6506
2020-07-27,70.48192
2020-07-28,59.63855
2020-07-29,59.03614
2020-07-30,53.61445
2020-07-31,57.22891
2020-08-01,62.6506
2020-08-02,50.6024
2020-08-03,52.40963
2020-08-04,52.40963
2020-08-05,61.44578
2020-08-06,60.84337
2020-08-07,65.66265
2020-08-08,68.07228
2020-08-09,61.44578
2020-08-10,62.6506
2020-08-11,70.48192
2020-08-12,71.08433
2020-08-13,81.92771
2020-08-14,66.26506
2020-08-15,54.21686
2020-08-16,46.98795
2020-08-17,50.0
2020-08-18,48.79518
2020-08-19,54.81927
2020-08-20,65.06024
2020-08-21,58.43373
2020-08-22,57.83132
