date,이수화학주가
2020-03-20,0.38538
2020-03-21,0.05044
2020-03-22,0.0464
2020-03-23,0.32081
2020-03-24,0.39547
2020-03-25,0.38941
2020-03-26,0.50241
2020-03-27,0.44793
2020-03-28,0.04438
2020-03-29,0.04438
2020-03-30,0.59926
2020-03-31,0.61742
2020-04-01,0.60531
2020-04-02,0.52258
2020-04-03,0.51653
2020-04-04,0.02824
2020-04-05,0.02219
2020-04-06,0.5589
2020-04-07,0.54074
2020-04-08,0.50846
2020-04-09,0.48223
2020-04-10,0.44793
2020-04-11,0.04438
2020-04-12,0.0121
2020-04-13,0.44187
2020-04-14,0.85954
2020-04-15,0.17352
2020-04-16,1.02499
2020-04-17,0.76067
2020-04-18,0.1029
2020-04-19,0.07062
2020-04-20,0.81515
2020-04-21,0.81919
2020-04-22,0.86358
2020-04-23,3.18193
2020-04-24,1.78769
2020-04-25,0.14124
2020-04-26,0.11299
2020-04-27,1.63031
2020-04-28,1.75339
2020-04-29,1.99753
2020-04-30,0.2058
2020-05-01,0.18159
2020-05-02,0.08877
2020-05-03,0.12711
2020-05-04,1.11781
2020-05-05,0.13316
2020-05-06,1.30344
2020-05-07,1.21062
2020-05-08,1.20659
2020-05-09,0.12509
2020-05-10,0.12106
2020-05-11,1.44871
2020-05-12,1.38415
2020-05-13,1.15615
2020-05-14,1.2187
2020-05-15,1.26107
2020-05-16,0.13115
2020-05-17,0.07667
2020-05-18,1.1057
2020-05-19,1.14808
2020-05-20,1.0936
2020-05-21,0.92613
2020-05-22,0.82121
2020-05-23,0.13518
2020-05-24,0.14729
2020-05-25,1.66663
2020-05-26,1.46486
2020-05-27,1.24694
2020-05-28,1.01894
2020-05-29,0.82121
2020-05-30,0.10088
2020-05-31,0.08676
2020-06-01,0.99271
2020-06-02,1.40433
2020-06-03,1.39222
2020-06-04,1.13193
2020-06-05,0.92209
2020-06-06,0.12509
2020-06-07,0.08877
2020-06-08,0.84542
2020-06-09,0.79094
2020-06-10,0.65373
2020-06-11,0.7869
2020-06-12,0.68198
2020-06-13,0.08272
2020-06-14,0.03631
2020-06-15,0.77682
2020-06-16,0.74857
2020-06-17,0.84542
2020-06-18,0.6497
2020-06-19,0.79901
2020-06-20,0.05447
2020-06-21,0.0464
2020-06-22,0.82928
2020-06-23,0.85551
2020-06-24,0.9463
2020-06-25,0.79901
2020-06-26,0.75866
2020-06-27,0.06053
2020-06-28,0.06053
2020-06-29,0.63558
2020-06-30,0.67593
2020-07-01,0.70216
2020-07-02,0.60531
2020-07-03,0.83735
2020-07-04,0.10088
2020-07-05,0.0686
2020-07-06,0.86761
2020-07-07,0.73848
2020-07-08,0.77278
2020-07-09,0.55487
2020-07-10,0.68198
2020-07-11,0.07263
2020-07-12,0.05447
2020-07-13,0.90797
2020-07-14,0.69611
2020-07-15,0.912
2020-07-16,1.1279
2020-07-17,1.38213
2020-07-18,0.18764
2020-07-19,0.08474
2020-07-20,1.08956
2020-07-21,1.21264
2020-07-22,1.21466
2020-07-23,1.06737
2020-07-24,1.04114
2020-07-25,0.13115
2020-07-26,0.17554
2020-07-27,1.44064
2020-07-28,1.06737
