date,인도니프티50
2020-03-25,3.44827
2020-03-26,3.94088
2020-04-04,2.46305
2020-04-07,3.94088
2020-04-08,2.46305
2020-04-09,2.46305
2020-04-18,4.43349
2020-04-23,5.41871
2020-04-28,3.94088
2020-05-03,2.46305
2020-05-06,2.95566
2020-05-08,4.9261
2020-05-18,2.95566
2020-05-20,2.95566
2020-05-28,6.40394
2020-05-29,2.95566
2020-06-01,2.46305
2020-06-03,2.95566
2020-06-04,2.46305
2020-06-05,6.40394
2020-06-06,4.9261
2020-06-07,2.46305
2020-06-08,10.83743
2020-06-09,13.7931
2020-06-10,2.46305
2020-06-11,13.30049
2020-06-12,7.38916
2020-06-15,2.46305
2020-06-22,2.95566
2020-06-23,2.95566
2020-07-06,2.95566
2020-07-17,2.46305
2020-07-22,2.46305
2020-07-29,2.95566
2020-08-12,2.46305
2020-09-02,2.95566
2020-10-12,2.46305
2020-10-13,2.95566
2020-10-14,4.9261
2020-10-19,2.46305
2020-12-01,2.46305
2020-12-22,2.46305
2021-01-24,2.95566
2021-02-03,2.46305
2021-04-16,13.30049
2021-04-17,2.95566
2021-04-19,15.27093
2021-04-20,2.95566
2021-04-25,2.46305
2021-04-26,2.95566
2021-04-27,4.9261
2021-04-28,3.94088
2021-04-29,6.40394
2021-04-30,3.44827
2021-05-02,2.46305
2021-05-03,2.95566
2021-05-08,2.95566
2021-05-10,4.43349
2021-05-13,2.46305
2021-05-16,2.95566
2021-08-03,2.46305
2021-08-17,2.95566
2021-08-31,2.46305
2021-09-03,7.38916
2021-09-04,3.44827
2021-09-07,2.46305
2021-09-10,2.46305
2021-09-16,5.41871
2021-09-17,3.94088
2021-09-18,2.46305
2021-09-19,3.94088
2021-09-20,4.43349
2021-09-21,6.89655
2021-09-22,9.3596
2021-09-23,3.44827
2021-09-24,2.95566
2021-09-25,5.41871
2021-09-26,4.9261
2021-09-27,14.28571
2021-09-28,10.34482
2021-09-29,6.40394
2021-09-30,4.9261
2021-10-01,3.94088
2021-10-04,3.44827
2021-10-05,2.46305
2021-10-06,2.46305
2021-10-07,3.94088
2021-10-08,4.9261
2021-10-10,4.43349
2021-10-11,4.9261
2021-10-12,6.89655
2021-10-13,6.40394
2021-10-14,4.9261
2021-10-15,4.9261
2021-10-16,2.95566
2021-10-18,4.9261
2021-10-19,4.43349
2021-10-20,6.40394
2021-10-21,3.94088
2021-10-23,6.40394
2021-10-24,5.41871
2021-10-25,5.41871
2021-10-26,5.91133
2021-10-27,2.95566
2021-10-28,2.95566
2021-10-29,2.46305
2021-11-01,16.74876
2021-11-02,20.68965
2021-11-03,14.77832
2021-11-04,17.73399
2021-11-05,11.82266
2021-11-06,3.94088
2021-11-07,2.46305
2021-11-09,2.46305
2021-11-11,2.46305
2021-11-12,6.40394
2021-11-13,2.46305
2021-11-14,3.94088
2021-11-15,6.89655
2021-11-16,2.95566
2021-11-17,9.3596
2021-11-18,3.44827
2021-11-19,4.9261
2021-11-20,2.46305
2021-11-23,4.9261
2021-11-24,2.46305
2021-11-25,3.44827
2021-11-26,2.95566
2021-11-28,2.95566
2021-11-29,8.86699
2021-12-02,2.46305
2021-12-03,3.44827
2021-12-08,2.95566
2021-12-14,3.44827
2021-12-15,2.46305
2021-12-28,2.46305
2022-01-03,6.89655
2022-01-04,2.95566
2022-01-05,4.43349
2022-01-13,2.46305
2022-02-03,8.86699
2022-02-04,5.91133
2022-02-09,3.94088
2022-02-15,2.95566
2022-02-20,2.95566
2022-02-24,3.44827
2022-03-15,5.91133
2022-03-22,2.46305
2022-03-31,2.95566
2022-04-05,2.46305
2022-05-12,2.95566
2022-08-16,2.95566
2022-09-05,3.94088
2022-09-06,4.9261
2022-09-08,2.46305
2022-09-13,3.44827
2022-09-18,2.46305
2022-09-19,2.46305
2022-09-20,3.44827
2022-09-23,2.46305
2022-10-28,2.46305
2022-12-01,2.46305
2022-12-08,2.95566
2022-12-18,2.95566
2022-12-19,2.46305
2023-01-09,3.94088
2023-01-12,3.44827
2023-01-13,4.43349
2023-01-16,3.44827
2023-01-18,4.9261
2023-01-19,7.38916
2023-01-24,2.95566
2023-01-25,8.86699
2023-01-26,3.94088
2023-01-28,4.9261
2023-01-30,6.40394
2023-01-31,3.44827
2023-02-01,2.46305
2023-02-02,13.30049
2023-02-03,2.95566
2023-02-05,2.46305
2023-02-06,3.94088
2023-02-08,3.44827
2023-02-12,2.46305
2023-02-13,2.46305
2023-02-14,3.94088
2023-02-26,2.95566
2023-02-28,2.46305
2023-03-01,3.94088
2023-03-31,2.95566
2023-04-01,3.44827
2023-04-02,7.38916
2023-04-04,3.94088
2023-04-05,6.89655
2023-04-10,2.46305
2023-04-13,4.43349
2023-04-14,32.0197
2023-04-15,4.9261
2023-04-16,7.38916
2023-04-17,13.7931
2023-04-18,36.4532
2023-04-19,6.89655
2023-04-20,8.86699
2023-04-21,14.77832
2023-04-22,11.82266
2023-04-23,18.2266
2023-04-24,18.71921
2023-04-25,35.46798
2023-04-26,21.18226
2023-04-27,22.16748
2023-04-28,26.10837
2023-04-29,7.38916
2023-04-30,3.94088
2023-05-02,12.80788
2023-05-03,7.38916
2023-05-04,8.86699
2023-05-05,3.44827
2023-05-08,7.38916
2023-05-09,4.43349
2023-05-10,5.91133
2023-05-11,4.9261
2023-05-12,5.91133
2023-05-13,2.46305
2023-05-14,7.38916
2023-05-15,8.37438
2023-05-16,10.83743
2023-05-17,12.31527
2023-05-18,10.34482
2023-05-19,12.80788
2023-05-20,6.89655
2023-05-22,3.94088
2023-05-23,11.82266
2023-05-24,3.94088
2023-05-26,7.88177
2023-05-28,4.43349
2023-05-29,10.83743
2023-05-30,27.09359
2023-05-31,27.5862
2023-06-01,10.34482
2023-06-02,12.80788
2023-06-04,3.44827
2023-06-05,5.41871
2023-06-06,6.89655
2023-06-07,2.95566
2023-06-08,7.38916
2023-06-09,3.44827
2023-06-10,3.44827
2023-06-11,3.94088
2023-06-12,3.44827
2023-06-13,14.77832
2023-06-14,6.40394
2023-06-15,2.95566
2023-06-16,6.89655
2023-06-17,8.37438
2023-06-18,2.95566
2023-06-19,3.94088
2023-06-20,5.91133
2023-06-21,5.41871
2023-06-22,11.33004
2023-06-23,6.89655
2023-06-26,5.41871
2023-06-27,5.91133
2023-06-28,7.88177
2023-06-29,8.86699
2023-06-30,7.38916
2023-07-01,2.46305
2023-07-03,10.34482
2023-07-04,8.37438
2023-07-05,3.44827
2023-07-06,5.41871
2023-07-07,3.44827
2023-07-09,3.94088
2023-07-10,12.31527
2023-07-11,6.89655
2023-07-12,11.33004
2023-07-13,11.82266
2023-07-14,11.33004
2023-07-16,3.94088
2023-07-17,7.38916
2023-07-18,15.76354
2023-07-19,14.28571
2023-07-20,12.31527
2023-07-21,13.30049
2023-07-22,4.9261
2023-07-23,3.44827
2023-07-24,21.18226
2023-07-25,5.41871
2023-07-26,12.80788
2023-07-27,21.18226
2023-07-28,20.19704
2023-07-29,8.86699
2023-07-30,14.28571
2023-07-31,27.09359
2023-08-01,33.49753
2023-08-02,18.2266
2023-08-03,22.16748
2023-08-04,22.16748
2023-08-05,18.2266
2023-08-06,13.7931
2023-08-07,22.16748
2023-08-08,27.5862
2023-08-09,32.0197
2023-08-10,22.66009
2023-08-11,22.16748
2023-08-12,11.82266
2023-08-13,16.25615
2023-08-14,25.61576
2023-08-15,10.83743
2023-08-16,24.13793
2023-08-17,35.96059
2023-08-18,23.64532
2023-08-19,11.33004
2023-08-20,6.40394
2023-08-21,18.71921
2023-08-22,27.5862
2023-08-23,19.70443
2023-08-24,29.06403
2023-08-25,19.70443
2023-08-26,13.30049
2023-08-27,10.83743
2023-08-28,22.16748
2023-08-29,14.77832
2023-08-30,7.88177
2023-08-31,15.76354
2023-09-01,27.5862
2023-09-02,8.86699
2023-09-03,15.76354
2023-09-04,32.0197
2023-09-05,33.49753
2023-09-06,18.71921
2023-09-07,13.30049
2023-09-08,24.63054
2023-09-09,9.3596
2023-09-10,8.86699
2023-09-11,17.24137
2023-09-12,20.19704
2023-09-13,27.5862
2023-09-14,26.10837
2023-09-15,31.52709
2023-09-16,14.28571
2023-09-17,11.33004
2023-09-18,27.09359
2023-09-19,16.74876
2023-09-20,15.27093
2023-09-21,15.27093
2023-09-22,14.77832
2023-09-23,12.31527
2023-09-24,20.19704
2023-09-25,41.37931
2023-09-26,43.84236
2023-09-27,24.63054
2023-09-28,12.31527
2023-09-29,6.89655
2023-09-30,7.88177
2023-10-01,8.86699
2023-10-02,16.74876
2023-10-03,15.76354
2023-10-04,26.10837
2023-10-05,18.2266
2023-10-06,19.70443
2023-10-07,8.37438
2023-10-08,15.76354
2023-10-09,11.33004
2023-10-10,20.19704
2023-10-11,23.64532
2023-10-12,20.19704
2023-10-13,10.83743
2023-10-14,9.3596
2023-10-15,11.33004
2023-10-16,16.25615
2023-10-17,17.73399
2023-10-18,16.25615
2023-10-19,14.28571
2023-10-20,18.2266
2023-10-21,4.9261
2023-10-22,7.38916
2023-10-23,17.73399
2023-10-24,17.73399
2023-10-25,27.09359
2023-10-26,28.07881
2023-10-27,11.82266
2023-10-28,9.3596
2023-10-29,5.41871
2023-10-30,21.67487
2023-10-31,15.76354
2023-11-01,17.73399
2023-11-02,18.2266
2023-11-03,14.77832
2023-11-04,5.41871
2023-11-05,2.46305
2023-11-06,27.5862
2023-11-07,22.16748
2023-11-08,10.34482
2023-11-09,10.34482
2023-11-10,14.77832
2023-11-11,4.9261
2023-11-12,6.89655
2023-11-13,14.28571
2023-11-14,12.31527
2023-11-15,22.66009
2023-11-16,17.73399
2023-11-17,26.10837
2023-11-18,5.41871
2023-11-19,3.94088
2023-11-20,16.74876
2023-11-21,19.21182
2023-11-22,15.76354
2023-11-23,16.74876
2023-11-24,17.24137
2023-11-25,4.9261
2023-11-26,5.91133
2023-11-27,18.71921
2023-11-28,20.68965
2023-11-29,12.80788
2023-11-30,14.77832
2023-12-01,21.18226
2023-12-02,17.24137
2023-12-03,8.37438
2023-12-04,26.10837
2023-12-05,36.4532
2023-12-06,35.96059
2023-12-07,63.54679
2023-12-08,46.30541
2023-12-09,18.71921
2023-12-10,16.25615
2023-12-11,51.72413
2023-12-12,42.85714
2023-12-13,60.59113
2023-12-14,46.30541
2023-12-15,31.52709
2023-12-16,18.71921
2023-12-17,19.70443
2023-12-18,38.91625
2023-12-19,41.87192
2023-12-20,35.46798
2023-12-21,32.51231
2023-12-22,25.12315
2023-12-23,12.80788
2023-12-24,16.74876
2023-12-25,17.73399
2023-12-26,48.27586
2023-12-27,47.78325
2023-12-28,66.99507
2023-12-29,48.27586
2023-12-30,46.79802
2023-12-31,23.64532
2024-01-01,36.4532
2024-01-02,76.35467
2024-01-03,54.6798
2024-01-04,56.65024
2024-01-05,47.29064
2024-01-06,32.51231
2024-01-07,31.52709
2024-01-08,61.57635
2024-01-09,56.15763
2024-01-10,51.23152
2024-01-11,46.79802
2024-01-12,40.88669
2024-01-13,22.16748
2024-01-14,17.24137
2024-01-15,62.56157
2024-01-16,65.51724
2024-01-17,70.44334
2024-01-18,63.54679
2024-01-19,52.70935
2024-01-20,52.70935
2024-01-21,35.96059
2024-01-22,58.62068
2024-01-23,79.80295
2024-01-24,81.28078
2024-01-25,65.51724
2024-01-26,44.33497
2024-01-27,29.55665
2024-01-28,25.61576
2024-01-29,57.14285
2024-01-30,63.05418
2024-01-31,54.18719
2024-02-01,38.42364
2024-02-02,71.42857
2024-02-03,24.13793
2024-02-04,35.96059
2024-02-05,60.59113
2024-02-06,63.05418
2024-02-07,56.65024
2024-02-08,53.20197
2024-02-09,39.40886
2024-02-10,36.4532
2024-02-11,30.04926
2024-02-12,37.43842
2024-02-13,79.80295
2024-02-14,52.70935
2024-02-15,61.57635
2024-02-16,49.26108
2024-02-17,35.96059
2024-02-18,36.94581
2024-02-19,63.05418
2024-02-20,83.25123
2024-02-21,87.68472
2024-02-22,95.07389
2024-02-23,70.44334
2024-02-24,30.04926
2024-02-25,31.03448
2024-02-26,58.12807
2024-02-27,56.65024
2024-02-28,76.35467
2024-02-29,69.45812
2024-03-01,36.4532
2024-03-02,41.87192
2024-03-03,35.96059
2024-03-04,70.93596
2024-03-05,72.9064
2024-03-06,69.45812
2024-03-07,64.0394
2024-03-08,68.96551
2024-03-09,24.63054
2024-03-10,42.36453
2024-03-11,69.45812
2024-03-12,80.78817
2024-03-13,74.87684
2024-03-14,100.0
2024-03-15,62.56157
2024-03-16,27.09359
2024-03-17,28.07881
2024-03-18,46.30541
2024-03-19,55.66502
2024-03-20,70.44334
