date,인테리어어플
2020-03-20,10.73394
2020-03-21,13.48623
2020-03-22,19.17431
2020-03-23,15.77981
2020-03-24,13.85321
2020-03-25,14.95412
2020-03-26,12.38532
2020-03-27,12.75229
2020-03-28,12.11009
2020-03-29,15.87155
2020-03-30,15.04587
2020-03-31,12.38532
2020-04-01,10.27522
2020-04-02,12.01834
2020-04-03,8.53211
2020-04-04,9.90825
2020-04-05,13.85321
2020-04-06,14.77064
2020-04-07,14.40366
2020-04-08,13.11926
2020-04-09,9.90825
2020-04-10,8.62385
2020-04-11,10.91743
2020-04-12,15.04587
2020-04-13,12.84403
2020-04-14,10.6422
2020-04-15,12.20183
2020-04-16,20.18348
2020-04-17,28.71559
2020-04-18,21.83486
2020-04-19,26.23853
2020-04-20,19.44954
2020-04-21,16.69724
2020-04-22,12.75229
2020-04-23,13.85321
2020-04-24,11.19266
2020-04-25,12.66055
2020-04-26,14.49541
2020-04-27,17.61467
2020-04-28,13.94495
2020-04-29,7.79816
2020-04-30,10.82568
2020-05-01,10.6422
2020-05-02,8.99082
2020-05-03,15.04587
2020-05-04,15.50458
2020-05-05,16.51376
2020-05-06,17.43119
2020-05-07,14.03669
2020-05-08,12.38532
2020-05-09,10.73394
2020-05-10,17.8899
2020-05-11,14.40366
2020-05-12,13.30275
2020-05-13,12.38532
2020-05-14,13.11926
2020-05-15,12.93577
2020-05-16,13.48623
2020-05-17,16.69724
2020-05-18,14.40366
2020-05-19,16.51376
2020-05-20,10.45871
2020-05-21,11.65137
2020-05-22,11.19266
2020-05-23,10.36697
2020-05-24,13.11926
2020-05-25,14.58715
2020-05-26,11.00917
2020-05-27,8.62385
2020-05-28,8.89908
2020-05-29,9.54128
2020-05-30,9.54128
2020-05-31,11.83486
2020-06-01,11.10091
2020-06-02,10.18348
2020-06-03,11.2844
2020-06-04,11.19266
2020-06-05,8.34862
2020-06-06,8.25688
2020-06-07,11.37614
2020-06-08,10.82568
2020-06-09,9.72477
2020-06-10,10.91743
2020-06-11,9.63302
2020-06-12,9.44954
2020-06-13,10.91743
2020-06-14,11.19266
2020-06-15,10.0
2020-06-16,10.55045
2020-06-17,9.54128
2020-06-18,12.38532
2020-06-19,8.62385
2020-06-20,10.55045
2020-06-21,12.5688
2020-06-22,13.94495
2020-06-23,11.10091
2020-06-24,12.47706
2020-06-25,11.55963
2020-06-26,11.10091
2020-06-27,10.91743
2020-06-28,14.31192
2020-06-29,14.12844
2020-06-30,13.02752
2020-07-01,13.211
2020-07-02,12.47706
2020-07-03,9.44954
2020-07-04,9.63302
2020-07-05,10.73394
2020-07-06,12.84403
2020-07-07,10.82568
2020-07-08,12.84403
2020-07-09,11.55963
2020-07-10,9.26605
2020-07-11,11.19266
2020-07-12,14.67889
2020-07-13,16.05504
2020-07-14,13.211
2020-07-15,12.20183
2020-07-16,11.46788
2020-07-17,8.89908
2020-07-18,12.75229
2020-07-19,16.69724
2020-07-20,9.90825
2020-07-21,11.00917
2020-07-22,11.00917
2020-07-23,12.47706
2020-07-24,11.19266
2020-07-25,11.00917
2020-07-26,10.55045
2020-07-27,13.85321
2020-07-28,13.02752
2020-07-29,12.20183
2020-07-30,8.34862
2020-07-31,11.37614
2020-08-01,9.44954
2020-08-02,11.2844
2020-08-03,11.37614
2020-08-04,12.38532
2020-08-05,11.65137
2020-08-06,9.63302
2020-08-07,11.37614
2020-08-08,10.36697
2020-08-09,15.41284
2020-08-10,14.58715
2020-08-11,9.44954
2020-08-12,11.2844
2020-08-13,12.66055
2020-08-14,10.6422
2020-08-15,11.00917
2020-08-16,12.47706
2020-08-17,11.46788
2020-08-18,12.75229
2020-08-19,12.93577
2020-08-20,12.47706
2020-08-21,11.9266
2020-08-22,15.59633
2020-08-23,19.90825
2020-08-24,17.2477
2020-08-25,14.12844
2020-08-26,12.84403
2020-08-27,14.77064
2020-08-28,13.02752
2020-08-29,16.69724
2020-08-30,16.42201
2020-08-31,16.23853
2020-09-01,14.03669
2020-09-02,17.43119
2020-09-03,13.30275
2020-09-04,13.66972
2020-09-05,14.31192
2020-09-06,16.69724
2020-09-07,16.69724
2020-09-08,14.12844
2020-09-09,15.59633
2020-09-10,11.65137
2020-09-11,12.01834
2020-09-12,14.49541
2020-09-13,16.78899
2020-09-14,13.66972
2020-09-15,11.10091
2020-09-16,13.57798
2020-09-17,13.66972
2020-09-18,12.84403
2020-09-19,9.81651
2020-09-20,13.48623
2020-09-21,13.30275
2020-09-22,11.2844
2020-09-23,10.6422
2020-09-24,11.00917
2020-09-25,9.54128
2020-09-26,11.2844
2020-09-27,13.11926
2020-09-28,11.19266
2020-09-29,9.90825
2020-09-30,10.36697
2020-10-01,10.73394
2020-10-02,11.10091
2020-10-03,13.39449
2020-10-04,18.53211
2020-10-05,13.211
2020-10-06,13.30275
2020-10-07,12.5688
2020-10-08,9.63302
2020-10-09,10.0
2020-10-10,9.63302
2020-10-11,13.66972
2020-10-12,10.45871
2020-10-13,9.90825
2020-10-14,9.44954
2020-10-15,11.46788
2020-10-16,9.44954
2020-10-17,10.0
2020-10-18,11.2844
2020-10-19,12.93577
2020-10-20,12.11009
2020-10-21,10.73394
2020-10-22,12.01834
2020-10-23,8.99082
2020-10-24,8.99082
2020-10-25,11.65137
2020-10-26,14.40366
2020-10-27,10.36697
2020-10-28,10.18348
2020-10-29,9.35779
2020-10-30,8.25688
2020-10-31,8.99082
2020-11-01,11.2844
2020-11-02,10.55045
2020-11-03,9.72477
2020-11-04,10.27522
2020-11-05,10.18348
2020-11-06,8.89908
2020-11-07,10.18348
2020-11-08,12.93577
2020-11-09,12.75229
2020-11-10,11.00917
2020-11-11,8.71559
2020-11-12,9.08256
2020-11-13,9.17431
2020-11-14,8.25688
2020-11-15,13.66972
2020-11-16,11.37614
2020-11-17,10.55045
2020-11-18,11.37614
2020-11-19,12.66055
2020-11-20,13.94495
2020-11-21,13.94495
2020-11-22,15.50458
2020-11-23,13.66972
2020-11-24,10.82568
2020-11-25,9.63302
2020-11-26,9.26605
2020-11-27,11.10091
2020-11-28,10.73394
2020-11-29,15.59633
2020-11-30,13.39449
2020-12-01,13.76146
2020-12-02,15.50458
2020-12-03,11.74311
2020-12-04,11.9266
2020-12-05,14.03669
2020-12-06,15.68807
2020-12-07,14.40366
2020-12-08,18.25688
2020-12-09,13.76146
2020-12-10,12.20183
2020-12-11,11.00917
2020-12-12,15.22935
2020-12-13,24.95412
2020-12-14,19.44954
2020-12-15,14.86238
2020-12-16,11.2844
2020-12-17,13.211
2020-12-18,11.65137
2020-12-19,16.23853
2020-12-20,16.14678
2020-12-21,16.51376
2020-12-22,14.67889
2020-12-23,12.20183
2020-12-24,9.54128
2020-12-25,12.29357
2020-12-26,17.2477
2020-12-27,18.44036
2020-12-28,17.06422
2020-12-29,14.03669
2020-12-30,14.22018
2020-12-31,12.93577
2021-01-01,12.5688
2021-01-02,17.79816
2021-01-03,21.46788
2021-01-04,16.97247
2021-01-05,14.49541
2021-01-06,63.48623
2021-01-07,38.16513
2021-01-08,21.55963
2021-01-09,28.34862
2021-01-10,27.52293
2021-01-11,20.09174
2021-01-12,17.70642
2021-01-13,17.33944
2021-01-14,17.8899
2021-01-15,16.6055
2021-01-16,17.70642
2021-01-17,19.90825
2021-01-18,14.77064
2021-01-19,14.22018
2021-01-20,15.13761
2021-01-21,16.78899
2021-01-22,13.30275
2021-01-23,15.13761
2021-01-24,16.78899
2021-01-25,14.49541
2021-01-26,15.68807
2021-01-27,12.20183
2021-01-28,15.68807
2021-01-29,10.73394
2021-01-30,14.49541
2021-01-31,19.54128
2021-02-01,20.0
2021-02-02,15.41284
2021-02-03,13.66972
2021-02-04,14.49541
2021-02-05,11.9266
2021-02-06,14.40366
2021-02-07,22.29357
2021-02-08,15.59633
2021-02-09,15.59633
2021-02-10,11.55963
2021-02-11,14.40366
2021-02-12,13.85321
2021-02-13,14.31192
2021-02-14,15.9633
2021-02-15,16.14678
2021-02-16,16.14678
2021-02-17,13.48623
2021-02-18,13.76146
2021-02-19,12.01834
2021-02-20,14.67889
2021-02-21,15.22935
2021-02-22,14.49541
2021-02-23,12.93577
2021-02-24,11.46788
2021-02-25,11.74311
2021-02-26,11.46788
2021-02-27,11.19266
