date,임대인배상책임보험
2020-03-20,24.21875
2020-03-21,11.71875
2020-03-22,3.51562
2020-03-23,34.76562
2020-03-24,27.73437
2020-03-25,42.96875
2020-03-26,44.92187
2020-03-27,24.21875
2020-03-28,11.32812
2020-03-29,8.98437
2020-03-30,28.90625
2020-03-31,27.34375
2020-04-01,28.125
2020-04-02,29.6875
2020-04-03,40.625
2020-04-04,12.10937
2020-04-05,15.23437
2020-04-06,29.29687
2020-04-07,28.90625
2020-04-08,32.42187
2020-04-09,27.73437
2020-04-10,19.53125
2020-04-11,11.71875
2020-04-12,8.98437
2020-04-13,37.89062
2020-04-14,25.78125
2020-04-15,16.79687
2020-04-16,23.4375
2020-04-17,22.26562
2020-04-18,10.54687
2020-04-19,7.42187
2020-04-20,31.64062
2020-04-21,31.25
2020-04-22,24.60937
2020-04-23,21.875
2020-04-24,19.53125
2020-04-25,8.20312
2020-04-26,8.20312
2020-04-27,34.76562
2020-04-28,23.04687
2020-04-29,22.26562
2020-04-30,9.375
2020-05-01,6.64062
2020-05-02,15.625
2020-05-03,13.67187
2020-05-04,28.90625
2020-05-05,7.8125
2020-05-06,32.8125
2020-05-07,26.17187
2020-05-08,22.26562
2020-05-09,7.03125
2020-05-10,10.9375
2020-05-11,28.125
2020-05-12,25.39062
2020-05-13,28.125
2020-05-14,27.34375
2020-05-15,25.78125
2020-05-16,9.76562
2020-05-17,12.10937
2020-05-18,34.375
2020-05-19,33.20312
2020-05-20,28.51562
2020-05-21,32.42187
2020-05-22,35.54687
2020-05-23,12.89062
2020-05-24,10.15625
2020-05-25,30.07812
2020-05-26,40.625
2020-05-27,29.29687
2020-05-28,16.79687
2020-05-29,24.60937
2020-05-30,7.03125
2020-05-31,16.40625
2020-06-01,26.5625
2020-06-02,24.21875
2020-06-03,24.21875
2020-06-04,22.26562
2020-06-05,30.07812
2020-06-06,11.32812
2020-06-07,8.98437
2020-06-08,22.26562
2020-06-09,33.59375
2020-06-10,33.20312
2020-06-11,26.95312
2020-06-12,30.46875
2020-06-13,7.42187
2020-06-14,16.40625
2020-06-15,30.07812
2020-06-16,26.17187
2020-06-17,21.48437
2020-06-18,32.8125
2020-06-19,24.60937
2020-06-20,9.76562
2020-06-21,10.54687
2020-06-22,23.4375
2020-06-23,33.98437
2020-06-24,25.78125
2020-06-25,29.6875
2020-06-26,22.26562
2020-06-27,10.54687
2020-06-28,10.15625
2020-06-29,23.04687
2020-06-30,26.17187
2020-07-01,16.79687
2020-07-02,23.82812
2020-07-03,22.65625
2020-07-04,9.76562
2020-07-05,10.9375
2020-07-06,33.20312
2020-07-07,28.51562
2020-07-08,24.21875
2020-07-09,21.09375
2020-07-10,21.875
2020-07-11,15.625
2020-07-12,11.71875
2020-07-13,32.03125
2020-07-14,44.14062
2020-07-15,25.0
2020-07-16,28.90625
2020-07-17,23.04687
2020-07-18,12.10937
2020-07-19,13.67187
2020-07-20,42.96875
2020-07-21,33.98437
2020-07-22,38.28125
2020-07-23,32.8125
2020-07-24,46.48437
2020-07-25,22.65625
2020-07-26,16.79687
2020-07-27,37.89062
2020-07-28,32.03125
2020-07-29,32.42187
2020-07-30,38.28125
2020-07-31,32.8125
2020-08-01,11.32812
2020-08-02,17.57812
2020-08-03,45.3125
2020-08-04,38.67187
2020-08-05,40.625
2020-08-06,53.125
2020-08-07,58.98437
2020-08-08,41.01562
2020-08-09,33.20312
2020-08-10,100.0
2020-08-11,89.45312
2020-08-12,84.375
2020-08-13,87.89062
2020-08-14,62.10937
2020-08-15,53.125
2020-08-16,23.04687
2020-08-17,31.25
2020-08-18,53.51562
2020-08-19,60.15625
2020-08-20,55.46875
2020-08-21,35.54687
2020-08-22,25.39062
2020-08-23,27.73437
2020-08-24,62.10937
2020-08-25,57.03125
2020-08-26,55.85937
2020-08-27,50.78125
2020-08-28,39.45312
2020-08-29,17.96875
2020-08-30,8.59375
2020-08-31,43.75
2020-09-01,48.82812
2020-09-02,47.65625
2020-09-03,67.96875
2020-09-04,56.64062
2020-09-05,21.09375
2020-09-06,15.625
2020-09-07,65.23437
2020-09-08,61.71875
2020-09-09,61.32812
2020-09-10,45.70312
2020-09-11,44.53125
2020-09-12,17.1875
2020-09-13,21.09375
2020-09-14,52.73437
2020-09-15,44.53125
2020-09-16,57.42187
2020-09-17,48.82812
2020-09-18,35.54687
2020-09-19,22.26562
2020-09-20,13.28125
2020-09-21,46.48437
2020-09-22,36.32812
2020-09-23,31.64062
2020-09-24,33.20312
2020-09-25,26.17187
2020-09-26,12.5
2020-09-27,13.67187
2020-09-28,22.65625
2020-09-29,29.29687
2020-09-30,4.29687
2020-10-01,4.6875
2020-10-02,3.51562
2020-10-03,8.20312
2020-10-04,9.76562
2020-10-05,34.375
2020-10-06,46.48437
2020-10-07,44.14062
2020-10-08,33.20312
2020-10-09,23.04687
2020-10-10,25.78125
2020-10-11,30.46875
2020-10-12,59.76562
2020-10-13,53.125
2020-10-14,51.17187
2020-10-15,44.92187
2020-10-16,44.14062
2020-10-17,23.4375
2020-10-18,21.875
2020-10-19,43.35937
2020-10-20,35.15625
2020-10-21,38.28125
2020-10-22,34.76562
2020-10-23,30.07812
2020-10-24,5.85937
2020-10-25,10.54687
2020-10-26,34.76562
2020-10-27,30.85937
2020-10-28,18.35937
2020-10-29,30.85937
2020-10-30,22.65625
2020-10-31,8.98437
2020-11-01,6.64062
2020-11-02,37.5
2020-11-03,25.39062
2020-11-04,25.0
2020-11-05,29.29687
2020-11-06,21.875
2020-11-07,11.32812
2020-11-08,10.9375
2020-11-09,24.60937
2020-11-10,35.9375
2020-11-11,25.0
2020-11-12,25.0
2020-11-13,33.98437
2020-11-14,7.42187
2020-11-15,6.64062
2020-11-16,17.57812
2020-11-17,25.39062
2020-11-18,30.46875
2020-11-19,37.5
2020-11-20,30.07812
2020-11-21,14.0625
2020-11-22,10.9375
2020-11-23,30.07812
2020-11-24,21.875
2020-11-25,30.85937
2020-11-26,21.875
2020-11-27,25.39062
2020-11-28,8.59375
2020-11-29,8.59375
2020-11-30,33.98437
2020-12-01,33.59375
2020-12-02,26.5625
2020-12-03,31.64062
2020-12-04,30.46875
2020-12-05,11.71875
2020-12-06,13.67187
2020-12-07,29.29687
2020-12-08,31.64062
