date,입양
2020-03-20,3.61689
2020-03-21,3.50115
2020-03-22,3.72299
2020-03-23,3.78086
2020-03-24,3.69405
2020-03-25,3.69405
2020-03-26,3.41435
2020-03-27,3.83873
2020-03-28,3.47222
2020-03-29,3.74228
2020-03-30,4.09915
2020-03-31,4.94791
2020-04-01,4.11844
2020-04-02,3.69405
2020-04-03,3.72299
2020-04-04,3.54938
2020-04-05,3.80979
2020-04-06,3.88695
2020-04-07,3.98341
2020-04-08,3.50115
2020-04-09,3.73263
2020-04-10,4.02199
2020-04-11,3.39506
2020-04-12,3.88695
2020-04-13,4.36921
2020-04-14,4.21489
2020-04-15,3.08641
2020-04-16,3.7037
2020-04-17,4.17631
2020-04-18,3.54938
2020-04-19,4.23418
2020-04-20,4.74537
2020-04-21,4.40779
2020-04-22,4.29205
2020-04-23,3.76157
2020-04-24,4.84182
2020-04-25,4.69714
2020-04-26,5.44945
2020-04-27,5.47839
2020-04-28,5.90277
2020-04-29,5.67129
2020-04-30,4.25347
2020-05-01,4.23418
2020-05-02,4.10879
2020-05-03,4.61033
2020-05-04,5.36265
2020-05-05,5.60378
2020-05-06,4.6875
2020-05-07,4.4753
2020-05-08,4.20524
2020-05-09,3.78086
2020-05-10,4.27276
2020-05-11,6.24035
2020-05-12,6.00887
2020-05-13,4.07021
2020-05-14,5.2662
2020-05-15,3.93518
2020-05-16,3.48186
2020-05-17,3.90625
2020-05-18,4.6875
2020-05-19,4.24382
2020-05-20,4.23418
2020-05-21,3.98341
2020-05-22,3.74228
2020-05-23,3.43364
2020-05-24,3.97376
2020-05-25,4.56211
2020-05-26,4.56211
2020-05-27,4.18595
2020-05-28,4.01234
2020-05-29,4.09915
2020-05-30,3.65547
2020-05-31,3.47222
2020-06-01,4.49459
2020-06-02,4.73572
2020-06-03,5.06365
2020-06-04,4.82253
2020-06-05,3.99305
2020-06-06,3.37577
2020-06-07,4.71643
2020-06-08,4.93827
2020-06-09,5.17939
2020-06-10,4.34992
2020-06-11,4.45601
2020-06-12,5.92206
2020-06-13,5.18904
2020-06-14,4.98649
2020-06-15,4.11844
2020-06-16,5.05401
2020-06-17,4.65856
2020-06-18,4.31134
2020-06-19,3.64583
2020-06-20,3.49151
2020-06-21,3.43364
2020-06-22,4.0895
2020-06-23,4.46566
2020-06-24,3.69405
2020-06-25,4.18595
2020-06-26,4.07021
2020-06-27,3.29861
2020-06-28,3.38541
2020-06-29,3.57831
2020-06-30,4.2824
2020-07-01,3.69405
2020-07-02,3.96412
2020-07-03,3.27932
2020-07-04,3.19251
2020-07-05,3.44328
2020-07-06,3.82908
2020-07-07,4.20524
2020-07-08,3.49151
2020-07-09,2.98996
2020-07-10,2.64274
2020-07-11,2.59452
2020-07-12,3.15393
2020-07-13,3.18287
2020-07-14,4.41743
2020-07-15,4.0895
2020-07-16,4.17631
2020-07-17,3.75192
2020-07-18,3.05748
2020-07-19,3.47222
2020-07-20,3.65547
2020-07-21,3.86766
2020-07-22,3.03819
2020-07-23,3.72299
2020-07-24,3.25038
2020-07-25,3.02854
2020-07-26,3.125
2020-07-27,3.35648
2020-07-28,3.81944
2020-07-29,4.31134
2020-07-30,3.41435
2020-07-31,3.24074
2020-08-01,2.86458
2020-08-02,3.17322
2020-08-03,3.77121
2020-08-04,3.84837
2020-08-05,3.04783
2020-08-06,3.14429
2020-08-07,3.58796
2020-08-08,3.1057
2020-08-09,3.33719
2020-08-10,3.23109
2020-08-11,3.3179
2020-08-12,3.43364
2020-08-13,3.36612
2020-08-14,3.55902
2020-08-15,2.77777
2020-08-16,3.27932
2020-08-17,3.44328
2020-08-18,4.01234
2020-08-19,3.76157
2020-08-20,3.44328
2020-08-21,3.67476
2020-08-22,3.125
2020-08-23,3.82908
2020-08-24,4.1956
2020-08-25,4.33063
2020-08-26,4.05092
2020-08-27,3.52044
2020-08-28,3.82908
2020-08-29,3.26967
2020-08-30,4.49459
2020-08-31,4.17631
2020-09-01,3.58796
2020-09-02,3.53009
2020-09-03,3.85802
2020-09-04,3.83873
2020-09-05,3.57831
2020-09-06,4.05092
2020-09-07,4.22453
2020-09-08,3.97376
2020-09-09,3.87731
2020-09-10,3.67476
2020-09-11,4.15702
2020-09-12,3.99305
2020-09-13,4.26311
2020-09-14,3.91589
2020-09-15,3.96412
2020-09-16,4.30169
2020-09-17,4.86111
2020-09-18,4.17631
2020-09-19,3.52044
2020-09-20,3.88695
2020-09-21,4.07986
2020-09-22,4.10879
2020-09-23,3.26003
2020-09-24,3.58796
2020-09-25,3.18287
2020-09-26,3.29861
2020-09-27,3.74228
2020-09-28,3.83873
2020-09-29,3.61689
2020-09-30,3.11535
2020-10-01,3.71334
2020-10-02,3.62654
2020-10-03,3.80015
2020-10-04,3.95447
2020-10-05,3.98341
2020-10-06,4.06057
2020-10-07,3.63618
2020-10-08,3.58796
2020-10-09,3.49151
2020-10-10,3.66512
2020-10-11,3.86766
2020-10-12,3.91589
2020-10-13,3.58796
2020-10-14,4.24382
2020-10-15,5.76774
2020-10-16,8.96026
2020-10-17,11.63194
2020-10-18,10.10802
2020-10-19,7.53279
2020-10-20,6.17283
2020-10-21,4.5814
2020-10-22,4.17631
2020-10-23,4.14737
2020-10-24,3.88695
2020-10-25,4.03163
2020-10-26,3.74228
2020-10-27,4.51388
2020-10-28,4.24382
2020-10-29,3.5108
2020-10-30,3.50115
2020-10-31,3.1057
2020-11-01,3.75192
2020-11-02,3.50115
2020-11-03,3.38541
2020-11-04,3.86766
2020-11-05,3.91589
2020-11-06,3.97376
2020-11-07,3.49151
2020-11-08,3.49151
2020-11-09,4.62962
2020-11-10,18.71141
2020-11-11,27.89351
2020-11-12,20.73688
2020-11-13,9.78973
2020-11-14,5.71952
2020-11-15,6.79012
2020-11-16,11.92129
2020-11-17,15.45138
2020-11-18,11.30401
2020-11-19,9.81867
2020-11-20,7.99575
2020-11-21,5.71952
2020-11-22,4.71643
2020-11-23,5.44945
2020-11-24,5.58449
2020-11-25,4.04128
2020-11-26,4.27276
2020-11-27,3.7037
2020-11-28,3.53009
2020-11-29,4.12808
2020-11-30,3.95447
2020-12-01,3.96412
2020-12-02,3.8966
2020-12-03,3.94483
2020-12-04,3.4047
2020-12-05,3.27932
2020-12-06,3.64583
2020-12-07,3.73263
2020-12-08,3.64583
2020-12-09,6.20177
2020-12-10,5.73881
2020-12-11,5.52662
2020-12-12,6.36574
2020-12-13,5.81597
2020-12-14,6.18248
2020-12-15,5.73881
2020-12-16,5.97993
2020-12-17,5.82561
2020-12-18,5.81597
2020-12-19,3.95447
2020-12-20,4.7743
2020-12-21,4.95756
2020-12-22,4.72608
2020-12-23,4.36921
2020-12-24,4.33063
2020-12-25,4.5814
2020-12-26,4.13773
2020-12-27,5.76774
2020-12-28,5.04436
2020-12-29,4.82253
2020-12-30,3.85802
2020-12-31,3.67476
2021-01-01,3.44328
2021-01-02,8.55516
2021-01-03,36.50655
2021-01-04,33.97955
2021-01-05,30.00578
2021-01-06,29.30169
2021-01-07,16.30015
2021-01-08,13.30054
2021-01-09,14.2554
2021-01-10,12.40354
2021-01-11,10.12731
2021-01-12,7.90895
2021-01-13,12.15277
2021-01-14,9.94405
2021-01-15,8.30439
2021-01-16,7.74498
2021-01-17,8.10185
2021-01-18,100.0
2021-01-19,45.81404
2021-01-20,12.46141
2021-01-21,7.27237
2021-01-22,6.98302
2021-01-23,6.40432
2021-01-24,8.45871
2021-01-25,5.92206
2021-01-26,5.43981
2021-01-27,5.51697
2021-01-28,5.21797
2021-01-29,5.01543
2021-01-30,4.34992
2021-01-31,5.73881
2021-02-01,4.32098
2021-02-02,3.83873
2021-02-03,3.28896
2021-02-04,4.18595
2021-02-05,3.64583
2021-02-06,3.68441
2021-02-07,4.15702
2021-02-08,4.57175
2021-02-09,4.26311
2021-02-10,4.27276
2021-02-11,3.65547
