date,자동차보험
2020-03-20,67.79903
2020-03-21,37.56596
2020-03-22,40.91908
2020-03-23,79.33157
2020-03-24,73.7467
2020-03-25,72.33948
2020-03-26,72.25153
2020-03-27,67.55716
2020-03-28,39.02814
2020-03-29,40.49032
2020-03-30,84.36675
2020-03-31,77.3087
2020-04-01,76.0554
2020-04-02,75.03298
2020-04-03,69.79991
2020-04-04,42.81002
2020-04-05,44.19525
2020-04-06,83.23438
2020-04-07,75.13192
2020-04-08,73.54881
2020-04-09,73.50483
2020-04-10,70.85532
2020-04-11,44.2832
2020-04-12,45.00879
2020-04-13,87.82981
2020-04-14,79.59542
2020-04-15,50.80255
2020-04-16,81.44239
2020-04-17,79.30958
2020-04-18,43.62357
2020-04-19,47.20756
2020-04-20,91.83157
2020-04-21,86.74142
2020-04-22,81.9591
2020-04-23,78.47405
2020-04-24,74.31838
2020-04-25,44.37115
2020-04-26,45.22867
2020-04-27,88.3905
2020-04-28,84.71855
2020-04-29,78.01231
2020-04-30,47.44942
2020-05-01,51.71503
2020-05-02,40.27044
2020-05-03,43.29375
2020-05-04,89.40193
2020-05-05,52.15479
2020-05-06,91.79859
2020-05-07,90.8751
2020-05-08,77.46262
2020-05-09,47.04265
2020-05-10,46.96569
2020-05-11,100.0
2020-05-12,89.8197
2020-05-13,83.76209
2020-05-14,81.75021
2020-05-15,76.02242
2020-05-16,43.75549
2020-05-17,43.54661
2020-05-18,92.39226
2020-05-19,85.697
2020-05-20,79.47449
2020-05-21,83.45426
2020-05-22,73.64775
2020-05-23,43.3927
2020-05-24,46.416
2020-05-25,87.54397
2020-05-26,80.46394
2020-05-27,80.84872
2020-05-28,79.51846
2020-05-29,67.78803
2020-05-30,38.3795
2020-05-31,41.43579
2020-06-01,85.48812
2020-06-02,81.66226
2020-06-03,76.96789
2020-06-04,75.14291
2020-06-05,67.63412
2020-06-06,41.28188
2020-06-07,44.43711
2020-06-08,85.47713
2020-06-09,77.66051
2020-06-10,79.04573
2020-06-11,76.20932
2020-06-12,69.11829
2020-06-13,43.49164
2020-06-14,47.90017
2020-06-15,89.46789
2020-06-16,80.45294
2020-06-17,73.22999
2020-06-18,73.42788
2020-06-19,69.83289
2020-06-20,38.53342
2020-06-21,40.8861
2020-06-22,84.55364
2020-06-23,74.68117
2020-06-24,76.36323
2020-06-25,72.28452
2020-06-26,67.10642
2020-06-27,39.65479
2020-06-28,40.49032
2020-06-29,81.61829
2020-06-30,77.69349
2020-07-01,74.26341
2020-07-02,71.51495
2020-07-03,66.84256
2020-07-04,40.45734
2020-07-05,43.16182
2020-07-06,82.71767
2020-07-07,75.67062
2020-07-08,70.3496
2020-07-09,69.95382
2020-07-10,65.45734
2020-07-11,39.57783
2020-07-12,41.88654
2020-07-13,79.94722
2020-07-14,75.67062
2020-07-15,70.33861
2020-07-16,64.87467
2020-07-17,61.26868
2020-07-18,37.02726
2020-07-19,38.97317
2020-07-20,76.96789
2020-07-21,71.81178
2020-07-22,68.09586
2020-07-23,63.87423
2020-07-24,61.84036
2020-07-25,35.63104
2020-07-26,37.03825
2020-07-27,77.86939
2020-07-28,72.39445
2020-07-29,64.00615
2020-07-30,65.8751
2020-07-31,59.01495
2020-08-01,36.40061
2020-08-02,37.51099
2020-08-03,73.01011
2020-08-04,68.43667
2020-08-05,66.31486
2020-08-06,67.08443
2020-08-07,65.21547
2020-08-08,35.78496
2020-08-09,38.26956
2020-08-10,79.74934
2020-08-11,75.8795
2020-08-12,69.31618
2020-08-13,64.08311
2020-08-14,61.14775
2020-08-15,33.19041
2020-08-16,34.26781
2020-08-17,47.93315
2020-08-18,76.11037
2020-08-19,73.14204
2020-08-20,69.59102
2020-08-21,65.93007
2020-08-22,37.65391
2020-08-23,39.76473
2020-08-24,79.50747
2020-08-25,74.51627
2020-08-26,69.73394
2020-08-27,69.66798
2020-08-28,63.21459
2020-08-29,37.489
2020-08-30,39.79771
2020-08-31,77.72647
2020-09-01,71.37203
2020-09-02,71.15215
2020-09-03,70.80035
2020-09-04,65.03957
2020-09-05,37.09322
2020-09-06,41.28188
2020-09-07,78.0233
2020-09-08,69.16226
2020-09-09,66.93051
2020-09-10,70.21767
2020-09-11,62.55496
2020-09-12,35.14731
2020-09-13,36.14775
2020-09-14,73.53781
2020-09-15,70.36059
2020-09-16,71.08619
2020-09-17,65.90809
2020-09-18,59.17985
2020-09-19,32.8496
2020-09-20,36.7744
2020-09-21,74.30738
2020-09-22,67.19437
2020-09-23,62.3131
2020-09-24,61.81838
2020-09-25,61.47757
2020-09-26,34.8175
2020-09-27,33.83905
2020-09-28,69.31618
2020-09-29,58.85004
2020-09-30,30.87071
2020-10-01,34.08091
2020-10-02,32.4978
2020-10-03,33.90501
2020-10-04,43.15083
2020-10-05,94.61301
2020-10-06,79.71635
2020-10-07,80.24406
2020-10-08,70.84432
2020-10-09,41.86455
2020-10-10,34.66358
2020-10-11,41.7766
2020-10-12,89.34696
2020-10-13,79.84828
2020-10-14,75.28583
2020-10-15,72.82321
2020-10-16,67.45822
2020-10-17,37.25813
2020-10-18,39.83069
2020-10-19,80.94766
2020-10-20,77.36367
2020-10-21,75.8905
2020-10-22,75.53869
2020-10-23,67.02946
2020-10-24,37.22515
2020-10-25,42.23834
2020-10-26,82.27792
2020-10-27,75.8795
2020-10-28,73.08707
2020-10-29,70.26165
2020-10-30,63.52242
2020-10-31,35.74098
2020-11-01,41.76561
2020-11-02,83.95998
2020-11-03,78.39709
2020-11-04,70.91029
2020-11-05,70.07475
2020-11-06,64.42392
2020-11-07,38.13764
2020-11-08,41.98548
2020-11-09,79.24362
2020-11-10,76.82497
2020-11-11,71.29507
2020-11-12,73.32893
2020-11-13,62.92875
2020-11-14,38.26956
2020-11-15,39.50087
2020-11-16,78.10026
2020-11-17,74.59322
2020-11-18,70.32761
2020-11-19,66.27088
2020-11-20,63.45646
2020-11-21,35.11433
2020-11-22,39.67678
2020-11-23,74.24142
2020-11-24,69.58003
2020-11-25,68.93139
2020-11-26,64.8087
2020-11-27,62.73087
2020-11-28,37.56596
2020-11-29,40.38038
2020-11-30,75.83553
2020-12-01,78.52902
2020-12-02,75.39577
2020-12-03,73.81266
2020-12-04,67.07343
2020-12-05,41.9635
2020-12-06,45.31662
2020-12-07,81.20052
2020-12-08,77.78144
2020-12-09,79.00175
2020-12-10,77.15479
2020-12-11,71.87774
2020-12-12,44.17326
2020-12-13,47.73526
2020-12-14,89.13808
2020-12-15,91.47977
2020-12-16,82.94854
2020-12-17,77.08883
2020-12-18,70.23966
2020-12-19,45.92128
2020-12-20,47.19656
2020-12-21,84.88346
2020-12-22,80.29903
2020-12-23,74.32937
2020-12-24,61.74142
2020-12-25,35.47713
2020-12-26,40.46833
