date,자동차보험비교
2020-03-20,16.25
2020-03-21,9.66346
2020-03-22,10.07211
2020-03-23,21.00961
2020-03-24,19.20673
2020-03-25,20.09615
2020-03-26,17.8125
2020-03-27,17.74038
2020-03-28,8.6298
2020-03-29,9.49519
2020-03-30,20.76923
2020-03-31,18.125
2020-04-01,19.90384
2020-04-02,18.58173
2020-04-03,15.52884
2020-04-04,9.30288
2020-04-05,10.88942
2020-04-06,21.37019
2020-04-07,19.44711
2020-04-08,19.18269
2020-04-09,16.08173
2020-04-10,17.0673
2020-04-11,11.80288
2020-04-12,11.58653
2020-04-13,24.11057
2020-04-14,17.42788
2020-04-15,11.32211
2020-04-16,19.54326
2020-04-17,17.62019
2020-04-18,10.0
2020-04-19,12.28365
2020-04-20,23.77403
2020-04-21,21.25
2020-04-22,20.60096
2020-04-23,18.75
2020-04-24,16.89903
2020-04-25,10.64903
2020-04-26,12.01923
2020-04-27,21.05769
2020-04-28,23.99038
2020-04-29,17.66826
2020-04-30,12.64423
2020-05-01,11.7548
2020-05-02,8.3173
2020-05-03,11.00961
2020-05-04,21.94711
2020-05-05,13.75
2020-05-06,26.10576
2020-05-07,22.30769
2020-05-08,19.08653
2020-05-09,12.52403
2020-05-10,11.92307
2020-05-11,26.80288
2020-05-12,22.04326
2020-05-13,23.05288
2020-05-14,21.08173
2020-05-15,20.88942
2020-05-16,10.64903
2020-05-17,11.5625
2020-05-18,25.33653
2020-05-19,22.5
2020-05-20,23.46153
2020-05-21,21.00961
2020-05-22,18.79807
2020-05-23,9.49519
2020-05-24,11.25
2020-05-25,22.66826
2020-05-26,22.42788
2020-05-27,21.22596
2020-05-28,19.35096
2020-05-29,15.36057
2020-05-30,9.59134
2020-05-31,10.26442
2020-06-01,22.98076
2020-06-02,21.70673
2020-06-03,19.78365
2020-06-04,17.71634
2020-06-05,18.84615
2020-06-06,10.45673
2020-06-07,10.09615
2020-06-08,22.83653
2020-06-09,20.67307
2020-06-10,20.28846
2020-06-11,20.33653
2020-06-12,17.78846
2020-06-13,11.7548
2020-06-14,11.94711
2020-06-15,23.87019
2020-06-16,19.75961
2020-06-17,19.59134
2020-06-18,18.96634
2020-06-19,16.77884
2020-06-20,9.75961
2020-06-21,10.48076
2020-06-22,24.13461
2020-06-23,21.85096
2020-06-24,20.60096
2020-06-25,18.55769
2020-06-26,16.51442
