date,자동차보험비교견적
2020-03-20,15.90296
2020-03-21,8.35579
2020-03-22,10.51212
2020-03-23,19.67654
2020-03-24,19.00269
2020-03-25,19.13746
2020-03-26,21.42857
2020-03-27,19.00269
2020-03-28,9.43396
2020-03-29,8.49056
2020-03-30,20.48517
2020-03-31,19.27223
2020-04-01,21.56334
2020-04-02,22.91105
2020-04-03,18.46361
2020-04-04,9.83827
2020-04-05,11.05121
2020-04-06,24.25876
2020-04-07,23.18059
2020-04-08,20.3504
2020-04-09,20.21563
2020-04-10,18.32884
2020-04-11,8.49056
2020-04-12,10.6469
2020-04-13,20.75471
2020-04-14,19.407
2020-04-15,11.59029
2020-04-16,20.48517
2020-04-17,19.81132
2020-04-18,7.00808
2020-04-19,9.83827
2020-04-20,20.61994
2020-04-21,20.3504
2020-04-22,22.10242
2020-04-23,15.90296
2020-04-24,20.08086
2020-04-25,7.41239
2020-04-26,8.08625
2020-04-27,21.15902
2020-04-28,18.86792
2020-04-29,19.407
2020-04-30,6.60377
2020-05-01,12.938
2020-05-02,7.68194
2020-05-03,9.02964
2020-05-04,25.74123
2020-05-05,13.07277
2020-05-06,27.7628
2020-05-07,20.75471
2020-05-08,19.27223
2020-05-09,11.18598
2020-05-10,8.49056
2020-05-11,23.04582
2020-05-12,23.45013
2020-05-13,22.10242
2020-05-14,21.69811
2020-05-15,20.48517
2020-05-16,7.27762
2020-05-17,10.51212
2020-05-18,25.20215
2020-05-19,28.16711
2020-05-20,22.10242
2020-05-21,20.3504
2020-05-22,17.78975
2020-05-23,9.7035
2020-05-24,8.7601
2020-05-25,23.98921
2020-05-26,20.48517
2020-05-27,20.08086
2020-05-28,18.46361
2020-05-29,16.03773
2020-05-30,7.68194
2020-05-31,8.22102
2020-06-01,17.65498
2020-06-02,16.71159
2020-06-03,20.88948
2020-06-04,17.1159
2020-06-05,15.09433
2020-06-06,6.19946
2020-06-07,7.54716
2020-06-08,22.77628
2020-06-09,21.42857
2020-06-10,20.08086
2020-06-11,19.00269
2020-06-12,12.938
2020-06-13,9.7035
2020-06-14,7.95148
2020-06-15,22.23719
2020-06-16,19.00269
2020-06-17,20.08086
2020-06-18,16.30727
2020-06-19,14.82479
2020-06-20,8.35579
2020-06-21,9.43396
2020-06-22,16.30727
2020-06-23,19.27223
2020-06-24,17.65498
2020-06-25,19.407
2020-06-26,17.65498
2020-06-27,8.49056
2020-06-28,8.62533
2020-06-29,23.04582
2020-06-30,20.08086
2020-07-01,19.13746
2020-07-02,17.78975
2020-07-03,18.73315
2020-07-04,7.68194
2020-07-05,9.97304
2020-07-06,19.27223
2020-07-07,20.75471
2020-07-08,20.88948
2020-07-09,18.19407
2020-07-10,12.938
2020-07-11,8.35579
2020-07-12,5.39083
2020-07-13,19.13746
2020-07-14,16.98113
2020-07-15,13.61185
2020-07-16,18.86792
2020-07-17,16.30727
2020-07-18,9.83827
2020-07-19,10.91644
2020-07-20,21.96765
2020-07-21,18.46361
2020-07-22,19.27223
2020-07-23,16.98113
2020-07-24,13.61185
2020-07-25,7.81671
2020-07-26,10.78167
2020-07-27,19.27223
2020-07-28,16.30727
2020-07-29,14.95956
2020-07-30,15.76819
2020-07-31,12.12938
2020-08-01,6.60377
2020-08-02,8.49056
2020-08-03,19.27223
2020-08-04,16.30727
2020-08-05,17.78975
2020-08-06,16.44204
2020-08-07,18.46361
2020-08-08,9.02964
2020-08-09,6.33423
2020-08-10,19.407
2020-08-11,20.08086
2020-08-12,16.03773
2020-08-13,12.26415
2020-08-14,18.05929
2020-08-15,9.43396
2020-08-16,7.00808
2020-08-17,10.10781
2020-08-18,21.56334
2020-08-19,19.00269
