date,자동차보험할증기준
2020-03-20,40.93851
2020-03-21,31.06796
2020-03-22,23.94822
2020-03-23,58.25242
2020-03-24,53.39805
2020-03-25,46.27831
2020-03-26,52.26537
2020-03-27,46.92556
2020-03-28,37.70226
2020-03-29,25.88996
2020-03-30,57.11974
2020-03-31,44.01294
2020-04-01,45.79288
2020-04-02,46.44012
2020-04-03,44.98381
2020-04-04,28.31715
2020-04-05,27.6699
2020-04-06,54.69255
2020-04-07,49.19093
2020-04-08,48.38187
2020-04-09,40.93851
2020-04-10,44.01294
2020-04-11,37.70226
2020-04-12,28.47896
2020-04-13,59.06148
2020-04-14,50.0
2020-04-15,30.74433
2020-04-16,49.83818
2020-04-17,50.32362
2020-04-18,31.55339
2020-04-19,26.53721
2020-04-20,64.72491
2020-04-21,52.58899
2020-04-22,52.7508
2020-04-23,46.60194
2020-04-24,53.07443
2020-04-25,37.05501
2020-04-26,23.94822
2020-04-27,59.38511
2020-04-28,64.88673
2020-04-29,48.22006
2020-04-30,32.52427
2020-05-01,34.62783
2020-05-02,35.92233
2020-05-03,29.44983
2020-05-04,62.13592
2020-05-05,41.26213
2020-05-06,67.79935
2020-05-07,58.57605
2020-05-08,50.64724
2020-05-09,34.62783
2020-05-10,29.44983
2020-05-11,63.59223
2020-05-12,66.18122
2020-05-13,64.88673
2020-05-14,57.28155
2020-05-15,50.80906
2020-05-16,33.0097
2020-05-17,29.77346
2020-05-18,65.53398
2020-05-19,61.97411
2020-05-20,57.60517
2020-05-21,50.97087
2020-05-22,48.86731
2020-05-23,30.42071
2020-05-24,26.21359
2020-05-25,66.01941
2020-05-26,53.39805
2020-05-27,54.20711
2020-05-28,51.61812
2020-05-29,51.13268
2020-05-30,32.68608
2020-05-31,28.47896
2020-06-01,60.03236
2020-06-02,50.32362
2020-06-03,50.0
2020-06-04,46.60194
2020-06-05,40.93851
2020-06-06,24.43365
2020-06-07,27.83171
2020-06-08,55.98705
2020-06-09,53.88349
2020-06-10,49.19093
2020-06-11,58.09061
2020-06-12,47.73462
2020-06-13,32.20064
2020-06-14,25.24271
2020-06-15,60.51779
2020-06-16,50.48543
2020-06-17,49.67637
2020-06-18,48.7055
2020-06-19,43.85113
2020-06-20,32.36245
2020-06-21,32.52427
2020-06-22,61.65048
2020-06-23,57.44336
2020-06-24,51.94174
2020-06-25,49.35275
2020-06-26,46.92556
2020-06-27,29.77346
2020-06-28,23.62459
2020-06-29,63.75404
2020-06-30,62.13592
2020-07-01,48.05825
2020-07-02,47.08737
2020-07-03,43.20388
2020-07-04,26.69902
2020-07-05,28.9644
2020-07-06,58.09061
2020-07-07,50.64724
2020-07-08,48.22006
2020-07-09,52.7508
2020-07-10,47.57281
2020-07-11,28.9644
2020-07-12,25.0809
2020-07-13,62.45954
2020-07-14,56.31067
2020-07-15,52.58899
2020-07-16,49.02912
2020-07-17,43.5275
2020-07-18,32.52427
2020-07-19,30.42071
2020-07-20,62.78317
2020-07-21,51.77993
2020-07-22,52.91262
2020-07-23,49.35275
2020-07-24,48.54368
2020-07-25,32.68608
2020-07-26,27.34627
2020-07-27,59.70873
2020-07-28,53.07443
2020-07-29,49.51456
2020-07-30,50.0
2020-07-31,44.66019
2020-08-01,29.77346
2020-08-02,23.13915
2020-08-03,49.51456
2020-08-04,41.74757
2020-08-05,51.29449
2020-08-06,47.89644
2020-08-07,45.63106
2020-08-08,26.05177
2020-08-09,28.15533
2020-08-10,58.73786
2020-08-11,55.3398
2020-08-12,49.19093
2020-08-13,51.45631
2020-08-14,45.63106
2020-08-15,28.47896
2020-08-16,23.30097
2020-08-17,38.83495
2020-08-18,64.40129
2020-08-19,60.51779
2020-08-20,50.32362
2020-08-21,47.411
2020-08-22,28.80258
2020-08-23,21.52103
2020-08-24,57.44336
2020-08-25,52.26537
2020-08-26,50.16181
2020-08-27,44.33656
2020-08-28,45.46925
2020-08-29,30.58252
2020-08-30,24.59546
2020-08-31,55.82524
2020-09-01,52.26537
2020-09-02,44.66019
2020-09-03,53.72168
2020-09-04,56.14886
2020-09-05,27.02265
2020-09-06,25.88996
2020-09-07,56.79611
2020-09-08,60.03236
2020-09-09,50.97087
2020-09-10,46.27831
2020-09-11,48.05825
2020-09-12,35.27508
2020-09-13,26.53721
2020-09-14,55.98705
2020-09-15,54.36893
2020-09-16,53.07443
2020-09-17,44.01294
2020-09-18,43.36569
2020-09-19,33.17152
2020-09-20,27.50809
