date,장외주식거래방법
2020-03-20,26.563
2020-03-21,12.69841
2020-03-22,10.13929
2020-03-23,23.09685
2020-03-24,27.66439
2020-03-25,43.6022
2020-03-26,48.65565
2020-03-27,48.85001
2020-03-28,27.17849
2020-03-29,29.18691
2020-03-30,37.35017
2020-03-31,42.33884
2020-04-01,35.86005
2020-04-02,32.91221
2020-04-03,33.00939
2020-04-04,15.61386
2020-04-05,13.47586
2020-04-06,26.43343
2020-04-07,32.55587
2020-04-08,28.44185
2020-04-09,29.28409
2020-04-10,25.91512
2020-04-11,15.28992
2020-04-12,16.78004
2020-04-13,23.87431
2020-04-14,35.66569
2020-04-15,28.31227
2020-04-16,24.36022
2020-04-17,33.65727
2020-04-18,22.96728
2020-04-19,25.29964
2020-04-20,35.50372
2020-04-21,32.3939
2020-04-22,45.48104
2020-04-23,39.29381
2020-04-24,30.93618
2020-04-25,16.84483
2020-04-26,16.06737
2020-04-27,25.78555
2020-04-28,26.69258
2020-04-29,23.356
2020-04-30,18.46452
2020-05-01,10.81956
2020-05-02,8.45481
2020-05-03,8.87593
2020-05-04,15.25753
2020-05-05,13.44347
2020-05-06,18.01101
2020-05-07,21.67152
2020-05-08,23.48558
2020-05-09,15.80822
2020-05-10,14.38289
2020-05-11,20.89407
2020-05-12,23.9067
2020-05-13,26.10949
2020-05-14,28.11791
2020-05-15,22.64334
2020-05-16,10.30126
2020-05-17,11.56462
2020-05-18,21.18561
2020-05-19,27.56721
2020-05-20,38.32199
2020-05-21,40.26563
2020-05-22,26.75736
2020-05-23,13.15192
2020-05-24,13.76741
2020-05-25,27.95594
2020-05-26,32.26433
2020-05-27,33.17136
2020-05-28,36.18399
2020-05-29,29.99676
2020-05-30,14.67444
2020-05-31,14.41528
2020-06-01,24.81373
2020-06-02,27.56721
2020-06-03,28.73339
2020-06-04,25.07288
2020-06-05,25.00809
2020-06-06,13.44347
2020-06-07,14.80401
2020-06-08,26.23906
2020-06-09,28.27988
2020-06-10,26.62779
2020-06-11,29.7376
2020-06-12,30.35309
2020-06-13,13.63783
2020-06-14,10.75477
2020-06-15,23.03206
2020-06-16,37.77129
2020-06-17,31.45448
2020-06-18,37.31778
2020-06-19,26.563
2020-06-20,12.43926
2020-06-21,12.37447
2020-06-22,24.10106
2020-06-23,29.2517
2020-06-24,40.52478
2020-06-25,33.88402
2020-06-26,33.62487
2020-06-27,15.06316
2020-06-28,14.12374
2020-06-29,26.27146
2020-06-30,23.16164
2020-07-01,24.87852
2020-07-02,40.68675
2020-07-03,32.87981
2020-07-04,14.90119
2020-07-05,16.06737
2020-07-06,30.06154
2020-07-07,35.11499
2020-07-08,32.62066
2020-07-09,37.12342
2020-07-10,36.92905
2020-07-11,15.64625
2020-07-12,16.26174
2020-07-13,27.47003
2020-07-14,27.40524
2020-07-15,28.83057
2020-07-16,28.44185
2020-07-17,30.2883
2020-07-18,31.32491
2020-07-19,22.67573
2020-07-20,35.34175
2020-07-21,47.39229
2020-07-22,43.21347
2020-07-23,46.97116
2020-07-24,40.07126
2020-07-25,17.20116
2020-07-26,29.80239
2020-07-27,36.44314
2020-07-28,38.03045
2020-07-29,36.60511
2020-07-30,35.14739
2020-07-31,31.94039
2020-08-01,13.89698
2020-08-02,14.15613
2020-08-03,32.03757
2020-08-04,40.23323
2020-08-05,39.74732
2020-08-06,37.25299
2020-08-07,36.92905
2020-08-08,19.50113
2020-08-09,16.87722
2020-08-10,32.49109
2020-08-11,35.27696
2020-08-12,37.35017
2020-08-13,56.39779
2020-08-14,53.74149
2020-08-15,22.90249
2020-08-16,22.15743
2020-08-17,24.58697
2020-08-18,31.00097
2020-08-19,32.03757
2020-08-20,35.76287
2020-08-21,25.81794
2020-08-22,13.83219
2020-08-23,15.51668
2020-08-24,29.44606
2020-08-25,34.27275
2020-08-26,49.53028
2020-08-27,45.57823
2020-08-28,41.07547
2020-08-29,23.356
2020-08-30,42.11208
2020-08-31,51.0528
2020-09-01,59.34564
2020-09-02,74.92711
2020-09-03,65.85681
2020-09-04,56.39779
2020-09-05,30.54745
2020-09-06,31.84321
2020-09-07,53.1908
2020-09-08,57.14285
2020-09-09,56.85131
2020-09-10,93.78036
