date,장후시간외거래
2020-03-20,1.73617
2020-03-21,0.18527
2020-03-22,0.04951
2020-03-23,2.16422
2020-03-24,2.19936
2020-03-25,4.86511
2020-03-26,3.29345
2020-03-27,2.76797
2020-03-28,0.27472
2020-03-29,0.19486
2020-03-30,7.94773
2020-03-31,28.2675
2020-04-01,8.66329
2020-04-02,3.66241
2020-04-03,2.87658
2020-04-04,0.18048
2020-04-05,0.1102
2020-04-06,3.39567
2020-04-07,3.31422
2020-04-08,3.5522
2020-04-09,3.52026
2020-04-10,3.19442
2020-04-11,0.17569
2020-04-12,0.18048
2020-04-13,2.67373
2020-04-14,2.41498
2020-04-15,0.18847
2020-04-16,2.39103
2020-04-17,7.01177
2020-04-18,0.15972
2020-04-19,0.1693
2020-04-20,14.24236
2020-04-21,12.64834
2020-04-22,6.33135
2020-04-23,15.52652
2020-04-24,2.99637
2020-04-25,0.14374
2020-04-26,0.06868
2020-04-27,11.45202
2020-04-28,6.36649
2020-04-29,1.74735
2020-04-30,0.17729
2020-05-01,0.07506
2020-05-02,0.03194
2020-05-03,0.04791
2020-05-04,1.99811
2020-05-05,0.11979
2020-05-06,1.77769
2020-05-07,1.84637
2020-05-08,1.62756
2020-05-09,0.09423
2020-05-10,0.09104
2020-05-11,2.18498
2020-05-12,2.20255
2020-05-13,2.93887
2020-05-14,2.3495
2020-05-15,2.25846
2020-05-16,0.19326
2020-05-17,0.10222
2020-05-18,2.16582
2020-05-19,2.41818
2020-05-20,2.37984
2020-05-21,11.13577
2020-05-22,12.17077
2020-05-23,0.32583
2020-05-24,0.27152
2020-05-25,27.44493
2020-05-26,14.7343
2020-05-27,18.49254
2020-05-28,7.63947
2020-05-29,46.6738
2020-05-30,0.55103
2020-05-31,0.29388
2020-06-01,11.2364
2020-06-02,14.43881
2020-06-03,36.49155
2020-06-04,23.80648
2020-06-05,11.34341
2020-06-06,0.49194
2020-06-07,0.32263
2020-06-08,13.12111
2020-06-09,13.03965
2020-06-10,10.7221
2020-06-11,16.78672
2020-06-12,18.42546
2020-06-13,0.42485
2020-06-14,0.35298
2020-06-15,15.10964
2020-06-16,100.0
2020-06-17,9.76057
2020-06-18,9.25106
2020-06-19,8.56905
2020-06-20,0.42965
2020-06-21,0.44402
2020-06-22,6.89677
2020-06-23,3.99942
2020-06-24,10.76841
2020-06-25,10.77001
2020-06-26,9.00509
2020-06-27,0.2859
2020-06-28,0.2252
2020-06-29,10.88341
2020-06-30,12.04459
2020-07-01,7.77204
2020-07-02,29.9286
2020-07-03,14.91958
2020-07-04,0.27951
2020-07-05,0.19166
2020-07-06,8.06273
2020-07-07,10.17585
2020-07-08,10.30043
2020-07-09,19.00844
2020-07-10,8.52912
2020-07-11,0.32104
2020-07-12,0.27791
2020-07-13,15.65909
2020-07-14,17.59491
2020-07-15,9.69189
2020-07-16,9.43794
2020-07-17,11.16932
2020-07-18,0.29069
2020-07-19,0.24756
2020-07-20,14.2168
2020-07-21,12.73459
2020-07-22,12.90549
2020-07-23,12.2123
2020-07-24,51.24183
2020-07-25,0.79221
2020-07-26,0.60374
2020-07-27,20.63121
2020-07-28,6.06622
2020-07-29,5.54233
2020-07-30,5.48643
2020-07-31,7.87426
2020-08-01,0.54465
2020-08-02,0.37534
2020-08-03,5.28677
2020-08-04,5.84899
2020-08-05,6.4751
2020-08-06,5.6749
2020-08-07,5.22768
2020-08-08,0.64048
2020-08-09,0.48555
2020-08-10,6.81531
2020-08-11,10.22856
2020-08-12,5.66691
2020-08-13,7.12517
2020-08-14,5.43372
2020-08-15,0.5143
2020-08-16,0.34978
2020-08-17,0.53187
2020-08-18,13.35271
2020-08-19,5.36344
2020-08-20,6.60607
2020-08-21,4.42588
2020-08-22,0.40728
2020-08-23,0.30506
2020-08-24,22.62294
2020-08-25,5.84261
2020-08-26,6.18601
2020-08-27,5.63497
2020-08-28,5.02004
2020-08-29,0.54305
2020-08-30,0.4584
2020-08-31,8.15058
2020-09-01,4.82997
2020-09-02,5.58066
2020-09-03,5.36025
2020-09-04,8.56905
2020-09-05,1.14679
2020-09-06,0.56381
2020-09-07,13.53
2020-09-08,7.84711
2020-09-09,5.9592
2020-09-10,8.80863
2020-09-11,5.55351
2020-09-12,0.48076
2020-09-13,0.34659
2020-09-14,5.35705
2020-09-15,4.82039
2020-09-16,6.21955
2020-09-17,5.16059
2020-09-18,4.71657
2020-09-19,0.38652
2020-09-20,0.34499
2020-09-21,4.07129
2020-09-22,9.4587
2020-09-23,5.09191
2020-09-24,6.74343
2020-09-25,3.93553
2020-09-26,0.50631
2020-09-27,0.34819
2020-09-28,7.48933
2020-09-29,3.42602
2020-09-30,0.23638
2020-10-01,0.17409
2020-10-02,0.19326
2020-10-03,0.20124
2020-10-04,0.15812
2020-10-05,4.09525
2020-10-06,3.67678
2020-10-07,4.18949
2020-10-08,6.52302
2020-10-09,0.48395
2020-10-10,0.2859
2020-10-11,0.2827
2020-10-12,9.14085
2020-10-13,14.33659
2020-10-14,10.49369
2020-10-15,3.71192
2020-10-16,18.22421
2020-10-17,0.31624
2020-10-18,0.19805
2020-10-19,2.85102
2020-10-20,2.86061
2020-10-21,3.69755
2020-10-22,2.63061
2020-10-23,2.58748
2020-10-24,0.19326
2020-10-25,0.26992
2020-10-26,2.13547
2020-10-27,2.2345
2020-10-28,2.88936
2020-10-29,2.59068
2020-10-30,2.84144
2020-10-31,0.20604
2020-11-01,0.14055
2020-11-02,1.53013
2020-11-03,2.062
2020-11-04,2.77915
2020-11-05,3.52505
2020-11-06,3.39887
2020-11-07,0.25395
2020-11-08,0.21242
2020-11-09,4.57442
2020-11-10,3.63685
2020-11-11,7.42065
2020-11-12,6.4192
2020-11-13,5.27879
2020-11-14,0.41208
2020-11-15,0.31624
2020-11-16,20.3501
2020-11-17,5.25323
2020-11-18,4.16074
2020-11-19,4.75331
2020-11-20,3.60651
2020-11-21,0.44242
2020-11-22,0.33222
2020-11-23,5.95601
2020-11-24,3.779
2020-11-25,3.42762
2020-11-26,3.35734
2020-11-27,5.93844
2020-11-28,0.31784
2020-11-29,0.27312
2020-11-30,30.48603
2020-12-01,5.2149
2020-12-02,4.43227
2020-12-03,4.0697
2020-12-04,4.05373
2020-12-05,0.46798
2020-12-06,0.44722
2020-12-07,4.42907
2020-12-08,12.3816
2020-12-09,4.14796
2020-12-10,23.3928
2020-12-11,4.28213
2020-12-12,0.49513
2020-12-13,0.31944
2020-12-14,3.79657
2020-12-15,4.43067
2020-12-16,4.78206
2020-12-17,4.74053
2020-12-18,7.58517
2020-12-19,0.59735
2020-12-20,0.4009
2020-12-21,5.02803
2020-12-22,5.34108
2020-12-23,4.84435
2020-12-24,3.49949
2020-12-25,0.38492
2020-12-26,0.26833
2020-12-27,0.31624
2020-12-28,50.84093
2020-12-29,5.9592
2020-12-30,5.76913
2020-12-31,0.52867
2021-01-01,0.23319
2021-01-02,0.21722
2021-01-03,0.28749
2021-01-04,10.63904
2021-01-05,20.78135
2021-01-06,20.40601
2021-01-07,38.57911
2021-01-08,21.46177
2021-01-09,1.09568
2021-01-10,1.04936
2021-01-11,8.29752
2021-01-12,6.55177
2021-01-13,9.04183
2021-01-14,12.79368
2021-01-15,6.77059
2021-01-16,0.50152
2021-01-17,0.46478
2021-01-18,10.04328
2021-01-19,12.80806
2021-01-20,11.27154
2021-01-21,27.77236
2021-01-22,9.68391
2021-01-23,0.92957
2021-01-24,0.69478
2021-01-25,6.45434
2021-01-26,6.77538
2021-01-27,7.03572
2021-01-28,5.77552
2021-01-29,7.93336
2021-01-30,0.57659
2021-01-31,0.42965
2021-02-01,4.30289
2021-02-02,4.05053
2021-02-03,5.47205
2021-02-04,4.814
2021-02-05,4.54726
2021-02-06,0.5143
2021-02-07,0.46798
2021-02-08,24.89578
2021-02-09,19.64733
2021-02-10,46.89102
2021-02-11,0.63089
2021-02-12,0.38492
2021-02-13,0.43124
2021-02-14,0.43923
2021-02-15,38.38425
2021-02-16,33.07831
2021-02-17,31.53699
2021-02-18,21.66781
2021-02-19,7.66183
2021-02-20,0.5159
2021-02-21,0.36256
2021-02-22,5.34907
2021-02-23,4.70858
2021-02-24,4.46261
2021-02-25,6.20996
2021-02-26,6.49746
2021-02-27,0.44562
2021-02-28,0.29388
2021-03-01,0.32583
2021-03-02,3.66241
2021-03-03,4.71178
2021-03-04,4.69581
2021-03-05,4.03456
2021-03-06,0.46319
2021-03-07,0.3418
2021-03-08,4.31886
2021-03-09,3.63046
2021-03-10,3.45158
2021-03-11,4.22463
2021-03-12,3.79498
2021-03-13,0.43124
2021-03-14,0.35937
2021-03-15,3.67838
2021-03-16,3.88442
2021-03-17,4.09525
2021-03-18,5.37302
2021-03-19,5.62698
2021-03-20,0.47277
2021-03-21,0.29069
2021-03-22,4.44345
2021-03-23,3.99463
2021-03-24,4.19907
2021-03-25,3.48192
2021-03-26,3.76463
2021-03-27,0.40569
2021-03-28,0.32742
2021-03-29,3.82053
2021-03-30,3.93393
2021-03-31,4.20866
2021-04-01,3.90199
2021-04-02,3.35095
2021-04-03,0.36576
2021-04-04,0.32902
2021-04-05,3.44039
2021-04-06,3.82213
2021-04-07,3.87803
2021-04-08,3.8397
2021-04-09,3.61609
2021-04-10,0.30985
2021-04-11,0.47117
2021-04-12,4.28692
2021-04-13,4.36997
2021-04-14,4.19109
2021-04-15,4.78046
2021-04-16,4.03935
2021-04-17,0.36576
2021-04-18,0.29708
2021-04-19,3.70873
2021-04-20,3.56657
2021-04-21,4.38754
2021-04-22,4.1831
2021-04-23,3.94991
2021-04-24,0.53187
2021-04-25,0.4009
2021-04-26,4.13838
2021-04-27,4.33484
2021-04-28,4.21185
2021-04-29,3.97866
2021-04-30,3.80935
2021-05-01,0.34978
2021-05-02,0.24597
2021-05-03,2.82387
2021-05-04,2.50922
2021-05-05,0.26992
2021-05-06,2.93727
2021-05-07,2.87179
2021-05-08,0.27472
2021-05-09,0.2811
2021-05-10,3.34616
2021-05-11,4.70858
2021-05-12,3.96268
2021-05-13,4.04095
2021-05-14,3.50428
2021-05-15,0.3961
2021-05-16,0.31944
2021-05-17,3.02352
2021-05-18,2.82547
2021-05-19,0.26992
2021-05-20,2.22172
2021-05-21,2.65936
2021-05-22,0.2859
2021-05-23,0.31944
2021-05-24,2.08755
2021-05-25,2.31116
2021-05-26,2.76956
2021-05-27,3.75824
2021-05-28,2.82706
2021-05-29,0.23479
2021-05-30,0.18847
2021-05-31,3.14651
2021-06-01,3.02033
2021-06-02,3.39887
2021-06-03,3.0379
2021-06-04,3.41324
2021-06-05,0.32423
2021-06-06,0.23798
2021-06-07,3.76463
2021-06-08,3.46914
2021-06-09,3.47074
2021-06-10,3.16887
2021-06-11,3.58574
2021-06-12,0.30027
2021-06-13,0.21083
2021-06-14,4.30129
2021-06-15,3.10019
2021-06-16,3.19283
2021-06-17,2.85422
2021-06-18,2.95005
2021-06-19,0.22999
2021-06-20,0.22361
2021-06-21,2.79831
2021-06-22,3.10338
2021-06-23,3.43401
2021-06-24,3.27588
2021-06-25,2.68012
2021-06-26,0.22999
2021-06-27,0.16611
2021-06-28,2.91811
2021-06-29,2.70727
2021-06-30,2.75519
2021-07-01,2.43894
2021-07-02,2.56512
2021-07-03,0.21881
2021-07-04,0.19645
2021-07-05,3.16408
2021-07-06,3.02831
2021-07-07,3.02991
2021-07-08,3.63046
2021-07-09,2.79831
2021-07-10,0.32742
2021-07-11,0.20923
2021-07-12,2.38144
2021-07-13,2.6897
2021-07-14,3.06186
2021-07-15,2.97401
2021-07-16,2.55873
2021-07-17,0.2252
2021-07-18,0.18367
2021-07-19,2.61783
2021-07-20,2.6929
2021-07-21,2.71047
2021-07-22,2.61623
2021-07-23,2.39901
2021-07-24,0.20923
2021-07-25,0.17249
2021-07-26,1.92943
2021-07-27,2.39901
2021-07-28,2.42297
2021-07-29,2.11311
2021-07-30,2.16422
2021-07-31,0.19006
2021-08-01,0.13736
2021-08-02,1.78408
2021-08-03,1.99651
2021-08-04,2.32394
2021-08-05,2.35908
2021-08-06,3.36373
2021-08-07,0.23479
2021-08-08,0.2252
2021-08-09,3.88761
2021-08-10,3.1497
2021-08-11,3.39727
2021-08-12,3.36213
2021-08-13,3.83171
2021-08-14,0.2859
2021-08-15,0.15333
2021-08-16,0.26194
2021-08-17,2.87179
2021-08-18,2.83984
2021-08-19,2.8063
2021-08-20,2.65936
2021-08-21,0.18527
2021-08-22,0.18847
2021-08-23,2.13228
2021-08-24,3.01873
2021-08-25,2.54436
2021-08-26,2.33512
2021-08-27,2.44054
2021-08-28,0.47117
2021-08-29,0.31784
2021-08-30,2.41179
2021-08-31,2.97081
2021-09-01,3.03311
2021-09-02,2.94206
2021-09-03,2.5172
2021-09-04,0.25395
2021-09-05,0.21242
2021-09-06,2.39901
2021-09-07,2.09235
2021-09-08,2.76477
2021-09-09,3.16567
2021-09-10,2.26804
2021-09-11,0.23319
2021-09-12,0.17409
2021-09-13,1.99651
2021-09-14,2.03804
2021-09-15,2.18658
2021-09-16,1.81603
2021-09-17,2.84623
2021-09-18,0.19645
2021-09-19,0.08784
2021-09-20,0.1102
2021-09-21,0.12937
2021-09-22,0.16611
2021-09-23,2.02526
2021-09-24,2.13707
2021-09-25,0.19486
2021-09-26,0.18527
2021-09-27,2.14825
2021-09-28,2.16103
2021-09-29,2.522
2021-09-30,2.42776
2021-10-01,2.08755
2021-10-02,0.14374
2021-10-03,0.08145
2021-10-04,0.1693
2021-10-05,1.82082
2021-10-06,2.13867
2021-10-07,2.05721
2021-10-08,1.83999
2021-10-09,0.13097
2021-10-10,0.07506
2021-10-11,0.12138
2021-10-12,1.68665
2021-10-13,1.83519
2021-10-14,2.03485
2021-10-15,1.98214
2021-10-16,0.15333
2021-10-17,0.13576
2021-10-18,1.78888
2021-10-19,1.64033
2021-10-20,1.68346
2021-10-21,3.44838
2021-10-22,1.7745
2021-10-23,0.1693
2021-10-24,0.15972
2021-10-25,1.65631
2021-10-26,1.80485
2021-10-27,1.65151
2021-10-28,1.61797
2021-10-29,1.91665
2021-10-30,0.14854
2021-10-31,0.14374
2021-11-01,1.6036
2021-11-02,1.602
2021-11-03,2.74401
2021-11-04,2.10193
2021-11-05,2.30478
2021-11-06,0.18847
