date,재결
2020-03-20,33.78378
2020-03-21,18.91891
2020-03-22,21.89189
2020-03-23,38.37837
2020-03-24,33.78378
2020-03-25,30.81081
2020-03-26,35.4054
2020-03-27,33.51351
2020-03-28,20.81081
2020-03-29,19.72972
2020-03-30,37.56756
2020-03-31,40.0
2020-04-01,37.56756
2020-04-02,32.97297
2020-04-03,27.56756
2020-04-04,22.97297
2020-04-05,17.83783
2020-04-06,35.13513
2020-04-07,43.24324
2020-04-08,37.56756
2020-04-09,33.51351
2020-04-10,31.08108
2020-04-11,23.51351
2020-04-12,19.18918
2020-04-13,41.08108
2020-04-14,38.91891
2020-04-15,24.32432
2020-04-16,35.94594
2020-04-17,35.13513
2020-04-18,18.37837
2020-04-19,18.37837
2020-04-20,35.94594
2020-04-21,46.48648
2020-04-22,35.4054
2020-04-23,34.86486
2020-04-24,21.08108
2020-04-25,17.02702
2020-04-26,23.78378
2020-04-27,34.59459
2020-04-28,32.43243
2020-04-29,33.78378
2020-04-30,21.89189
2020-05-01,22.16216
2020-05-02,21.35135
2020-05-03,19.45945
2020-05-04,33.51351
2020-05-05,27.56756
2020-05-06,35.67567
2020-05-07,32.16216
2020-05-08,30.27027
2020-05-09,22.16216
2020-05-10,18.91891
2020-05-11,31.35135
2020-05-12,36.48648
2020-05-13,39.18918
2020-05-14,38.64864
2020-05-15,30.81081
2020-05-16,20.81081
2020-05-17,21.62162
2020-05-18,32.16216
2020-05-19,30.81081
2020-05-20,32.97297
2020-05-21,38.37837
2020-05-22,27.56756
2020-05-23,22.43243
2020-05-24,24.86486
2020-05-25,35.94594
2020-05-26,40.27027
2020-05-27,42.97297
2020-05-28,36.48648
2020-05-29,26.21621
2020-05-30,20.27027
2020-05-31,25.13513
2020-06-01,37.29729
2020-06-02,50.0
2020-06-03,41.35135
2020-06-04,36.75675
2020-06-05,32.16216
2020-06-06,27.29729
2020-06-07,21.62162
2020-06-08,45.4054
2020-06-09,42.16216
2020-06-10,45.13513
2020-06-11,47.56756
2020-06-12,34.32432
2020-06-13,20.54054
2020-06-14,19.18918
2020-06-15,28.91891
2020-06-16,37.02702
2020-06-17,34.86486
2020-06-18,30.27027
2020-06-19,31.62162
2020-06-20,27.02702
2020-06-21,25.4054
2020-06-22,45.13513
2020-06-23,44.86486
2020-06-24,38.64864
2020-06-25,38.64864
2020-06-26,27.83783
2020-06-27,20.81081
2020-06-28,22.97297
2020-06-29,29.72972
2020-06-30,33.51351
2020-07-01,39.72972
2020-07-02,31.35135
2020-07-03,30.81081
2020-07-04,19.45945
2020-07-05,24.86486
2020-07-06,33.51351
2020-07-07,33.78378
2020-07-08,39.72972
2020-07-09,34.59459
2020-07-10,30.81081
2020-07-11,18.1081
2020-07-12,17.29729
2020-07-13,34.32432
2020-07-14,31.35135
2020-07-15,37.02702
2020-07-16,28.91891
2020-07-17,31.89189
2020-07-18,18.64864
2020-07-19,16.48648
2020-07-20,30.54054
2020-07-21,32.16216
2020-07-22,31.08108
2020-07-23,31.89189
2020-07-24,31.08108
2020-07-25,15.67567
2020-07-26,15.4054
2020-07-27,29.18918
2020-07-28,35.4054
2020-07-29,35.13513
2020-07-30,35.94594
2020-07-31,28.64864
2020-08-01,17.29729
2020-08-02,15.94594
2020-08-03,29.45945
2020-08-04,29.45945
2020-08-05,36.75675
2020-08-06,30.27027
2020-08-07,29.72972
2020-08-08,16.21621
2020-08-09,14.86486
2020-08-10,30.81081
2020-08-11,28.37837
2020-08-12,26.75675
2020-08-13,30.54054
2020-08-14,21.08108
2020-08-15,16.21621
2020-08-16,15.94594
2020-08-17,20.81081
2020-08-18,33.51351
2020-08-19,34.05405
2020-08-20,30.81081
2020-08-21,26.75675
2020-08-22,17.02702
2020-08-23,14.86486
2020-08-24,24.05405
2020-08-25,29.72972
2020-08-26,34.32432
2020-08-27,35.13513
2020-08-28,29.72972
2020-08-29,17.02702
2020-08-30,16.75675
2020-08-31,28.91891
2020-09-01,29.18918
2020-09-02,30.81081
2020-09-03,35.4054
2020-09-04,32.16216
2020-09-05,15.67567
2020-09-06,22.7027
2020-09-07,39.45945
2020-09-08,34.86486
2020-09-09,34.59459
2020-09-10,33.51351
2020-09-11,29.45945
2020-09-12,18.91891
2020-09-13,21.35135
2020-09-14,27.29729
2020-09-15,37.29729
2020-09-16,36.21621
2020-09-17,28.91891
2020-09-18,28.37837
2020-09-19,25.94594
2020-09-20,14.86486
2020-09-21,27.29729
2020-09-22,33.78378
2020-09-23,41.62162
2020-09-24,32.97297
2020-09-25,29.18918
2020-09-26,18.64864
2020-09-27,17.56756
2020-09-28,37.02702
2020-09-29,24.86486
2020-09-30,18.37837
2020-10-01,14.32432
2020-10-02,17.29729
2020-10-03,20.27027
2020-10-04,19.45945
2020-10-05,36.21621
2020-10-06,35.13513
2020-10-07,37.83783
2020-10-08,35.13513
2020-10-09,29.18918
2020-10-10,28.37837
2020-10-11,25.13513
2020-10-12,32.16216
2020-10-13,51.08108
2020-10-14,42.7027
2020-10-15,41.62162
2020-10-16,34.32432
2020-10-17,31.08108
2020-10-18,24.86486
2020-10-19,43.51351
2020-10-20,39.18918
2020-10-21,42.97297
2020-10-22,34.59459
2020-10-23,32.16216
2020-10-24,21.62162
2020-10-25,25.4054
2020-10-26,37.83783
2020-10-27,34.32432
2020-10-28,36.75675
2020-10-29,37.02702
2020-10-30,40.81081
2020-10-31,18.37837
2020-11-01,13.78378
2020-11-02,30.54054
2020-11-03,31.89189
2020-11-04,31.08108
2020-11-05,32.97297
2020-11-06,30.27027
2020-11-07,13.51351
2020-11-08,17.29729
2020-11-09,28.37837
2020-11-10,37.02702
2020-11-11,31.35135
2020-11-12,31.89189
2020-11-13,32.16216
2020-11-14,22.16216
2020-11-15,17.29729
2020-11-16,30.0
2020-11-17,27.29729
2020-11-18,33.78378
2020-11-19,31.62162
2020-11-20,31.62162
2020-11-21,24.05405
2020-11-22,17.83783
2020-11-23,30.54054
2020-11-24,31.35135
2020-11-25,30.54054
2020-11-26,42.43243
2020-11-27,28.1081
2020-11-28,19.45945
2020-11-29,16.21621
2020-11-30,39.45945
2020-12-01,33.24324
2020-12-02,32.7027
2020-12-03,40.0
2020-12-04,31.08108
2020-12-05,22.43243
2020-12-06,28.64864
2020-12-07,32.43243
2020-12-08,36.48648
2020-12-09,39.18918
2020-12-10,43.51351
2020-12-11,31.08108
2020-12-12,25.4054
2020-12-13,28.91891
2020-12-14,33.24324
2020-12-15,39.45945
2020-12-16,41.89189
2020-12-17,44.59459
2020-12-18,29.18918
2020-12-19,22.16216
2020-12-20,20.54054
2020-12-21,36.21621
2020-12-22,36.21621
2020-12-23,35.13513
2020-12-24,27.29729
2020-12-25,15.13513
2020-12-26,18.91891
2020-12-27,18.37837
2020-12-28,26.48648
2020-12-29,39.18918
2020-12-30,33.51351
2020-12-31,27.56756
2021-01-01,23.24324
2021-01-02,24.32432
2021-01-03,24.86486
2021-01-04,38.64864
2021-01-05,56.21621
2021-01-06,40.81081
2021-01-07,39.18918
2021-01-08,38.1081
2021-01-09,25.67567
2021-01-10,22.7027
2021-01-11,38.1081
2021-01-12,38.91891
2021-01-13,47.56756
2021-01-14,39.18918
2021-01-15,42.16216
2021-01-16,25.13513
2021-01-17,22.7027
2021-01-18,38.91891
2021-01-19,44.86486
2021-01-20,36.75675
2021-01-21,40.0
2021-01-22,40.27027
2021-01-23,32.16216
2021-01-24,18.91891
2021-01-25,32.97297
2021-01-26,38.91891
2021-01-27,38.91891
2021-01-28,31.08108
2021-01-29,40.54054
2021-01-30,26.21621
2021-01-31,26.48648
2021-02-01,44.59459
2021-02-02,49.18918
2021-02-03,43.51351
2021-02-04,40.0
2021-02-05,39.72972
2021-02-06,28.91891
2021-02-07,23.78378
2021-02-08,45.4054
2021-02-09,49.18918
2021-02-10,42.43243
2021-02-11,24.86486
2021-02-12,15.94594
2021-02-13,27.56756
2021-02-14,22.97297
2021-02-15,45.94594
2021-02-16,44.59459
2021-02-17,49.45945
2021-02-18,46.21621
2021-02-19,36.75675
2021-02-20,22.97297
2021-02-21,28.64864
2021-02-22,41.62162
2021-02-23,36.75675
2021-02-24,40.27027
2021-02-25,48.37837
2021-02-26,39.45945
2021-02-27,28.91891
2021-02-28,27.02702
2021-03-01,30.27027
2021-03-02,43.51351
2021-03-03,44.05405
2021-03-04,46.21621
2021-03-05,43.24324
2021-03-06,30.54054
2021-03-07,29.45945
2021-03-08,49.18918
2021-03-09,54.05405
2021-03-10,46.21621
2021-03-11,54.86486
2021-03-12,38.37837
2021-03-13,31.62162
2021-03-14,29.18918
2021-03-15,49.45945
2021-03-16,48.64864
2021-03-17,55.4054
2021-03-18,57.29729
2021-03-19,43.78378
2021-03-20,29.18918
2021-03-21,31.08108
2021-03-22,44.05405
2021-03-23,51.08108
2021-03-24,45.67567
2021-03-25,38.1081
2021-03-26,39.72972
2021-03-27,24.86486
2021-03-28,24.59459
2021-03-29,42.97297
2021-03-30,48.64864
2021-03-31,53.51351
2021-04-01,50.27027
2021-04-02,46.75675
2021-04-03,28.37837
2021-04-04,25.67567
2021-04-05,54.32432
2021-04-06,47.29729
2021-04-07,46.75675
2021-04-08,49.18918
2021-04-09,49.18918
2021-04-10,30.54054
2021-04-11,31.89189
2021-04-12,50.27027
2021-04-13,55.13513
2021-04-14,54.05405
2021-04-15,54.86486
2021-04-16,43.78378
2021-04-17,25.13513
2021-04-18,29.72972
2021-04-19,44.32432
2021-04-20,49.45945
2021-04-21,46.75675
2021-04-22,40.27027
