date,재단법인
2020-03-20,68.4039
2020-03-21,25.40716
2020-03-22,40.71661
2020-03-23,79.15309
2020-03-24,74.59283
2020-03-25,64.49511
2020-03-26,100.0
2020-03-27,65.47231
2020-03-28,37.13355
2020-03-29,38.43648
2020-03-30,73.94136
2020-03-31,67.10097
2020-04-01,67.42671
2020-04-02,66.44951
2020-04-03,55.37459
2020-04-04,34.52768
2020-04-05,37.45928
2020-04-06,62.21498
2020-04-07,73.61563
2020-04-08,61.56351
2020-04-09,60.26058
2020-04-10,55.04885
2020-04-11,25.73289
2020-04-12,35.83061
2020-04-13,61.56351
2020-04-14,68.07817
2020-04-15,31.92182
2020-04-16,65.14657
2020-04-17,71.66123
2020-04-18,32.57328
2020-04-19,37.78501
2020-04-20,66.77524
2020-04-21,69.3811
2020-04-22,72.3127
2020-04-23,74.2671
2020-04-24,58.95765
2020-04-25,29.96742
2020-04-26,30.61889
2020-04-27,62.54071
2020-04-28,62.86644
2020-04-29,63.19218
2020-04-30,31.92182
2020-05-01,38.11074
2020-05-02,29.64169
2020-05-03,27.03583
2020-05-04,41.04234
2020-05-05,38.43648
2020-05-06,69.70684
2020-05-07,65.79804
2020-05-08,57.32899
2020-05-09,28.66449
2020-05-10,36.48208
2020-05-11,64.49511
2020-05-12,78.82736
2020-05-13,60.58631
2020-05-14,77.19869
2020-05-15,61.88925
2020-05-16,28.66449
2020-05-17,33.22475
2020-05-18,75.89576
2020-05-19,72.63843
2020-05-20,75.57003
2020-05-21,66.44951
2020-05-22,71.3355
2020-05-23,28.99022
2020-05-24,41.69381
2020-05-25,63.19218
2020-05-26,70.03257
2020-05-27,81.10749
2020-05-28,57.00325
2020-05-29,73.2899
2020-05-30,35.83061
2020-05-31,35.17915
2020-06-01,61.56351
2020-06-02,64.16938
2020-06-03,67.10097
2020-06-04,71.66123
2020-06-05,58.63192
2020-06-06,26.71009
2020-06-07,31.27035
2020-06-08,59.93485
2020-06-09,71.00977
2020-06-10,69.05537
2020-06-11,67.75244
2020-06-12,65.79804
2020-06-13,36.80781
2020-06-14,38.76221
2020-06-15,51.79153
2020-06-16,58.95765
2020-06-17,61.88925
2020-06-18,68.72964
2020-06-19,64.49511
2020-06-20,34.85342
2020-06-21,38.43648
2020-06-22,66.77524
2020-06-23,72.96416
2020-06-24,61.88925
2020-06-25,74.59283
2020-06-26,59.60912
2020-06-27,20.8469
2020-06-28,34.52768
2020-06-29,67.42671
2020-06-30,66.12377
2020-07-01,58.30618
2020-07-02,64.49511
2020-07-03,57.98045
2020-07-04,23.12703
2020-07-05,33.22475
2020-07-06,62.21498
2020-07-07,59.28338
2020-07-08,70.3583
2020-07-09,64.82084
2020-07-10,58.63192
2020-07-11,24.7557
2020-07-12,29.31596
2020-07-13,57.98045
2020-07-14,62.54071
2020-07-15,63.84364
2020-07-16,54.72312
2020-07-17,58.95765
2020-07-18,33.22475
2020-07-19,26.38436
2020-07-20,59.93485
2020-07-21,74.59283
2020-07-22,65.14657
2020-07-23,62.54071
2020-07-24,61.88925
2020-07-25,26.05863
2020-07-26,23.45276
2020-07-27,64.49511
2020-07-28,71.00977
2020-07-29,62.86644
2020-07-30,61.23778
2020-07-31,50.16286
2020-08-01,27.36156
2020-08-02,28.99022
2020-08-03,51.14006
2020-08-04,58.63192
2020-08-05,50.48859
2020-08-06,50.48859
2020-08-07,42.671
2020-08-08,27.03583
2020-08-09,27.68729
2020-08-10,62.21498
2020-08-11,53.42019
2020-08-12,55.70032
2020-08-13,59.93485
2020-08-14,52.11726
2020-08-15,39.08794
2020-08-16,20.19543
2020-08-17,27.36156
2020-08-18,54.39739
2020-08-19,59.28338
2020-08-20,55.70032
2020-08-21,55.37459
2020-08-22,24.42996
2020-08-23,32.57328
2020-08-24,57.65472
2020-08-25,72.3127
2020-08-26,60.58631
2020-08-27,61.56351
2020-08-28,70.03257
2020-08-29,32.57328
2020-08-30,34.52768
2020-08-31,63.84364
2020-09-01,60.58631
2020-09-02,60.91205
2020-09-03,57.98045
2020-09-04,57.65472
2020-09-05,24.42996
2020-09-06,32.24755
2020-09-07,61.88925
2020-09-08,59.60912
2020-09-09,58.30618
2020-09-10,61.23778
2020-09-11,58.63192
2020-09-12,24.42996
2020-09-13,27.03583
2020-09-14,58.63192
2020-09-15,70.03257
2020-09-16,65.79804
2020-09-17,64.49511
2020-09-18,54.39739
2020-09-19,28.33876
2020-09-20,23.7785
2020-09-21,65.14657
2020-09-22,59.60912
2020-09-23,70.68403
2020-09-24,56.67752
2020-09-25,56.35179
2020-09-26,29.31596
2020-09-27,29.96742
2020-09-28,54.72312
2020-09-29,50.48859
2020-09-30,29.64169
2020-10-01,21.8241
2020-10-02,24.10423
2020-10-03,22.47557
2020-10-04,28.33876
2020-10-05,62.54071
2020-10-06,61.23778
2020-10-07,66.77524
2020-10-08,62.21498
2020-10-09,32.57328
2020-10-10,30.61889
2020-10-11,30.94462
2020-10-12,64.49511
2020-10-13,60.26058
2020-10-14,65.14657
2020-10-15,65.79804
2020-10-16,65.14657
2020-10-17,25.73289
2020-10-18,40.39087
2020-10-19,67.75244
2020-10-20,72.63843
2020-10-21,62.21498
2020-10-22,73.94136
2020-10-23,47.557
2020-10-24,25.73289
2020-10-25,36.80781
2020-10-26,66.77524
2020-10-27,73.2899
2020-10-28,55.04885
2020-10-29,61.23778
2020-10-30,52.44299
2020-10-31,27.68729
2020-11-01,26.38436
2020-11-02,60.58631
2020-11-03,54.39739
2020-11-04,53.09446
2020-11-05,64.82084
2020-11-06,51.14006
2020-11-07,32.24755
2020-11-08,29.64169
2020-11-09,60.58631
2020-11-10,66.77524
2020-11-11,68.07817
2020-11-12,62.21498
2020-11-13,58.95765
2020-11-14,26.71009
2020-11-15,35.17915
2020-11-16,58.95765
2020-11-17,62.21498
2020-11-18,58.95765
2020-11-19,69.3811
2020-11-20,56.02605
2020-11-21,38.76221
2020-11-22,42.01954
2020-11-23,67.42671
2020-11-24,60.26058
2020-11-25,64.82084
2020-11-26,54.07166
2020-11-27,53.42019
2020-11-28,31.92182
2020-11-29,39.41368
2020-11-30,54.39739
2020-12-01,60.91205
2020-12-02,63.84364
2020-12-03,57.00325
2020-12-04,66.12377
2020-12-05,27.68729
2020-12-06,28.99022
2020-12-07,61.88925
2020-12-08,72.3127
2020-12-09,66.44951
2020-12-10,71.66123
2020-12-11,65.79804
2020-12-12,34.52768
2020-12-13,36.15635
2020-12-14,64.49511
2020-12-15,75.89576
2020-12-16,62.54071
