date,재택
2020-03-20,31.69565
2020-03-21,16.65217
2020-03-22,16.13043
2020-03-23,44.91304
2020-03-24,31.13043
2020-03-25,31.3913
2020-03-26,27.73913
2020-03-27,23.91304
2020-03-28,8.21739
2020-03-29,9.65217
2020-03-30,25.7826
2020-03-31,27.04347
2020-04-01,26.17391
2020-04-02,25.7826
2020-04-03,28.7826
2020-04-04,11.17391
2020-04-05,8.95652
2020-04-06,19.56521
2020-04-07,24.13043
2020-04-08,29.08695
2020-04-09,19.86956
2020-04-10,15.7826
2020-04-11,5.43478
2020-04-12,5.04347
2020-04-13,13.91304
2020-04-14,13.47826
2020-04-15,5.86956
2020-04-16,11.91304
2020-04-17,11.86956
2020-04-18,4.69565
2020-04-19,6.47826
2020-04-20,14.21739
2020-04-21,11.3913
2020-04-22,10.08695
2020-04-23,9.95652
2020-04-24,10.95652
2020-04-25,3.82608
2020-04-26,3.3913
2020-04-27,9.82608
2020-04-28,9.65217
2020-04-29,9.21739
2020-04-30,2.95652
2020-05-01,3.91304
2020-05-02,2.17391
2020-05-03,3.08695
2020-05-04,6.26086
2020-05-05,3.52173
2020-05-06,7.43478
2020-05-07,6.95652
2020-05-08,8.26086
2020-05-09,4.17391
2020-05-10,7.47826
2020-05-11,16.65217
2020-05-12,12.52173
2020-05-13,13.04347
2020-05-14,14.69565
2020-05-15,9.7826
2020-05-16,2.43478
2020-05-17,4.0
2020-05-18,9.13043
2020-05-19,6.91304
2020-05-20,7.69565
2020-05-21,7.56521
2020-05-22,7.26086
2020-05-23,3.95652
2020-05-24,3.91304
2020-05-25,8.13043
2020-05-26,7.43478
2020-05-27,7.73913
2020-05-28,13.34782
2020-05-29,11.82608
2020-05-30,3.3913
2020-05-31,4.30434
2020-06-01,10.69565
2020-06-02,8.17391
2020-06-03,6.91304
2020-06-04,6.95652
2020-06-05,6.04347
2020-06-06,2.52173
2020-06-07,2.91304
2020-06-08,6.95652
2020-06-09,7.30434
2020-06-10,7.7826
2020-06-11,6.86956
2020-06-12,7.56521
2020-06-13,3.04347
2020-06-14,3.7826
2020-06-15,7.26086
2020-06-16,6.7826
2020-06-17,7.56521
2020-06-18,5.47826
2020-06-19,5.86956
2020-06-20,2.43478
2020-06-21,3.0
2020-06-22,7.3913
2020-06-23,6.95652
2020-06-24,6.69565
2020-06-25,6.47826
2020-06-26,6.0
2020-06-27,2.21739
2020-06-28,3.47826
2020-06-29,7.04347
2020-06-30,6.13043
2020-07-01,8.0
2020-07-02,7.17391
2020-07-03,10.17391
2020-07-04,4.69565
2020-07-05,5.08695
2020-07-06,8.3913
2020-07-07,7.04347
2020-07-08,8.56521
2020-07-09,8.73913
2020-07-10,8.13043
2020-07-11,3.30434
2020-07-12,2.56521
2020-07-13,7.56521
2020-07-14,7.65217
2020-07-15,6.3913
2020-07-16,7.0
2020-07-17,5.17391
2020-07-18,2.30434
2020-07-19,2.56521
2020-07-20,6.69565
2020-07-21,6.82608
2020-07-22,8.30434
2020-07-23,6.13043
2020-07-24,6.69565
2020-07-25,2.60869
2020-07-26,2.60869
2020-07-27,6.13043
2020-07-28,7.34782
2020-07-29,5.95652
2020-07-30,7.26086
2020-07-31,5.0
2020-08-01,1.73913
2020-08-02,2.3913
2020-08-03,6.69565
2020-08-04,6.13043
2020-08-05,5.56521
