date,재택근무직업
2020-03-20,64.84848
2020-03-21,61.21212
2020-03-22,52.72727
2020-03-23,78.18181
2020-03-24,73.63636
2020-03-25,60.30303
2020-03-26,63.93939
2020-03-27,60.60606
2020-03-28,42.42424
2020-03-29,41.21212
2020-03-30,65.15151
2020-03-31,62.72727
2020-04-01,55.15151
2020-04-02,53.33333
2020-04-03,53.93939
2020-04-04,40.60606
2020-04-05,48.78787
2020-04-06,60.30303
2020-04-07,66.0606
2020-04-08,63.63636
2020-04-09,43.93939
2020-04-10,40.60606
2020-04-11,29.0909
2020-04-12,42.42424
2020-04-13,53.93939
2020-04-14,53.33333
2020-04-15,36.36363
2020-04-16,41.81818
2020-04-17,36.96969
2020-04-18,27.57575
2020-04-19,39.0909
2020-04-20,46.66666
2020-04-21,44.54545
2020-04-22,45.75757
2020-04-23,43.0303
2020-04-24,38.18181
2020-04-25,24.54545
2020-04-26,31.21212
2020-04-27,52.42424
2020-04-28,42.12121
2020-04-29,38.78787
2020-04-30,19.69696
2020-05-01,20.60606
2020-05-02,19.39393
2020-05-03,29.0909
2020-05-04,39.69696
2020-05-05,38.48484
2020-05-06,40.30303
2020-05-07,34.84848
2020-05-08,33.33333
2020-05-09,20.60606
2020-05-10,27.87878
2020-05-11,47.27272
2020-05-12,41.81818
2020-05-13,37.87878
2020-05-14,34.84848
2020-05-15,34.84848
2020-05-16,16.96969
2020-05-17,24.54545
2020-05-18,45.45454
2020-05-19,40.30303
2020-05-20,40.30303
2020-05-21,34.24242
2020-05-22,37.57575
2020-05-23,32.72727
2020-05-24,34.54545
2020-05-25,51.51515
2020-05-26,43.33333
2020-05-27,41.21212
2020-05-28,36.96969
2020-05-29,31.21212
2020-05-30,16.66666
2020-05-31,25.75757
2020-06-01,50.0
2020-06-02,39.69696
2020-06-03,44.54545
2020-06-04,46.0606
2020-06-05,39.0909
2020-06-06,20.90909
2020-06-07,30.90909
2020-06-08,40.0
2020-06-09,39.0909
2020-06-10,40.90909
2020-06-11,33.63636
2020-06-12,30.30303
2020-06-13,25.75757
2020-06-14,27.87878
2020-06-15,43.33333
2020-06-16,31.81818
2020-06-17,35.15151
2020-06-18,33.93939
2020-06-19,29.0909
2020-06-20,18.48484
2020-06-21,33.33333
2020-06-22,43.93939
2020-06-23,40.60606
2020-06-24,34.84848
2020-06-25,29.0909
2020-06-26,24.54545
2020-06-27,19.39393
2020-06-28,31.51515
2020-06-29,32.12121
2020-06-30,33.93939
2020-07-01,24.24242
2020-07-02,32.12121
2020-07-03,26.36363
2020-07-04,21.51515
2020-07-05,34.84848
2020-07-06,40.60606
2020-07-07,47.57575
2020-07-08,35.45454
2020-07-09,36.96969
2020-07-10,28.48484
2020-07-11,19.39393
2020-07-12,25.75757
2020-07-13,44.84848
2020-07-14,39.69696
2020-07-15,34.84848
2020-07-16,31.21212
2020-07-17,30.30303
2020-07-18,18.18181
2020-07-19,33.0303
2020-07-20,55.75757
2020-07-21,42.42424
2020-07-22,39.0909
2020-07-23,50.0
2020-07-24,38.18181
2020-07-25,31.51515
2020-07-26,33.93939
2020-07-27,57.87878
2020-07-28,46.66666
2020-07-29,46.0606
2020-07-30,40.0
2020-07-31,40.90909
2020-08-01,31.81818
2020-08-02,33.33333
2020-08-03,58.18181
2020-08-04,41.81818
2020-08-05,40.60606
2020-08-06,56.66666
2020-08-07,42.42424
2020-08-08,34.54545
2020-08-09,48.78787
2020-08-10,55.75757
2020-08-11,55.75757
2020-08-12,48.78787
2020-08-13,45.15151
2020-08-14,44.84848
2020-08-15,28.18181
2020-08-16,30.30303
2020-08-17,38.78787
2020-08-18,59.69696
2020-08-19,72.12121
2020-08-20,60.90909
2020-08-21,66.36363
2020-08-22,36.66666
2020-08-23,47.27272
2020-08-24,100.0
2020-08-25,81.81818
2020-08-26,70.0
2020-08-27,89.69696
2020-08-28,66.66666
2020-08-29,57.87878
2020-08-30,52.72727
2020-08-31,92.72727
2020-09-01,77.57575
2020-09-02,69.39393
2020-09-03,65.75757
2020-09-04,64.24242
2020-09-05,42.72727
2020-09-06,52.12121
2020-09-07,63.0303
2020-09-08,66.0606
2020-09-09,56.96969
2020-09-10,53.33333
2020-09-11,43.0303
2020-09-12,33.63636
2020-09-13,42.12121
2020-09-14,48.18181
2020-09-15,46.0606
2020-09-16,52.42424
2020-09-17,50.90909
2020-09-18,40.30303
2020-09-19,26.96969
2020-09-20,39.39393
2020-09-21,47.27272
2020-09-22,38.18181
2020-09-23,37.87878
2020-09-24,36.36363
2020-09-25,28.48484
2020-09-26,22.72727
2020-09-27,25.45454
2020-09-28,37.57575
2020-09-29,29.0909
2020-09-30,20.0
2020-10-01,14.84848
2020-10-02,26.36363
2020-10-03,20.30303
2020-10-04,35.45454
2020-10-05,43.0303
2020-10-06,45.75757
2020-10-07,51.21212
