date,재택모니터링
2020-03-23,2.04081
2020-03-26,1.70068
2020-03-30,2.38095
2020-03-31,1.70068
2020-04-01,1.70068
2020-04-07,1.70068
2020-04-10,1.70068
2020-04-13,1.70068
2020-04-16,2.04081
2020-04-19,1.70068
2020-04-20,2.72108
2020-04-21,1.70068
2020-04-25,1.70068
2020-04-28,2.04081
2020-05-05,2.04081
2020-05-08,1.70068
2020-05-11,3.06122
2020-05-14,2.04081
2020-05-31,1.70068
2020-06-01,1.70068
2020-06-04,1.70068
2020-06-15,3.74149
2020-06-21,2.04081
2020-06-22,3.74149
2020-06-23,2.38095
2020-06-25,1.70068
2020-06-30,2.72108
2020-07-01,3.40136
2020-07-05,2.04081
2020-07-06,1.70068
2020-07-07,2.04081
2020-07-08,1.70068
2020-07-09,3.40136
2020-07-14,1.70068
2020-07-16,2.38095
2020-07-20,3.06122
2020-07-21,2.04081
2020-07-27,2.04081
2020-07-28,4.08163
2020-07-31,2.38095
2020-09-12,2.04081
2020-09-28,2.38095
2020-10-10,1.70068
2020-10-11,1.70068
2020-10-14,1.70068
2020-10-15,2.38095
2020-10-17,2.38095
2020-11-07,2.38095
2020-11-12,1.70068
2020-11-25,2.38095
2020-12-15,2.38095
2020-12-18,1.70068
2020-12-21,1.70068
2020-12-29,3.74149
2020-12-30,1.70068
2021-01-03,1.70068
2021-01-04,2.38095
2021-01-08,2.72108
2021-01-11,2.04081
2021-01-13,5.10204
2021-01-14,1.70068
2021-01-15,1.70068
2021-01-20,1.70068
2021-01-21,1.70068
2021-01-22,5.78231
2021-01-25,1.70068
2021-01-27,3.74149
2021-01-28,2.72108
2021-01-29,2.38095
2021-01-30,1.70068
2021-02-01,3.74149
2021-02-02,3.40136
2021-02-03,4.7619
2021-02-04,2.04081
2021-02-05,2.38095
2021-02-06,3.06122
2021-02-07,1.70068
2021-02-08,4.08163
2021-02-09,2.04081
2021-02-10,3.06122
2021-02-15,7.14285
2021-02-16,3.40136
2021-02-17,3.40136
2021-02-22,4.08163
2021-03-01,2.38095
2021-03-02,2.04081
2021-03-04,1.70068
2021-03-05,2.04081
2021-03-08,4.7619
2021-03-10,1.70068
2021-03-11,4.7619
2021-03-12,4.08163
2021-03-14,1.70068
2021-03-15,3.06122
2021-03-16,2.04081
2021-03-20,1.70068
2021-03-22,4.08163
2021-03-23,2.38095
2021-03-24,1.70068
2021-03-25,2.38095
2021-03-29,1.70068
2021-04-05,1.70068
2021-04-07,1.70068
2021-04-14,3.06122
2021-04-19,2.72108
2021-04-22,2.38095
2021-05-04,2.04081
2021-05-07,2.04081
2021-05-11,2.04081
2021-05-12,4.08163
2021-05-18,2.38095
2021-05-26,1.70068
2021-05-29,1.70068
2021-06-03,4.7619
2021-06-11,2.72108
2021-06-22,3.40136
2021-06-23,3.06122
2021-06-24,2.38095
2021-07-05,1.70068
2021-07-12,1.70068
2021-07-18,2.72108
2021-07-27,1.70068
2021-08-05,2.38095
2021-08-10,1.70068
2021-08-12,5.44217
2021-08-15,2.38095
2021-08-16,2.04081
2021-08-18,3.40136
2021-08-25,2.04081
2021-08-26,3.40136
2021-09-12,1.70068
2021-09-14,2.72108
2021-10-05,2.38095
2021-10-15,2.04081
2021-10-18,2.38095
2021-11-01,1.70068
2021-11-19,1.70068
2021-11-29,2.04081
2021-12-01,1.70068
2021-12-08,3.40136
2021-12-10,1.70068
2021-12-12,2.72108
2021-12-20,1.70068
2021-12-21,2.72108
2021-12-25,1.70068
2021-12-28,4.42176
2021-12-29,3.06122
2021-12-31,2.72108
2022-01-03,2.04081
2022-01-05,1.70068
2022-01-06,4.08163
2022-01-07,3.06122
2022-01-09,2.38095
2022-01-10,3.74149
2022-01-11,1.70068
2022-01-14,2.04081
2022-01-16,1.70068
2022-01-17,1.70068
2022-01-19,2.04081
2022-01-20,1.70068
2022-01-24,2.04081
2022-01-25,2.38095
2022-01-26,4.7619
2022-01-27,4.42176
2022-01-28,5.44217
2022-01-29,3.06122
2022-01-30,3.40136
2022-01-31,1.70068
2022-02-01,2.04081
2022-02-02,6.80272
2022-02-03,6.80272
2022-02-04,5.78231
2022-02-05,3.74149
2022-02-06,4.42176
2022-02-07,13.2653
2022-02-08,8.5034
2022-02-09,6.12244
2022-02-10,5.10204
2022-02-11,3.74149
2022-02-12,1.70068
2022-02-13,2.38095
2022-02-14,5.78231
2022-02-15,5.78231
2022-02-16,4.42176
2022-02-17,1.70068
2022-02-19,1.70068
2022-02-20,2.38095
2022-02-21,5.10204
2022-02-22,4.08163
2022-02-23,5.10204
2022-02-24,2.38095
2022-02-26,1.70068
2022-03-01,6.12244
2022-03-02,5.10204
2022-03-03,5.44217
2022-03-04,5.78231
2022-03-05,3.40136
2022-03-06,7.82312
2022-03-07,9.86394
2022-03-08,9.86394
2022-03-09,3.74149
2022-03-10,7.14285
2022-03-11,4.42176
2022-03-12,3.06122
2022-03-13,4.42176
2022-03-14,15.64625
2022-03-15,7.82312
2022-03-16,9.18367
2022-03-17,8.5034
2022-03-18,6.80272
2022-03-19,6.80272
2022-03-20,2.72108
2022-03-21,10.20408
2022-03-22,14.96598
2022-03-23,10.54421
2022-03-24,11.90476
2022-03-25,10.54421
2022-03-26,6.12244
2022-03-27,4.42176
2022-03-28,6.46258
2022-03-29,8.5034
2022-03-30,5.78231
2022-03-31,7.48299
2022-04-01,5.44217
2022-04-02,4.08163
2022-04-05,6.12244
2022-04-06,3.40136
2022-04-07,2.38095
2022-04-08,2.72108
2022-04-10,1.70068
2022-04-11,3.74149
2022-04-12,2.72108
2022-04-13,2.04081
2022-04-14,5.10204
2022-04-15,4.7619
2022-04-17,2.72108
2022-04-18,3.74149
2022-04-20,2.38095
2022-04-25,1.70068
2022-04-27,2.72108
2022-05-03,13.2653
2022-05-04,1.70068
2022-05-05,1.70068
2022-05-16,2.04081
2022-05-19,2.04081
2022-05-20,3.06122
2022-05-23,1.70068
2022-06-09,1.70068
2022-06-10,2.04081
2022-06-14,2.04081
2022-06-15,2.04081
2022-06-16,2.04081
2022-06-24,1.70068
2022-06-27,1.70068
2022-06-28,3.74149
2022-07-11,1.70068
2022-07-14,2.04081
2022-07-17,2.04081
2022-07-23,2.04081
2022-07-28,1.70068
2022-08-01,7.48299
2022-08-02,2.04081
2022-08-07,1.70068
2022-08-11,1.70068
2022-08-19,2.04081
2022-08-23,2.04081
2022-08-29,2.04081
2022-09-07,1.70068
2022-09-16,2.04081
2022-09-17,1.70068
2022-09-21,1.70068
2022-09-25,1.70068
2022-11-02,2.72108
2022-11-08,3.06122
2022-11-21,2.04081
2022-11-22,2.04081
2022-11-23,2.04081
2022-11-28,1.70068
2022-11-29,2.04081
2022-11-30,1.70068
2022-12-01,2.04081
2022-12-02,2.04081
2022-12-05,1.70068
2022-12-13,1.70068
2022-12-14,2.38095
2022-12-16,3.06122
2022-12-21,3.40136
2022-12-22,2.72108
2022-12-23,2.38095
2022-12-25,2.38095
2022-12-26,2.38095
2022-12-27,3.40136
