date,저PBR
2020-03-20,0.63932
2020-03-21,0.84439
2020-03-22,0.79613
2020-03-23,0.74788
2020-03-24,0.82026
2020-03-25,0.386
2020-03-26,0.68757
2020-03-27,0.45838
2020-03-28,0.51869
2020-03-29,0.53075
2020-03-30,0.45838
2020-03-31,0.53075
2020-04-01,0.53075
2020-04-02,0.4825
2020-04-03,0.44632
2020-04-04,0.50663
2020-04-05,0.31363
2020-04-06,0.67551
2020-04-07,0.7117
2020-04-08,0.9047
2020-04-09,1.17008
2020-04-10,0.78407
2020-04-11,1.30277
2020-04-12,1.03739
2020-04-13,1.0012
2020-04-14,0.79613
2020-04-15,0.55488
2020-04-16,0.45838
2020-04-17,0.66344
2020-04-18,0.55488
2020-04-19,0.42219
2020-04-20,0.85645
2020-04-21,0.53075
2020-04-22,0.67551
2020-04-23,0.37394
2020-04-24,0.2895
2020-04-25,0.16887
2020-04-26,0.24125
2020-04-27,0.53075
2020-04-28,0.53075
2020-04-29,0.73582
2020-04-30,0.72376
2020-05-01,0.45838
2020-05-02,0.66344
2020-05-03,0.63932
2020-05-04,0.47044
2020-05-05,0.43425
2020-05-06,0.32569
2020-05-07,0.36188
2020-05-08,0.33775
2020-05-09,0.21712
2020-05-10,0.33775
2020-05-11,0.31363
2020-05-12,0.25331
2020-05-13,0.24125
2020-05-14,0.42219
2020-05-15,0.193
2020-05-16,0.16887
2020-05-17,0.15681
2020-05-18,0.36188
2020-05-19,0.193
2020-05-20,0.34981
2020-05-21,0.21712
2020-05-22,0.34981
2020-05-23,0.14475
2020-05-24,0.32569
2020-05-25,0.37394
2020-05-26,0.36188
2020-05-27,0.33775
2020-05-28,0.44632
2020-05-29,0.31363
2020-05-30,0.2895
2020-05-31,0.33775
2020-06-01,0.44632
2020-06-02,0.44632
2020-06-03,0.62726
2020-06-04,0.31363
2020-06-05,0.22919
2020-06-06,0.34981
2020-06-07,0.30156
2020-06-08,0.4825
2020-06-09,0.42219
2020-06-10,0.386
2020-06-11,0.27744
2020-06-12,0.30156
2020-06-13,0.24125
2020-06-14,0.07237
2020-06-15,0.20506
2020-06-16,0.08443
2020-06-17,0.18094
2020-06-18,0.21712
2020-06-19,0.34981
2020-06-20,0.22919
2020-06-21,0.18094
2020-06-22,0.31363
2020-06-23,0.21712
2020-06-24,0.13268
2020-06-25,0.14475
2020-06-26,0.15681
2020-06-29,0.20506
2020-06-30,0.21712
2020-07-01,0.193
2020-07-02,0.07237
2020-07-03,0.18094
2020-07-04,0.10856
2020-07-05,0.20506
2020-07-06,0.13268
2020-07-07,0.20506
2020-07-08,0.22919
2020-07-09,0.193
2020-07-10,0.24125
