date,저작권료
2020-03-20,16.93907
2020-03-21,25.5572
2020-03-22,18.87072
2020-03-23,17.68202
2020-03-24,21.6939
2020-03-25,15.15601
2020-03-26,14.71025
2020-03-27,16.93907
2020-03-28,25.70579
2020-03-29,23.17979
2020-03-30,18.72213
2020-03-31,13.07578
2020-04-01,13.67013
2020-04-02,13.67013
2020-04-03,15.45319
2020-04-04,16.6419
2020-04-05,16.49331
2020-04-06,15.45319
2020-04-07,16.6419
2020-04-08,15.00742
2020-04-09,12.7786
2020-04-10,14.11589
2020-04-11,16.19613
2020-04-12,15.15601
2020-04-13,14.41307
2020-04-14,14.85884
2020-04-15,15.60178
2020-04-16,17.38484
2020-04-17,18.57355
2020-04-18,14.26448
2020-04-19,15.89895
2020-04-20,15.15601
2020-04-21,16.93907
2020-04-22,13.81872
2020-04-23,13.52154
2020-04-24,16.04754
2020-04-25,10.99554
2020-04-26,17.53343
2020-04-27,13.07578
2020-04-28,12.33283
2020-04-29,24.36849
2020-04-30,10.99554
2020-05-01,12.63001
2020-05-02,13.37295
2020-05-03,16.04754
2020-05-04,13.96731
2020-05-05,16.79049
2020-05-06,13.22436
2020-05-07,11.88707
2020-05-08,10.99554
2020-05-09,12.92719
2020-05-10,9.95542
2020-05-11,13.81872
2020-05-12,14.11589
2020-05-13,13.96731
2020-05-14,19.1679
2020-05-15,13.67013
2020-05-16,13.81872
2020-05-17,13.67013
2020-05-18,14.71025
2020-05-19,14.11589
2020-05-20,13.67013
2020-05-21,10.54977
2020-05-22,16.34472
2020-05-23,12.92719
2020-05-24,17.53343
2020-05-25,16.34472
2020-05-26,17.53343
2020-05-27,11.29271
2020-05-28,14.71025
2020-05-29,11.58989
2020-05-30,12.92719
2020-05-31,15.00742
2020-06-01,11.88707
2020-06-02,19.61367
2020-06-03,11.58989
2020-06-04,14.41307
2020-06-05,12.03566
2020-06-06,11.29271
2020-06-07,9.80683
2020-06-08,11.58989
2020-06-09,12.7786
2020-06-10,11.88707
2020-06-11,11.14413
2020-06-12,9.80683
2020-06-13,12.7786
2020-06-14,12.18424
2020-06-15,19.1679
2020-06-16,14.85884
2020-06-17,8.9153
2020-06-18,12.92719
2020-06-19,8.02377
2020-06-20,7.42942
2020-06-21,11.14413
2020-06-22,11.58989
2020-06-23,11.4413
2020-06-24,8.32095
2020-06-25,12.92719
2020-06-26,11.29271
2020-06-27,7.42942
2020-06-28,9.21248
2020-06-29,11.88707
2020-06-30,12.48142
2020-07-01,30.7578
2020-07-02,13.07578
2020-07-03,9.06389
2020-07-04,7.28083
2020-07-05,8.17236
2020-07-06,10.10401
2020-07-07,12.33283
2020-07-08,23.92273
2020-07-09,10.40118
2020-07-10,8.9153
2020-07-11,10.40118
2020-07-12,12.33283
2020-07-13,17.97919
2020-07-14,15.3046
2020-07-15,13.07578
2020-07-16,16.49331
2020-07-17,13.52154
2020-07-18,11.4413
2020-07-19,13.67013
2020-07-20,14.11589
2020-07-21,11.88707
2020-07-22,9.80683
2020-07-23,11.58989
2020-07-24,12.03566
2020-07-25,9.80683
2020-07-26,12.92719
2020-07-27,12.92719
2020-07-28,12.03566
2020-07-29,9.95542
2020-07-30,8.76671
2020-07-31,10.40118
2020-08-01,7.87518
2020-08-02,9.65824
2020-08-03,10.40118
2020-08-04,9.21248
2020-08-05,9.06389
2020-08-06,11.29271
2020-08-07,11.73848
2020-08-08,14.71025
2020-08-09,9.36106
2020-08-10,9.95542
2020-08-11,13.52154
2020-08-12,12.7786
2020-08-13,10.54977
2020-08-14,10.69836
2020-08-15,12.48142
2020-08-16,9.50965
2020-08-17,8.46953
2020-08-18,8.02377
2020-08-19,8.46953
2020-08-20,7.72659
2020-08-21,11.14413
2020-08-22,10.84695
2020-08-23,9.80683
2020-08-24,10.40118
2020-08-25,7.28083
2020-08-26,9.36106
2020-08-27,10.54977
2020-08-28,10.54977
2020-08-29,14.41307
2020-08-30,14.26448
2020-08-31,12.92719
2020-09-01,9.50965
2020-09-02,12.18424
2020-09-03,10.99554
2020-09-04,10.84695
2020-09-05,10.40118
2020-09-06,10.84695
2020-09-07,12.48142
2020-09-08,8.17236
2020-09-09,9.06389
2020-09-10,11.73848
2020-09-11,10.10401
2020-09-12,9.65824
2020-09-13,15.45319
2020-09-14,12.33283
2020-09-15,10.84695
2020-09-16,10.2526
2020-09-17,9.21248
2020-09-18,11.58989
2020-09-19,7.578
2020-09-20,8.46953
2020-09-21,15.89895
2020-09-22,13.67013
2020-09-23,14.71025
2020-09-24,11.4413
2020-09-25,10.99554
2020-09-26,11.4413
2020-09-27,11.29271
2020-09-28,15.89895
2020-09-29,14.11589
2020-09-30,38.48439
2020-10-01,27.48885
2020-10-02,21.84249
2020-10-03,16.79049
2020-10-04,19.46508
2020-10-05,15.3046
2020-10-06,16.19613
2020-10-07,17.23625
2020-10-08,15.75037
2020-10-09,11.58989
2020-10-10,8.32095
2020-10-11,13.52154
2020-10-12,15.60178
