date,적금이율
2020-03-20,27.41702
2020-03-21,14.35786
2020-03-22,14.06926
2020-03-23,30.01443
2020-03-24,25.39682
2020-03-25,34.19913
2020-03-26,31.45743
2020-03-27,26.55122
2020-03-28,14.71861
2020-03-29,14.79076
2020-03-30,32.25108
2020-03-31,30.51948
2020-04-01,32.90043
2020-04-02,27.48917
2020-04-03,25.10822
2020-04-04,11.90476
2020-04-05,12.91486
2020-04-06,22.72727
2020-04-07,26.55122
2020-04-08,23.73737
2020-04-09,23.80952
2020-04-10,26.91197
2020-04-11,13.78066
2020-04-12,14.50216
2020-04-13,26.11832
2020-04-14,21.78932
2020-04-15,17.09956
2020-04-16,30.15873
2020-04-17,27.99422
2020-04-18,14.06926
2020-04-19,17.02741
2020-04-20,32.10678
2020-04-21,34.55988
2020-04-22,31.09668
2020-04-23,28.13852
2020-04-24,28.28282
2020-04-25,16.08946
2020-04-26,14.64646
2020-04-27,27.92207
2020-04-28,27.70562
2020-04-29,24.17027
2020-04-30,12.33766
2020-05-01,15.65656
2020-05-02,11.32756
2020-05-03,12.98701
2020-05-04,29.50937
2020-05-05,15.44011
2020-05-06,27.77777
2020-05-07,20.27417
2020-05-08,21.13997
2020-05-09,12.04906
2020-05-10,13.05916
2020-05-11,25.46897
2020-05-12,23.52092
2020-05-13,24.02597
2020-05-14,23.59307
2020-05-15,24.24242
2020-05-16,13.05916
2020-05-17,11.68831
2020-05-18,23.59307
2020-05-19,25.25252
2020-05-20,22.51082
2020-05-21,25.68542
2020-05-22,22.36652
2020-05-23,11.47186
2020-05-24,14.86291
2020-05-25,37.51803
2020-05-26,29.65367
2020-05-27,23.80952
2020-05-28,24.67532
2020-05-29,23.44877
2020-05-30,10.82251
2020-05-31,14.06926
2020-06-01,27.77777
2020-06-02,24.38672
2020-06-03,26.69552
2020-06-04,25.82972
2020-06-05,21.42857
2020-06-06,11.25541
2020-06-07,11.68831
2020-06-08,24.38672
2020-06-09,23.80952
2020-06-10,27.20057
2020-06-11,20.70707
2020-06-12,18.90331
2020-06-13,9.88455
2020-06-14,12.26551
2020-06-15,24.60317
2020-06-16,22.65512
2020-06-17,20.77922
2020-06-18,21.35642
2020-06-19,22.00577
2020-06-20,11.32756
2020-06-21,7.9365
2020-06-22,24.81962
2020-06-23,21.50072
2020-06-24,20.05772
2020-06-25,26.98412
2020-06-26,20.41847
2020-06-27,11.18326
2020-06-28,12.69841
2020-06-29,23.01587
2020-06-30,27.05627
2020-07-01,26.62337
2020-07-02,25.75757
2020-07-03,21.35642
2020-07-04,10.60606
2020-07-05,13.13131
2020-07-06,26.69552
2020-07-07,24.74747
2020-07-08,25.18037
2020-07-09,23.37662
2020-07-10,23.30447
2020-07-11,10.75036
2020-07-12,13.13131
2020-07-13,24.53102
2020-07-14,21.93362
2020-07-15,28.71572
2020-07-16,22.15007
2020-07-17,20.12987
2020-07-18,10.67821
2020-07-19,10.46176
2020-07-20,22.94372
2020-07-21,22.65512
2020-07-22,21.71717
2020-07-23,21.64502
2020-07-24,22.15007
2020-07-25,11.97691
2020-07-26,12.33766
2020-07-27,23.44877
2020-07-28,24.60317
2020-07-29,21.21212
2020-07-30,19.40836
2020-07-31,18.75901
2020-08-01,13.34776
2020-08-02,10.17316
2020-08-03,21.28427
2020-08-04,24.38672
2020-08-05,22.36652
2020-08-06,20.34632
2020-08-07,17.60461
2020-08-08,8.8023
2020-08-09,10.02886
2020-08-10,24.09812
2020-08-11,21.28427
2020-08-12,22.29437
2020-08-13,21.50072
2020-08-14,19.04761
2020-08-15,9.0909
2020-08-16,9.45165
2020-08-17,12.77056
2020-08-18,22.00577
2020-08-19,26.26262
2020-08-20,25.54112
2020-08-21,19.62481
2020-08-22,9.88455
2020-08-23,9.88455
2020-08-24,21.42857
2020-08-25,31.38528
2020-08-26,27.99422
2020-08-27,25.25252
2020-08-28,20.41847
2020-08-29,12.40981
2020-08-30,12.04906
2020-08-31,24.09812
2020-09-01,24.96392
2020-09-02,22.29437
2020-09-03,20.41847
2020-09-04,17.89321
2020-09-05,9.0909
2020-09-06,11.68831
2020-09-07,19.04761
2020-09-08,21.42857
2020-09-09,20.05772
2020-09-10,21.78932
2020-09-11,19.40836
2020-09-12,10.02886
2020-09-13,10.53391
2020-09-14,20.49062
2020-09-15,20.92352
2020-09-16,22.72727
2020-09-17,20.05772
2020-09-18,17.31601
2020-09-19,10.53391
2020-09-20,11.39971
2020-09-21,22.07792
2020-09-22,21.64502
2020-09-23,18.97546
2020-09-24,19.33621
2020-09-25,22.58297
2020-09-26,12.48196
2020-09-27,11.54401
2020-09-28,21.78932
2020-09-29,22.43867
2020-09-30,10.89466
2020-10-01,9.6681
2020-10-02,7.86435
2020-10-03,10.31746
2020-10-04,13.85281
2020-10-05,30.23088
2020-10-06,26.62337
2020-10-07,24.24242
2020-10-08,20.92352
2020-10-09,11.25541
2020-10-10,11.97691
2020-10-11,10.46176
2020-10-12,23.95382
2020-10-13,24.31457
2020-10-14,21.93362
2020-10-15,21.86147
2020-10-16,19.04761
2020-10-17,10.53391
2020-10-18,10.53391
2020-10-19,18.54256
2020-10-20,21.86147
2020-10-21,21.71717
2020-10-22,21.57287
2020-10-23,23.44877
2020-10-24,11.18326
2020-10-25,11.97691
2020-10-26,24.89177
2020-10-27,23.16017
2020-10-28,24.09812
2020-10-29,20.85137
2020-10-30,18.61471
2020-10-31,8.658
2020-11-01,13.27561
2020-11-02,20.49062
2020-11-03,19.04761
2020-11-04,17.60461
2020-11-05,20.77922
2020-11-06,18.90331
2020-11-07,9.6681
2020-11-08,9.88455
2020-11-09,18.03751
2020-11-10,23.88167
2020-11-11,23.44877
2020-11-12,24.17027
2020-11-13,18.32611
2020-11-14,9.9567
2020-11-15,11.47186
2020-11-16,19.69696
2020-11-17,20.99567
2020-11-18,19.48051
2020-11-19,18.47041
2020-11-20,17.82106
2020-11-21,10.96681
2020-11-22,12.48196
2020-11-23,20.27417
2020-11-24,19.84126
2020-11-25,27.77777
2020-11-26,21.50072
2020-11-27,19.76911
2020-11-28,11.32756
2020-11-29,15.00721
2020-11-30,25.18037
2020-12-01,25.90187
2020-12-02,25.25252
2020-12-03,22.07792
2020-12-04,22.79942
2020-12-05,13.92496
2020-12-06,13.20346
2020-12-07,21.28427
2020-12-08,20.77922
2020-12-09,24.31457
2020-12-10,29.07647
2020-12-11,21.21212
2020-12-12,11.83261
2020-12-13,11.18326
2020-12-14,19.84126
2020-12-15,19.76911
2020-12-16,18.97546
2020-12-17,19.19191
2020-12-18,20.85137
2020-12-19,13.41991
2020-12-20,14.21356
2020-12-21,22.87157
2020-12-22,23.95382
2020-12-23,22.65512
2020-12-24,22.65512
2020-12-25,12.26551
2020-12-26,15.51226
2020-12-27,17.09956
2020-12-28,27.92207
2020-12-29,30.66378
2020-12-30,25.46897
2020-12-31,22.51082
2021-01-01,18.68686
2021-01-02,17.46031
2021-01-03,21.71717
2021-01-04,31.81818
2021-01-05,36.79653
2021-01-06,27.99422
2021-01-07,22.87157
2021-01-08,23.95382
2021-01-09,14.21356
2021-01-10,18.54256
2021-01-11,30.15873
2021-01-12,23.37662
2021-01-13,26.04617
2021-01-14,30.59163
2021-01-15,27.70562
2021-01-16,15.29581
2021-01-17,14.35786
2021-01-18,25.97402
2021-01-19,26.33477
2021-01-20,30.44733
2021-01-21,34.27128
2021-01-22,26.91197
2021-01-23,15.00721
2021-01-24,17.89321
2021-01-25,36.14718
2021-01-26,31.16883
2021-01-27,28.86002
2021-01-28,28.42712
2021-01-29,28.86002
2021-01-30,14.64646
2021-01-31,14.64646
2021-02-01,30.23088
2021-02-02,29.00432
2021-02-03,32.97258
2021-02-04,30.66378
2021-02-05,29.29292
2021-02-06,14.71861
2021-02-07,17.02741
2021-02-08,25.68542
2021-02-09,20.63492
2021-02-10,21.71717
2021-02-11,13.05916
2021-02-12,12.98701
2021-02-13,11.68831
2021-02-14,19.40836
2021-02-15,30.01443
2021-02-16,25.75757
2021-02-17,21.71717
2021-02-18,21.64502
2021-02-19,22.94372
2021-02-20,12.84271
2021-02-21,12.19336
2021-02-22,23.52092
2021-02-23,20.56277
2021-02-24,20.85137
2021-02-25,25.18037
2021-02-26,20.05772
2021-02-27,10.96681
2021-02-28,10.82251
2021-03-01,14.21356
2021-03-02,22.00577
2021-03-03,19.19191
2021-03-04,21.50072
2021-03-05,19.04761
2021-03-06,10.31746
2021-03-07,9.5238
2021-03-08,18.25396
2021-03-09,17.82106
2021-03-10,20.77922
2021-03-11,16.66666
2021-03-12,19.62481
2021-03-13,8.9466
2021-03-14,10.53391
2021-03-15,17.96536
2021-03-16,17.67676
2021-03-17,23.44877
2021-03-18,18.83116
2021-03-19,19.11976
2021-03-20,11.18326
2021-03-21,10.10101
2021-03-22,17.96536
2021-03-23,18.75901
2021-03-24,20.70707
2021-03-25,24.24242
2021-03-26,15.87301
2021-03-27,10.67821
2021-03-28,10.31746
2021-03-29,17.82106
2021-03-30,20.20202
2021-03-31,18.75901
2021-04-01,18.18181
2021-04-02,13.99711
2021-04-03,8.73015
2021-04-04,10.60606
2021-04-05,18.10966
2021-04-06,17.24386
2021-04-07,16.95526
2021-04-08,15.44011
2021-04-09,14.43001
2021-04-10,7.7922
2021-04-11,9.0909
