date,적금이율높은곳
2020-03-20,6.31741
2020-03-21,3.54391
2020-03-22,4.46841
2020-03-23,9.55315
2020-03-24,11.09399
2020-03-25,8.93682
2020-03-26,8.1664
2020-03-27,9.55315
2020-03-28,3.38983
2020-03-29,5.39291
2020-03-30,7.55007
2020-03-31,4.46841
2020-04-01,7.39599
2020-04-02,3.69799
2020-04-03,5.39291
2020-04-04,5.23882
2020-04-05,3.08166
2020-04-06,4.62249
2020-04-07,4.31432
2020-04-08,3.23574
2020-04-09,5.70107
2020-04-10,4.16024
2020-04-11,2.92758
2020-04-12,3.54391
2020-04-13,3.54391
2020-04-14,4.16024
2020-04-15,3.38983
2020-04-16,5.23882
2020-04-17,6.62557
2020-04-18,3.08166
2020-04-19,3.85208
2020-04-20,9.24499
2020-04-21,6.47149
2020-04-22,7.85824
2020-04-23,7.24191
2020-04-24,8.01232
2020-04-25,3.08166
2020-04-26,3.38983
2020-04-27,7.85824
2020-04-28,6.00924
2020-04-29,8.93682
2020-04-30,2.46533
2020-05-01,3.23574
2020-05-02,1.54083
2020-05-03,2.46533
2020-05-04,6.31741
2020-05-05,5.70107
2020-05-06,10.47765
2020-05-07,11.71032
2020-05-08,8.01232
2020-05-09,4.00616
2020-05-10,2.92758
2020-05-11,9.24499
2020-05-12,7.39599
2020-05-13,7.39599
2020-05-14,5.54699
2020-05-15,6.31741
2020-05-16,4.31432
2020-05-17,2.46533
2020-05-18,7.70416
2020-05-19,7.08782
2020-05-20,10.0154
2020-05-21,4.46841
2020-05-22,4.77657
2020-05-23,3.08166
2020-05-24,3.23574
2020-05-25,5.85516
2020-05-26,6.16332
2020-05-27,4.62249
2020-05-28,5.23882
2020-05-29,4.46841
2020-05-30,3.08166
2020-05-31,3.38983
2020-06-01,8.47457
2020-06-02,7.24191
2020-06-03,4.62249
2020-06-04,4.46841
2020-06-05,5.85516
2020-06-06,2.77349
2020-06-07,3.08166
2020-06-08,6.16332
2020-06-09,6.00924
2020-06-10,8.47457
2020-06-11,9.39907
2020-06-12,6.00924
2020-06-13,1.84899
2020-06-14,3.23574
2020-06-15,4.62249
2020-06-16,4.46841
2020-06-17,3.69799
2020-06-18,4.31432
2020-06-19,4.00616
2020-06-20,2.00308
2020-06-21,3.23574
2020-06-22,6.31741
2020-06-23,6.62557
2020-06-24,4.77657
2020-06-25,5.39291
2020-06-26,6.62557
2020-06-27,2.15716
2020-06-28,2.92758
2020-06-29,5.70107
2020-06-30,5.23882
2020-07-01,5.39291
2020-07-02,6.47149
2020-07-03,6.16332
2020-07-04,2.77349
2020-07-05,3.23574
2020-07-06,5.39291
2020-07-07,6.00924
2020-07-08,5.08474
2020-07-09,5.08474
2020-07-10,4.46841
2020-07-11,3.85208
2020-07-12,2.31124
2020-07-13,5.54699
2020-07-14,5.23882
2020-07-15,7.39599
2020-07-16,3.08166
2020-07-17,2.61941
2020-07-18,1.23266
2020-07-19,2.46533
2020-07-20,6.47149
