date,전세권설정
2020-03-20,50.34626
2020-03-21,42.45152
2020-03-22,33.44875
2020-03-23,73.4072
2020-03-24,65.99722
2020-03-25,65.09695
2020-03-26,58.24099
2020-03-27,55.47091
2020-03-28,39.81994
2020-03-29,29.29362
2020-03-30,68.42105
2020-03-31,61.63434
2020-04-01,57.61772
2020-04-02,54.29362
2020-04-03,54.63988
2020-04-04,37.18836
2020-04-05,31.02493
2020-04-06,60.94182
2020-04-07,62.04986
2020-04-08,58.10249
2020-04-09,54.50138
2020-04-10,48.33795
2020-04-11,38.5734
2020-04-12,29.77839
2020-04-13,62.46537
2020-04-14,55.67867
2020-04-15,45.63711
2020-04-16,62.25761
2020-04-17,59.90304
2020-04-18,42.59002
2020-04-19,39.05817
2020-04-20,70.15235
2020-04-21,62.11911
2020-04-22,64.68144
2020-04-23,64.19667
2020-04-24,60.87257
2020-04-25,44.39058
2020-04-26,32.61772
2020-04-27,66.8975
2020-04-28,60.94182
2020-04-29,70.56786
2020-04-30,56.50969
2020-05-01,55.1939
2020-05-02,47.71468
2020-05-03,46.8144
2020-05-04,81.30193
2020-05-05,72.02216
2020-05-06,79.84764
2020-05-07,65.78947
2020-05-08,50.90027
2020-05-09,47.43767
2020-05-10,35.73407
2020-05-11,66.759
2020-05-12,67.59002
2020-05-13,67.52077
2020-05-14,65.44321
2020-05-15,54.98614
2020-05-16,38.36565
2020-05-17,31.02493
2020-05-18,69.45983
2020-05-19,67.31301
2020-05-20,62.04986
2020-05-21,61.56509
2020-05-22,53.6011
2020-05-23,38.98891
2020-05-24,29.57063
2020-05-25,67.24376
2020-05-26,60.94182
2020-05-27,60.94182
2020-05-28,57.34072
2020-05-29,52.42382
2020-05-30,41.96675
2020-05-31,34.14127
2020-06-01,66.06648
2020-06-02,60.04155
2020-06-03,59.21052
2020-06-04,53.87811
2020-06-05,47.43767
2020-06-06,37.95013
2020-06-07,32.68698
2020-06-08,68.76731
2020-06-09,63.64265
2020-06-10,64.61218
2020-06-11,62.11911
2020-06-12,53.4626
2020-06-13,40.3047
2020-06-14,34.48753
2020-06-15,73.4072
2020-06-16,61.49584
2020-06-17,63.64265
2020-06-18,64.05817
2020-06-19,56.57894
2020-06-20,39.88919
2020-06-21,34.76454
2020-06-22,67.79778
2020-06-23,58.93351
2020-06-24,58.86426
2020-06-25,62.95013
2020-06-26,52.83933
2020-06-27,37.25761
2020-06-28,28.87811
2020-06-29,64.12742
2020-06-30,61.63434
2020-07-01,52.42382
2020-07-02,49.37673
2020-07-03,51.17728
2020-07-04,36.7036
2020-07-05,33.10249
2020-07-06,64.05817
2020-07-07,63.22714
2020-07-08,63.22714
2020-07-09,58.3795
2020-07-10,53.39335
2020-07-11,44.52908
2020-07-12,35.1108
2020-07-13,66.82825
2020-07-14,64.81994
2020-07-15,63.01939
2020-07-16,54.43213
2020-07-17,53.18559
2020-07-18,42.79778
2020-07-19,34.48753
2020-07-20,63.71191
2020-07-21,58.17174
2020-07-22,59.21052
2020-07-23,54.70914
2020-07-24,51.93905
2020-07-25,34.90304
2020-07-26,26.7313
2020-07-27,58.6565
2020-07-28,54.50138
2020-07-29,57.82548
2020-07-30,58.24099
2020-07-31,53.39335
2020-08-01,34.97229
2020-08-02,25.41551
2020-08-03,50.55401
2020-08-04,55.12465
2020-08-05,54.22437
2020-08-06,57.68698
2020-08-07,51.24653
2020-08-08,37.11911
2020-08-09,33.79501
2020-08-10,60.38781
2020-08-11,59.00277
2020-08-12,58.72576
2020-08-13,52.21606
2020-08-14,48.75346
2020-08-15,32.40997
2020-08-16,26.31578
2020-08-17,41.41274
2020-08-18,56.71745
2020-08-19,56.64819
2020-08-20,61.77285
2020-08-21,48.96121
2020-08-22,34.34903
2020-08-23,29.43213
2020-08-24,58.86426
2020-08-25,58.10249
