date,전세권설정해지
2020-03-20,57.68025
2020-03-21,30.09404
2020-03-22,26.64576
2020-03-23,77.42946
2020-03-24,65.20376
2020-03-25,63.94984
2020-03-26,51.41065
2020-03-27,48.58934
2020-03-28,23.19749
2020-03-29,25.39184
2020-03-30,68.02507
2020-03-31,66.1442
2020-04-01,61.442
2020-04-02,47.6489
2020-04-03,53.60501
2020-04-04,26.64576
2020-04-05,23.19749
2020-04-06,74.29467
2020-04-07,51.72413
2020-04-08,59.8746
2020-04-09,50.15673
2020-04-10,46.39498
2020-04-11,17.86833
2020-04-12,27.27272
2020-04-13,63.0094
2020-04-14,47.33542
2020-04-15,21.63009
2020-04-16,58.30721
2020-04-17,45.76802
2020-04-18,29.1536
2020-04-19,32.2884
2020-04-20,59.56112
2020-04-21,67.71159
2020-04-22,56.11285
2020-04-23,66.77115
2020-04-24,52.35109
2020-04-25,26.64576
2020-04-26,19.43573
2020-04-27,63.0094
2020-04-28,60.50156
2020-04-29,48.58934
2020-04-30,29.1536
2020-05-01,25.70532
2020-05-02,12.2257
2020-05-03,21.00313
2020-05-04,62.38244
2020-05-05,31.97492
2020-05-06,65.20376
2020-05-07,49.52978
2020-05-08,43.88714
2020-05-09,23.82445
2020-05-10,15.98746
2020-05-11,60.18808
2020-05-12,50.47021
2020-05-13,56.73981
2020-05-14,61.12852
2020-05-15,36.36363
2020-05-16,27.5862
2020-05-17,18.80877
2020-05-18,62.06896
2020-05-19,55.17241
2020-05-20,56.11285
2020-05-21,45.45454
2020-05-22,43.26018
2020-05-23,27.27272
2020-05-24,26.64576
2020-05-25,65.51724
2020-05-26,56.73981
2020-05-27,61.12852
2020-05-28,61.75548
2020-05-29,47.02194
2020-05-30,25.70532
2020-05-31,22.57053
2020-06-01,68.96551
2020-06-02,57.05329
2020-06-03,52.97805
2020-06-04,38.87147
2020-06-05,35.42319
2020-06-06,24.45141
2020-06-07,23.51097
2020-06-08,60.50156
2020-06-09,61.442
2020-06-10,51.72413
2020-06-11,52.66457
2020-06-12,44.20062
2020-06-13,20.37617
2020-06-14,16.92789
2020-06-15,64.89028
2020-06-16,48.90282
2020-06-17,42.00626
2020-06-18,42.9467
2020-06-19,36.99059
2020-06-20,17.86833
2020-06-21,21.94357
2020-06-22,44.5141
2020-06-23,51.72413
2020-06-24,47.02194
2020-06-25,46.39498
2020-06-26,41.69278
2020-06-27,23.51097
2020-06-28,18.18181
2020-06-29,71.15987
2020-06-30,47.33542
2020-07-01,48.27586
2020-07-02,47.6489
2020-07-03,42.00626
2020-07-04,21.94357
2020-07-05,21.63009
2020-07-06,52.97805
2020-07-07,47.02194
2020-07-08,51.41065
2020-07-09,51.41065
2020-07-10,38.55799
2020-07-11,25.39184
2020-07-12,24.13793
2020-07-13,53.91849
2020-07-14,42.00626
2020-07-15,49.2163
2020-07-16,43.57366
2020-07-17,44.20062
2020-07-18,19.43573
2020-07-19,18.80877
2020-07-20,52.66457
2020-07-21,51.41065
2020-07-22,45.14106
2020-07-23,42.00626
2020-07-24,44.20062
2020-07-25,21.00313
2020-07-26,20.06269
2020-07-27,62.38244
2020-07-28,53.60501
2020-07-29,56.42633
2020-07-30,58.93416
2020-07-31,58.93416
2020-08-01,20.37617
2020-08-02,23.51097
2020-08-03,53.60501
2020-08-04,55.48589
2020-08-05,54.54545
2020-08-06,49.2163
2020-08-07,41.37931
2020-08-08,23.82445
2020-08-09,17.86833
2020-08-10,56.42633
2020-08-11,50.15673
2020-08-12,44.5141
2020-08-13,42.9467
2020-08-14,49.52978
2020-08-15,15.04702
2020-08-16,16.61442
2020-08-17,27.27272
2020-08-18,64.89028
2020-08-19,59.56112
2020-08-20,63.0094
2020-08-21,51.41065
2020-08-22,20.37617
2020-08-23,19.74921
2020-08-24,52.97805
2020-08-25,52.66457
2020-08-26,60.50156
2020-08-27,47.96238
2020-08-28,39.18495
2020-08-29,28.84012
2020-08-30,22.88401
2020-08-31,63.32288
2020-09-01,65.20376
2020-09-02,59.24764
2020-09-03,52.35109
2020-09-04,48.58934
2020-09-05,25.39184
2020-09-06,24.45141
2020-09-07,60.18808
2020-09-08,47.33542
2020-09-09,44.5141
2020-09-10,54.54545
2020-09-11,42.31974
2020-09-12,16.92789
2020-09-13,20.06269
2020-09-14,53.29153
2020-09-15,56.42633
