date,전세대출금리비교
2020-03-20,2.95857
2020-03-21,0.98619
2020-03-22,1.18343
2020-03-23,4.73372
2020-03-25,5.1282
2020-03-26,2.36686
2020-03-27,1.38067
2020-03-28,0.98619
2020-03-30,2.16962
2020-03-31,2.16962
2020-04-01,2.36686
2020-04-02,2.76134
2020-04-03,3.15581
2020-04-06,4.33925
2020-04-07,3.74753
2020-04-08,2.16962
2020-04-13,1.38067
2020-04-14,2.16962
2020-04-15,1.38067
2020-04-16,2.95857
2020-04-17,1.97238
2020-04-18,1.18343
2020-04-20,2.16962
2020-04-22,3.74753
2020-04-23,2.36686
2020-04-24,0.98619
2020-04-27,3.55029
2020-04-28,3.55029
2020-04-29,0.98619
2020-05-04,2.16962
2020-05-05,0.98619
2020-05-07,2.5641
2020-05-08,2.36686
2020-05-09,1.18343
2020-05-11,2.95857
2020-05-12,1.77514
2020-05-13,0.98619
2020-05-14,2.5641
2020-05-17,1.38067
2020-05-18,4.14201
2020-05-19,2.36686
2020-05-20,1.38067
2020-05-21,3.74753
2020-05-22,0.98619
2020-05-25,3.35305
2020-05-26,3.74753
2020-05-27,1.97238
2020-05-28,1.77514
2020-05-30,1.18343
2020-06-01,3.15581
2020-06-02,1.18343
2020-06-03,3.15581
2020-06-04,2.5641
2020-06-05,2.36686
2020-06-08,3.74753
2020-06-09,0.98619
2020-06-10,3.94477
2020-06-11,2.95857
2020-06-12,1.38067
2020-06-13,2.16962
2020-06-15,1.97238
2020-06-16,2.16962
2020-06-17,4.14201
2020-06-18,3.55029
2020-06-19,1.5779
2020-06-21,2.16962
2020-06-22,1.18343
2020-06-23,2.95857
2020-06-24,3.55029
2020-06-25,5.1282
2020-06-27,1.18343
2020-06-28,0.98619
2020-06-29,3.55029
2020-06-30,4.93096
2020-07-01,3.55029
2020-07-02,1.77514
2020-07-06,2.5641
2020-07-07,3.15581
2020-07-08,3.15581
2020-07-09,2.76134
2020-07-10,3.15581
2020-07-11,0.98619
2020-07-12,0.98619
2020-07-13,3.15581
2020-07-14,1.5779
2020-07-15,1.5779
2020-07-16,3.55029
2020-07-17,3.55029
2020-07-20,4.14201
2020-07-21,4.33925
2020-07-22,3.35305
2020-07-23,1.97238
2020-07-24,2.95857
2020-07-25,1.5779
2020-07-27,4.14201
2020-07-28,1.5779
2020-07-29,2.95857
2020-07-30,2.95857
2020-07-31,1.77514
2020-08-01,1.18343
2020-08-03,2.5641
2020-08-04,3.55029
2020-08-05,3.55029
2020-08-06,3.74753
2020-08-07,2.16962
2020-08-09,0.98619
2020-08-10,3.35305
2020-08-11,4.53648
2020-08-12,3.94477
2020-08-13,2.76134
2020-08-14,0.98619
2020-08-16,1.38067
2020-08-18,4.14201
2020-08-19,2.5641
2020-08-20,1.77514
2020-08-21,2.36686
2020-08-22,1.5779
2020-08-24,3.35305
2020-08-25,2.36686
2020-08-26,2.76134
2020-08-27,3.15581
2020-08-28,0.98619
2020-08-30,2.5641
2020-08-31,2.76134
2020-09-01,5.52268
2020-09-02,3.94477
2020-09-03,4.14201
2020-09-04,1.18343
2020-09-06,1.18343
2020-09-07,5.52268
2020-09-08,3.15581
2020-09-09,4.14201
2020-09-10,3.55029
2020-09-11,5.1282
2020-09-12,4.33925
2020-09-14,4.53648
2020-09-15,3.35305
2020-09-16,1.18343
2020-09-17,4.33925
2020-09-18,2.5641
2020-09-19,0.98619
2020-09-21,4.14201
2020-09-22,3.35305
2020-09-23,3.35305
2020-09-24,1.38067
2020-09-25,2.5641
2020-09-27,1.18343
2020-09-28,4.33925
2020-09-29,0.98619
2020-10-05,5.52268
2020-10-06,3.74753
2020-10-07,1.97238
2020-10-08,1.97238
2020-10-09,1.77514
2020-10-10,1.5779
2020-10-11,0.98619
2020-10-12,3.15581
2020-10-13,2.95857
2020-10-14,2.76134
2020-10-15,2.95857
2020-10-16,1.77514
2020-10-19,5.91715
2020-10-20,2.95857
2020-10-21,4.33925
2020-10-22,3.35305
2020-10-23,3.94477
2020-10-25,1.77514
2020-10-26,3.15581
2020-10-27,3.15581
2020-10-28,1.18343
2020-10-29,1.38067
2020-10-30,3.55029
2020-10-31,0.98619
2020-11-02,3.15581
2020-11-04,3.35305
2020-11-05,3.15581
2020-11-06,2.16962
2020-11-08,2.5641
2020-11-09,3.74753
2020-11-10,3.74753
2020-11-11,2.76134
2020-11-12,1.38067
2020-11-13,2.36686
2020-11-16,5.1282
2020-11-17,2.95857
2020-11-18,1.77514
2020-11-19,1.97238
2020-11-20,3.15581
2020-11-21,1.5779
2020-11-22,1.18343
2020-11-23,5.32544
2020-11-24,3.15581
2020-11-25,2.16962
2020-11-26,1.97238
2020-11-27,2.5641
2020-11-29,1.38067
2020-11-30,3.15581
2020-12-01,0.98619
2020-12-02,1.18343
2020-12-03,1.77514
2020-12-04,1.5779
2020-12-05,0.98619
2020-12-06,0.98619
2020-12-07,6.11439
2020-12-08,2.95857
2020-12-09,3.35305
2020-12-11,2.95857
2020-12-13,1.18343
2020-12-14,3.55029
2020-12-15,1.38067
2020-12-16,4.73372
2020-12-18,3.35305
2020-12-19,0.98619
2020-12-21,2.76134
2020-12-22,4.53648
2020-12-23,4.14201
2020-12-24,1.5779
2020-12-28,3.35305
2020-12-29,2.95857
2020-12-30,4.14201
2020-12-31,2.16962
2021-01-01,0.98619
2021-01-03,1.97238
2021-01-04,3.94477
2021-01-05,3.94477
2021-01-06,3.35305
2021-01-07,2.95857
2021-01-08,0.98619
2021-01-09,2.16962
2021-01-10,2.76134
2021-01-11,4.33925
2021-01-12,1.18343
2021-01-13,4.93096
2021-01-14,4.14201
2021-01-15,4.14201
2021-01-16,1.77514
2021-01-17,2.36686
2021-01-18,4.73372
2021-01-19,0.98619
2021-01-20,4.33925
2021-01-21,0.98619
2021-01-23,1.97238
2021-01-24,1.38067
2021-01-25,2.16962
2021-01-26,4.93096
2021-01-27,3.15581
2021-01-28,4.33925
2021-01-29,3.35305
2021-01-30,2.16962
2021-01-31,2.5641
2021-02-01,4.53648
2021-02-02,4.14201
2021-02-03,3.74753
2021-02-04,3.35305
2021-02-05,3.15581
2021-02-07,2.76134
2021-02-08,3.74753
2021-02-09,1.5779
2021-02-10,2.16962
2021-02-12,1.18343
2021-02-13,0.98619
2021-02-15,3.94477
2021-02-16,3.35305
2021-02-17,3.74753
2021-02-18,3.94477
2021-02-19,1.77514
2021-02-20,0.98619
2021-02-21,0.98619
2021-02-22,3.35305
2021-02-23,4.33925
2021-02-24,2.36686
2021-02-25,3.15581
2021-02-28,0.98619
2021-03-01,1.5779
2021-03-02,4.33925
2021-03-03,2.95857
2021-03-04,4.73372
2021-03-05,2.5641
2021-03-06,1.18343
2021-03-07,0.98619
2021-03-08,3.55029
2021-03-09,4.33925
2021-03-10,3.55029
2021-03-11,1.5779
2021-03-12,1.77514
2021-03-13,1.38067
2021-03-15,1.18343
2021-03-16,2.95857
2021-03-17,2.5641
2021-03-18,0.98619
2021-03-19,1.5779
2021-03-20,0.98619
2021-03-21,1.38067
2021-03-22,1.77514
2021-03-23,2.76134
2021-03-24,2.95857
2021-03-25,1.38067
2021-03-26,3.94477
2021-03-29,1.77514
2021-03-30,3.15581
2021-03-31,1.38067
2021-04-01,2.16962
2021-04-02,3.94477
2021-04-03,1.18343
2021-04-05,1.18343
2021-04-06,1.38067
2021-04-07,1.18343
2021-04-08,0.98619
2021-04-09,1.18343
2021-04-10,0.98619
2021-04-11,1.5779
2021-04-12,2.16962
2021-04-13,3.55029
2021-04-14,2.5641
2021-04-15,1.5779
2021-04-16,2.36686
2021-04-19,3.35305
2021-04-21,2.5641
2021-04-22,3.35305
2021-04-23,1.38067
2021-04-26,2.36686
2021-04-27,3.15581
2021-04-28,1.5779
2021-04-29,1.38067
2021-04-30,3.55029
2021-05-03,3.55029
2021-05-04,2.95857
2021-05-05,0.98619
2021-05-06,3.74753
2021-05-07,3.15581
2021-05-10,2.5641
2021-05-12,1.18343
2021-05-13,1.38067
2021-05-14,1.18343
2021-05-16,0.98619
2021-05-17,2.16962
2021-05-18,2.36686
2021-05-19,1.38067
2021-05-20,5.1282
2021-05-21,4.14201
2021-05-22,1.38067
2021-05-23,0.98619
2021-05-24,3.15581
2021-05-25,3.74753
2021-05-26,1.18343
2021-05-27,3.35305
2021-05-28,2.16962
2021-05-31,4.73372
