date,전세자금대출금리비교
2020-03-20,22.02898
2020-03-21,13.62318
2020-03-22,8.9855
2020-03-23,33.04347
2020-03-24,25.50724
2020-03-25,20.28985
2020-03-26,24.63768
2020-03-27,20.0
2020-03-28,6.66666
2020-03-29,10.43478
2020-03-30,25.7971
2020-03-31,18.26086
2020-04-01,14.7826
2020-04-02,13.04347
2020-04-03,14.7826
2020-04-04,5.7971
2020-04-05,6.95652
2020-04-06,17.97101
2020-04-07,19.13043
2020-04-08,17.97101
2020-04-09,15.65217
2020-04-10,9.27536
2020-04-11,2.60869
2020-04-12,6.95652
2020-04-13,20.0
2020-04-14,15.65217
2020-04-15,5.21739
2020-04-16,15.65217
2020-04-17,13.33333
2020-04-18,3.47826
2020-04-19,6.95652
2020-04-20,17.97101
2020-04-21,17.97101
2020-04-22,11.30434
2020-04-23,12.17391
2020-04-24,15.07246
2020-04-25,7.82608
2020-04-26,6.95652
2020-04-27,12.46376
2020-04-28,15.65217
2020-04-29,13.62318
2020-04-30,3.1884
2020-05-01,5.21739
2020-05-02,4.05797
2020-05-03,3.47826
2020-05-04,12.17391
2020-05-05,7.53623
2020-05-06,15.36231
2020-05-07,12.75362
2020-05-08,5.50724
2020-05-09,4.34782
2020-05-10,5.21739
2020-05-11,12.46376
2020-05-12,14.49275
2020-05-13,15.36231
2020-05-14,10.43478
2020-05-15,10.14492
2020-05-16,4.34782
2020-05-17,8.40579
2020-05-18,14.7826
2020-05-19,9.27536
2020-05-20,12.46376
2020-05-21,14.20289
2020-05-22,11.30434
2020-05-23,7.24637
2020-05-24,4.34782
2020-05-25,17.97101
2020-05-26,18.84057
2020-05-27,10.14492
2020-05-28,13.33333
2020-05-29,10.43478
2020-05-30,5.21739
2020-05-31,10.14492
2020-06-01,18.26086
2020-06-02,17.97101
2020-06-03,9.85507
2020-06-04,10.14492
2020-06-05,7.24637
2020-06-06,4.34782
2020-06-07,4.05797
2020-06-08,13.91304
2020-06-09,10.43478
2020-06-10,13.62318
2020-06-11,8.69565
2020-06-12,13.62318
2020-06-13,3.76811
2020-06-14,4.63768
2020-06-15,12.46376
2020-06-16,14.7826
2020-06-17,12.75362
2020-06-18,8.9855
2020-06-19,12.46376
2020-06-20,3.76811
2020-06-21,5.7971
2020-06-22,12.46376
2020-06-23,11.88405
2020-06-24,11.01449
2020-06-25,13.91304
2020-06-26,9.56521
2020-06-27,6.37681
2020-06-28,7.24637
2020-06-29,9.85507
2020-06-30,10.14492
2020-07-01,8.40579
2020-07-02,10.43478
2020-07-03,10.14492
2020-07-04,1.73913
2020-07-05,4.63768
2020-07-06,13.04347
