date,전자단기사채
2020-03-20,41.02564
2020-03-21,12.82051
2020-03-22,33.33333
2020-03-23,100.0
2020-03-24,81.53846
2020-03-25,55.89743
2020-03-26,64.10256
2020-03-27,78.97435
2020-03-28,22.05128
2020-03-29,17.94871
2020-03-30,57.43589
2020-03-31,56.41025
2020-04-01,66.15384
2020-04-02,59.48717
2020-04-03,37.43589
2020-04-04,10.25641
2020-04-05,17.43589
2020-04-06,43.58974
2020-04-07,52.82051
2020-04-08,47.17948
2020-04-09,55.38461
2020-04-10,40.51282
2020-04-11,21.02564
2020-04-12,20.51282
2020-04-13,40.0
2020-04-14,48.20512
2020-04-15,10.76923
2020-04-16,33.33333
2020-04-17,34.87179
2020-04-18,5.1282
2020-04-19,5.1282
2020-04-20,35.38461
2020-04-21,55.38461
2020-04-22,40.0
2020-04-23,37.43589
2020-04-24,32.82051
2020-04-25,5.64102
2020-04-26,5.1282
2020-04-27,31.28205
2020-04-28,31.28205
2020-04-29,25.64102
2020-04-30,10.76923
2020-05-01,4.10256
2020-05-02,5.1282
2020-05-03,6.15384
2020-05-04,21.02564
2020-05-05,3.58974
2020-05-06,31.28205
2020-05-07,37.94871
2020-05-08,27.6923
2020-05-09,5.1282
2020-05-10,2.5641
2020-05-11,32.82051
2020-05-12,41.02564
2020-05-13,40.51282
2020-05-14,26.66666
2020-05-15,24.61538
2020-05-16,5.1282
2020-05-17,17.94871
2020-05-18,35.38461
2020-05-19,32.82051
2020-05-20,20.51282
2020-05-21,36.92307
2020-05-22,35.38461
2020-05-23,9.74358
2020-05-24,3.58974
2020-05-25,24.61538
2020-05-26,29.74358
2020-05-27,27.17948
2020-05-28,24.61538
2020-05-29,22.5641
2020-05-30,2.5641
2020-05-31,7.6923
2020-06-01,26.66666
2020-06-02,29.74358
2020-06-03,27.17948
2020-06-04,23.58974
2020-06-05,15.89743
2020-06-06,2.5641
2020-06-07,3.58974
2020-06-08,17.43589
2020-06-09,19.48717
2020-06-10,21.02564
2020-06-11,16.92307
2020-06-12,20.51282
2020-06-13,2.5641
2020-06-14,5.64102
2020-06-15,19.48717
2020-06-16,22.05128
2020-06-17,16.92307
2020-06-18,18.97435
2020-06-19,24.61538
2020-06-20,3.58974
2020-06-21,2.5641
2020-06-22,25.1282
2020-06-23,28.71794
2020-06-24,18.97435
2020-06-25,22.05128
2020-06-26,18.46153
2020-06-27,6.15384
2020-06-29,22.05128
2020-06-30,13.33333
2020-07-01,21.53846
2020-07-02,17.94871
2020-07-03,25.64102
2020-07-05,3.07692
2020-07-06,9.23076
2020-07-07,20.0
2020-07-08,23.58974
2020-07-09,17.43589
2020-07-10,11.79487
2020-07-12,5.1282
2020-07-13,17.43589
2020-07-14,30.76923
2020-07-15,25.1282
2020-07-16,22.5641
2020-07-17,12.30769
2020-07-18,2.5641
2020-07-19,3.07692
2020-07-20,19.48717
2020-07-21,25.1282
2020-07-22,27.6923
2020-07-23,27.17948
2020-07-24,15.89743
2020-07-25,3.07692
2020-07-27,14.35897
2020-07-28,22.5641
2020-07-29,24.61538
2020-07-30,14.87179
2020-07-31,10.76923
2020-08-01,4.61538
2020-08-03,17.43589
2020-08-04,21.02564
2020-08-05,19.48717
2020-08-06,17.43589
2020-08-07,12.82051
2020-08-09,3.07692
2020-08-10,24.10256
2020-08-11,20.51282
2020-08-12,18.97435
2020-08-13,18.97435
2020-08-14,16.41025
2020-08-15,4.61538
2020-08-16,3.07692
2020-08-18,18.46153
2020-08-19,16.92307
2020-08-20,9.74358
2020-08-21,13.33333
2020-08-22,3.58974
2020-08-24,12.30769
2020-08-25,22.05128
2020-08-26,19.48717
2020-08-27,17.43589
2020-08-28,21.53846
2020-08-29,2.5641
2020-08-30,3.07692
2020-08-31,13.33333
2020-09-01,14.87179
2020-09-02,12.82051
2020-09-03,20.0
2020-09-04,9.23076
2020-09-05,4.10256
2020-09-07,13.33333
2020-09-08,13.33333
2020-09-09,11.28205
2020-09-10,14.35897
2020-09-11,15.89743
2020-09-12,3.58974
2020-09-14,12.82051
2020-09-15,17.94871
2020-09-16,16.92307
2020-09-17,13.33333
2020-09-18,12.30769
2020-09-19,3.58974
2020-09-20,3.58974
2020-09-21,13.33333
2020-09-22,17.43589
2020-09-23,8.20512
2020-09-24,18.97435
2020-09-25,15.89743
2020-09-26,2.5641
2020-09-28,8.71794
2020-09-29,9.23076
2020-10-05,16.92307
2020-10-06,14.87179
2020-10-07,18.46153
2020-10-08,13.33333
2020-10-11,7.17948
2020-10-12,20.51282
2020-10-13,14.87179
2020-10-14,14.87179
2020-10-15,12.30769
2020-10-16,8.71794
2020-10-17,3.58974
2020-10-18,3.07692
2020-10-19,14.35897
2020-10-20,20.0
2020-10-21,22.5641
2020-10-22,23.58974
2020-10-23,14.87179
2020-10-25,4.10256
2020-10-26,18.97435
2020-10-27,18.97435
2020-10-28,15.89743
2020-10-29,17.43589
2020-10-30,18.97435
2020-10-31,3.58974
2020-11-01,6.66666
2020-11-02,18.46153
2020-11-03,12.30769
2020-11-04,12.82051
2020-11-05,13.33333
2020-11-06,11.79487
2020-11-09,14.35897
2020-11-10,12.82051
2020-11-11,6.66666
2020-11-12,9.74358
2020-11-13,14.87179
2020-11-14,2.5641
2020-11-15,7.17948
2020-11-16,7.17948
2020-11-17,12.82051
2020-11-18,15.89743
2020-11-19,10.25641
2020-11-20,12.82051
2020-11-22,2.5641
2020-11-23,10.25641
2020-11-24,17.94871
2020-11-25,19.48717
2020-11-26,15.38461
2020-11-27,10.25641
2020-11-29,2.5641
2020-11-30,15.38461
2020-12-01,8.71794
2020-12-02,8.20512
2020-12-03,15.89743
2020-12-04,10.76923
2020-12-05,2.5641
2020-12-07,13.84615
2020-12-08,12.82051
2020-12-09,9.74358
2020-12-10,7.6923
2020-12-11,12.30769
2020-12-14,4.10256
2020-12-15,21.02564
2020-12-16,8.71794
2020-12-17,16.41025
2020-12-18,10.25641
2020-12-19,5.1282
2020-12-21,6.66666
2020-12-22,9.23076
2020-12-23,10.25641
2020-12-24,9.74358
2020-12-25,3.58974
2020-12-27,2.5641
2020-12-28,10.25641
2020-12-29,11.28205
2020-12-30,10.76923
2020-12-31,2.5641
2021-01-01,2.5641
2021-01-04,3.58974
2021-01-05,11.28205
2021-01-06,12.82051
2021-01-07,10.25641
2021-01-08,10.76923
2021-01-11,13.33333
2021-01-12,13.84615
2021-01-13,16.41025
2021-01-14,17.43589
2021-01-15,18.46153
2021-01-16,3.58974
2021-01-18,13.33333
2021-01-19,14.35897
2021-01-20,16.41025
2021-01-21,19.48717
2021-01-22,11.79487
2021-01-23,4.10256
2021-01-25,12.82051
2021-01-26,13.84615
2021-01-27,13.33333
2021-01-28,17.43589
2021-01-29,13.33333
2021-01-30,2.5641
2021-01-31,2.5641
2021-02-01,17.43589
2021-02-02,15.89743
2021-02-03,12.82051
2021-02-04,18.97435
2021-02-05,12.30769
2021-02-06,4.10256
2021-02-07,4.10256
2021-02-08,16.92307
2021-02-09,13.33333
2021-02-10,8.20512
2021-02-13,4.10256
2021-02-14,3.58974
2021-02-15,8.71794
2021-02-16,18.46153
2021-02-17,24.10256
2021-02-18,21.53846
2021-02-19,9.23076
2021-02-21,7.17948
2021-02-22,10.76923
2021-02-23,12.30769
2021-02-24,16.92307
2021-02-25,17.43589
2021-02-26,10.76923
2021-03-02,8.20512
2021-03-03,11.28205
2021-03-04,15.89743
2021-03-05,14.87179
2021-03-06,2.5641
2021-03-07,8.20512
2021-03-08,11.28205
2021-03-09,14.35897
2021-03-10,17.43589
