date,전환사채
2020-03-20,19.45165
2020-03-21,8.3694
2020-03-22,8.54256
2020-03-23,23.52092
2020-03-24,21.06782
2020-03-25,26.58008
2020-03-26,26.26262
2020-03-27,20.63492
2020-03-28,14.25685
2020-03-29,9.5238
2020-03-30,20.05772
2020-03-31,23.98268
2020-04-01,25.0505
2020-04-02,24.58874
2020-04-03,27.59018
2020-04-04,14.63203
2020-04-05,12.38095
2020-04-06,22.71284
2020-04-07,29.43722
2020-04-08,26.23376
2020-04-09,27.15728
2020-04-10,21.03896
2020-04-11,11.83261
2020-04-12,10.96681
2020-04-13,19.82683
2020-04-14,21.76046
2020-04-15,11.11111
2020-04-16,23.08802
2020-04-17,29.14862
2020-04-18,13.53535
2020-04-19,12.09235
2020-04-20,31.37085
2020-04-21,25.22366
2020-04-22,27.18614
2020-04-23,46.81096
2020-04-24,33.44877
2020-04-25,16.47907
2020-04-26,13.44877
2020-04-27,27.38816
2020-04-28,29.43722
2020-04-29,26.08946
2020-04-30,9.63924
2020-05-01,11.02453
2020-05-02,6.7821
2020-05-03,8.34054
2020-05-04,15.55555
2020-05-05,10.33189
2020-05-06,33.21789
2020-05-07,27.3593
2020-05-08,22.5974
2020-05-09,12.87157
2020-05-10,9.20634
2020-05-11,23.29004
2020-05-12,22.7417
2020-05-13,29.49494
2020-05-14,31.13997
2020-05-15,23.1746
2020-05-16,11.45743
2020-05-17,11.86147
2020-05-18,23.63636
2020-05-19,23.66522
2020-05-20,25.1948
2020-05-21,38.93217
2020-05-22,30.88023
2020-05-23,16.59451
2020-05-24,12.69841
2020-05-25,25.13708
2020-05-26,32.43867
2020-05-27,36.07503
2020-05-28,41.38528
2020-05-29,44.01154
2020-05-30,21.64502
2020-05-31,16.96969
2020-06-01,32.38095
2020-06-02,36.73881
2020-06-03,34.17027
2020-06-04,36.36363
2020-06-05,34.40115
2020-06-06,14.48773
2020-06-07,15.81529
2020-06-08,33.76623
2020-06-09,34.94949
2020-06-10,30.93795
2020-06-11,31.65945
2020-06-12,25.1948
2020-06-13,15.38239
2020-06-14,11.91919
2020-06-15,23.40548
2020-06-16,26.26262
2020-06-17,28.88888
2020-06-18,29.43722
2020-06-19,26.9264
2020-06-20,14.66089
2020-06-21,11.31313
2020-06-22,27.27272
2020-06-23,26.11832
2020-06-24,30.79365
2020-06-25,39.74025
2020-06-26,34.43001
2020-06-27,13.93939
2020-06-28,11.48629
2020-06-29,39.71139
2020-06-30,31.57287
2020-07-01,26.9264
2020-07-02,22.19336
2020-07-03,20.02886
2020-07-04,10.79365
2020-07-05,9.98556
2020-07-06,21.03896
2020-07-07,22.13564
2020-07-08,23.92496
2020-07-09,25.22366
2020-07-10,19.62481
2020-07-11,9.29292
2020-07-12,8.97546
2020-07-13,20.8658
2020-07-14,28.71572
2020-07-15,34.63203
2020-07-16,26.52236
2020-07-17,23.98268
2020-07-18,10.64935
2020-07-19,8.48484
2020-07-20,19.76911
2020-07-21,29.75468
2020-07-22,27.47474
2020-07-23,23.4632
2020-07-24,24.44444
2020-07-25,17.02741
2020-07-26,11.57287
2020-07-27,25.16594
2020-07-28,29.72582
2020-07-29,27.99422
2020-07-30,40.75036
2020-07-31,34.80519
2020-08-01,12.12121
2020-08-02,11.54401
2020-08-03,28.31168
2020-08-04,27.90764
2020-08-05,39.76911
2020-08-06,30.67821
2020-08-07,30.99567
2020-08-08,14.68975
2020-08-09,15.44011
2020-08-10,32.40981
2020-08-11,38.12409
2020-08-12,44.70418
2020-08-13,38.73015
2020-08-14,30.47619
2020-08-15,13.96825
2020-08-16,12.23665
2020-08-17,16.42135
2020-08-18,29.75468
2020-08-19,35.32467
2020-08-20,37.48917
2020-08-21,35.81529
2020-08-22,13.67965
2020-08-23,11.97691
2020-08-24,41.93362
2020-08-25,39.79797
2020-08-26,42.51082
2020-08-27,34.14141
2020-08-28,31.94805
2020-08-29,13.93939
2020-08-30,12.23665
2020-08-31,28.9466
2020-09-01,31.13997
2020-09-02,28.8023
2020-09-03,29.72582
2020-09-04,24.15584
2020-09-05,13.10245
