date,조각투자
2021-02-10,0.39858
2021-02-11,0.35429
2021-03-09,0.22143
2021-03-12,0.93002
2021-03-13,0.75287
2021-03-15,0.75287
2021-03-16,0.31
2021-03-30,0.26572
2021-03-31,0.22143
2021-04-01,1.6829
2021-04-02,2.39149
2021-04-03,2.65721
2021-04-04,44.02125
2021-04-05,3.27723
2021-04-06,1.81576
2021-04-07,1.0186
2021-04-08,1.15146
2021-04-09,99.55713
2021-04-10,5.71302
2021-04-11,2.12577
2021-04-12,4.16297
2021-04-13,2.96722
2021-04-14,4.65013
2021-04-15,1.63861
2021-04-16,2.56864
2021-04-17,1.50575
2021-04-18,0.53144
2021-04-19,5.31443
2021-04-20,1.15146
2021-04-21,0.75287
2021-04-22,1.0186
2021-04-23,1.90434
2021-04-24,0.22143
2021-04-25,0.31
2021-04-26,0.75287
2021-04-27,3.94154
2021-04-28,0.84145
2021-04-29,0.70859
2021-04-30,0.57573
2021-05-01,0.35429
2021-05-02,0.70859
2021-05-03,0.93002
2021-05-04,21.16917
2021-05-05,2.21434
2021-05-06,1.90434
2021-05-07,5.71302
2021-05-08,8.94596
2021-05-09,7.17449
2021-05-10,7.7945
2021-05-11,5.18157
2021-05-12,3.98582
2021-05-13,2.52435
2021-05-14,2.7015
2021-05-15,1.28432
2021-05-16,3.89725
2021-05-17,6.68733
2021-05-18,2.30292
2021-05-19,1.28432
2021-05-20,1.28432
2021-05-21,1.15146
2021-05-22,0.22143
2021-05-23,0.31
2021-05-24,0.48715
2021-05-25,0.97431
2021-05-26,2.39149
2021-05-27,1.99291
2021-05-28,1.6829
2021-05-29,0.79716
2021-05-30,0.53144
2021-05-31,0.53144
2021-06-01,1.0186
2021-06-02,0.26572
2021-06-04,0.70859
2021-06-05,0.26572
2021-06-07,1.06288
2021-06-08,0.79716
2021-06-09,0.44286
2021-06-10,0.22143
2021-06-11,0.57573
2021-06-12,0.31
2021-06-13,0.22143
2021-06-14,1.28432
2021-06-15,2.0372
2021-06-16,1.06288
2021-06-17,0.62001
2021-06-18,0.39858
2021-06-19,0.26572
2021-06-20,0.31
2021-06-21,0.26572
2021-06-22,0.84145
2021-06-23,1.50575
2021-06-24,0.97431
2021-06-25,0.57573
2021-06-26,0.31
2021-06-27,0.88573
2021-06-28,0.93002
2021-06-29,1.28432
2021-06-30,2.3472
2021-07-01,2.12577
2021-07-02,0.57573
2021-07-03,0.79716
2021-07-04,0.31
2021-07-05,0.48715
2021-07-06,0.93002
2021-07-07,0.79716
2021-07-08,0.97431
2021-07-09,0.22143
2021-07-10,0.48715
2021-07-11,0.39858
2021-07-12,0.84145
2021-07-13,0.97431
2021-07-14,0.57573
2021-07-15,0.44286
2021-07-16,0.57573
2021-07-17,0.22143
2021-07-18,0.48715
2021-07-19,1.6829
2021-07-20,1.24003
2021-07-21,0.70859
2021-07-22,1.0186
2021-07-23,0.84145
2021-07-24,0.26572
2021-07-25,4.82728
2021-07-26,1.94862
2021-07-27,0.70859
2021-07-28,1.72719
2021-07-29,1.90434
2021-07-30,0.53144
2021-07-31,0.79716
2021-08-01,1.3286
2021-08-02,1.24003
2021-08-03,0.6643
2021-08-04,1.90434
2021-08-05,1.28432
2021-08-06,1.37289
2021-08-07,1.63861
2021-08-08,6.02302
2021-08-09,8.23737
2021-08-10,0.97431
2021-08-11,1.0186
2021-08-12,1.06288
2021-08-13,1.59433
2021-08-14,0.53144
2021-08-15,0.35429
2021-08-16,0.70859
2021-08-17,1.37289
2021-08-18,0.75287
2021-08-19,1.37289
2021-08-20,0.62001
2021-08-21,0.44286
2021-08-22,0.62001
2021-08-23,1.99291
2021-08-24,1.77147
2021-08-25,1.28432
2021-08-26,0.22143
2021-08-27,1.59433
2021-08-28,100.0
2021-08-29,17.36049
2021-08-30,7.7945
2021-08-31,3.32152
2021-09-01,2.87865
2021-09-02,2.65721
2021-09-03,4.42869
2021-09-04,1.10717
2021-09-05,2.92294
2021-09-06,2.25863
2021-09-07,5.31443
2021-09-08,3.58724
2021-09-09,3.32152
2021-09-10,2.79007
2021-09-11,1.3286
2021-09-12,1.55004
2021-09-13,2.52435
2021-09-14,2.08148
2021-09-15,2.65721
2021-09-16,1.59433
2021-09-17,1.72719
2021-09-18,0.79716
2021-09-19,1.77147
2021-09-20,1.37289
2021-09-21,0.88573
2021-09-22,0.53144
2021-09-23,2.21434
2021-09-24,1.50575
2021-09-25,1.0186
2021-09-26,0.70859
