date,종합부동산세계산기
2020-03-20,10.36809
2020-03-21,5.04294
2020-03-22,5.39877
2020-03-23,6.98159
2020-03-24,6.08588
2020-03-25,5.66871
2020-03-26,4.99386
2020-03-27,3.44785
2020-03-28,2.50306
2020-03-29,2.71165
2020-03-30,4.26993
2020-03-31,3.42331
2020-04-01,3.61963
2020-04-02,8.30674
2020-04-03,10.38036
2020-04-04,3.59509
2020-04-05,2.66257
2020-04-06,3.97546
2020-04-07,4.01226
2020-04-08,3.65644
2020-04-09,2.76073
2020-04-10,2.51533
2020-04-11,1.98773
2020-04-12,1.76687
2020-04-13,2.82208
2020-04-14,3.12883
2020-04-15,2.33128
2020-04-16,5.05521
2020-04-17,3.79141
2020-04-18,3.16564
2020-04-19,3.16564
2020-04-20,4.1595
2020-04-21,4.1595
2020-04-22,3.52147
2020-04-23,3.55828
2020-04-24,3.76687
2020-04-25,2.6503
2020-04-26,2.06134
2020-04-27,3.28834
2020-04-28,6.80981
2020-04-29,7.70552
2020-04-30,4.55214
2020-05-01,4.02453
2020-05-02,2.93251
2020-05-03,2.93251
2020-05-04,3.97546
2020-05-05,4.53987
2020-05-06,5.09202
2020-05-07,4.773
2020-05-08,3.27607
2020-05-09,2.773
2020-05-10,2.63803
2020-05-11,4.06134
2020-05-12,5.33742
2020-05-13,4.07361
2020-05-14,3.37423
2020-05-15,3.80368
2020-05-16,2.34355
2020-05-17,2.53987
2020-05-18,4.78527
2020-05-19,3.97546
2020-05-20,3.90184
2020-05-21,3.05521
2020-05-22,3.34969
2020-05-23,2.19631
2020-05-24,2.36809
2020-05-25,4.02453
2020-05-26,3.3865
2020-05-27,3.32515
2020-05-28,3.03067
2020-05-29,2.4049
2020-05-30,1.8773
2020-05-31,1.96319
2020-06-01,2.8957
2020-06-02,2.4049
2020-06-03,2.74846
2020-06-04,2.69938
2020-06-05,2.50306
2020-06-06,2.07361
2020-06-07,1.97546
2020-06-08,2.93251
2020-06-09,2.31901
2020-06-10,2.49079
2020-06-11,2.31901
2020-06-12,1.95092
2020-06-13,1.76687
2020-06-14,1.91411
2020-06-15,3.41104
2020-06-16,3.32515
2020-06-17,9.46012
2020-06-18,7.42331
2020-06-19,6.24539
2020-06-20,4.96932
2020-06-21,4.67484
2020-06-22,5.77914
2020-06-23,5.28834
2020-06-24,4.87116
2020-06-25,4.22085
2020-06-26,3.59509
2020-06-27,3.43558
2020-06-28,3.41104
2020-06-29,4.53987
2020-06-30,6.12269
2020-07-01,4.8957
2020-07-02,8.87116
2020-07-03,9.65644
2020-07-04,6.04907
2020-07-05,7.09202
2020-07-06,12.06134
2020-07-07,11.06748
2020-07-08,9.17791
2020-07-09,33.23926
2020-07-10,65.34969
2020-07-11,29.52147
2020-07-12,31.54601
2020-07-13,34.13496
2020-07-14,24.74846
2020-07-15,17.10429
2020-07-16,13.46012
2020-07-17,11.31288
2020-07-18,7.79141
2020-07-19,8.74846
2020-07-20,10.72392
2020-07-21,9.15337
2020-07-22,10.95705
2020-07-23,7.52147
2020-07-24,6.38036
2020-07-25,4.83435
2020-07-26,3.74233
2020-07-27,5.55828
2020-07-28,6.61349
2020-07-29,7.06748
2020-07-30,7.30061
2020-07-31,5.86503
2020-08-01,4.0
2020-08-02,3.70552
2020-08-03,5.03067
2020-08-04,16.26993
2020-08-05,9.81595
2020-08-06,6.22085
2020-08-07,5.82822
2020-08-08,4.4049
2020-08-09,4.11042
2020-08-10,6.61349
2020-08-11,7.04294
2020-08-12,9.58282
2020-08-13,6.56441
2020-08-14,4.85889
2020-08-15,4.13496
2020-08-16,5.00613
2020-08-17,4.53987
2020-08-18,5.70552
2020-08-19,5.69325
2020-08-20,5.58282
2020-08-21,5.55828
2020-08-22,4.24539
2020-08-23,4.04907
2020-08-24,4.98159
2020-08-25,6.20858
2020-08-26,5.23926
2020-08-27,4.44171
2020-08-28,3.34969
2020-08-29,2.83435
2020-08-30,2.31901
2020-08-31,3.17791
2020-09-01,3.15337
2020-09-02,3.2638
2020-09-03,2.96932
2020-09-04,2.76073
2020-09-05,2.4049
2020-09-06,2.31901
2020-09-07,3.06748
2020-09-08,5.25153
2020-09-09,4.49079
2020-09-10,3.91411
2020-09-11,3.05521
2020-09-12,2.18404
2020-09-13,2.25766
2020-09-14,5.97546
2020-09-15,4.71165
2020-09-16,5.21472
2020-09-17,7.48466
2020-09-18,6.18404
2020-09-19,3.66871
2020-09-20,3.12883
2020-09-21,5.44785
2020-09-22,4.60122
2020-09-23,4.63803
2020-09-24,3.90184
2020-09-25,4.0
2020-09-26,2.5276
2020-09-27,2.09815
2020-09-28,3.77914
2020-09-29,3.61963
2020-09-30,2.56441
2020-10-01,2.2822
2020-10-02,2.6503
2020-10-03,2.87116
2020-10-04,2.93251
2020-10-05,4.29447
2020-10-06,3.23926
2020-10-07,3.44785
2020-10-08,2.68711
2020-10-09,2.17177
2020-10-10,2.33128
