date,주식매매방
2020-03-20,2.03327
2020-03-21,3.69685
2020-03-22,1.84842
2020-03-25,1.2939
2020-03-26,2.5878
2020-03-27,0.92421
2020-03-28,1.10905
2020-03-29,1.2939
2020-03-30,1.47874
2020-03-31,1.10905
2020-04-01,2.5878
2020-04-02,2.21811
2020-04-03,2.5878
2020-04-04,1.84842
2020-04-05,2.03327
2020-04-06,1.10905
2020-04-07,0.92421
2020-04-08,1.2939
2020-04-09,1.10905
2020-04-11,0.92421
2020-04-12,3.32717
2020-04-13,0.92421
2020-04-14,2.95748
2020-04-16,1.10905
2020-04-17,0.92421
2020-04-18,0.92421
2020-04-19,1.10905
2020-04-20,0.92421
2020-04-21,0.92421
2020-04-26,0.92421
2020-04-27,2.5878
2020-04-28,0.92421
2020-05-02,1.2939
2020-05-03,1.47874
2020-05-05,1.10905
2020-05-07,1.10905
2020-05-09,0.92421
2020-05-10,1.66358
2020-05-11,2.40295
2020-05-12,1.2939
2020-05-13,0.92421
2020-05-15,0.92421
2020-05-16,1.10905
2020-05-17,0.92421
2020-05-18,2.5878
2020-05-21,0.92421
2020-05-22,1.84842
2020-05-23,1.66358
2020-05-24,2.40295
2020-05-27,0.92421
2020-05-28,1.2939
2020-05-29,1.47874
2020-05-30,2.03327
2020-05-31,1.10905
2020-06-01,1.10905
2020-06-03,1.2939
2020-06-05,0.92421
2020-06-06,2.21811
2020-06-07,1.2939
2020-06-08,1.10905
2020-06-10,4.06654
2020-06-11,2.21811
2020-06-15,0.92421
2020-06-22,3.69685
2020-06-24,1.47874
2020-06-27,1.2939
2020-07-04,13.30868
2020-07-05,6.83918
2020-07-06,3.32717
2020-07-07,8.31792
2020-07-08,6.65434
2020-07-09,3.51201
2020-07-10,0.92421
2020-07-11,2.95748
2020-07-12,2.77264
2020-07-13,2.40295
2020-07-14,3.14232
2020-07-15,1.66358
2020-07-17,3.32717
2020-07-18,2.03327
2020-07-19,2.03327
2020-07-20,4.25138
2020-07-21,2.95748
2020-07-22,2.77264
2020-07-23,1.84842
2020-07-24,2.77264
2020-07-26,1.47874
2020-07-27,2.95748
2020-07-30,1.84842
2020-07-31,3.32717
2020-08-01,2.40295
2020-08-02,2.21811
2020-08-03,5.54528
2020-08-04,2.40295
2020-08-06,1.10905
2020-08-07,1.66358
2020-08-08,1.84842
2020-08-09,1.2939
2020-08-11,2.95748
2020-08-13,2.03327
2020-08-14,1.2939
2020-08-15,1.10905
2020-08-17,2.95748
2020-08-18,1.10905
2020-08-19,5.91497
2020-08-20,3.8817
2020-08-21,4.25138
2020-08-22,1.66358
2020-08-23,1.84842
2020-08-24,1.10905
2020-08-25,0.92421
2020-08-28,1.47874
2020-08-30,1.2939
2020-08-31,2.21811
2020-09-01,1.84842
2020-09-05,1.10905
2020-09-06,2.03327
2020-09-07,1.84842
2020-09-09,1.66358
2020-09-10,2.03327
2020-09-12,2.03327
2020-09-13,3.32717
2020-09-15,2.40295
2020-09-16,3.51201
2020-09-18,2.95748
2020-09-19,0.92421
2020-09-20,0.92421
2020-09-22,0.92421
2020-09-25,3.69685
2020-09-26,17.00554
2020-09-27,3.8817
2020-09-28,2.5878
2020-09-29,2.21811
2020-09-30,2.77264
2020-10-01,60.44362
2020-10-02,23.65988
2020-10-03,13.67837
2020-10-04,17.19038
2020-10-05,8.31792
2020-10-06,8.68761
2020-10-07,3.14232
2020-10-08,4.99075
2020-10-09,33.27171
2020-10-10,19.22365
2020-10-11,12.19963
2020-10-12,11.6451
2020-10-13,10.53604
2020-10-14,18.48428
2020-10-15,19.4085
2020-10-16,25.32347
2020-10-17,27.35674
2020-10-18,33.6414
2020-10-19,24.76894
2020-10-20,16.8207
2020-10-21,17.37523
2020-10-22,9.24214
2020-10-23,8.31792
2020-10-24,6.09981
2020-10-25,9.24214
2020-10-26,4.62107
2020-10-27,3.8817
2020-10-28,5.73012
2020-10-29,4.06654
2020-10-30,3.8817
2020-10-31,4.06654
2020-11-01,8.13308
2020-11-02,5.1756
2020-11-03,3.51201
2020-11-04,1.47874
2020-11-05,3.14232
2020-11-06,3.8817
2020-11-07,2.77264
2020-11-08,4.06654
2020-11-09,2.77264
2020-11-10,3.51201
2020-11-11,2.95748
2020-11-12,2.77264
2020-11-13,5.54528
2020-11-14,3.51201
2020-11-15,4.99075
2020-11-16,2.40295
2020-11-17,4.99075
2020-11-18,2.77264
2020-11-19,2.40295
2020-11-20,7.02402
2020-11-21,8.13308
2020-11-22,8.31792
2020-11-23,9.61182
2020-11-24,6.09981
2020-11-25,4.43622
2020-11-26,3.32717
2020-11-27,7.02402
2020-11-28,9.0573
2020-11-29,7.7634
