date,주식시세표
2020-03-20,100.0
2020-03-21,31.00113
2020-03-22,23.20819
2020-03-23,99.37428
2020-03-24,89.07849
2020-03-25,87.20136
2020-03-26,88.11149
2020-03-27,78.15699
2020-03-28,25.08532
2020-03-29,17.23549
2020-03-30,73.43572
2020-03-31,60.63708
2020-04-01,68.14562
2020-04-02,63.59499
2020-04-03,48.46416
2020-04-04,17.12172
2020-04-05,13.36746
2020-04-06,44.65301
2020-04-07,49.54493
2020-04-08,49.77246
2020-04-09,46.0182
2020-04-10,47.15585
2020-04-11,12.74175
2020-04-12,10.86461
2020-04-13,41.18316
2020-04-14,36.86006
2020-04-15,13.08304
2020-04-16,36.51877
2020-04-17,37.48577
2020-04-18,11.8885
2020-04-19,8.47554
2020-04-20,36.29124
2020-04-21,41.80887
2020-04-22,48.12286
2020-04-23,40.50056
2020-04-24,34.30034
2020-04-25,8.13424
2020-04-26,6.88282
2020-04-27,32.70762
2020-04-28,33.73151
2020-04-29,32.99203
2020-04-30,9.78384
2020-05-01,8.98748
2020-05-02,7.56541
2020-05-03,5.85893
2020-05-04,30.31854
2020-05-05,9.89761
2020-05-06,31.1149
2020-05-07,26.67804
2020-05-08,23.43572
2020-05-09,5.74516
2020-05-10,4.89192
2020-05-11,24.85779
2020-05-12,23.72013
2020-05-13,25.42662
2020-05-14,26.45051
2020-05-15,23.54948
2020-05-16,5.68828
2020-05-17,5.00568
2020-05-18,21.67235
2020-05-19,24.00455
2020-05-20,25.36973
2020-05-21,26.67804
2020-05-22,23.1513
2020-05-23,5.00568
2020-05-24,5.2901
2020-05-25,24.23208
2020-05-26,25.42662
2020-05-27,22.86689
2020-05-28,22.98065
2020-05-29,23.72013
2020-05-30,6.31399
2020-05-31,3.75426
2020-06-01,20.87599
2020-06-02,21.67235
2020-06-03,26.90557
2020-06-04,27.36063
2020-06-05,28.83959
2020-06-06,7.05346
2020-06-07,4.55062
2020-06-08,24.34584
2020-06-09,26.22298
2020-06-10,25.71103
2020-06-11,24.63026
2020-06-12,27.70193
2020-06-13,6.42775
2020-06-14,4.9488
2020-06-15,29.80659
2020-06-16,30.26166
2020-06-17,37.20136
2020-06-18,27.18998
2020-06-19,25.36973
2020-06-20,5.80204
2020-06-21,4.20932
2020-06-22,21.89988
2020-06-23,20.98976
2020-06-24,22.41183
2020-06-25,24.68714
2020-06-26,19.5108
2020-06-27,5.23321
2020-06-28,4.55062
2020-06-29,20.42093
2020-06-30,20.36405
2020-07-01,20.13651
2020-07-02,20.70534
2020-07-03,20.42093
2020-07-04,5.2901
2020-07-05,4.55062
2020-07-06,21.72923
2020-07-07,25.19908
2020-07-08,20.36405
2020-07-09,18.77133
2020-07-10,18.77133
2020-07-11,4.72127
2020-07-12,4.03868
2020-07-13,20.13651
2020-07-14,19.16951
2020-07-15,21.55858
2020-07-16,21.67235
2020-07-17,19.28327
2020-07-18,5.23321
2020-07-19,5.06257
2020-07-20,20.76222
2020-07-21,21.04664
2020-07-22,24.85779
2020-07-23,23.89078
2020-07-24,22.69624
2020-07-25,6.9397
2020-07-26,8.47554
2020-07-27,20.64846
2020-07-28,22.86689
2020-07-29,22.46871
2020-07-30,20.25028
2020-07-31,20.76222
2020-08-01,5.11945
2020-08-02,5.57451
2020-08-03,19.05574
2020-08-04,21.78612
2020-08-05,22.69624
2020-08-06,22.29806
2020-08-07,23.09442
2020-08-08,6.65529
2020-08-09,5.23321
2020-08-10,24.34584
2020-08-11,26.62116
2020-08-12,26.73492
2020-08-13,24.68714
2020-08-14,22.46871
2020-08-15,6.14334
2020-08-16,5.06257
2020-08-17,10.18202
2020-08-18,26.50739
2020-08-19,24.63026
2020-08-20,30.7736
2020-08-21,25.99544
2020-08-22,7.73606
2020-08-23,5.06257
2020-08-24,22.69624
2020-08-25,23.43572
2020-08-26,23.72013
2020-08-27,20.93287
2020-08-28,21.27417
2020-08-29,6.9397
2020-08-30,7.39476
2020-08-31,23.32195
2020-09-01,23.4926
2020-09-02,23.72013
2020-09-03,23.94766
2020-09-04,27.41751
2020-09-05,9.27189
2020-09-06,7.90671
2020-09-07,25.71103
2020-09-08,24.91467
2020-09-09,24.40273
2020-09-10,24.34584
2020-09-11,22.75312
2020-09-12,7.50853
2020-09-13,5.74516
2020-09-14,21.55858
2020-09-15,23.60637
2020-09-16,20.64846
2020-09-17,20.53469
2020-09-18,19.22639
2020-09-19,6.25711
2020-09-20,4.49374
2020-09-21,20.47781
2020-09-22,21.95676
2020-09-23,23.60637
2020-09-24,28.66894
2020-09-25,21.1604
2020-09-26,5.80204
2020-09-27,4.49374
2020-09-28,20.59158
2020-09-29,17.57679
2020-09-30,6.25711
2020-10-01,6.99658
2020-10-02,7.11035
2020-10-03,4.03868
2020-10-04,4.72127
2020-10-05,21.10352
2020-10-06,16.09783
2020-10-07,17.80432
2020-10-08,18.03185
2020-10-09,7.281
2020-10-10,4.55062
2020-10-11,4.43686
2020-10-12,16.83731
2020-10-13,18.37315
2020-10-14,19.90898
2020-10-15,19.11262
2020-10-16,19.22639
2020-10-17,5.40386
2020-10-18,4.32309
2020-10-19,16.38225
2020-10-20,17.34926
2020-10-21,20.70534
2020-10-22,15.81342
2020-10-23,15.13083
2020-10-24,4.77815
2020-10-25,5.2901
2020-10-26,15.92718
2020-10-27,17.29237
2020-10-28,16.04095
2020-10-29,16.5529
2020-10-30,14.78953
2020-10-31,6.42775
2020-11-01,4.32309
2020-11-02,14.67576
2020-11-03,16.66666
2020-11-04,16.09783
2020-11-05,18.03185
2020-11-06,15.75654
2020-11-07,4.03868
2020-11-08,3.24232
2020-11-09,18.14562
2020-11-10,21.67235
2020-11-11,18.25938
2020-11-12,18.88509
2020-11-13,19.79522
2020-11-14,5.23321
2020-11-15,4.77815
2020-11-16,21.1604
2020-11-17,26.50739
2020-11-18,22.69624
2020-11-19,22.81001
2020-11-20,20.87599
2020-11-21,5.11945
2020-11-22,4.32309
2020-11-23,22.86689
2020-11-24,26.33674
2020-11-25,25.99544
2020-11-26,25.19908
2020-11-27,21.61547
2020-11-28,7.79294
2020-11-29,6.88282
2020-11-30,22.24118
2020-12-01,24.17519
2020-12-02,25.08532
2020-12-03,30.48919
2020-12-04,25.31285
2020-12-05,7.33788
2020-12-06,7.96359
2020-12-07,29.29465
2020-12-08,33.04891
2020-12-09,31.56996
2020-12-10,31.51308
2020-12-11,28.95335
2020-12-12,8.5893
2020-12-13,6.82593
2020-12-14,27.30375
2020-12-15,28.66894
2020-12-16,27.07622
2020-12-17,30.31854
2020-12-18,28.61205
2020-12-19,8.30489
2020-12-20,5.46075
2020-12-21,31.51308
2020-12-22,30.65984
2020-12-23,33.27645
2020-12-24,29.124
2020-12-25,9.15813
2020-12-26,5.97269
2020-12-27,7.62229
2020-12-28,31.62684
2020-12-29,30.4323
2020-12-30,30.03412
2020-12-31,14.39135
2021-01-01,7.67918
2021-01-02,9.15813
2021-01-03,10.01137
2021-01-04,41.29692
2021-01-05,45.96131
2021-01-06,49.94311
2021-01-07,44.99431
2021-01-08,55.11945
2021-01-09,20.07963
2021-01-10,15.8703
2021-01-11,71.72923
2021-01-12,65.18771
2021-01-13,51.59271
2021-01-14,54.77815
2021-01-15,54.6075
2021-01-16,16.04095
2021-01-17,14.44823
2021-01-18,55.91581
2021-01-19,52.90102
2021-01-20,51.87713
2021-01-21,47.09897
2021-01-22,47.15585
2021-01-23,13.99317
2021-01-24,14.33447
2021-01-25,44.99431
2021-01-26,56.37087
2021-01-27,50.56882
2021-01-28,55.23321
2021-01-29,54.20932
2021-01-30,17.29237
2021-01-31,11.8885
2021-02-01,54.32309
2021-02-02,49.71558
2021-02-03,47.6678
2021-02-04,49.77246
2021-02-05,43.74288
2021-02-06,13.48122
2021-02-07,10.46643
2021-02-08,46.24573
2021-02-09,39.81797
2021-02-10,35.21046
2021-02-11,11.49032
2021-02-12,9.21501
2021-02-13,12.05915
2021-02-14,11.31968
2021-02-15,34.64163
2021-02-16,40.55745
2021-02-17,42.77588
2021-02-18,44.59613
2021-02-19,43.57224
2021-02-20,12.2298
2021-02-21,13.99317
2021-02-22,41.01251
2021-02-23,44.88054
2021-02-24,50.79635
2021-02-25,46.07508
2021-02-26,46.58703
2021-02-27,11.14903
2021-02-28,16.32536
2021-03-01,12.28668
2021-03-02,40.7281
2021-03-03,39.98862
