date,주식장외거래
2020-03-20,51.23062
2020-03-21,16.86417
2020-03-22,12.12397
2020-03-23,50.50136
2020-03-24,61.44029
2020-03-25,100.0
2020-03-26,96.80948
2020-03-27,88.33181
2020-03-28,25.61531
2020-03-29,26.0711
2020-03-30,68.0948
2020-03-31,73.10847
2020-04-01,73.29079
2020-04-02,60.71103
2020-04-03,54.96809
2020-04-04,17.41112
2020-04-05,12.4886
2020-04-06,44.12032
2020-04-07,53.32725
2020-04-08,53.50957
2020-04-09,52.41567
2020-04-10,43.02643
2020-04-11,11.75934
2020-04-12,10.30082
2020-04-13,31.99635
2020-04-14,27.80309
2020-04-15,10.7566
2020-04-16,19.32543
2020-04-17,23.79216
2020-04-18,7.93072
2020-04-19,8.47766
2020-04-20,26.52689
2020-04-21,19.50774
2020-04-22,26.61804
2020-04-23,26.43573
2020-04-24,19.87237
2020-04-25,6.0164
2020-04-26,4.28441
2020-04-27,15.4968
2020-04-28,19.69006
2020-04-29,15.31449
2020-04-30,7.56608
2020-05-01,6.47219
2020-05-02,3.46399
2020-05-03,3.09936
2020-05-04,12.57976
2020-05-05,5.01367
2020-05-06,10.84776
2020-05-07,10.66545
2020-05-08,12.57976
2020-05-09,4.10209
2020-05-10,3.28167
2020-05-11,13.03555
2020-05-12,14.8587
2020-05-13,24.97721
2020-05-14,20.69279
2020-05-15,18.50501
2020-05-16,6.19872
2020-05-17,5.28714
2020-05-18,18.59617
2020-05-19,24.97721
2020-05-20,27.25615
2020-05-21,33.8195
2020-05-22,36.37192
2020-05-23,8.3865
2020-05-24,9.29808
2020-05-25,27.89425
2020-05-26,27.52962
2020-05-27,33.36371
2020-05-28,29.71741
2020-05-29,35.00455
2020-05-30,10.1185
2020-05-31,7.01914
2020-06-01,23.42752
2020-06-02,32.81677
2020-06-03,27.25615
2020-06-04,19.50774
2020-06-05,14.40291
2020-06-06,4.83135
2020-06-07,4.10209
2020-06-08,14.40291
2020-06-09,16.13491
2020-06-10,15.31449
2020-06-11,15.95259
2020-06-12,16.5907
2020-06-13,4.64904
2020-06-14,3.82862
2020-06-15,16.13491
2020-06-16,45.67
2020-06-17,22.78942
2020-06-18,19.41659
2020-06-19,15.95259
2020-06-20,4.46672
2020-06-21,5.92525
2020-06-22,14.40291
