date,주식초보
2020-03-20,52.35798
2020-03-21,31.35048
2020-03-22,26.6881
2020-03-23,40.35369
2020-03-24,44.48017
2020-03-25,50.5359
2020-03-26,53.32261
2020-03-27,45.28403
2020-03-28,28.18863
2020-03-29,26.04501
2020-03-30,38.69239
2020-03-31,34.35155
2020-04-01,37.94212
2020-04-02,34.94105
2020-04-03,28.67095
2020-04-04,16.55948
2020-04-05,14.57663
2020-04-06,25.83065
2020-04-07,32.10075
2020-04-08,31.51125
2020-04-09,30.17148
2020-04-10,27.59914
2020-04-11,19.45337
2020-04-12,17.25616
2020-04-13,21.75777
2020-04-14,22.07931
2020-04-15,16.61307
2020-04-16,16.4523
2020-04-17,22.34726
2020-04-18,16.07717
2020-04-19,17.14898
2020-04-20,21.70418
2020-04-21,22.61521
2020-04-22,31.51125
2020-04-23,23.52625
2020-04-24,17.89924
2020-04-25,13.45123
2020-04-26,15.43408
2020-04-27,21.97213
2020-04-28,19.93569
2020-04-29,19.45337
2020-04-30,14.89817
2020-05-01,12.32583
2020-05-02,9.6463
2020-05-03,8.4673
2020-05-04,14.52304
2020-05-05,14.95176
2020-05-06,15.80921
2020-05-07,14.52304
2020-05-08,14.2015
2020-05-09,11.46838
2020-05-10,7.39549
2020-05-11,11.20042
2020-05-12,16.07717
2020-05-13,14.89817
2020-05-14,18.81028
2020-05-15,14.84458
2020-05-16,10.45016
2020-05-17,8.84244
2020-05-18,13.39764
2020-05-19,16.82743
2020-05-20,15.64844
2020-05-21,20.09646
2020-05-22,15.27331
2020-05-23,12.16505
2020-05-24,11.8971
2020-05-25,17.36334
2020-05-26,20.68595
2020-05-27,20.79314
2020-05-28,17.79206
2020-05-29,17.09539
2020-05-30,9.59271
2020-05-31,8.30653
2020-06-01,17.68488
2020-06-02,19.66773
2020-06-03,24.43729
2020-06-04,24.00857
2020-06-05,21.81136
2020-06-06,13.82636
2020-06-07,13.77277
2020-06-08,22.66881
2020-06-09,25.88424
2020-06-10,22.40085
2020-06-11,22.02572
2020-06-12,17.79206
2020-06-13,11.46838
2020-06-14,12.54019
2020-06-15,19.50696
2020-06-16,21.48981
2020-06-17,20.15005
2020-06-18,21.43622
2020-06-19,18.75669
2020-06-20,10.98606
2020-06-21,9.96784
2020-06-22,17.79206
2020-06-23,18.43515
2020-06-24,21.86495
2020-06-25,20.25723
2020-06-26,14.84458
2020-06-27,11.46838
2020-06-28,11.46838
2020-06-29,14.95176
2020-06-30,17.36334
2020-07-01,16.50589
2020-07-02,18.1672
2020-07-03,18.32797
2020-07-04,10.82529
2020-07-05,14.57663
2020-07-06,21.65058
2020-07-07,24.81243
2020-07-08,20.31082
2020-07-09,22.99035
2020-07-10,17.52411
2020-07-11,12.80814
2020-07-12,15.3269
2020-07-13,23.63344
2020-07-14,24.22293
2020-07-15,23.09753
