date,주택임대사업자
2020-03-20,3.37328
2020-03-21,2.69862
2020-03-22,2.20652
2020-03-23,3.72251
2020-03-24,4.45273
2020-03-25,3.96063
2020-03-26,4.23843
2020-03-27,3.42884
2020-03-28,2.60338
2020-03-29,2.34939
2020-03-30,4.18287
2020-03-31,3.85744
2020-04-01,3.87332
2020-04-02,3.61139
2020-04-03,3.80188
2020-04-04,2.28589
2020-04-05,1.99222
2020-04-06,3.98444
2020-04-07,3.99238
2020-04-08,4.06381
2020-04-09,3.95269
2020-04-10,2.9288
2020-04-11,2.73831
2020-04-12,2.01603
2020-04-13,4.57179
2020-04-14,4.44479
2020-04-15,2.9923
2020-04-16,4.5321
2020-04-17,4.11937
2020-04-18,3.23041
2020-04-19,3.2066
2020-04-20,4.57179
2020-04-21,4.82577
2020-04-22,9.52456
2020-04-23,5.69886
2020-04-24,5.55599
2020-04-25,3.17485
2020-04-26,3.27803
2020-04-27,4.65116
2020-04-28,4.81784
2020-04-29,4.12731
2020-04-30,3.25422
2020-05-01,3.70664
2020-05-02,3.01611
2020-05-03,3.11135
2020-05-04,5.10357
2020-05-05,3.85744
2020-05-06,5.06389
2020-05-07,5.1512
2020-05-08,4.71465
2020-05-09,3.57171
2020-05-10,3.36534
2020-05-11,5.96872
2020-05-12,6.1354
2020-05-13,5.86554
2020-05-14,6.07191
2020-05-15,5.49249
2020-05-16,4.7464
2020-05-17,4.23049
2020-05-18,6.59576
2020-05-19,6.42114
2020-05-20,6.81006
2020-05-21,6.50051
2020-05-22,6.93705
2020-05-23,4.92896
2020-05-24,4.46067
2020-05-25,8.05619
2020-05-26,7.51646
2020-05-27,6.97674
2020-05-28,6.84181
2020-05-29,7.61965
2020-05-30,4.97658
2020-05-31,5.25438
2020-06-01,7.62758
2020-06-02,6.63544
2020-06-03,6.691
2020-06-04,6.31002
2020-06-05,6.64338
2020-06-06,6.32589
2020-06-07,5.33375
2020-06-08,7.61171
2020-06-09,7.0958
2020-06-10,7.33391
2020-06-11,7.13548
2020-06-12,7.93713
2020-06-13,5.39725
2020-06-14,5.40519
2020-06-15,8.6356
2020-06-16,8.49273
2020-06-17,13.83443
2020-06-18,13.03278
2020-06-19,11.29454
2020-06-20,8.33399
2020-06-21,8.67529
2020-06-22,11.54059
2020-06-23,10.16747
2020-06-24,10.50877
2020-06-25,10.13572
2020-06-26,8.65941
2020-06-27,6.01635
2020-06-28,7.96888
2020-06-29,14.05667
2020-06-30,13.49313
2020-07-01,10.31827
2020-07-02,8.28637
2020-07-03,10.04841
2020-07-04,8.8499
2020-07-05,17.59663
2020-07-06,36.89975
2020-07-07,45.2893
2020-07-08,35.67743
2020-07-09,49.90078
2020-07-10,100.0
2020-07-11,42.74942
2020-07-12,33.71696
2020-07-13,35.98698
2020-07-14,29.18485
2020-07-15,21.98587
2020-07-16,18.48559
2020-07-17,15.82665
2020-07-18,12.8026
2020-07-19,13.58044
2020-07-20,17.49345
2020-07-21,14.57258
2020-07-22,19.1285
2020-07-23,16.15207
2020-07-24,13.77887
2020-07-25,13.02484
2020-07-26,13.31058
2020-07-27,19.72378
2020-07-28,23.19231
2020-07-29,24.75593
2020-07-30,25.97031
2020-07-31,22.73196
2020-08-01,14.89007
2020-08-02,14.25509
2020-08-03,20.6048
2020-08-04,30.24843
2020-08-05,19.58091
2020-08-06,18.34272
2020-08-07,49.74998
2020-08-08,28.58163
2020-08-09,16.20763
2020-08-10,18.27922
2020-08-11,20.76355
2020-08-12,21.16834
2020-08-13,17.64425
2020-08-14,14.49321
2020-08-15,23.87491
2020-08-16,15.05675
2020-08-17,15.15199
2020-08-18,18.48559
2020-08-19,16.76323
2020-08-20,15.36629
2020-08-21,12.12
2020-08-22,9.90554
2020-08-23,8.90546
2020-08-24,13.32645
2020-08-25,11.81839
2020-08-26,11.22311
2020-08-27,10.04047
2020-08-28,9.23882
2020-08-29,8.10381
2020-08-30,6.76244
2020-08-31,12.17556
2020-09-01,11.94539
2020-09-02,11.23105
2020-09-03,10.32621
2020-09-04,10.35002
2020-09-05,8.07206
2020-09-06,7.17517
2020-09-07,11.58822
2020-09-08,11.00881
2020-09-09,10.35002
2020-09-10,10.57226
2020-09-11,10.34209
2020-09-12,8.03238
2020-09-13,7.50853
2020-09-14,12.16763
2020-09-15,10.50083
2020-09-16,10.19128
2020-09-17,10.33415
2020-09-18,8.77847
2020-09-19,7.28629
2020-09-20,6.44495
2020-09-21,9.00865
2020-09-22,9.0404
2020-09-23,9.22295
2020-09-24,8.08794
2020-09-25,7.00055
2020-09-26,6.15921
2020-09-27,5.30994
2020-09-28,7.85776
2020-09-29,6.1989
2020-09-30,3.89713
2020-10-01,4.38923
2020-10-02,4.75434
2020-10-03,5.11151
2020-10-04,5.51631
2020-10-05,10.31827
2020-10-06,9.43725
2020-10-07,9.31026
2020-10-08,7.94507
2020-10-09,5.96079
2020-10-10,5.96079
2020-10-11,6.53226
2020-10-12,9.61187
2020-10-13,10.21509
2020-10-14,9.39757
2020-10-15,9.69918
2020-10-16,8.05619
2020-10-17,7.3101
2020-10-18,6.43701
2020-10-19,9.88173
2020-10-20,9.73093
2020-10-21,9.87379
2020-10-22,9.32613
2020-10-23,9.59599
2020-10-24,7.75458
2020-10-25,6.73069
2020-10-26,9.39757
2020-10-27,9.6833
2020-10-28,9.92935
2020-10-29,8.33399
2020-10-30,7.34185
2020-10-31,7.31804
2020-11-01,7.56409
2020-11-02,9.84205
2020-11-03,9.62774
2020-11-04,7.74664
2020-11-05,8.4213
2020-11-06,8.32605
2020-11-07,7.56409
2020-11-08,6.02428
2020-11-09,9.86586
2020-11-10,11.01674
2020-11-11,9.61981
2020-11-12,8.83403
2020-11-13,7.93713
2020-11-14,6.12747
2020-11-15,7.4609
2020-11-16,9.20707
2020-11-17,8.67529
2020-11-18,10.34209
2020-11-19,11.23898
2020-11-20,8.16731
2020-11-21,6.72275
2020-11-22,7.15929
2020-11-23,9.85792
2020-11-24,9.37375
2020-11-25,10.35002
2020-11-26,10.67545
2020-11-27,9.85792
2020-11-28,8.11969
2020-11-29,10.73101
2020-11-30,14.12016
2020-12-01,12.74704
2020-12-02,10.59607
2020-12-03,9.50075
2020-12-04,8.08794
2020-12-05,7.55615
2020-12-06,7.19898
2020-12-07,10.03254
2020-12-08,10.80244
2020-12-09,11.49297
2020-12-10,10.40558
2020-12-11,9.00865
2020-12-12,8.46892
2020-12-13,9.1912
2020-12-14,11.86602
2020-12-15,10.34209
2020-12-16,9.37375
2020-12-17,9.14358
2020-12-18,8.9769
2020-12-19,9.18326
2020-12-20,8.84197
2020-12-21,11.40566
