date,중소기업청년지원금
2020-03-20,43.50059
2020-03-21,25.32595
2020-03-22,24.53575
2020-03-23,57.17107
2020-03-24,69.61675
2020-03-25,58.11932
2020-03-26,51.52113
2020-03-27,46.06874
2020-03-28,26.27419
2020-03-29,27.89411
2020-03-30,100.0
2020-03-31,72.73804
2020-04-01,60.09482
2020-04-02,51.7977
2020-04-03,52.90399
2020-04-04,29.79059
2020-04-05,29.67206
2020-04-06,54.40537
2020-04-07,55.03753
2020-04-08,49.86171
2020-04-09,51.36309
2020-04-10,47.21453
2020-04-11,29.90912
2020-04-12,27.77558
2020-04-13,52.98301
2020-04-14,51.28407
2020-04-15,33.03042
2020-04-16,49.50612
2020-04-17,46.10825
2020-04-18,28.76333
2020-04-19,28.92137
2020-04-20,50.6124
2020-04-21,47.92572
2020-04-22,48.59739
2020-04-23,46.06874
2020-04-24,35.04543
2020-04-25,23.19241
2020-04-26,24.21967
2020-04-27,49.22955
2020-04-28,43.81667
2020-04-29,43.06598
2020-04-30,28.68431
2020-05-01,29.0399
2020-05-02,19.00434
2020-05-03,21.05887
2020-05-04,32.12169
2020-05-05,22.95535
2020-05-06,41.40655
2020-05-07,33.93915
2020-05-08,27.81509
2020-05-09,14.10509
2020-05-10,13.82852
2020-05-11,31.25246
2020-05-12,29.47451
2020-05-13,25.00987
2020-05-14,27.81509
2020-05-15,23.66653
2020-05-16,13.67048
2020-05-17,12.24812
2020-05-18,25.68154
2020-05-19,23.78506
2020-05-20,24.25918
2020-05-21,22.87633
2020-05-22,20.90082
2020-05-23,10.94429
2020-05-24,11.69498
2020-05-25,26.90636
2020-05-26,23.58751
2020-05-27,21.65152
2020-05-28,21.37495
2020-05-29,19.12287
2020-05-30,10.9838
2020-05-31,10.78625
2020-06-01,27.30146
2020-06-02,22.7578
2020-06-03,20.50572
2020-06-04,20.26866
2020-06-05,15.44843
2020-06-06,11.10233
2020-06-07,11.14184
2020-06-08,20.54523
2020-06-09,23.35045
2020-06-10,24.49624
2020-06-11,19.12287
2020-06-12,17.54247
2020-06-13,11.14184
2020-06-14,12.24812
2020-06-15,22.3627
2020-06-16,23.07388
2020-06-17,19.75503
2020-06-18,17.81904
2020-06-19,15.56696
2020-06-20,9.64045
2020-06-21,11.69498
2020-06-22,22.04662
2020-06-23,21.33544
2020-06-24,22.08613
2020-06-25,19.43895
2020-06-26,15.725
2020-06-27,9.08731
2020-06-28,9.48241
2020-06-29,19.87356
2020-06-30,21.29593
2020-07-01,21.25642
2020-07-02,18.37218
2020-07-03,24.77281
2020-07-04,10.39114
2020-07-05,9.838
2020-07-06,19.32042
2020-07-07,18.0561
2020-07-08,18.25365
2020-07-09,16.8708
2020-07-10,14.73725
2020-07-11,8.77123
2020-07-12,7.70446
2020-07-13,17.14737
2020-07-14,17.77953
2020-07-15,19.16238
2020-07-16,16.55472
2020-07-17,14.30264
2020-07-18,6.63769
2020-07-19,7.38838
2020-07-20,16.19913
2020-07-21,16.91031
2020-07-22,16.59423
2020-07-23,16.04109
2020-07-24,13.47293
2020-07-25,6.6772
2020-07-26,7.0723
2020-07-27,16.00158
2020-07-28,17.74002
2020-07-29,14.02607
2020-07-30,13.67048
2020-07-31,14.38166
2020-08-01,8.57368
2020-08-02,7.70446
2020-08-03,16.12011
2020-08-04,16.12011
2020-08-05,16.0806
2020-08-06,14.57921
2020-08-07,13.7495
2020-08-08,7.38838
2020-08-09,8.61319
2020-08-10,19.43895
2020-08-11,15.01382
2020-08-12,17.50296
2020-08-13,17.58198
2020-08-14,15.21137
2020-08-15,8.13907
2020-08-16,8.29711
2020-08-17,12.91979
2020-08-18,16.8708
2020-08-19,21.13789
2020-08-20,18.53022
2020-08-21,18.60924
2020-08-22,10.2331
2020-08-23,10.47016
2020-08-24,20.78229
2020-08-25,22.28368
2020-08-26,21.77005
2020-08-27,19.28091
2020-08-28,16.15962
2020-08-29,8.77123
2020-08-30,11.73449
2020-08-31,21.61201
2020-09-01,23.1529
2020-09-02,21.53299
2020-09-03,20.38719
2020-09-04,16.79178
2020-09-05,10.43065
2020-09-06,11.53694
2020-09-07,18.09561
2020-09-08,23.50849
2020-09-09,18.80679
2020-09-10,18.76728
2020-09-11,15.40892
2020-09-12,8.09956
2020-09-13,8.69221
2020-09-14,15.92256
2020-09-15,15.05333
2020-09-16,14.5397
2020-09-17,11.65547
2020-09-18,11.10233
2020-09-19,7.74397
2020-09-20,7.66495
2020-09-21,11.774
2020-09-22,13.55195
2020-09-23,13.03832
2020-09-24,15.40892
2020-09-25,17.77953
2020-09-26,7.38838
2020-09-27,7.90201
2020-09-28,11.89253
2020-09-29,9.36388
2020-09-30,6.16357
2020-10-01,6.00553
2020-10-02,4.38561
2020-10-03,5.25483
2020-10-04,6.87475
2020-10-05,15.48794
2020-10-06,17.06835
2020-10-07,15.25088
2020-10-08,14.26313
2020-10-09,6.99328
2020-10-10,5.92651
2020-10-11,7.4674
2020-10-12,17.22639
2020-10-13,13.23587
2020-10-14,14.22362
2020-10-15,14.50019
2020-10-16,12.20861
2020-10-17,6.6772
2020-10-18,6.47965
2020-10-19,13.78901
2020-10-20,16.31766
2020-10-21,13.07783
2020-10-22,12.12959
2020-10-23,12.36665
2020-10-24,6.2821
2020-10-25,4.89924
2020-10-26,13.31489
2020-10-27,14.26313
2020-10-28,14.34215
2020-10-29,14.46068
2020-10-30,10.86527
2020-10-31,6.08455
2020-11-01,6.95377
2020-11-02,14.26313
2020-11-03,12.99881
2020-11-04,11.81351
2020-11-05,14.34215
2020-11-06,10.07506
2020-11-07,6.47965
2020-11-08,6.47965
2020-11-09,13.59146
2020-11-10,13.63097
2020-11-11,13.51244
2020-11-12,16.0806
2020-11-13,11.49743
2020-11-14,6.71671
2020-11-15,8.69221
2020-11-16,15.36941
2020-11-17,16.31766
2020-11-18,14.10509
2020-11-19,11.26037
2020-11-20,11.65547
2020-11-21,8.2576
2020-11-22,8.6527
2020-11-23,16.59423
2020-11-24,17.74002
2020-11-25,16.71276
2020-11-26,16.94982
2020-11-27,12.9593
2020-11-28,7.8625
2020-11-29,9.36388
2020-11-30,15.68549
2020-12-01,16.35717
2020-12-02,15.84354
2020-12-03,14.42117
2020-12-04,12.01106
2020-12-05,8.06005
2020-12-06,8.85025
2020-12-07,16.0806
2020-12-08,13.63097
2020-12-09,14.65823
2020-12-10,17.54247
2020-12-11,14.65823
2020-12-12,8.81074
2020-12-13,10.70723
2020-12-14,16.19913
2020-12-15,20.62425
2020-12-16,16.83129
2020-12-17,16.0806
2020-12-18,14.81627
2020-12-19,8.45515
2020-12-20,8.96878
2020-12-21,16.91031
