date,증시현황
2020-03-20,100.0
2020-03-21,20.84682
2020-03-22,11.57581
2020-03-23,88.3206
2020-03-24,91.36345
2020-03-25,82.15719
2020-03-26,83.40023
2020-03-27,76.91311
2020-03-28,18.60675
2020-03-29,8.13155
2020-03-30,70.95688
2020-03-31,58.83723
2020-04-01,71.63019
2020-04-02,70.29651
2020-04-03,54.55134
2020-04-04,13.51806
2020-04-05,6.27994
2020-04-06,49.82519
2020-04-07,56.54538
2020-04-08,53.37304
2020-04-09,50.08416
2020-04-10,49.50148
2020-04-11,10.78596
2020-04-12,5.68431
2020-04-13,44.56817
2020-04-14,42.36695
2020-04-15,14.46329
2020-04-16,41.48646
2020-04-17,42.09504
2020-04-18,9.12857
2020-04-19,4.45422
2020-04-20,37.48543
2020-04-21,55.52246
2020-04-22,49.91583
2020-04-23,40.19163
2020-04-24,41.08507
2020-04-25,8.41641
2020-04-26,4.42833
2020-04-27,31.8529
2020-04-28,39.31114
2020-04-29,33.36786
2020-04-30,9.93137
2020-05-01,11.05787
2020-05-02,6.2152
2020-05-03,3.06875
2020-05-04,35.55613
2020-05-05,11.86067
2020-05-06,32.57801
2020-05-07,31.91764
2020-05-08,27.67059
2020-05-09,6.55185
2020-05-10,3.18529
2020-05-11,30.07898
2020-05-12,33.834
2020-05-13,33.48439
2020-05-14,33.22543
2020-05-15,29.58694
2020-05-16,5.60662
2020-05-17,3.34067
2020-05-18,27.55405
2020-05-19,32.2284
2020-05-20,30.04013
2020-05-21,30.10488
2020-05-22,31.52919
2020-05-23,6.34468
2020-05-24,3.44425
2020-05-25,24.5112
2020-05-26,28.11083
2020-05-27,29.78117
2020-05-28,40.43765
2020-05-29,28.90068
2020-05-30,5.90444
2020-05-31,3.1076
2020-06-01,26.0132
2020-06-02,26.80305
2020-06-03,31.91764
2020-06-04,34.10591
2020-06-05,29.08196
2020-06-06,6.43532
2020-06-07,3.22413
2020-06-08,28.20147
2020-06-09,32.88877
2020-06-10,29.28913
2020-06-11,35.67266
2020-06-12,50.09711
2020-06-13,8.52
2020-06-14,3.94924
2020-06-15,69.1959
2020-06-16,48.29729
2020-06-17,46.21261
2020-06-18,35.32306
2020-06-19,31.65868
2020-06-20,5.26997
2020-06-21,2.87453
2020-06-22,28.38275
2020-06-23,30.71345
2020-06-24,27.81302
2020-06-25,33.79515
2020-06-26,30.16962
2020-06-27,6.5648
2020-06-28,2.87453
2020-06-29,31.77521
2020-06-30,31.1019
2020-07-01,31.15369
2020-07-02,26.68652
2020-07-03,26.12974
2020-07-04,4.80383
2020-07-05,2.29185
2020-07-06,24.52414
2020-07-07,31.81406
2020-07-08,27.35983
2020-07-09,26.065
2020-07-10,25.75424
2020-07-11,5.12754
2020-07-12,2.35659
2020-07-13,22.63369
2020-07-14,28.48633
2020-07-15,26.77715
2020-07-16,29.08196
2020-07-17,24.49825
2020-07-18,4.2341
2020-07-19,2.21416
2020-07-20,22.5042
2020-07-21,25.27515
2020-07-22,25.67655
2020-07-23,25.81898
2020-07-24,26.97138
2020-07-25,5.65842
2020-07-26,2.38249
2020-07-27,22.95739
2020-07-28,25.37873
2020-07-29,25.78013
2020-07-30,25.97436
2020-07-31,24.61478
2020-08-01,5.14048
2020-08-02,2.07173
2020-08-03,22.1287
2020-08-04,23.46238
2020-08-05,26.60883
2020-08-06,26.62177
2020-08-07,26.82895
2020-08-08,5.63252
2020-08-09,2.84863
2020-08-10,22.28408
2020-08-11,24.058
2020-08-12,29.97539
2020-08-13,26.07794
2020-08-14,31.52919
2020-08-15,5.83969
